global_step,_step,losses/clipfrac,losses/approx_kl,losses/old_approx_kl,charts/learning_rate,losses/policy_loss,charts/episodic_length,_runtime,charts/SPS,losses/value_loss,charts/episodic_return,losses/explained_variance,_timestamp,losses/entropy
12416,233,0.0,3.1227245926856995e-06,0.0014317790046334267,0.00029262673342600465,0.00040864013135433197,,39.20177125930786,948.0,16.532588958740234,,0.7010431289672852,1763260069.9020813,0.5388423204421997
13915,251,,,,,,207.0,41.730841636657715,,,207.0,,1763260072.4311516,
14481,259,,,,,,219.0,42.684269189834595,,,219.0,,1763260073.3845792,
15016,265,,,,,,266.0,43.39196300506592,,,266.0,,1763260074.092273,
15744,273,0.0,0.00012127123773097992,-0.0020878948271274567,0.0002906298032030463,0.0045921690762043,,44.12167406082153,874.0,36.789466857910156,,0.05550771951675415,1763260074.821984,0.49630725383758545
15872,274,0.0,4.827883094549179e-05,-0.0018465826287865639,0.000290552998194471,0.0024697110056877136,,44.236125469207764,875.0,18.795167922973633,,0.8850885033607483,1763260074.9364355,0.5713061690330505
17472,292,,,,,,453.0,45.66278314590454,,,453.0,,1763260076.3630931,
20096,321,0.0,0.00012119952589273453,-0.005018998868763447,0.00028801843291148543,0.002199782058596611,,48.066147804260254,915.0,25.765514373779297,,0.6908851861953735,1763260078.7664578,0.5403695106506348
20504,327,,,,,,229.0,48.44793939590454,,,229.0,,1763260079.1482494,
20824,330,,,,,,320.0,48.689704179763794,,,320.0,,1763260079.3900142,
20992,332,0.0,4.83756884932518e-05,-0.0008149957284331322,0.0002874807978514582,0.0019871704280376434,,48.88338375091553,921.0,15.91739273071289,,0.1381617784500122,1763260079.5836937,0.6026451587677002
21376,337,0.0,0.0024342630058526993,0.0041397735476493835,0.00028725038282573223,-0.022237299010157585,,49.21400809288025,925.0,46.92671585083008,,0.3885485529899597,1763260079.914318,0.6085774898529053
21541,340,,,,,,94.0,49.367817401885986,,,94.0,,1763260080.0681274,
23808,370,0.0,7.768534123897552e-05,0.0010935254395008087,0.00028579108766280115,0.0004396513104438782,,51.574411392211914,935.0,6.574121952056885,,0.9402248859405518,1763260082.2747214,0.613278329372406
24192,375,0.0,1.1323019862174988e-05,-0.0014350470155477524,0.0002855606726370752,-0.0008619502186775208,,51.926671743392944,937.0,7.093316078186035,,0.9806313514709473,1763260082.6269817,0.621489405632019
25856,396,0.0,0.0001417938619852066,-8.46758484840393e-05,0.000284562207525596,0.0055608563125133514,,53.703638553619385,937.0,11.340497970581055,,-0.11544716358184814,1763260084.4039485,0.6166418790817261
28416,425,0.0,0.00010914541780948639,-0.00202130526304245,0.0002830261073540896,0.0013949088752269745,,56.11287307739258,947.0,5.044964790344238,,0.9225473999977112,1763260086.813183,0.5926593542098999
29777,441,,,,,,280.0,57.48229718208313,,,280.0,,1763260088.1826072,
30479,450,,,,,,168.0,58.245681285858154,,,168.0,,1763260088.9459913,
32256,471,0.0,6.468687206506729e-05,-0.0015238085761666298,0.00028072195709683,-0.0017685703933238983,,60.17483425140381,947.0,13.32718563079834,,0.9252199530601501,1763260090.8751442,0.6239495277404785
32958,481,,,,,,206.0,60.94176888465881,,,206.0,,1763260091.6420789,
33664,490,0.0,0.00011823885142803192,0.00023587606847286224,0.0002798771020025015,-0.006781168282032013,,61.978161573410034,938.0,67.63094329833984,,0.11118936538696289,1763260092.6784716,0.5893092155456543
