global_step,charts/episodic_return,losses/entropy,losses/old_approx_kl,_step,losses/value_loss,charts/episodic_length,_runtime,charts/SPS,losses/approx_kl,losses/policy_loss,charts/learning_rate,losses/explained_variance,_timestamp,losses/clipfrac
16128,,0.5703254342079163,0.005254290997982025,274,44.199615478515625,,44.86433696746826,860.0,0.0002675391733646393,-0.0023644492030143738,0.00029039938817732036,0.4703003764152527,1763260075.565002,0.0
17280,,0.6186601519584656,0.0001865886151790619,292,22.616472244262695,,46.041523694992065,867.0,2.6926398277282715e-05,-0.0010428521782159805,0.0002897081431001425,0.4510185122489929,1763260076.7421887,0.0
19619,368.0,,,321,,368.0,48.18252420425415,,,,,,1763260078.8831892,
20224,,0.5455079674720764,0.005098783411085606,327,22.72689437866211,,48.72772192955017,894.0,0.0028547095134854317,-0.021927669644355774,0.0002879416279029101,0.6293007135391235,1763260079.428387,0.0078125
20480,,0.6098480224609375,-0.004698046483099461,330,19.242971420288086,,48.9860577583313,895.0,8.586514741182327e-05,0.0016645006835460663,0.00028778801788575947,0.12690985202789307,1763260079.6867228,0.0
20608,,0.5936861634254456,0.0028412379324436188,332,54.78737258911133,,49.096877574920654,896.0,0.0009871311485767365,0.007032724097371101,0.00028771121287718415,0.06577211618423462,1763260079.7975426,0.0
20941,73.0,,,337,,73.0,49.38685202598572,,,,,,1763260080.087517,
21164,223.0,,,340,,223.0,49.61674165725708,,,,,,1763260080.3174067,
23424,,0.4737953543663025,0.0026598479598760605,370,16.866456985473633,,51.96537232398987,906.0,6.382353603839874e-05,0.0010438598692417145,0.0002860215026885271,-0.004198193550109863,1763260082.6660373,0.0
23936,,0.6118991374969482,0.0011307792738080025,375,14.176908493041992,,52.45715808868408,908.0,0.00015521328896284103,-0.002456873655319214,0.0002857142826542258,0.8104767799377441,1763260083.157823,0.0
25600,,0.5598247647285461,0.0024423692375421524,396,55.35464096069336,,54.19554400444031,911.0,0.00017047487199306488,-0.004707299172878265,0.00028471581754274666,0.08220010995864868,1763260084.896209,0.0
27869,191.0,,,425,,191.0,56.49949669837952,,,,,,1763260087.2001617,
29041,183.0,,,441,,183.0,57.73698711395264,,,,,,1763260088.437652,
29643,140.0,,,450,,140.0,58.47138047218323,,,,,,1763260089.1720455,
31360,,0.5875669121742249,0.00025304220616817474,471,11.181074142456055,,60.34511685371399,916.0,8.588656783103943e-06,-0.0008048824965953827,0.00028125959215685725,0.8443796634674072,1763260091.0457819,0.0
