global_step,charts/episodic_length,losses/policy_loss,losses/entropy,charts/learning_rate,losses/clipfrac,losses/value_loss,charts/episodic_return,_runtime,_step,charts/SPS,losses/old_approx_kl,losses/explained_variance,_timestamp,losses/approx_kl
38809,113.0,,,,,,113.0,72.09953784942627,539,,,,1763260102.532112,
39296,,0.037209734320640564,0.569337010383606,0.0002764976816251874,0.033203125,39.357139587402344,,73.32215809822083,547,837.0,-0.04059535264968872,0.725051760673523,1763260103.7547321,0.007136881351470947
39936,,-0.0108475461602211,0.5651328563690186,0.00027611368568614125,0.0,0.8712937235832214,,74.77851963043213,555,825.0,-0.004695611074566841,0.9910033345222473,1763260105.2110937,0.002445269376039505
40192,,-0.027001693844795227,0.5749996304512024,0.0002759600756689906,0.00390625,47.76506805419922,,75.37712478637695,559,820.0,0.029933448880910873,0.7974504232406616,1763260105.8096988,0.004248462617397308
41088,,0.0015709474682807922,0.5502039790153503,0.00027542244060896337,0.0,4.958799839019775,,77.4062614440918,568,805.0,0.002084667794406414,-0.09973418712615967,1763260107.8388355,4.695449024438858e-05
43776,,-0.0030753128230571747,0.5425933003425598,0.00027380953542888165,0.00390625,10.299820899963379,,83.86924862861633,595,761.0,0.003363979049026966,0.8198494911193848,1763260114.3018227,0.004842267371714115
45312,,-0.0009555704891681671,0.5649955868721008,0.0002728878753259778,0.0,306.8072204589844,,87.1633894443512,612,745.0,3.38871031999588e-05,0.0018543601036071777,1763260117.5959635,1.3532117009162903e-05
45486,271.0,,,,,,271.0,87.466970205307,614,,,,1763260117.8995442,
46976,,-0.0015559010207653046,0.5741456747055054,0.00027188941021449864,0.0,200.74435424804688,,90.7720079421997,630,729.0,0.00011957716196775436,0.4606074094772339,1763260121.204582,2.3107044398784637e-05
47616,,0.0017257258296012878,0.5938090682029724,0.00027150538517162204,0.0,1.047165870666504,,92.06598162651062,636,725.0,0.015251530334353447,-1.5746474266052246,1763260122.4985557,0.0009156465530395508
48000,,-0.003108881413936615,0.5912383794784546,0.0002712749701458961,0.0,0.9627996683120728,,92.85215353965759,640,722.0,0.005231586284935474,-0.5356632471084595,1763260123.2847276,0.0005459180101752281
48640,,0.0038491403684020042,0.6016048192977905,0.0002708909451030195,0.0,0.9379936456680298,,94.37341094017029,650,715.0,-0.0036331648007035255,0.04572129249572754,1763260124.805985,0.00011374708265066147
49915,500.0,,,,,,500.0,96.85225319862366,664,,,,1763260127.2848272,
51712,,0.0021055378019809723,0.5925371050834656,0.0002690476248972118,0.0,0.38753876090049744,,100.6673948764801,684,696.0,-0.00795886479318142,-0.05105781555175781,1763260131.099969,0.0004135686904191971
52224,,-0.005730465054512024,0.5476683378219604,0.0002687404048629105,0.0,0.37162700295448303,,101.60318565368652,689,694.0,0.0026521598920226097,-0.7349836826324463,1763260132.0357597,0.0004241233691573143
53120,,-0.002034652978181839,0.5334214568138123,0.00026820276980288327,0.0,0.3049699366092682,,103.41153407096863,698,689.0,0.0029863230884075165,-0.2664511203765869,1763260133.844108,0.00010094046592712402
53376,,0.003119301050901413,0.5059776902198792,0.0002680491597857326,0.0,309.3577880859375,,103.96595978736877,702,688.0,-0.012589891441166401,0.17091822624206543,1763260134.3985338,0.0008018007501959801
54016,,0.0005149394273757935,0.5753912329673767,0.000267665134742856,0.0,0.23425140976905823,,105.0902168750763,707,686.0,0.009881413541734219,-0.07185149192810059,1763260135.522791,0.00014757458120584488
56064,,-0.004256898537278175,0.546653687953949,0.0002664362546056509,0.0,0.23270350694656372,,108.9400999546051,729,679.0,-0.003459770232439041,-0.09104406833648682,1763260139.372674,0.00010050646960735321
58880,,-0.0006444975733757019,0.5233438611030579,0.00026474654441699386,0.0,0.03465970978140831,,114.611004114151,757,667.0,-0.0007250336930155754,-0.03543257713317871,1763260145.0435781,3.9414502680301666e-05
59392,,0.0024063512682914734,0.5572283267974854,0.0002644393243826926,0.0,0.02202298305928707,,115.63672304153442,762,665.0,0.0011690212413668633,0.2744893431663513,1763260146.069297,0.00013738032430410385
59904,,-0.007324136793613434,0.5630308985710144,0.0002641321043483913,0.00390625,0.01548944041132927,,116.61579751968384,767,663.0,-0.005865461193025112,-0.15768206119537354,1763260147.0483716,0.002925715409219265
