_timestamp,charts/SPS,global_step,losses/entropy,losses/old_approx_kl,charts/episodic_length,losses/clipfrac,charts/learning_rate,losses/explained_variance,_step,_runtime,charts/episodic_return,losses/policy_loss,losses/value_loss,losses/approx_kl
1763260342.0916858,643.0,183552,0.46239176392555237,-0.008811771869659424,,0.001953125,0.0001899385533761233,-0.859241247177124,2070,311.5231487751007,,0.010584115982055664,0.0003400672576390207,0.0020404383540153503
1763260342.892542,,184137,,,500.0,,,,2076,312.32400488853455,500.0,,,
1763260344.909608,645.0,185856,0.5104182958602905,0.004606155678629875,,0.0,0.00018855606322176754,0.19037938117980957,2093,314.34107089042664,,0.0027446430176496506,0.004725061357021332,0.00025198981165885925
1763260345.076887,645.0,185984,0.41187065839767456,-3.5830773413181305e-05,,0.0,0.00018847925821319222,-0.437508225440979,2094,314.5083498954773,,0.00016996264457702637,0.0003578097384888679,5.670823156833649e-06
1763260347.6277866,647.0,188288,0.4551401436328888,0.0015740534290671349,,0.0,0.00018709676805883646,0.12526851892471313,2117,317.0592496395111,,-0.0006712600588798523,0.005594555288553238,5.484279245138168e-05
1763260350.507371,649.0,190720,0.44882023334503174,0.005684496834874153,,0.0,0.0001856374874478206,0.00143355131149292,2141,319.9388339519501,,0.001221638172864914,349.561767578125,0.00011283345520496368
1763260351.2687023,649.0,191232,0.46626895666122437,-0.00017137546092271805,,0.0,0.00018533026741351932,0.003251969814300537,2146,320.70016527175903,,0.0006671100854873657,261.75830078125,4.928652197122574e-05
1763260351.4506032,649.0,191360,0.5178930759429932,-0.007153615355491638,,0.0,0.000185253462404944,0.30893492698669434,2147,320.8820662498474,,0.0032158568501472473,0.008256612345576286,0.00010079704225063324
1763260351.613069,649.0,191488,0.458748459815979,-0.011750280857086182,,0.0,0.00018517665739636868,-0.3186701536178589,2148,321.04453206062317,,-0.008106058463454247,0.00018700728833209723,0.0007559154182672501
1763260352.5292923,,192137,,,500.0,,,,2155,321.96075534820557,500.0,,,
1763260355.1587415,649.0,193920,0.45635828375816345,-0.0032225744798779488,,0.001953125,0.0001837173622334376,0.9501540064811707,2172,324.5902044773102,,-0.009671825915575027,0.0008848448051139712,0.0013720737770199776
1763260357.1271732,649.0,195200,0.41205137968063354,0.0009083589538931847,,0.0,0.0001829493121476844,0.007184743881225586,2185,326.5586361885071,,-0.006053894758224487,442.7055358886719,0.0008517438545823097
1763260358.1066248,650.0,195968,0.43893757462501526,-0.019790517166256905,,0.0,0.00018248848209623247,0.8243271112442017,2192,327.53808784484863,,-0.01322157122194767,0.004701822530478239,0.0023945653811097145
