global_step,losses/approx_kl,_runtime,charts/SPS,_step,losses/old_approx_kl,_timestamp,losses/value_loss,charts/learning_rate,losses/explained_variance,charts/episodic_return,losses/clipfrac,losses/policy_loss,charts/episodic_length,losses/entropy
87936,0.0032676123082637787,185.23034715652466,549.0,1118,0.018889592960476875,1763260241.744872,0.0006053895922377706,0.0002473118365742266,-0.09914064407348633,,0.009765625,0.0058470480144023895,,0.5233856439590454
88594,,186.432030916214,,1125,,1763260242.9465559,,,,500.0,,,500.0,
89472,0.004183054901659489,187.96831274032593,549.0,1133,-0.01823725923895836,1763260244.4828377,0.0002318043989362195,0.0002463901764713228,0.04160374402999878,,0.001953125,-0.01704738289117813,,0.5559290647506714
90624,0.0007805041968822479,189.69834518432617,550.0,1145,-0.004850538447499275,1763260246.2128701,158.60308837890625,0.0002456989313941449,-1.1086463928222656e-05,,0.0,0.006976127624511719,,0.48801565170288086
92594,,193.1516354084015,,1164,,1763260249.6661603,,,,500.0,,,500.0,
92672,0.0006692120805382729,193.33825206756592,551.0,1165,0.004140778444707394,1763260249.852777,315.78350830078125,0.00024447005125693977,5.555152893066406e-05,,0.0,0.0012955442070960999,,0.5476236343383789
93440,0.001235763542354107,194.35923171043396,552.0,1172,-0.004793946631252766,1763260250.8737566,0.0006811849889345467,0.00024400922120548785,-0.06894505023956299,,0.005859375,-0.0017019212245941162,,0.515434980392456
94336,0.0008754292502999306,195.8279058933258,552.0,1181,0.010918292216956615,1763260252.3424308,0.005746948998421431,0.0002434715861454606,0.017396628856658936,,0.0,-0.00014505535364151,,0.5379762649536133
94848,0.00018918141722679138,196.72546243667603,552.0,1186,-0.0040877144783735275,1763260253.2399874,0.00014922450645826757,0.00024316436611115932,-0.23478972911834717,,0.0,0.002159915864467621,,0.5733243227005005
96000,0.008555970154702663,198.75684642791748,553.0,1197,0.02520359866321087,1763260255.2713714,8.364798122784123e-05,0.00024247312103398144,0.19536274671554565,,0.02734375,-0.0249117910861969,,0.5431562662124634
97594,,201.443617105484,,1213,,1763260257.958142,,,,500.0,,,500.0,
97792,0.004360055550932884,201.87520956993103,553.0,1215,-0.010365346446633339,1763260258.3897345,0.006442294921725988,0.00024139785091392696,-0.11751353740692139,,0.0,-0.01657324843108654,,0.5353922843933105
98944,7.965788245201111e-05,203.89453029632568,553.0,1226,-0.0018890239298343658,1763260260.4090552,0.0006016140105202794,0.00024070660583674908,-0.2143930196762085,,0.0,0.0018769241869449615,,0.4992077350616455
99328,5.639065057039261e-05,204.5852346420288,553.0,1230,0.00369830708950758,1763260261.0997596,0.0041602798737585545,0.00024047619081102312,-0.00890648365020752,,0.0,-0.0010181963443756104,,0.5170398354530334
99712,0.0008357856422662735,205.2816822528839,553.0,1234,-0.010936137288808823,1763260261.7962072,0.026932368054986,0.00024024577578529716,-3.159046173095703e-05,,0.0,0.011584050953388214,,0.5392566323280334
100864,0.0014682980254292488,207.30586290359497,553.0,1245,0.014922947622835636,1763260263.8203878,0.0005223401822149754,0.00023955453070811927,-0.002657651901245117,,0.0,-0.01440991461277008,,0.5481432676315308
101760,0.0009390115737915039,208.8823058605194,554.0,1254,0.004233671352267265,1763260265.3968308,0.003581363707780838,0.00023901689564809203,-0.058916568756103516,,0.0,-0.00733562558889389,,0.48890066146850586
103552,0.0021781353279948235,211.96101689338684,554.0,1271,0.008626812137663364,1763260268.4755418,0.00015104770136531442,0.00023794162552803755,-0.029540061950683594,,0.0,-0.016024667769670486,,0.46448811888694763
106368,0.001171761192381382,215.7751166820526,558.0,1299,0.011836360208690166,1763260272.2896416,0.0003613067092373967,0.0002362519153393805,-0.03779721260070801,,0.005859375,-0.013605790212750435,,0.4574419856071472
110377,,221.77955102920532,,1339,,1763260278.294076,,,,500.0,,,500.0,
110464,0.00020495522767305374,221.98910570144653,561.0,1340,-0.008759555406868458,1763260278.5036306,126.24951934814453,0.00023379416961688548,-4.673004150390625e-05,,0.0,0.0003930153325200081,,0.5937670469284058
111377,,223.4940469264984,,1349,,1763260280.0085719,,,,500.0,,,500.0,
112877,,225.6553726196289,,1363,,1763260282.1698976,,,,500.0,,,500.0,
113024,3.6631710827350616e-05,225.88050436973572,563.0,1365,0.002020931802690029,1763260282.3950293,0.003821417223662138,0.00023225806944537908,-0.02073848247528076,,0.0,4.968792200088501e-05,,0.5637462735176086
113536,0.001549525186419487,226.47336649894714,564.0,1370,0.017673810943961143,1763260282.9878914,0.004011578857898712,0.0002319508494110778,-0.1962430477142334,,0.0,-0.0019948817789554596,,0.5769466161727905
114560,0.00810815766453743,227.52047300338745,566.0,1380,0.012876328080892563,1763260284.034998,0.0049226111732423306,0.00023133640934247524,0.2415909767150879,,0.01953125,-0.015373237431049347,,0.5461608171463013
114688,0.0004427805542945862,227.66248965263367,566.0,1381,0.008008010685443878,1763260284.1770146,0.0006594688748009503,0.00023125960433389992,-0.9830909967422485,,0.0,-0.009386025369167328,,0.5460282564163208
115377,,228.3899552822113,,1388,,1763260284.9044802,,,,500.0,,,500.0,
116096,0.00022472813725471497,229.71698880195618,567.0,1395,0.003923680633306503,1763260286.2315137,0.00410256814211607,0.0002304147492395714,-0.11276185512542725,,0.0,-0.0011089742183685303,,0.5565629601478577
116480,0.00042875390499830246,230.40258932113647,567.0,1399,-0.0061791809275746346,1763260286.9171143,181.8188934326172,0.00023018433421384543,-7.152557373046875e-07,,0.0,-0.002594500780105591,,0.6167820692062378
117120,0.000566873699426651,231.43152976036072,567.0,1405,0.009785600006580353,1763260287.9460547,0.004698644392192364,0.00022980030917096883,-0.11779642105102539,,0.0,-0.004030190408229828,,0.5646880865097046
119808,0.007525905035436153,235.62222504615784,569.0,1432,0.0017733080312609673,1763260292.13675,0.00024240766651928425,0.0002281874039908871,-0.7308602333068848,,0.0078125,-0.0037063099443912506,,0.5380265712738037
119910,,235.67590045928955,,1433,,1763260292.1904254,,,,500.0,,,500.0,
122112,0.0027240095660090446,238.64336943626404,572.0,1455,0.026366768404841423,1763260295.1578944,0.007422164082527161,0.00022680491383653134,-0.0820000171661377,,0.0,-0.005401733331382275,,0.5105569362640381
