losses/clipfrac,charts/episodic_length,charts/episodic_return,losses/policy_loss,losses/value_loss,_step,losses/explained_variance,losses/entropy,losses/approx_kl,_runtime,charts/SPS,global_step,_timestamp,losses/old_approx_kl,charts/learning_rate
0.0,,,-0.0035729818046092987,20.58013916015625,337,-0.012033581733703613,0.5878883600234985,0.0013266177847981453,19.503253698349,1027.0,13440,1763260031.2599778,0.01500696036964655,0.0002920122933574021
,136.0,136.0,,,340,,,,19.67983055114746,,13617,1763260031.4365547,,
,150.0,150.0,,,370,,,,21.4334557056427,,15601,1763260033.1901798,,
0.0,,,-0.005896516144275665,0.9404846429824829,396,-0.0030568838119506836,0.5729783177375793,0.0002352651208639145,23.055696725845337,1038.0,17280,1763260034.8124208,-0.004552412778139114,0.0002897081431001425
0.0,,,0.00042016804218292236,24.716508865356445,425,-0.0026379823684692383,0.5821858644485474,7.116235792636871e-05,24.84370231628418,1042.0,19200,1763260036.6004264,0.0035811346024274826,0.0002885560679715127
,113.0,113.0,,,441,,,,25.69540786743164,,20126,1763260037.452132,,
0.0,,,-0.0030237436294555664,35.04134750366211,450,-0.0015932321548461914,0.5430078506469727,0.00034181494265794754,26.182825088500977,1042.0,20608,1763260037.9395492,0.004861482419073582,0.00028771121287718415
,132.0,132.0,,,471,,,,27.48728847503662,,22075,1763260039.2440126,,
0.00390625,,,0.010441020131111145,1.0372061729431152,481,-0.0008782148361206055,0.5465794801712036,0.0025526052340865135,28.17783832550049,1047.0,22784,1763260039.9345624,0.01838291995227337,0.0002864055277314037
,143.0,143.0,,,490,,,,28.63993549346924,,23324,1763260040.3966596,,
,171.0,171.0,,,504,,,,29.467220067977905,,24208,1763260041.2239442,,
0.0390625,,,-0.03443922847509384,11.763258934020996,515,-0.0006195306777954102,0.6053171157836914,0.007518184371292591,30.129228591918945,1052.0,24960,1763260041.8859527,0.010950479656457901,0.00028509984258562326
,127.0,127.0,,,530,,,,30.996238708496094,,25970,1763260042.7529628,,
,152.0,152.0,,,539,,,,31.583343505859375,,26598,1763260043.3400676,,
0.0,,,0.018681664019823074,13.070813179016113,547,-0.000986337661743164,0.6121678948402405,0.0025169355794787407,32.10440707206726,1056.0,27136,1763260043.8611312,0.0038430476561188698,0.0002837941574398428
,205.0,205.0,,,555,,,,32.5891637802124,,27664,1763260044.345888,,
,131.0,131.0,,,559,,,,32.817280769348145,,27933,1763260044.574005,,
