losses/old_approx_kl,_runtime,_step,losses/entropy,losses/clipfrac,losses/value_loss,charts/SPS,charts/learning_rate,global_step,losses/policy_loss,losses/explained_variance,losses/approx_kl,_timestamp,charts/episodic_return,charts/episodic_length
,16.23255157470703,292,,,,,,10659,,,,1763260027.7815645,69.0,69.0
,17.92377996444702,327,,,,,,12320,,,,1763260029.4727929,83.0,83.0
,18.04557228088379,330,,,,,,12452,,,,1763260029.5945852,66.0,66.0
9.890645742416382e-07,18.14666509628296,332,0.4604365825653076,0.0,14.744399070739746,1010.0,0.00029254992841742933,12544,0.0006759911775588989,0.2636152505874634,1.2950971722602844e-05,1763260029.695678,,
,18.381868839263916,337,,,,,,12818,,,,1763260029.9308817,80.0,80.0
0.016728106886148453,18.491334915161133,340,0.46504005789756775,0.0,21.555965423583984,1013.0,0.00029231951339170337,12928,-0.007107600569725037,0.6886184215545654,0.0007464960217475891,1763260030.0403478,,
-0.0038738902658224106,20.088624715805054,370,0.48062920570373535,0.0,0.832464873790741,1016.0,0.0002913210482802242,14592,0.0006977356970310211,0.9922046661376953,0.00016198866069316864,1763260031.6376376,,
0.004933768883347511,21.613584280014038,396,0.4122767448425293,0.0,7.449222087860107,1023.0,0.00029032258316874504,16256,-0.014171089977025986,0.7844281196594238,0.00030618906021118164,1763260033.1625972,,
,23.47679042816162,425,,,,,,18275,,,,1763260035.0258033,90.0,90.0
,24.5207998752594,441,,,,,,19398,,,,1763260036.0698128,124.0,124.0
,25.079701900482178,450,,,,,,20015,,,,1763260036.6287148,203.0,203.0
,26.76009511947632,471,,,,,,21866,,,,1763260038.309108,200.0,200.0
-0.012627026066184044,27.545827388763428,481,0.5869768261909485,0.046875,2.2100441455841064,1038.0,0.00028648233273997903,22656,-0.015924513339996338,0.9966611266136169,0.009125901386141777,1763260039.0948403,,
,28.33425235748291,490,,,,,,23575,,,,1763260039.8832653,500.0,500.0
0.0006016222760081291,29.37202763557434,504,0.5221185684204102,0.0,0.47308385372161865,1045.0,0.0002852534526027739,24704,0.0019192658364772797,0.5158162117004395,7.119867950677872e-05,1763260040.9210405,,
0.010653208009898663,30.090479612350464,515,0.5161151885986328,0.0,6.8669867515563965,1045.0,0.000284792622551322,25472,-0.022144213318824768,0.12007570266723633,0.0010479474440217018,1763260041.6394925,,
,31.14832305908203,530,,,,,,26665,,,,1763260042.697336,252.0,252.0
,31.757493019104004,539,,,,,,27381,,,,1763260043.306506,176.0,176.0
0.013733480125665665,32.278557777404785,547,0.5179980993270874,0.009765625,0.39757049083709717,1051.0,0.0002833333273883909,27904,0.03830361366271973,0.4517497420310974,0.005308937281370163,1763260043.8275707,,
0.012970373034477234,32.75889587402344,555,0.4411274492740631,0.0,15.715864181518555,1051.0,0.0002830261073540896,28416,-0.031515203416347504,0.2366182804107666,0.0018131174147129059,1763260044.3079088,,
0.019940132275223732,32.98814606666565,559,0.5131375789642334,0.015625,0.3002046048641205,1052.0,0.000282872497336939,28672,0.03268282860517502,0.590544581413269,0.007438201457262039,1763260044.537159,,
