losses/clipfrac,losses/entropy,_step,losses/explained_variance,losses/approx_kl,losses/old_approx_kl,charts/episodic_return,global_step,losses/policy_loss,_runtime,charts/SPS,charts/learning_rate,charts/episodic_length,_timestamp,losses/value_loss
0.0,0.4446026086807251,327,0.2567462921142578,0.00036795251071453094,0.0007796548306941986,,14720,0.0024811439216136932,21.013641595840454,1036.0,0.0002912442432716489,,1763260032.8374786,5.142771244049072
,,330,,,,109.0,14923,,21.154038906097412,,,109.0,1763260032.977876,
,,332,,,,111.0,15034,,21.262205362319946,,,111.0,1763260033.0860424,
0.0,0.4437493085861206,337,0.4311811923980713,0.0007850416004657745,-0.004555739462375641,,15360,0.008747376501560211,21.577566146850586,1039.0,0.0002908602182287723,,1763260033.4014032,0.8728353977203369
0.009765625,0.4148698151111603,340,0.41557103395462036,0.0013494426384568214,0.001616225577890873,,15488,-0.016592908650636673,21.693942308425903,1040.0,0.00029078341322019696,,1763260033.5177794,9.106228828430176
,,370,,,,82.0,17148,,23.210698127746582,,,82.0,1763260035.0345352,
,,396,,,,139.0,18516,,24.512922286987305,,,139.0,1763260036.3367593,
,,425,,,,128.0,20108,,26.01903510093689,,,128.0,1763260037.8428721,
,,441,,,,119.0,21101,,26.951629161834717,,,119.0,1763260038.7754662,
0.0,0.4382220506668091,450,0.9975100755691528,0.00010555330663919449,-0.0008910363540053368,,21632,-0.004216790199279785,27.524223804473877,1044.0,0.0002870967728085816,,1763260039.3480608,0.5801803469657898
0.0,0.39298102259635925,471,0.9983510971069336,0.0006897207349538803,0.005659196525812149,,23040,-0.007171716541051865,28.810544729232788,1047.0,0.00028625191771425307,,1763260040.6343818,0.29545456171035767
0.0,0.40504035353660583,481,0.9160999059677124,0.0009909169748425484,0.0026350049301981926,,23552,-0.010799873620271683,29.268170833587646,1048.0,0.0002859446976799518,,1763260041.0920079,12.274187088012695
0.0,0.46881014108657837,490,0.9974177479743958,0.000719788484275341,-0.0011923620477318764,,24064,-0.0028754770755767822,29.770631313323975,1047.0,0.0002856374776456505,,1763260041.5944684,0.37064307928085327
0.0,0.5274745225906372,504,0.9980071187019348,0.0016186097636818886,0.015377851203083992,,24832,-0.014222264289855957,30.505489110946655,1047.0,0.0002851766475941986,,1763260042.3293262,0.35030481219291687
,,515,,,,120.0,25498,,31.079407453536987,,,120.0,1763260042.9032445,
0.033203125,0.4280605614185333,530,0.7103465795516968,0.005414499901235104,0.007801796309649944,,26624,0.0010858606547117233,32.11137390136719,1052.0,0.0002841013774741441,,1763260043.935211,5.013718605041504
,,539,,,,145.0,27171,,32.604092836380005,,,145.0,1763260044.4279299,
,,547,,,,201.0,27794,,33.15464496612549,,,201.0,1763260044.978482,
