global_step,losses/approx_kl,charts/episodic_return,_step,losses/old_approx_kl,charts/episodic_length,_timestamp,charts/SPS,losses/value_loss,losses/entropy,charts/learning_rate,losses/clipfrac,_runtime,losses/explained_variance,losses/policy_loss
11514,,135.0,228,,135.0,1763260103.0793095,,,,,,47.052698373794556,,
11847,,84.0,233,,84.0,1763260103.6266468,,,,,,47.600035667419434,,
12946,,103.0,251,,103.0,1763260105.5816438,,,,,,49.55503273010254,,
13524,,203.0,259,,203.0,1763260106.4964304,,,,,,50.46981930732727,,
13930,,169.0,265,,169.0,1763260107.139712,,,,,,51.1131010055542,,
14414,,86.0,273,,86.0,1763260107.9484036,,,,,,51.92179250717163,,
14464,0.00015269685536623,,274,0.003118813969194889,,1763260108.1065726,591.0,99.0654296875,0.6055855751037598,0.0002913978532887995,0.0,52.07996153831482,0.141859769821167,-0.003901742398738861
15744,1.3303011655807495e-05,,292,0.0010151341557502747,,1763260110.2421534,592.0,197.7747802734375,0.618036150932312,0.0002906298032030463,0.0,54.21554231643677,0.0011650919914245605,0.0008132606744766235
17664,9.762309491634369e-05,,321,0.0014608334749937057,,1763260113.4520328,592.0,150.01138305664062,0.6136026382446289,0.0002894777280744165,0.0,57.425421714782715,0.1545371413230896,-0.003529246896505356
18048,0.0002260301262140274,,327,-0.006313031539320946,,1763260114.0864,593.0,107.3389663696289,0.5296081304550171,0.00028924731304869056,0.0,58.059788942337036,0.0018086433410644531,-0.001187749207019806
18304,3.205612301826477e-05,,330,-0.00035241805016994476,,1763260114.4874327,593.0,160.89151000976562,0.5856035947799683,0.0002890937030315399,0.0,58.46082162857056,0.6550840139389038,0.00045797228813171387
18432,0.0031054476276040077,,332,0.0008491100743412971,,1763260114.7038963,593.0,37.50426483154297,0.6021519899368286,0.0002890168980229646,0.0,58.67728519439697,0.7470191121101379,0.002337925136089325
18816,3.1892210245132446e-05,,337,0.0007611401379108429,,1763260115.3702044,593.0,162.853515625,0.5710537433624268,0.00028878648299723864,0.0,59.34359335899353,0.001006007194519043,0.0012518875300884247
18962,,144.0,340,,144.0,1763260115.6395552,,,,,,59.61294412612915,,
21202,,188.0,370,,188.0,1763260119.329352,,,,,,63.302740812301636,,
21632,0.0003854893147945404,,375,-0.00336533784866333,,1763260120.0834646,593.0,116.44068145751953,0.602435827255249,0.0002870967728085816,0.0,64.05685353279114,0.0023394227027893066,-0.004513029009103775
23552,0.0005493676289916039,,396,0.009400158189237118,,1763260122.99072,598.0,110.6949462890625,0.5589473247528076,0.0002859446976799518,0.0,66.96410894393921,-0.05176496505737305,0.004818413406610489
25915,,131.0,425,,131.0,1763260126.3280935,,,,,,70.30148243904114,,
27520,0.0010015405714511871,,441,-0.002053782343864441,,1763260128.6123261,612.0,86.64895629882812,0.5798219442367554,0.00028356374241411686,0.0,72.5857150554657,0.09548759460449219,0.014829494059085846
28416,0.00040522683411836624,,450,0.0023315539583563805,,1763260129.94955,613.0,104.23277282714844,0.5148985981941223,0.0002830261073540896,0.0,73.92293882369995,-0.5713001489639282,0.0041114091873168945
30208,0.00012776721268892288,,471,0.0005808332934975624,,1763260132.9304883,613.0,36.412750244140625,0.5903633236885071,0.00028195083723403513,0.0,76.90387725830078,0.8782738447189331,-0.0004888847470283508
31104,0.0004878556355834007,,481,0.0033313659951090813,,1763260134.5869215,610.0,182.3628387451172,0.5462881326675415,0.0002814132021740079,0.0,78.56031036376953,-0.0024024248123168945,0.002657182514667511
