global_step,losses/entropy,losses/clipfrac,_timestamp,losses/approx_kl,losses/policy_loss,_runtime,charts/SPS,_step,losses/value_loss,losses/explained_variance,losses/old_approx_kl,charts/episodic_return,charts/learning_rate,charts/episodic_length
54912,0.43673181533813477,0.00390625,1763260178.1549356,0.0018123453482985497,0.005628645420074463,121.8970115184784,581.0,762,432.10284423828125,-0.009006261825561523,0.015771273523569107,,0.0002671274996828288,
55419,,,1763260178.846012,,,122.5880880355835,,767,,,,349.0,,349.0
56126,,,1763260179.9604428,,,123.70251870155334,,775,,,,353.0,,353.0
57472,0.4861884117126465,0.0,1763260181.9917572,0.0004083998501300812,-0.0034094974398612976,125.7338330745697,584.0,788,5.561655521392822,-2.3398263454437256,0.006762351840734482,,0.0002655913995113224,
58368,0.5212119817733765,0.0,1763260183.3634417,0.0012713223695755005,-0.005820013582706451,127.10551762580872,585.0,797,1.8015172481536865,0.5008658170700073,0.010620404034852982,,0.00026505376445129514,
59264,0.5177185535430908,0.0,1763260184.7174256,2.7185305953025818e-06,-0.0003475099802017212,128.45950150489807,586.0,806,7.449921607971191,0.47480887174606323,0.000230385921895504,,0.0002645161293912679,
60160,0.49970677495002747,0.0,1763260186.0238254,5.122274160385132e-07,-2.7747824788093567e-05,129.76590132713318,587.0,815,2.212425470352173,0.023453116416931152,-0.00021823495626449585,,0.00026397849433124065,
65024,0.5322927832603455,0.0,1763260193.2296944,0.00011669564992189407,0.0025734752416610718,136.97177028656006,593.0,863,555.8487548828125,0.01702934503555298,0.0020291684195399284,,0.0002610599040053785,
66017,,,1763260194.5404458,,,138.28252172470093,,872,,,,500.0,,500.0
66432,0.3964759111404419,0.001953125,1763260195.2005153,0.0023255180567502975,-0.00931568443775177,138.94259119033813,595.0,876,6.5380353927612305,-10.265863418579102,0.01741361990571022,,0.00026021504891104996,
71168,0.6001139283180237,0.009765625,1763260201.9293873,0.0017845658585429192,0.0028662681579589844,145.6714632511139,601.0,922,0.0031240752432495356,0.04738646745681763,0.02426411584019661,,0.0002573732635937631,
71936,0.5170437693595886,0.0,1763260203.0582395,0.00025551579892635345,0.00229753740131855,146.80031538009644,602.0,930,0.0075576575472950935,-0.999165415763855,-0.00126742385327816,,0.0002569124335423112,
72704,0.5927855968475342,0.0,1763260204.1448956,5.8040954172611237e-05,6.656348705291748e-05,147.88697147369385,603.0,938,868.4244384765625,-9.107589721679688e-05,-0.00011709611862897873,,0.00025645160349085927,
73088,0.5987117886543274,0.0,1763260204.6588044,0.0006880881264805794,0.005178658291697502,148.40088033676147,604.0,941,0.0005778491613455117,-3.116694927215576,-0.001465017907321453,,0.0002562211884651333,
73201,,,1763260204.7119281,,,148.45400404930115,,942,,,,500.0,,500.0
73728,0.5714598298072815,0.0,1763260205.569424,9.97353345155716e-05,0.001384800300002098,149.31149983406067,604.0,948,818.5381469726562,-9.775161743164062e-06,-0.0008072014898061752,,0.0002558371634222567,
76288,0.5731375813484192,0.01171875,1763260209.2184012,0.0032486850395798683,-0.02142558991909027,152.96047711372375,607.0,974,0.0007819484453648329,0.41346460580825806,0.007417724467813969,,0.0002543010632507503,
76928,0.5169500708580017,0.0,1763260210.1399267,0.0016081761568784714,-0.013883586972951889,153.8820025920868,608.0,980,0.006823991425335407,0.04288184642791748,0.012218480929732323,,0.0002539170382078737,
77440,0.5110111236572266,0.005859375,1763260210.8641272,0.006523427553474903,-0.02711477316915989,154.60620307922363,608.0,985,0.007299195509403944,-0.14325523376464844,-0.028987780213356018,,0.0002536098181735724,
78464,0.4775661826133728,0.0,1763260212.3031616,0.0002839192748069763,-0.0030752699822187424,156.04523754119873,609.0,995,0.004368660040199757,0.3145028352737427,-0.0005942247807979584,,0.00025299537810496986,
78720,0.45311540365219116,0.001953125,1763260212.6484137,0.0018370943143963814,-0.008329104632139206,156.39048957824707,610.0,997,0.00029064659611321986,0.01032036542892456,0.003336220048367977,,0.0002528417680878192,
80512,0.48269742727279663,0.0,1763260215.1657476,0.00011269096285104752,-0.00409060250967741,158.90782356262207,612.0,1015,0.00527083408087492,-0.005986571311950684,-0.0013823481276631355,,0.0002517665270715952,
81024,0.43453890085220337,0.0,1763260215.857429,0.0006195642054080963,0.0002403855323791504,159.59950494766235,612.0,1020,0.003854126902297139,-0.04337501525878906,-0.01043286919593811,,0.0002514593070372939,
