losses/approx_kl,losses/value_loss,losses/entropy,losses/clipfrac,losses/policy_loss,charts/learning_rate,global_step,losses/old_approx_kl,charts/episodic_length,losses/explained_variance,charts/SPS,_timestamp,charts/episodic_return,_step,_runtime
2.871919423341751e-05,32.69390869140625,0.539905309677124,0.0,0.002817302942276001,0.00027703531668521464,38400,-0.0020546196028590202,,0.032917320728302,566.0,1763260151.4784594,,559,95.21802639961243
0.0002410542219877243,32.13035583496094,0.5348583459854126,0.0,-0.010399730876088142,0.0002765744866337627,39168,0.005132431164383888,,0.870698869228363,567.0,1763260152.7359288,,568,96.4754958152771
3.243889659643173e-05,385.55914306640625,0.5958095788955688,0.0,-0.0009907260537147522,0.00027496161055751145,41856,0.004095899872481823,,0.0013622045516967773,570.0,1763260157.117262,,595,100.85682892799377
2.8219074010849e-06,23.979724884033203,0.5119931697845459,0.0,-0.0003916621208190918,0.0002740399504546076,43392,0.0004526134580373764,,0.03806328773498535,571.0,1763260159.6608393,,612,103.40040636062622
1.642853021621704e-06,470.24688720703125,0.5269678235054016,0.0,2.6300549507141113e-06,0.0002739631454460323,43520,0.0001666918396949768,,0.004039108753204346,571.0,1763260159.90157,,614,103.64113712310791
,,,,,,45026,,331.0,,,1763260162.2681832,331.0,630,106.00775027275085
0.000785524956882,65.1833267211914,0.5234264731407166,0.0,0.0020440928637981415,0.00027273426530882716,45568,-0.0023585790768265724,,0.8053057193756104,573.0,1763260163.2611618,,636,107.00072884559631
6.689038127660751e-05,19.63477325439453,0.5439743995666504,0.0,-0.005077801179140806,0.0002725038502831012,45952,0.001492840237915516,,0.22895359992980957,573.0,1763260163.8792777,,640,107.61884474754333
1.8123537302017212e-05,17.03299331665039,0.5676616430282593,0.0,0.0004582703113555908,0.00027196621522307396,46848,0.00017494149506092072,,0.03770405054092407,573.0,1763260165.4047692,,650,109.1443362236023
,,,,,,48203,,500.0,,,1763260167.532956,500.0,664,111.27252292633057
,,,,,,50090,,434.0,,,1763260170.7349093,434.0,684,114.47447633743286
