_timestamp,losses/clipfrac,_runtime,losses/old_approx_kl,losses/value_loss,charts/SPS,charts/episodic_return,charts/episodic_length,losses/approx_kl,losses/explained_variance,global_step,_step,losses/entropy,losses/policy_loss,charts/learning_rate
1763260236.1209238,0.0,179.8816957473755,0.0015460383147001266,244.27276611328125,602.0,,,0.00037707574665546417,-0.0004469156265258789,91904,1164,0.5652545690536499,0.008684348315000534,0.0002449308813083917
1763260236.2982094,0.0,180.05898141860962,0.00025113578885793686,0.006238996051251888,602.0,,,0.001619943417608738,-1.3694031238555908,92032,1165,0.5265138745307922,-0.0015534013509750366,0.00024485407629981637
1763260237.2474782,,181.00825023651123,,,,500.0,500.0,,,92789,1172,,,
1763260238.6426656,0.005859375,182.40343761444092,-0.005309515632688999,0.00028556151664815843,604.0,,,0.0013508843258023262,-1.3028509616851807,93696,1181,0.5331260561943054,-0.005059108138084412,0.0002438556111883372
1763260239.364954,0.0,183.12572598457336,0.01572221890091896,0.00011348872067173943,605.0,,,0.002468564547598362,-0.1715153455734253,94208,1186,0.5112888216972351,-0.002542927861213684,0.00024354839115403593
1763260240.8161588,,184.57693076133728,,,,500.0,500.0,,,95289,1197,,,
1763260243.1617205,0.0,186.92249250411987,0.004783680662512779,419.6797790527344,607.0,,,0.00011521950364112854,6.109476089477539e-05,96896,1213,0.47611385583877563,-0.0015581436455249786,0.0002419354859739542
1763260243.796836,0.0,187.55760788917542,-0.0017832610756158829,0.0009563937201164663,606.0,,,4.5126304030418396e-05,0.014700531959533691,97152,1215,0.4637441337108612,-0.000933624804019928,0.00024178187595680356
1763260245.4188533,,189.17962527275085,,,,500.0,500.0,,,98289,1226,,,
1763260246.0738354,0.0,189.8346073627472,0.0003560548648238182,0.0003808983601629734,607.0,,,1.3149343430995941e-05,-0.16123878955841064,98688,1230,0.5162402987480164,0.000492975115776062,0.00024086021585389972
1763260246.6325681,0.0,190.3933401107788,0.0012179752811789513,0.0004928503767587245,607.0,,,0.0009458800777792931,-0.047113656997680664,99072,1234,0.4208507537841797,-0.002913728356361389,0.00024062980082817376
1763260248.2708952,0.0,192.03166723251343,0.01039783377200365,0.0001695079408818856,608.0,,,0.001586184836924076,-0.741999626159668,100224,1245,0.5372973680496216,0.0007455926388502121,0.00023993855575099587
1763260249.605203,0.0,193.3659749031067,0.003518451005220413,0.0007566635031253099,609.0,,,5.9857964515686035e-05,-0.540666937828064,101120,1254,0.541077196598053,0.0011381655931472778,0.00023940092069096863
1763260252.059953,,195.82072496414185,,,,500.0,500.0,,,102789,1271,,,
1763260256.1778357,0.0,199.9386076927185,0.001637832261621952,0.00011070541222579777,612.0,,,0.0012685628607869148,0.5280956625938416,105728,1299,0.37597957253456116,-0.002339594066143036,0.0002366359403822571
1763260261.053843,,204.8146150112152,,,,500.0,500.0,,,109789,1339,,,
1763260261.1345417,0.0,204.8953137397766,-0.0007780846208333969,589.3033447265625,618.0,,,1.1797994375228882e-05,-0.0003046989440917969,109824,1340,0.3981761038303375,-0.00010131299495697021,0.00023417819465976208
1763260261.972157,,205.73292899131775,,,,500.0,500.0,,,110789,1349,,,
1763260263.5184095,0.0,207.27918148040771,-0.004073893651366234,0.00034826487535610795,624.0,,,0.00027708522975444794,0.1968643069267273,112256,1363,0.42518022656440735,-0.007078912109136581,0.000232718899496831
1763260263.711238,0.0,207.47200989723206,-0.0012962622568011284,807.2506103515625,624.0,,,4.993099719285965e-05,-0.00017595291137695312,112384,1365,0.3795439898967743,0.0010853223502635956,0.00023264209448825568
1763260264.3665688,0.00390625,208.12734079360962,-0.0033081574365496635,548.1018676757812,624.0,,,0.0009552119299769402,7.271766662597656e-05,112896,1370,0.32176512479782104,0.005928609520196915,0.0002323348744539544
1763260265.6542423,0.0,209.41501426696777,0.0033135535195469856,0.007372794207185507,625.0,,,0.0015133200213313103,0.11042559146881104,113920,1380,0.426302433013916,-0.0008407570421695709,0.00023172043438535184
1763260265.805694,0.02734375,209.56646609306335,0.020842667669057846,0.0010844685602933168,626.0,,,0.006667834706604481,-0.060488343238830566,114048,1381,0.40106964111328125,0.00154857337474823,0.00023164362937677652
1763260266.680989,,210.4417610168457,,,,500.0,500.0,,,114789,1388,,,
1763260267.6112697,0.0,211.3720417022705,0.01069887075573206,0.0049067167565226555,627.0,,,0.00025171320885419846,0.13841569423675537,115456,1395,0.38353946805000305,-0.005240501835942268,0.000230798774282448
1763260268.0948482,0.0,211.85562014579773,-0.005789637565612793,950.75146484375,628.0,,,0.0006294883787631989,0.0003542304039001465,115840,1399,0.38647037744522095,0.005973555147647858,0.00023056835925672203
1763260268.8743362,0.0,212.63510823249817,-0.005675476975739002,0.009417396038770676,628.0,,,0.0009305914863944054,-0.10634744167327881,116480,1405,0.3756665289402008,-0.011580187827348709,0.00023018433421384543
1763260271.9369833,,215.69775533676147,,,,500.0,500.0,,,119289,1432,,,
1763260272.008265,0.0,215.76903700828552,0.008369785733520985,829.8947143554688,633.0,,,0.000679302029311657,9.739398956298828e-05,119296,1433,0.46128222346305847,0.005840960890054703,0.00022849462402518839
1763260274.081474,0.0,217.84224605560303,0.017585325986146927,0.0014942067209631205,638.0,,,0.002465439960360527,0.03129929304122925,121600,1455,0.41981327533721924,-0.007660802453756332,0.00022711213387083262
1763260274.191333,0.0,217.9521050453186,-0.020929019898176193,0.0001768105721566826,638.0,,,0.0017675654962658882,-0.05059385299682617,121728,1456,0.42956995964050293,-0.002242772374302149,0.0002270353288622573
1763260274.2139463,,217.97471833229065,,,,500.0,500.0,,,121789,1457,,,
1763260281.623063,0.00390625,225.38383507728577,0.019811678677797318,0.0008408715948462486,644.0,,,0.0005800547078251839,-0.11903250217437744,127616,1514,0.4318678081035614,0.0002367645502090454,0.00022350229846779257
1763260282.4431362,,226.20390820503235,,,,500.0,500.0,,,128289,1521,,,
1763260283.0388646,0.0,226.79963660240173,0.006844816729426384,0.00022545464162249118,645.0,,,0.0007862783968448639,-0.12482810020446777,128768,1525,0.5091767907142639,-0.008346043527126312,0.0002228110533906147
1763260283.2209957,0.0,226.98176765441895,0.011597376316785812,855.333984375,645.0,,,0.001047266647219658,-7.212162017822266e-05,128896,1527,0.484973669052124,-0.005242958664894104,0.00022273424838203937
1763260283.4990594,0.0,227.25983142852783,0.0003896839916706085,0.00072723429184407,646.0,,,1.1492520570755005e-05,-0.052840232849121094,129152,1529,0.4450240135192871,-0.00036752596497535706,0.00022258063836488873
1763260283.9849741,0.0,227.74574613571167,0.0011779610067605972,0.00035251982626505196,647.0,,,3.119558095932007e-05,-0.05473315715789795,129664,1534,0.45786190032958984,0.002027912065386772,0.00022227341833058745
1763260284.102519,0.0,227.86329102516174,-0.003444390371441841,732.7188110351562,647.0,,,0.00011599622666835785,-3.5762786865234375e-05,129792,1536,0.4830148220062256,-0.004319891333580017,0.00022219661332201213
1763260284.7710683,0.0,228.53184032440186,0.0008553052321076393,0.00042555484105832875,649.0,,,0.00013625342398881912,0.18121850490570068,130560,1543,0.4764496386051178,-0.00252385251224041,0.00022173579782247543
1763260284.9156415,,228.67641353607178,,,,500.0,500.0,,,130789,1545,,,
1763260285.0244753,0.0,228.78524732589722,-0.004990768618881702,820.1104736328125,649.0,,,0.00041806232184171677,-5.4001808166503906e-05,130816,1546,0.3983749747276306,-0.008438482880592346,0.0002215821878053248
1763260286.179757,0.0078125,229.94052910804749,0.005227355286478996,0.0007809994858689606,652.0,,,0.005935749039053917,-0.015571355819702148,132096,1558,0.4571504294872284,-0.025348540395498276,0.0002208141377195716
1763260286.291103,0.0078125,230.05187487602234,0.0017369268462061882,0.0003935762506444007,652.0,,,0.0028306981548666954,0.17453628778457642,132224,1559,0.37570828199386597,-0.012415314093232155,0.00022073733271099627
1763260286.6255808,0.0,230.38635277748108,0.002982514910399914,0.0013122734380885959,653.0,,,0.0004911655560135841,-0.10105252265930176,132608,1563,0.4156649112701416,-0.00656560342758894,0.0002205069176852703
