losses/explained_variance,losses/entropy,losses/approx_kl,charts/episodic_length,_timestamp,charts/SPS,charts/learning_rate,_runtime,charts/episodic_return,global_step,losses/clipfrac,_step,losses/value_loss,losses/old_approx_kl,losses/policy_loss
0.18081259727478027,0.5036472678184509,0.0002750018611550331,,1763260420.2128792,735.0,0.00015145928773563355,363.9614872932434,,247680,0.0,2668,0.00016923114890232682,0.0029771970584988594,0.0002224557101726532
0.034576356410980225,0.4951532781124115,0.00042735133320093155,,1763260420.946816,735.0,0.00015115206770133227,364.695424079895,,248192,0.0,2673,0.0004033284494653344,0.006000976078212261,-0.005594924092292786
-0.49626731872558594,0.518207311630249,0.0005218340083956718,,1763260422.4816604,735.0,0.0001505376276327297,366.23026847839355,,249216,0.0,2683,0.0003471217642072588,0.003509591333568096,0.003047451376914978
0.02802753448486328,0.49960869550704956,8.150283247232437e-05,,1763260423.0205874,735.0,0.00015030721260700375,366.7691955566406,,249600,0.0,2687,0.005305132828652859,0.0012170979753136635,-0.002899743616580963
0.086337149143219,0.5035069584846497,0.0004742080345749855,,1763260423.3376584,735.0,0.0001501536025898531,367.08626651763916,,249856,0.0,2689,0.0002631624520290643,-0.006545777432620525,0.0013726502656936646
0.289591908454895,0.4881516993045807,0.0005913246423006058,,1763260423.7191815,735.0,0.0001500000071246177,367.4677896499634,,250112,0.0,2692,0.004519759211689234,0.0015409011393785477,-0.018016088753938675
0.04852241277694702,0.4459618628025055,0.000746031291782856,,1763260429.317626,735.0,0.00014761905185878277,373.0662341117859,,254080,0.0,2732,0.006361229345202446,0.0026305457577109337,-0.0038543585687875748
0.08125615119934082,0.4629024863243103,0.00010302476584911346,,1763260431.3327694,736.0,0.00014639017172157764,375.0813775062561,,256128,0.0,2752,0.00347513472661376,0.0019778497517108917,-0.004682730883359909
-0.27171528339385986,0.47515273094177246,3.3863820135593414e-05,,1763260431.7822878,737.0,0.00014608295168727636,375.53089594841003,,256640,0.0,2757,0.004473092034459114,0.0013256734237074852,0.0005354508757591248
0.05277127027511597,0.4846969544887543,0.002549721859395504,,1763260433.2028017,738.0,0.00014516129158437252,376.95140981674194,,258176,0.0,2772,0.004712395370006561,0.010926392860710621,-0.01183975487947464
-0.12827444076538086,0.4800819456577301,0.001413610763847828,,1763260434.247014,739.0,0.00014447004650719464,377.99562215805054,,259328,0.0,2782,0.00022361068113241345,-0.0015667891129851341,0.005202941596508026
,,,500.0,1763260434.287086,,,378.03569412231445,500.0,259444,,2783,,,
,,,500.0,1763260435.2156496,,,378.96425771713257,500.0,260444,,2793,,,
-6.67572021484375e-06,0.5167933702468872,5.6236982345581055e-05,,1763260438.135153,743.0,0.00014193548122420907,381.88376116752625,,263552,0.0,2824,759.8389892578125,0.004255853593349457,0.0011185519397258759
-0.00028765201568603516,0.5232831239700317,8.712988346815109e-05,,1763260439.8923566,745.0,0.00014078340609557927,383.6409647464752,,265472,0.0,2843,784.7984619140625,0.0032555172219872475,0.0012083947658538818
,,,500.0,1763260441.191071,,,384.939679145813,500.0,266944,,2857,,,
,,,500.0,1763260443.531746,,,387.28035402297974,500.0,269444,,2882,,,
0.10897350311279297,0.5153225660324097,0.0010452978312969208,,1763260444.3157039,749.0,0.00013786483032163233,388.0643119812012,,270336,0.0,2890,0.00018120316963177174,0.022127248346805573,-0.008201047778129578
,,,500.0,1763260446.2195086,,,389.9681167602539,500.0,272444,,2911,,,
0.00022590160369873047,0.45346492528915405,0.00011450611054897308,500.0,1763260448.5272636,753.0,0.0001350998500129208,392.2758717536926,500.0,274944,0.0,2935,895.370849609375,-0.0009082071483135223,-0.005186472088098526
0.0003444552421569824,0.46372920274734497,0.000433347187936306,,1763260449.8361695,754.0,0.00013425499491859227,393.58477759361267,,276352,0.0,2949,866.2977905273438,-0.005747084505856037,0.008978612720966339
-0.2124161720275879,0.44886690378189087,0.0003041895106434822,,1763260450.8844035,755.0,0.0001335637498414144,394.63301157951355,,277504,0.0,2960,0.005304384045302868,0.0008696513250470161,-0.011208418756723404
0.40058618783950806,0.4429570138454437,2.8352253139019012e-05,,1763260452.2663984,756.0,0.00013264208973851055,396.0150065422058,,279040,0.0,2975,0.0034398932475596666,-0.0001437133178114891,3.463029861450195e-05
