losses/policy_loss,charts/learning_rate,losses/approx_kl,losses/entropy,losses/value_loss,losses/old_approx_kl,losses/clipfrac,_step,_timestamp,charts/SPS,charts/episodic_length,_runtime,global_step,charts/episodic_return,losses/explained_variance
0.001365065574645996,0.00029569893376901746,9.457860141992569e-05,0.4295915365219116,0.24429844319820404,-0.0012597953900694847,0.0,396,1763260021.3024418,967.0,,10.36035680770874,7296,,0.25675368309020996
9.099021553993225e-06,0.0002950844937004149,0.00013822317123413086,0.34408843517303467,5.027128219604492,0.0023617632687091827,0.0,425,1763260022.2506258,980.0,,11.30854082107544,8320,,0.268724262714386
0.002370331436395645,0.0002947772736661136,1.2421980500221252e-05,0.33175456523895264,0.22244355082511902,-0.0008602328598499298,0.0,441,1763260023.075706,948.0,,12.133620977401733,8832,,0.42724764347076416
9.384378790855408e-05,0.000294623663648963,0.0001405123621225357,0.30015307664871216,5.18885612487793,-0.00031447596848011017,0.0,450,1763260023.3961265,943.0,,12.454041481018066,9088,,0.7274364829063416
,,,,,,,471,1763260024.1566074,,40.0,13.214522361755371,9794,40.0,
,,,,,,,481,1763260024.6223826,,46.0,13.680297613143921,10178,46.0,
,,,,,,,490,1763260024.8723352,,40.0,13.93025016784668,10461,40.0,
,,,,,,,504,1763260025.3332937,,27.0,14.39120864868164,10912,27.0,
-0.0006727036088705063,0.00029331797850318253,0.0003109695389866829,0.3581012189388275,0.13998658955097198,0.006608662195503712,0.0,515,1763260025.795603,935.0,,14.853518009185791,11264,,0.8136509656906128
,,,,,,,530,1763260026.1871786,,37.0,15.245093584060669,11707,37.0,
,,,,,,,539,1763260026.4345386,,42.0,15.492453575134277,11983,42.0,
,,,,,,,555,1763260026.9667516,,46.0,16.02466654777527,12458,46.0,
,,,,,,,559,1763260027.0831416,,30.0,16.141056537628174,12579,30.0,
,,,,,,,568,1763260027.3204107,,32.0,16.378325700759888,12831,32.0,
-0.01326872780919075,0.00029193548834882677,0.0014611473307013512,0.3249143064022064,3.1916344165802,0.010844101198017597,0.0,595,1763260028.1088312,945.0,,17.166746139526367,13568,,0.9201214909553528
-0.0015795305371284485,0.0002916282683145255,4.040263593196869e-05,0.33804768323898315,4.378763198852539,-0.0037570632994174957,0.0,614,1763260028.5906172,949.0,,17.648532152175903,14080,,0.9295681715011597
,,,,,,,630,1763260029.06798,,27.0,18.125895023345947,14557,27.0,
,,,,,,,636,1763260029.19237,,27.0,18.250284910202026,14694,27.0,
,,,,,,,640,1763260029.2980566,,33.0,18.355971574783325,14787,33.0,
-0.005106404423713684,0.0002908602182287723,0.00012416765093803406,0.36195364594459534,0.5750303864479065,0.002608334645628929,0.0,664,1763260029.9326963,949.0,,18.99061131477356,15360,,0.9512773156166077
,,,,,,,684,1763260030.3727481,,26.0,19.430663108825684,15863,26.0,
