losses/entropy,_runtime,losses/approx_kl,_timestamp,losses/value_loss,losses/old_approx_kl,charts/episodic_length,charts/learning_rate,losses/explained_variance,losses/policy_loss,_step,charts/SPS,global_step,losses/clipfrac,charts/episodic_return
0.3229498267173767,38.740822315216064,0.0028825169429183006,1763260080.8702602,0.2255503237247467,-0.008307338692247868,,0.00027864822186529636,-0.001615762710571289,-0.017091840505599976,1172,1003.0,35712,0.015625,
0.3270770311355591,39.21490836143494,0.0493323877453804,1763260081.3443463,0.45340389013290405,-0.034931182861328125,,0.0002783410018309951,0.9850137829780579,-0.09790506213903427,1181,1004.0,36224,0.1510416716337204,
0.3191104829311371,39.44261837005615,0.003228400833904743,1763260081.5720563,0.1346113681793213,-0.009529354982078075,,0.00027818739181384444,-0.0008211135864257812,-0.004704447463154793,1186,1004.0,36480,0.021484375,
,39.94462990760803,,1763260082.0740678,,,68.0,,,,1197,,37118,,68.0
0.3667396306991577,41.20062494277954,0.008415460586547852,1763260083.3300629,0.18810902535915375,0.022973932325839996,,0.00027711212169378996,0.9987715482711792,-0.0042914897203445435,1213,1005.0,38272,0.01953125,
0.3961053192615509,41.4614143371582,0.018759453669190407,1763260083.5908523,0.4639951288700104,0.08585188537836075,,0.0002769585116766393,0.9980334043502808,-0.023876182734966278,1215,1005.0,38528,0.1328125,
0.3772130012512207,42.24684715270996,0.01292354054749012,1763260084.376285,0.18175597488880157,0.055159471929073334,,0.0002764208766166121,0.9985108971595764,-0.012605719268321991,1226,1008.0,39424,0.03125,
0.3130020499229431,42.47323489189148,0.027149084955453873,1763260084.6026728,0.13417823612689972,0.09864681959152222,,0.00027626726659946144,0.9996257424354553,-0.011910396628081799,1230,1008.0,39680,0.08984375,
0.3435055613517761,42.69950246810913,0.010021459311246872,1763260084.8289404,0.14579318463802338,0.0055307308211922646,,0.00027611368568614125,0.9990705847740173,-0.0416804701089859,1234,1009.0,39936,0.04296875,
0.3615609407424927,43.52717113494873,0.03334987908601761,1763260085.656609,0.10930076241493225,0.1090698316693306,,0.000275576050626114,0.9987426400184631,-0.0446697399020195,1245,1010.0,40832,0.125,
0.47537320852279663,45.61597514152527,0.0295158289372921,1763260087.745413,0.08970818668603897,0.0397128164768219,,0.00027419356047175825,0.9815077781677246,-0.04571804776787758,1271,1015.0,43136,0.107421875,
0.48026421666145325,48.18052268028259,0.002676822245121002,1763260090.3099606,0.054902222007513046,0.007526850327849388,,0.0002725038502831012,0.005995571613311768,-0.005925267934799194,1299,1020.0,45952,0.005859375,
0.3591734766960144,51.510382652282715,0.023470228537917137,1763260093.6398206,52.3958854675293,0.07884533703327179,,0.00027035331004299223,0.11106604337692261,-0.015733685344457626,1339,1024.0,49536,0.1171875,
,51.53315997123718,,1763260093.662598,,,113.0,,,,1340,,49594,,113.0
,52.84882378578186,,1763260094.9782617,,,113.0,,,,1363,,50946,,113.0
0.47084319591522217,52.9619927406311,0.0015855049714446068,1763260095.0914307,0.029076755046844482,0.004326521418988705,,0.0002694316499400884,0.20746582746505737,0.03269448131322861,1365,1025.0,51072,0.0,
,53.21319317817688,,1763260095.342631,,,108.0,,,,1370,,51390,,108.0
,53.549426794052124,,1763260095.6788647,,,109.0,,,,1380,,51718,,109.0
,53.58596849441528,,1763260095.7154064,,,106.0,,,,1381,,51824,,106.0
,53.86076807975769,,1763260095.990206,,,25.0,,,,1388,,52031,,25.0
0.44695353507995605,54.18439602851868,0.01269201748073101,1763260096.313834,50.350467681884766,0.021127913147211075,,0.0002686635998543352,0.2558140158653259,-0.020633405074477196,1395,1025.0,52352,0.109375,
0.43736499547958374,54.41081380844116,0.0030296044424176216,1763260096.5402517,0.0222356915473938,0.015077234245836735,,0.00026850998983718455,0.19955450296401978,-0.012282775714993477,1399,1026.0,52608,0.009765625,
,55.7482373714447,,1763260097.8776753,,,20.0,,,,1432,,54047,,20.0
0.45896995067596436,55.91356134414673,0.018854498863220215,1763260098.0429993,0.02867317944765091,-0.0095693189650774,,0.0002675883297342807,0.22067660093307495,0.05387350171804428,1433,1025.0,54144,0.107421875,
0.5023027062416077,56.84595608711243,0.001024383120238781,1763260098.975394,40.3505744934082,0.009041297249495983,,0.00026697388966567814,0.35686933994293213,-0.0035059116780757904,1455,1027.0,55168,0.0,
,56.913522243499756,,1763260099.0429602,,,103.0,,,,1456,,55255,,103.0
0.5333676934242249,57.00408124923706,0.002960813231766224,1763260099.1335192,42.75077819824219,0.016650013625621796,,0.0002668970846571028,0.49050384759902954,-0.027890902012586594,1457,1026.0,55296,0.0,
,59.81796336174011,,1763260101.9474013,,,98.0,,,,1514,,58277,,98.0
0.43996119499206543,59.931015968322754,0.002118944190442562,1763260102.060454,77.13313293457031,-0.008418281562626362,,0.00026505376445129514,0.0011152029037475586,-0.00383896566927433,1521,1027.0,58368,0.001953125,
,60.081831216812134,,1763260102.2112691,,,10.0,,,,1527,,58568,,10.0
,60.09657335281372,,1763260102.2260113,,,19.0,,,,1529,,58602,,19.0
,60.27041482925415,,1763260102.3998528,,,15.0,,,,1534,,58707,,15.0
,60.28365707397461,,1763260102.413095,,,11.0,,,,1536,,58728,,11.0
,60.49756669998169,,1763260102.6270046,,,18.0,,,,1543,,58903,,18.0
0.5604525804519653,60.60353374481201,0.011646534316241741,1763260102.7329717,0.06437139958143234,0.028980311006307602,,0.00026466973940841854,-0.0016666650772094727,-0.0201447531580925,1545,1026.0,59008,0.033203125,
,60.61900281906128,,1763260102.7484407,,,128.0,,,,1546,,59044,,128.0
,60.872013330459595,,1763260103.0014513,,,12.0,,,,1558,,59329,,12.0
,60.878989934921265,,1763260103.0084279,,,14.0,,,,1559,,59343,,14.0
,60.99972343444824,,1763260103.1291614,,,13.0,,,,1563,,59482,,13.0
,61.10976266860962,,1763260103.2392006,,,99.0,,,,1566,,59593,,99.0
0.5638673305511475,62.81665802001953,0.03642279654741287,1763260104.946096,0.03252146393060684,0.03281792625784874,,0.00026321044424548745,0.9971051216125488,-0.08474573493003845,1589,1029.0,61440,0.1484375,
,63.374404191970825,,1763260105.503842,,,153.0,,,,1597,,62129,,153.0
0.421568363904953,64.09490919113159,0.012828945182263851,1763260106.224347,56.296424865722656,0.05112040415406227,,0.0002622887841425836,0.41272419691085815,0.012602579779922962,1607,1033.0,62976,0.12109375,
,64.20930504798889,,1763260106.338743,,,214.0,,,,1609,,63109,,214.0
