losses/explained_variance,losses/old_approx_kl,losses/clipfrac,losses/value_loss,losses/policy_loss,_timestamp,losses/entropy,_runtime,charts/episodic_return,losses/approx_kl,charts/learning_rate,_step,global_step,charts/SPS,charts/episodic_length
0.9682910442352295,-0.01411734614521265,0.001953125,13.160359382629395,-0.028870515525341034,1763260100.0545733,0.4889402389526367,57.910391330718994,,0.0034305239096283913,0.000265975424554199,1514,56832,1020.0,
0.9690387845039368,0.05255553498864174,0.12109375,0.13370953500270844,-0.043718766421079636,1763260100.5031562,0.42827391624450684,58.35897421836853,,0.030102847144007683,0.0002656682045198977,1521,57344,1021.0,
0.9818865656852722,0.006897317245602608,0.0,0.013457607477903366,0.007949143648147583,1763260100.8428462,0.5081700682640076,58.69866418838501,,0.0031272638589143753,0.00026543778949417174,1527,57728,1022.0,
0.9604650735855103,-0.0001299167051911354,0.0,0.016183670610189438,-0.00846143439412117,1763260100.9998603,0.42057323455810547,58.85567831993103,,0.0007567433640360832,0.0002653609844855964,1529,57856,1021.0,
0.9857674241065979,-0.0022178813815116882,0.0,7.844534873962402,-0.009651096537709236,1763260101.336294,0.5089796185493469,59.19211196899414,,0.0008346922695636749,0.00026513056945987046,1534,58240,1022.0,
0.9843336343765259,0.016175437718629837,0.01953125,0.015355458483099937,-0.03452596440911293,1763260101.448315,0.5080147385597229,59.30413293838501,,0.007438035681843758,0.00026505376445129514,1536,58368,1022.0,
0.9854603409767151,-0.002656780183315277,0.009765625,7.8937296867370605,0.0069101061671972275,1763260101.8954377,0.4215765595436096,59.75125575065613,,0.0025847312062978745,0.00026474654441699386,1543,58880,1023.0,
0.9869201183319092,0.005418458953499794,0.0,0.05572488531470299,0.0013726204633712769,1763260102.0502257,0.47630342841148376,59.90604376792908,,0.00024597346782684326,0.00026466973940841854,1545,59008,1023.0,
,,,,,1763260102.0816965,,59.937514543533325,159.0,,,1546,59095,,159.0
0.9881553649902344,-0.0014888430014252663,0.0,6.2124176025390625,-0.016053060069680214,1763260102.8387866,0.46105629205703735,60.69460463523865,,0.0004370296373963356,0.0002641321043483913,1558,59904,1024.0,
,,,,,1763260102.8743446,,60.730162620544434,141.0,,,1559,59999,,141.0
,,,,,1763260103.150362,,61.00618004798889,138.0,,,1563,60273,,138.0
0.9911544919013977,0.021745864301919937,0.009765625,4.947842597961426,-0.0330902636051178,1763260103.342929,0.4851035177707672,61.19874691963196,,0.004145893268287182,0.00026382488431409,1566,60416,1024.0,
0.9936577081680298,-0.007555198855698109,0.01171875,0.025171849876642227,-0.006703957915306091,1763260104.7431564,0.4852345287799835,62.59897446632385,,0.00744203943759203,0.00026290322421118617,1589,61952,1026.0,
,,,,,1763260105.237925,,63.093743085861206,146.0,,,1597,62476,,146.0
,,,,,1763260105.8202913,,63.676109313964844,140.0,,,1607,63169,,140.0
,,,,,1763260105.934626,,63.790444135665894,134.0,,,1609,63303,,134.0
0.9963307976722717,-0.0005059242248535156,0.0078125,0.04615209251642227,0.011730104684829712,1763260106.0220187,0.47786664962768555,63.87783670425415,,0.0038073789328336716,0.00026205836911685765,1610,63360,1027.0,
