charts/learning_rate,global_step,losses/old_approx_kl,charts/SPS,charts/episodic_return,_step,_runtime,losses/policy_loss,losses/explained_variance,_timestamp,losses/entropy,losses/approx_kl,losses/clipfrac,losses/value_loss,charts/episodic_length
,20168,,,38.0,788,23.25921130180359,,,1763260065.3702452,,,,,38.0
,20581,,,27.0,806,23.658087730407715,,,1763260065.7691216,,,,,27.0
,22351,,,21.0,863,25.53481388092041,,,1763260067.6458478,,,,,21.0
,22632,,,25.0,872,25.793415546417236,,,1763260067.9044495,,,,,25.0
,24915,,,30.0,948,28.100597381591797,,,1763260070.2116313,,,,,30.0
,25539,,,37.0,974,28.787283420562744,,,1763260070.8983173,,,,,37.0
,25672,,,28.0,980,28.917008876800537,,,1763260071.0280428,,,,,28.0
0.0002841013774741441,26624,-0.0143298814073205,962.0,,1015,29.940085649490356,-0.00278676301240921,-0.0006711483001708984,1763260072.0511196,0.5890594720840454,0.001498231664299965,0.0,0.4308580160140991,
,27075,,,36.0,1031,30.334545850753784,,,1763260072.4455798,,,,,36.0
,27463,,,31.0,1050,30.711503982543945,,,1763260072.822538,,,,,31.0
0.000282642082311213,29056,0.001836271956562996,964.0,,1118,32.38708209991455,0.002401072531938553,-0.0006060600280761719,1763260074.498116,0.5783926248550415,0.0001222267746925354,0.0,18.602191925048828,
,29822,,,16.0,1145,33.09245562553406,,,1763260075.2034895,,,,,16.0
,31479,,,15.0,1213,34.78977370262146,,,1763260076.9008076,,,,,15.0
,31738,,,46.0,1230,35.0494122505188,,,1763260077.1604462,,,,,46.0
,31774,,,12.0,1234,35.138243436813354,,,1763260077.2492774,,,,,12.0
,31911,,,11.0,1245,35.311469078063965,,,1763260077.422503,,,,,11.0
0.00028072195709683,32256,-0.015138539485633373,964.0,,1271,35.71621370315552,-0.032188981771469116,-0.00040853023529052734,1763260077.8272476,0.6468545198440552,0.002568650059401989,0.0,8.626075744628906,
,32697,,,21.0,1299,36.127772092819214,,,1763260078.238806,,,,,21.0
,33985,,,33.0,1370,37.46315360069275,,,1763260079.5741875,,,,,33.0
,34259,,,18.0,1381,37.78068208694458,,,1763260079.891716,,,,,18.0
,34491,,,22.0,1395,38.02408027648926,,,1763260080.1351142,,,,,22.0
0.00027933946694247425,34560,0.007131871767342091,964.0,,1399,38.12138843536377,-0.012223826721310616,-0.0006134510040283203,1763260080.2324224,0.6286877393722534,0.0013435473665595055,0.0,15.043743133544922,
,35575,,,10.0,1456,39.11515164375305,,,1763260081.2261856,,,,,10.0
,36939,,,13.0,1545,40.665889739990234,,,1763260082.7769237,,,,,13.0
,37138,,,10.0,1558,40.89816427230835,,,1763260083.0091982,,,,,10.0
,37202,,,12.0,1563,40.92926502227783,,,1763260083.040299,,,,,12.0
,37785,,,15.0,1597,41.6166353225708,,,1763260083.7276692,,,,,15.0
,37906,,,16.0,1607,41.74533200263977,,,1763260083.856366,,,,,16.0
,37943,,,24.0,1609,41.76300263404846,,,1763260083.8740366,,,,,24.0
,37969,,,26.0,1610,41.773406982421875,,,1763260083.884441,,,,,26.0
,38349,,,15.0,1638,42.23800086975098,,,1763260084.3490348,,,,,15.0
0.00027611368568614125,39936,0.024049704894423485,957.0,11.0,1753,43.98793148994446,-0.018528617918491364,-0.0003298521041870117,1763260086.0989654,0.6580448150634766,0.0015179580077528954,0.0,10.15140151977539,11.0
,40151,,,13.0,1768,44.15882444381714,,,1763260086.2698584,,,,,13.0
0.00027496161055751145,41856,-0.0004872996360063553,953.0,,1868,46.150461196899414,0.00019387900829315186,0.01580941677093506,1763260088.261495,0.6222299337387085,4.496239125728607e-05,0.0,9.744224548339844,
