losses/old_approx_kl,losses/explained_variance,losses/value_loss,losses/policy_loss,_timestamp,charts/SPS,losses/clipfrac,losses/entropy,charts/episodic_length,_runtime,global_step,charts/episodic_return,charts/learning_rate,_step,losses/approx_kl
0.08607922494411469,0.9998738765716553,0.0012917835265398026,-0.013170471414923668,1763260532.752469,685.0,0.1197916641831398,0.12795408070087433,,490.67880296707153,334592,,9.930875239660963e-05,4396,0.032872989773750305
0.09945017099380493,0.9999328851699829,0.0004771652747876942,-0.08508805930614471,1763260534.8002436,686.0,0.154296875,0.17639955878257751,,492.7265775203705,336512,,9.815668454393744e-05,4415,0.10270261764526367
,,,,1763260539.388485,,,,500.0,497.31481885910034,340619,500.0,,4456,
-0.048170626163482666,0.9995501637458801,0.00014634590479545295,0.005345165729522705,1763260541.991626,689.0,0.115234375,0.2787781059741974,,499.9179599285126,342912,,9.431643411517143e-05,4478,0.032920487225055695
,,,,1763260542.1670365,,,,500.0,500.09337043762207,343119,500.0,,4480,
0.04334618151187897,0.9976922869682312,0.00042911848868243396,-0.045864276587963104,1763260543.553808,689.0,0.041015625,0.1705724000930786,,501.48014187812805,344320,,9.347157902084291e-05,4492,0.019367286935448647
-0.0012298952788114548,0.9987050294876099,4.779932351084426e-05,-0.008228663355112076,1763260544.256949,689.0,0.0,0.09866802394390106,,502.18328285217285,344960,,9.308755397796631e-05,4498,0.0005598291754722595
0.03468196839094162,0.20296579599380493,1.1470022201538086,0.004244759678840637,1763260546.7268538,690.0,0.072265625,0.1649353951215744,,504.65318775177,347136,,9.178187610814348e-05,4520,0.014638826251029968
0.07307499647140503,0.9982987642288208,0.00011133979569422081,-0.060028545558452606,1763260546.9632862,691.0,0.111328125,0.23964357376098633,,504.8896200656891,347392,,9.162826609099284e-05,4522,0.020038936287164688
,,,,1763260547.1346433,,,,500.0,505.0609772205353,347619,500.0,,4524,
0.00964275747537613,0.2265835404396057,0.003130500903353095,-0.00900229811668396,1763260547.2524195,691.0,0.00390625,0.15162904560565948,,505.1787533760071,347648,,9.14746560738422e-05,4525,0.0011325031518936157
-0.01961555704474449,0.9973058700561523,0.0008164385799318552,-0.021894879639148712,1763260547.5207562,691.0,0.078125,0.15524673461914062,,505.4470901489258,347904,,9.132104605669156e-05,4527,0.051696766167879105
0.04691450297832489,0.9949137568473816,2.228940138593316e-05,-0.06398226320743561,1763260547.9851418,691.0,0.083984375,0.2310020476579666,,505.91147565841675,348288,,9.10906310309656e-05,4531,0.02358083240687847
0.06719450652599335,0.9988884925842285,0.00018689822172746062,-0.04236895591020584,1763260548.265716,691.0,0.0989583358168602,0.2704896330833435,,506.1920499801636,348544,,9.093702101381496e-05,4533,0.0369415357708931
,,,,1763260548.3064852,,,,500.0,506.2328190803528,348619,500.0,,4534,
0.01327880285680294,0.16932129859924316,1.2697347402572632,-0.03402223438024521,1763260550.7334814,692.0,0.029296875,0.172796368598938,,508.6598153114319,350720,,8.963133586803451e-05,4555,0.005806099623441696
-0.03519964963197708,0.9924483895301819,0.0003101481415797025,-0.00778217613697052,1763260551.5928109,692.0,0.056640625,0.20966452360153198,,509.5191447734833,351488,,8.917050581658259e-05,4562,0.009904015809297562
-0.007115495391190052,0.9939928650856018,0.0001466005778638646,0.00045680999755859375,1763260553.1871827,693.0,0.0,0.3361295461654663,,511.1135165691376,352896,,8.832565072225407e-05,4576,0.00033322442322969437
,,,,1763260557.4839592,,,,500.0,515.4102931022644,356619,500.0,,4613,
-0.032916367053985596,0.9999353885650635,0.0010242183925583959,0.02318941056728363,1763260559.0400305,695.0,0.1015625,0.16991591453552246,,516.9663643836975,358016,,8.525345765519887e-05,4626,0.0295015387237072
-0.11082600057125092,0.9999590516090393,0.00030399300158023834,-0.0494934618473053,1763260560.0972126,695.0,0.10546875,0.19717784225940704,,518.0235464572906,358912,,8.471582259517163e-05,4635,0.08174290508031845
-0.01098379585891962,0.9997947812080383,0.023426499217748642,-0.023105554282665253,1763260560.8329623,696.0,0.005859375,0.2325994372367859,,518.7592961788177,359552,,8.433179755229503e-05,4641,0.0030789049342274666
0.007852451875805855,0.9997818470001221,0.00034400250297039747,-0.016660772264003754,1763260561.134314,696.0,0.005859375,0.14801150560379028,,519.0606479644775,359808,,8.417818753514439e-05,4644,0.0011689700186252594
-0.0050990646705031395,0.9996472001075745,0.035997673869132996,-0.04301764443516731,1763260563.1903183,696.0,0.02734375,0.17967486381530762,,521.1166522502899,361600,,8.31029174150899e-05,4661,0.005859757773578167
