charts/episodic_length,global_step,losses/clipfrac,_step,losses/approx_kl,losses/policy_loss,charts/episodic_return,charts/SPS,charts/learning_rate,losses/entropy,_timestamp,losses/explained_variance,losses/old_approx_kl,losses/value_loss,_runtime
,6016,0.017578125,327,0.01064958143979311,-0.018848326057195663,,983.0,0.00029646698385477066,0.5009570121765137,1763260050.9017537,0.8222606778144836,0.018008936196565628,1.3700268268585205,8.831326723098755
31.0,6107,,330,,,31.0,,,,1763260050.938493,,,,8.86806607246399
45.0,6152,,332,,,45.0,,,,1763260051.025145,,,,8.954718112945557
98.0,6545,,340,,,98.0,,,,1763260051.376394,,,,9.305967092514038
40.0,7674,,370,,,40.0,,,,1763260052.4316769,,,,10.361249923706055
59.0,8400,,396,,,59.0,,,,1763260053.1641026,,,,11.09367561340332
25.0,9109,,425,,,25.0,,,,1763260054.0808723,,,,12.010445356369019
42.0,9580,,441,,,42.0,,,,1763260054.62066,,,,12.550233125686646
31.0,9807,,450,,,31.0,,,,1763260054.915864,,,,12.845437049865723
22.0,10300,,471,,,22.0,,,,1763260055.4718175,,,,13.401390552520752
25.0,10730,,490,,,25.0,,,,1763260056.0209014,,,,13.950474500656128
32.0,11036,,504,,,32.0,,,,1763260056.42288,,,,14.352452993392944
,11264,0.015625,515,0.005770892836153507,-0.011735815554857254,,945.0,0.00029331797850318253,0.5227035880088806,1763260056.6922753,-0.006618618965148926,-0.008049589581787586,14.697516441345215,14.621848344802856
23.0,11559,,530,,,23.0,,,,1763260057.0916877,,,,15.021260738372803
27.0,12043,,555,,,27.0,,,,1763260057.6873982,,,,15.616971254348755
27.0,12152,,559,,,27.0,,,,1763260057.7364595,,,,15.666032552719116
22.0,12302,,568,,,22.0,,,,1763260057.9952986,,,,15.924871683120728
20.0,12745,,595,,,20.0,,,,1763260058.5184517,,,,16.44802474975586
,13056,0.0,614,0.00023467279970645905,-0.007147481665015221,,926.0,0.00029224270838312805,0.5842388272285461,1763260058.872478,-0.004542112350463867,0.0030939001590013504,7.153520584106445,16.802051067352295
,13312,0.0,630,0.0015939446166157722,-0.013112986460328102,,927.0,0.0002920890983659774,0.557087779045105,1763260059.1290774,-0.0037676095962524414,0.01187282707542181,7.110754013061523,17.058650493621826
15.0,13472,,640,,,15.0,,,,1763260059.3481233,,,,17.27769637107849
16.0,14360,,684,,,16.0,,,,1763260060.2566693,,,,18.18624234199524
,14464,0.0,689,0.0007361285388469696,0.0009325332939624786,,925.0,0.0002913978532887995,0.6198058128356934,1763260060.403246,-0.0024062395095825195,0.010348459705710411,20.13147735595703,18.33281898498535
30.0,14793,,707,,,30.0,,,,1763260060.751264,,,,18.680837154388428
15.0,15172,,729,,,15.0,,,,1763260061.1320322,,,,19.061605215072632
13.0,15733,,767,,,13.0,,,,1763260061.7778265,,,,19.707399606704712
16.0,15850,,775,,,16.0,,,,1763260061.9025817,,,,19.832154750823975
25.0,16045,,788,,,25.0,,,,1763260062.1352625,,,,20.06483554840088
15.0,16272,,806,,,15.0,,,,1763260062.3805602,,,,20.31013321876526
17.0,17126,,863,,,17.0,,,,1763260063.330147,,,,21.25972008705139
12.0,17256,,872,,,12.0,,,,1763260063.4627068,,,,21.392279863357544
15.0,17312,,876,,,15.0,,,,1763260063.5572414,,,,21.486814498901367
,17920,0.0,922,0.004482485353946686,-0.02002141997218132,,914.0,0.0002893241180572659,0.5928341746330261,1763260064.381923,-0.0029550790786743164,0.007784746587276459,14.856609344482422,22.311496019363403
12.0,18038,,930,,,12.0,,,,1763260064.441852,,,,22.37142515182495
19.0,18149,,938,,,19.0,,,,1763260064.5624123,,,,22.491985321044922
17.0,18196,,941,,,17.0,,,,1763260064.6512415,,,,22.580814599990845
14.0,18210,,942,,,14.0,,,,1763260064.6581097,,,,22.587682723999023
13.0,18286,,948,,,13.0,,,,1763260064.694117,,,,22.623690128326416
11.0,18637,,974,,,11.0,,,,1763260065.170056,,,,23.099629163742065
16.0,18712,,980,,,16.0,,,,1763260065.3065014,,,,23.236074447631836
