losses/value_loss,_runtime,charts/episodic_return,_step,charts/SPS,losses/clipfrac,losses/old_approx_kl,_timestamp,charts/learning_rate,losses/entropy,losses/approx_kl,charts/episodic_length,losses/explained_variance,global_step,losses/policy_loss
,37.167014360427856,166.0,233,,,,1763260092.1619074,,,,166.0,,11523,
,38.86479830741882,34.0,251,,,,1763260093.8596914,,,,34.0,,12663,
120.23368072509766,39.704375982284546,,259,927.0,0.0,0.0009867586195468903,1763260094.699269,0.0002921659033745527,0.592470109462738,0.0011540986597537994,,0.020587384700775146,13184,-0.002996206283569336
168.67994689941406,40.229368925094604,,265,920.0,0.0,0.0001842118799686432,1763260095.224262,0.00029193548834882677,0.6272246837615967,1.8458813428878784e-06,,0.03397709131240845,13568,0.00018050521612167358
199.48155212402344,40.87924933433533,,273,915.0,0.0,-0.0005103675648570061,1763260095.8741424,0.0002916282683145255,0.5885778665542603,3.880821168422699e-06,,0.4188264012336731,14080,0.0004454478621482849
,40.920607805252075,148.0,274,,,,1763260095.9155009,,,,148.0,,14131,
265.5288391113281,42.17711687088013,,292,920.0,0.0,0.0008259862661361694,1763260097.17201,0.0002908602182287723,0.5450316667556763,7.536262273788452e-06,,0.020755648612976074,15360,-0.0002751685678958893
,44.11786603927612,121.0,321,,,,1763260099.112759,,,,121.0,,17453,
,44.36498403549194,56.0,327,,,,1763260099.359877,,,,56.0,,17707,
99.01480102539062,44.58016276359558,,330,938.0,0.0,-0.002299274317920208,1763260099.5750558,0.0002893241180572659,0.6131285429000854,5.469564348459244e-05,,0.7201092839241028,17920,-0.0006903205066919327
,44.70042848587036,214.0,332,,,,1763260099.6953216,,,,214.0,,18056,
,44.9664261341095,142.0,337,,,,1763260099.9613192,,,,142.0,,18413,
48.28276062011719,45.20504117012024,,340,941.0,0.0,0.000639340840280056,1763260100.1999342,0.0002889400930143893,0.5816563963890076,7.164012640714645e-05,,0.5720659494400024,18560,0.000514080747961998
137.6504669189453,47.118370056152344,,370,952.0,0.001953125,-0.004855776205658913,1763260102.1132631,0.00028771121287718415,0.6216472387313843,0.0016411151736974716,,0.7498550415039062,20608,0.0062909722328186035
,47.42282700538635,122.0,375,,,,1763260102.41772,,,,122.0,,20937,
95.81501770019531,48.95173907279968,,396,960.0,0.0,0.00013995636254549026,1763260103.9466321,0.00028655913774855435,0.6112291812896729,2.2537074983119965e-05,,0.5774272680282593,22528,0.0005007795989513397
,50.95109415054321,175.0,425,,,,1763260105.9459872,,,,175.0,,24601,
33.35103988647461,52.24082660675049,,441,971.0,0.0,0.00425961147993803,1763260107.2357197,0.0002844854025170207,0.5723562836647034,0.00012381095439195633,,0.9488525390625,25984,-0.000890074297785759
25.37303924560547,52.96814203262329,,450,973.0,0.0,0.0008333530277013779,1763260107.963035,0.0002840245724655688,0.5902944803237915,0.00021827220916748047,,0.8922361731529236,26752,-0.003005288541316986
12.564973831176758,54.49307894706726,,471,979.0,0.0,0.011673790402710438,1763260109.487972,0.0002830261073540896,0.5476498603820801,0.0011354787275195122,,0.9213383197784424,28416,-0.007395923137664795
80.68152618408203,55.33820152282715,,481,982.0,0.0,0.0022885678336024284,1763260110.3330946,0.0002824884722940624,0.5632582902908325,3.8537196815013885e-05,,0.3880794048309326,29312,-0.0009283795952796936
139.7433624267578,56.065165758132935,,490,983.0,0.0,0.008195750415325165,1763260111.0600588,0.00028202764224261045,0.6291427612304688,0.0006763171404600143,,-0.027371525764465332,30080,-0.002887461334466934
201.08096313476562,57.1388635635376,,504,986.0,0.001953125,0.012437867000699043,1763260112.1337566,0.00028133639716543257,0.6102060079574585,0.001384001225233078,,0.19938260316848755,31232,-0.008651481941342354
