charts/SPS,losses/clipfrac,_runtime,charts/episodic_return,_step,charts/learning_rate,_timestamp,losses/policy_loss,losses/old_approx_kl,losses/explained_variance,losses/entropy,losses/approx_kl,global_step,charts/episodic_length,losses/value_loss
1052.0,0.0,78.92018103599548,,767,0.00026658986462280154,1763260134.0864651,0.0015863627195358276,0.00042908452451229095,0.024506986141204834,0.5690812468528748,0.00024066120386123657,55808,,12.356000900268555
1052.0,0.0,79.63982391357422,,775,0.0002661290345713496,1763260134.806108,-0.00774756446480751,-0.019308216869831085,-0.0007381439208984375,0.6022472977638245,0.0010123485699295998,56576,,597.2379150390625
,,80.71486020088196,466.0,788,,1763260135.8811443,,,,,,57812,466.0,
1053.0,0.0,81.51296329498291,,797,0.0002649001544341445,1763260136.6792474,0.00038730911910533905,0.0004669288173317909,-3.867283344268799,0.5462566614151001,3.462936729192734e-05,58624,,10.361855506896973
1055.0,0.0,82.29769158363342,,806,0.00026436251937411726,1763260137.4639757,0.001011878252029419,0.005556562915444374,-0.14666247367858887,0.513575553894043,7.219798862934113e-05,59520,,6.392679691314697
1055.0,0.0,83.11699891090393,,815,0.00026382488431409,1763260138.283283,-0.005235195159912109,-0.004311650060117245,-0.11920404434204102,0.5265312194824219,0.0001767994835972786,60416,,4.723266124725342
1058.0,0.0,87.33129286766052,,863,0.0002610599040053785,1763260142.497577,0.0027146488428115845,0.00795914139598608,0.11745864152908325,0.5379921793937683,0.0007462473586201668,65024,,744.1510620117188
1058.0,0.0,88.16172957420349,,872,0.00026052226894535124,1763260143.3280137,-0.0032187961041927338,-0.0028387047350406647,0.0011003613471984863,0.5506620407104492,0.00038985535502433777,65920,,888.6475219726562
,,88.51541113853455,500.0,876,,1763260143.6816952,,,,,,66362,500.0,
,,92.70005536079407,500.0,922,,1763260147.8663394,,,,,,70976,500.0,
,,93.41310119628906,272.0,930,,1763260148.5793853,,,,,,71748,272.0,
,,94.11782574653625,252.0,938,,1763260149.2841098,,,,,,72500,252.0,
,,94.35635995864868,295.0,941,,1763260149.522644,,,,,,72795,295.0,
1062.0,0.0,94.43789315223694,,942,0.00025637479848228395,1763260149.6041772,0.0031326264142990112,-0.0002580033615231514,0.001450181007385254,0.5503873229026794,0.0007952069863677025,72832,,1118.5467529296875
1062.0,0.09765625,95.03551912307739,,948,0.00025599077343940735,1763260150.2018032,-0.042536698281764984,-0.017584677785634995,-5.062314987182617,0.45530158281326294,0.02148577943444252,73472,,0.012757142074406147
1064.0,0.0,97.46067786216736,,974,0.0002543778682593256,1763260152.626962,-0.00617634505033493,-0.0005740169435739517,-0.084694504737854,0.5294303297996521,0.0007947683334350586,76160,,0.0006191997672431171
,,97.94884514808655,500.0,980,,1763260153.1151292,,,,,,76795,500.0,
,,98.43051743507385,500.0,985,,1763260153.5968015,,,,,,77295,500.0,
,,99.35568475723267,500.0,995,,1763260154.5219688,,,,,,78295,500.0,
1065.0,0.0,99.55087900161743,,997,0.00025299537810496986,1763260154.717163,-0.009104229509830475,-0.003835565410554409,-0.018232107162475586,0.5841213464736938,0.0005667200312018394,78464,,0.0035164356231689453
1066.0,0.01171875,101.1597535610199,,1015,0.00025192013708874583,1763260156.3260376,-0.02622617594897747,0.0034739412367343903,0.1303572654724121,0.5663232207298279,0.008145895786583424,80256,,0.0033153959084302187
1066.0,0.0,101.639577627182,,1020,0.00025161291705444455,1763260156.8058617,0.005045797675848007,0.0007795281708240509,0.29763007164001465,0.4758983850479126,0.00022311508655548096,80768,,0.002285788534209132
1066.0,0.0,102.6820900440216,,1031,0.00025092167197726667,1763260157.8483741,0.0004645101726055145,-0.026092397049069405,-0.4893578290939331,0.5064210295677185,0.002744981087744236,81920,,0.00021293331519700587
1067.0,0.0,104.4360523223877,,1050,0.00024976959684863687,1763260159.6023364,-0.010582014918327332,-0.004656543023884296,-0.09519946575164795,0.5244013667106628,0.0014471383765339851,83840,,0.0008975103264674544
1067.0,0.0,104.66071939468384,,1053,0.0002496159868314862,1763260159.8270035,0.0005874820053577423,0.00303566362708807,6.490945816040039e-05,0.5268052816390991,9.794626384973526e-05,84096,,230.04493713378906
1068.0,0.0,105.11002016067505,,1058,0.00024930876679718494,1763260160.2763042,0.0077929869294166565,-0.000577838160097599,3.6716461181640625e-05,0.4789578318595886,0.0010035904124379158,84608,,0.004024066962301731
1068.0,0.00390625,107.47878694534302,,1083,0.00024777266662567854,1763260162.645071,-0.0018140710890293121,-0.005954982712864876,0.39985257387161255,0.4094877541065216,0.0024908259510993958,87168,,0.007647374179214239
,,108.17101740837097,500.0,1091,,1763260163.3373015,,,,,,87983,500.0,
,,109.57406759262085,500.0,1106,,1763260164.7403517,,,,,,89483,500.0,
1068.0,0.0,110.78639507293701,,1118,0.00024562212638556957,1763260165.9526792,-0.0024119392037391663,-0.0038400711491703987,-0.23147058486938477,0.5199304819107056,0.000918692909181118,90752,,0.0011500235414132476
,,111.38170289993286,500.0,1125,,1763260166.547987,,,,,,91483,500.0,
1069.0,0.0,112.16927170753479,,1133,0.00024470046628266573,1763260167.3355558,-0.0021514296531677246,0.006558569148182869,-0.2051701545715332,0.5120911598205566,0.00024393387138843536,92288,,0.0014279333408921957
,,113.23124122619629,500.0,1145,,1763260168.3975253,,,,,,93483,500.0,
,,115.00591206550598,500.0,1164,,1763260170.1721961,,,,,,95483,500.0,
1070.0,0.00390625,115.07855558395386,,1165,0.00024278034106828272,1763260170.2448397,0.0019718483090400696,-0.004767967388033867,-0.000370025634765625,0.4334821403026581,0.0010844003409147263,95488,,1363.5965576171875
1071.0,0.001953125,115.74615669250488,,1172,0.0002423195110168308,1763260170.9124408,0.0062030404806137085,0.009693039581179619,-0.6781976222991943,0.4546597898006439,0.0014093704521656036,96256,,0.002010526368394494
1071.0,0.00390625,116.56598043441772,,1181,0.00024178187595680356,1763260171.7322645,0.002703756093978882,0.0017733536660671234,0.1611509919166565,0.3902972936630249,0.00033626146614551544,97152,,0.004442707169800997
1071.0,0.0,117.05186748504639,,1186,0.00024147465592250228,1763260172.2181516,-0.013049382716417313,0.009847274050116539,0.06772303581237793,0.4588395357131958,0.0009817704558372498,97664,,0.005646987352520227
1071.0,0.0,118.09594106674194,,1197,0.0002407834108453244,1763260173.2622252,-0.00022110342979431152,-0.0024333084002137184,0.3282616138458252,0.46575963497161865,0.0006684800609946251,98816,,0.001260668272152543
1072.0,0.0,119.58626651763916,,1213,0.00023978494573384523,1763260174.7525506,-0.012817854061722755,0.005512199364602566,-0.7690346240997314,0.43237781524658203,0.0007642125710844994,100480,,0.00022319167328532785
1072.0,0.0,119.6993899345398,,1215,0.00023970814072526991,1763260174.865674,0.0010587014257907867,0.008256119675934315,-0.0002872943878173828,0.46004247665405273,0.00035300012677907944,100608,,152.6705322265625
1072.0,0.0,120.74559783935547,,1226,0.00023901689564809203,1763260175.911882,-0.006264146417379379,-0.003527003340423107,-0.20837628841400146,0.49796026945114136,0.0007847724482417107,101760,,0.001215390395373106
1073.0,0.0,121.08423042297363,,1230,0.00023878648062236607,1763260176.2505145,-0.0007277429103851318,0.0034327125176787376,0.008367538452148438,0.5262100696563721,0.0005021048709750175,102144,,0.004687996581196785
1072.0,0.0,121.45692491531372,,1234,0.0002385560655966401,1763260176.623209,-0.012218780815601349,0.004704700782895088,0.0005614757537841797,0.5214340686798096,0.0010591987520456314,102528,,1138.93701171875
1073.0,0.0,122.49840378761292,,1245,0.00023786482051946223,1763260177.6646879,0.005565725266933441,-0.002030506730079651,0.0764850378036499,0.5428895950317383,0.00019810721278190613,103680,,0.005625683348625898
1073.0,0.0,123.32000374794006,,1254,0.00023732718545943499,1763260178.4862878,0.007883217185735703,0.011002631857991219,0.0004577040672302246,0.5609706044197083,0.0005580615252256393,104576,,492.8101501464844
1074.0,0.03515625,124.9235589504242,,1271,0.0002362519153393805,1763260180.089843,-0.03885423764586449,-0.015012717805802822,-0.7508331537246704,0.49569493532180786,0.006853879429399967,106368,,0.00042416411451995373
1074.0,0.0,127.49693131446838,,1299,0.00023456220515072346,1763260182.6632154,-0.0026409924030303955,0.0012194504961371422,-0.20352447032928467,0.5216333270072937,0.0006669415161013603,109184,,0.005039094015955925
1075.0,0.0,131.07679724693298,,1339,0.00023218126443680376,1763260186.2430813,-0.008839605376124382,-0.00458033662289381,0.02192974090576172,0.5820070505142212,0.0004561105743050575,113152,,0.0015984138008207083
1075.0,0.001953125,131.19033408164978,,1340,0.00023210445942822844,1763260186.3566182,-0.016087256371974945,-0.019864685833454132,0.0210573673248291,0.5571607947349548,0.003350083716213703,113280,,0.00018702421220950782
,,131.92385601997375,500.0,1349,,1763260187.09014,,,,,,114120,500.0,
1076.0,0.0,133.17310976982117,,1363,0.000230798774282448,1763260188.3393939,0.0011611506342887878,-0.003950620070099831,-0.3115156888961792,0.4484414756298065,6.762519478797913e-05,115456,,0.0007335561094805598
1076.0,0.0,133.28734731674194,,1365,0.00023072196927387267,1763260188.4536314,-0.003520496189594269,-0.0021329158917069435,-0.00020384788513183594,0.4694337546825409,7.130485028028488e-05,115584,,1092.3221435546875
1076.0,0.0,133.77329087257385,,1370,0.0002304147492395714,1763260188.939575,0.006271408870816231,-0.004321020096540451,-0.000518798828125,0.5027646422386169,0.00044009648263454437,116096,,810.7405395507812
1076.0,0.0,134.66549134254456,,1380,0.00022980030917096883,1763260189.8317754,-0.004555977880954742,-0.0024713464081287384,-6.258487701416016e-05,0.4592333137989044,0.00023317523300647736,117120,,621.5769653320312
1076.0,0.0,134.81224298477173,,1381,0.0002297235041623935,1763260189.978527,-0.0032619833946228027,8.143484592437744e-05,-0.13834643363952637,0.44794338941574097,0.0004299543797969818,117248,,0.0060560391284525394
1076.0,0.0,135.48344469070435,,1388,0.0002292626741109416,1763260190.6497288,-0.011931870132684708,0.00017632823437452316,0.09716051816940308,0.4300912022590637,0.001001914031803608,118016,,9.493756806477904e-05
1076.0,0.0,136.08180284500122,,1395,0.000228878649068065,1763260191.248087,9.937770664691925e-05,-0.00903177261352539,0.19653338193893433,0.4023962616920471,0.0005085710436105728,118656,,0.00606648251414299
1076.0,0.0,136.41933059692383,,1399,0.00022864823404233903,1763260191.5856147,-0.0008783712983131409,0.010623928159475327,-0.00018310546875,0.40580156445503235,0.0009197797626256943,119040,,1330.248046875
1076.0,0.0,137.0146360397339,,1405,0.00022826420899946243,1763260192.1809201,-0.011920146644115448,0.0010760575532913208,-0.046157002449035645,0.4982980787754059,0.0003755837678909302,119680,,0.00818035937845707
