charts/episodic_return,losses/approx_kl,_timestamp,losses/clipfrac,losses/old_approx_kl,losses/explained_variance,losses/entropy,losses/value_loss,charts/episodic_length,losses/policy_loss,_runtime,_step,global_step,charts/learning_rate,charts/SPS
,0.0009589632973074913,1763260376.5953357,0.0,0.008218218572437763,0.07552951574325562,0.5229519605636597,0.0006145849474705756,,-0.0051861777901649475,321.8109698295593,3401,321920,0.00010691244096960872,1087.0
,0.003352150321006775,1763260377.0772853,0.0,0.015906652435660362,0.0016858577728271484,0.5352073907852173,0.00031659656087867916,,-0.006076902151107788,322.2929193973541,3406,322432,0.00010660522093530744,1087.0
500.0,,1763260377.1123655,,,,,,500.0,,322.3279995918274,3407,322529,,
,9.853392839431763e-07,1763260378.2408957,0.0,0.0004011336714029312,-0.10395431518554688,0.5364009737968445,0.0037200257647782564,,2.3579224944114685e-05,323.45652985572815,3419,323712,0.00010583717084955424,1087.0
,0.0010242229327559471,1763260378.9120364,0.0,0.010748899541795254,-0.2616978883743286,0.5337679982185364,0.00045927672181278467,,0.0026484355330467224,324.1276705265045,3426,324480,0.00010537634079810232,1087.0
,0.00014237873256206512,1763260379.0616462,0.0,0.003910396248102188,-4.7326087951660156e-05,0.5441888570785522,828.7073364257812,,0.004433747380971909,324.27728033065796,3428,324608,0.000105299535789527,1087.0
,0.0014191046357154846,1763260379.7395756,0.0,0.0167018361389637,-1.0011265277862549,0.5572528839111328,0.0009843440493568778,,-0.004337117075920105,324.95520973205566,3435,325376,0.00010483871301403269,1087.0
,0.0003519440069794655,1763260381.1620853,0.0,0.0036543412134051323,-0.273734450340271,0.5526008605957031,7.457401807187125e-05,,-0.0026776641607284546,326.37771940231323,3450,326912,0.00010391705291112885,1087.0
500.0,,1763260381.2033267,,,,,,500.0,,326.41896080970764,3451,327029,,
,0.0003156345337629318,1763260382.211862,0.0,0.0013878047466278076,-4.184246063232422e-05,0.54142826795578,1222.305908203125,,0.0010207109153270721,327.4274961948395,3462,328064,0.00010322580783395097,1087.0
500.0,,1763260383.5026233,,,,,,500.0,,328.7182574272156,3476,329529,,
,0.0006456086412072182,1763260383.8199103,0.0,-0.0007516751065850258,0.09959828853607178,0.5402988195419312,0.0009108809754252434,,-0.004619088023900986,329.0355443954468,3479,329856,0.00010215053771389648,1087.0
,0.0001756809651851654,1763260385.5815337,0.0,0.002030976116657257,-0.05604076385498047,0.5514733791351318,0.003146145027130842,,-0.0011367490515112877,330.79716777801514,3498,331776,0.00010099846258526668,1087.0
,2.3783184587955475e-05,1763260386.0314445,0.0,0.0007358035072684288,-0.006801962852478027,0.562813401222229,0.0008086891029961407,,-0.0017428845167160034,331.24707865715027,3503,332288,0.0001006912425509654,1087.0
,0.00014723371714353561,1763260387.015367,0.0,-0.0016537988558411598,-0.007223725318908691,0.5703515410423279,0.0009589773835614324,,0.00018823891878128052,332.23100113868713,3513,333312,0.00010007680248236284,1087.0
500.0,,1763260388.0855682,,,,,,500.0,,333.3012022972107,3525,334529,,
,0.0004177391529083252,1763260389.2168424,0.0,-0.0004917532205581665,-0.049112915992736816,0.547983705997467,0.004028907511383295,,0.0021533556282520294,334.43247652053833,3537,335744,9.861751459538937e-05,1087.0
500.0,,1763260390.786309,,,,,,500.0,,336.0019431114197,3554,337529,,
,2.19736248254776e-05,1763260390.8577876,0.0,0.0010097101330757141,5.781650543212891e-06,0.5556726455688477,1796.182373046875,,-7.526949048042297e-05,336.07342171669006,3555,337536,9.754224447533488e-05,1087.0
,0.0002257172018289566,1763260392.842576,0.0,-0.0005724206566810608,-0.11457383632659912,0.5454404950141907,0.004331670701503754,,-0.005441851913928986,338.0582101345062,3576,339712,9.623655932955444e-05,1087.0
,0.0006504841148853302,1763260393.0640178,0.0,-0.019507113844156265,-0.3925715684890747,0.48275744915008545,0.0007955185137689114,,0.004221335053443909,338.2796518802643,3578,339968,9.60829493124038e-05,1087.0
,9.822100400924683e-05,1763260393.2897406,0.0,0.0028798896819353104,-0.10976660251617432,0.5436020493507385,0.0033462848514318466,,0.0008825734257698059,338.5053746700287,3581,340224,9.592933929525316e-05,1087.0
500.0,,1763260394.0149896,,,,,,500.0,,339.2306237220764,3589,341029,,
500.0,,1763260396.2476392,,,,,,500.0,,341.46327328681946,3613,343529,,
,0.0001324908807873726,1763260397.1625328,0.0,-0.002628603018820286,0.00921618938446045,0.5683877468109131,0.00028187240241095424,,-0.0012786537408828735,342.3781669139862,3622,344448,9.339477401226759e-05,1087.0
,0.0019635800272226334,1763260398.7948618,0.0,-0.009018098935484886,-0.1649320125579834,0.5367785692214966,0.0048410468734800816,,-0.020755451172590256,344.0104959011078,3640,346240,9.231951116817072e-05,1087.0
,0.0006907898932695389,1763260400.325123,0.0,-0.0012817271053791046,-0.3772907257080078,0.5374083518981934,0.0010255285305902362,,0.003926686942577362,345.54075717926025,3656,347904,9.132104605669156e-05,1087.0
,9.18777659535408e-05,1763260401.4836094,0.0,0.0013176137581467628,0.0005349516868591309,0.5583398342132568,0.003894972149282694,,-0.0018329974263906479,346.6992435455322,3669,349184,9.055299597093835e-05,1087.0
,0.00028416141867637634,1763260402.4213994,0.0,0.0011006258428096771,-0.13468444347381592,0.5305516719818115,0.004146158695220947,,-0.00145639106631279,347.6370334625244,3679,350208,8.993855590233579e-05,1087.0
,0.00035593844950199127,1763260402.7592075,0.0,-0.00619763508439064,-7.009506225585938e-05,0.5455241203308105,1062.7393798828125,,0.0012564323842525482,347.97484159469604,3683,350592,8.970814087660983e-05,1087.0
,8.128397166728973e-05,1763260402.8713088,0.0,-0.0030609089881181717,-0.008323073387145996,0.5622166991233826,0.00330560514703393,,-0.0018802881240844727,348.08694291114807,3684,350720,8.963133586803451e-05,1087.0
500.0,,1763260405.3966093,,,,,,500.0,,350.61224341392517,3711,353529,,
