charts/episodic_return,losses/approx_kl,_timestamp,losses/clipfrac,losses/old_approx_kl,losses/explained_variance,losses/entropy,losses/value_loss,charts/episodic_length,losses/policy_loss,_runtime,_step,global_step,charts/learning_rate,charts/SPS
,0.0003292616456747055,1763260192.7174253,0.0,-0.004710288718342781,-0.06095921993255615,0.5438199043273926,0.005030415486544371,,-0.0028255917131900787,137.93305945396423,1405,120448,0.0002278033789480105,1073.0
,0.004826155491173267,1763260195.259584,0.009765625,0.023193256929516792,0.21576738357543945,0.5427428483963013,0.0001870181004051119,,-0.046072281897068024,140.47521805763245,1432,123264,0.00022611366875935346,1073.0
500.0,,1763260195.267073,,,,,,500.0,,140.4827070236206,1433,123280,,
,0.001002483069896698,1763260197.3505244,0.0,0.0068126339465379715,0.020355582237243652,0.5285072326660156,0.000771416409406811,,0.012679025530815125,142.5661585330963,1455,125568,0.0002247311786049977,1074.0
,0.0004486674442887306,1763260197.4979286,0.0,-1.6248784959316254e-05,0.198988676071167,0.5736910700798035,0.00035619683330878615,,-0.003902450203895569,142.7135627269745,1456,125696,0.00022465437359642237,1074.0
500.0,,1763260197.529633,,,,,,500.0,,142.74526715278625,1457,125780,,
,0.001944495365023613,1763260202.971179,0.0,-0.02038402482867241,-0.6182961463928223,0.608310341835022,0.0001987303839996457,,0.008125849068164825,148.1868131160736,1514,131712,0.00022104455274529755,1075.0
,0.00021371617913246155,1763260203.53468,0.0,0.0004488173872232437,1.1920928955078125e-06,0.5473505854606628,1052.9881591796875,,-0.001406591385602951,148.75031399726868,1521,132352,0.00022066052770242095,1075.0
500.0,,1763260203.9203136,,,,,,500.0,,149.13594770431519,1525,132780,,
,0.000909656286239624,1763260204.1293397,0.0,0.011469699442386627,-0.6760846376419067,0.5833505988121033,0.004247145727276802,,0.0011021271347999573,149.34497380256653,1527,132992,0.00022027650265954435,1075.0
400.0,,1763260204.2626202,,,,,,400.0,,149.4782543182373,1529,133180,,
,0.002442212775349617,1763260204.8457828,0.005859375,-0.000270843505859375,-0.17697882652282715,0.5959794521331787,0.0015052438247948885,,-0.0093880295753479,150.06141686439514,1534,133760,0.00021981567260809243,1075.0
,0.0005389563739299774,1763260204.9595206,0.0,0.011575181037187576,0.00022852420806884766,0.6296653151512146,882.5901489257812,,0.003288552165031433,150.17515468597412,1536,133888,0.0002197388675995171,1075.0
,0.00046529248356819153,1763260205.6315296,0.0,-0.006023457273840904,0.05061572790145874,0.5522921681404114,0.0007947011617943645,,-0.0063505619764328,150.84716367721558,1543,134656,0.00021927803754806519,1075.0
500.0,,1763260205.8082447,,,,,,500.0,,151.02387881278992,1545,134876,,
,6.015133112668991e-05,1763260205.8899932,0.0,-0.0003893217071890831,0.00027865171432495117,0.577802836894989,1094.4373779296875,,-1.952052116394043e-05,151.1056272983551,1546,134912,0.00021912442753091455,1075.0
,7.439777255058289e-05,1763260207.0477757,0.0,-0.0007287990301847458,0.10466194152832031,0.5120511651039124,0.0008354823803529143,,0.0003750734031200409,152.26340985298157,1558,136192,0.00021835637744516134,1076.0
,0.0030211741104722023,1763260207.1617355,0.009765625,0.011942410841584206,-0.3302682638168335,0.5757445096969604,0.00023491970205213875,,0.010721351951360703,152.3773696422577,1559,136320,0.00021827957243658602,1076.0
,0.00023011863231658936,1763260207.497423,0.0,-0.0020786207169294357,-0.080269455909729,0.5661024451255798,0.001524467603303492,,0.005043163895606995,152.7130570411682,1563,136704,0.00021804915741086006,1076.0
,0.0002908734604716301,1763260207.7263098,0.0,0.005896621383726597,0.00011998414993286133,0.5085616111755371,802.919921875,,-0.0018653348088264465,152.94194388389587,1566,136960,0.00021789554739370942,1076.0
,3.4349970519542694e-05,1763260209.7060432,0.0,-0.0006412537768483162,-2.658367156982422e-05,0.5689122676849365,1428.2713623046875,,-0.0016671866178512573,154.92167735099792,1588,139136,0.00021658986224792898,1076.0
,0.00026307348161935806,1763260209.8168285,0.0,0.0020597586408257484,0.06589400768280029,0.5702686905860901,0.004712739028036594,,-0.008807051926851273,155.0324625968933,1589,139264,0.00021651305723935366,1076.0
,0.00023238454014062881,1763260210.5336022,0.0,-0.000643962062895298,0.0002452731132507324,0.583930492401123,824.9234008789062,,0.0011944398283958435,155.74923634529114,1597,140032,0.00021605222718790174,1076.0
,0.003695158287882805,1763260211.4703453,0.0,-0.004957752302289009,-0.771979570388794,0.5557025074958801,0.0011929398169741035,,-0.007721655070781708,156.6859793663025,1607,141056,0.00021543778711929917,1076.0
,0.0016109813004732132,1763260211.5866082,0.0,0.020467163994908333,0.0006009936332702637,0.5116100907325745,1258.0792236328125,,-0.006196014583110809,156.80224227905273,1609,141184,0.00021536098211072385,1076.0
,0.00042813830077648163,1763260211.6972623,0.0,-0.0021997634321451187,0.29284149408340454,0.5922964811325073,0.005983706563711166,,-0.0007784813642501831,156.91289639472961,1610,141312,0.00021528417710214853,1076.0
,0.0014892108738422394,1763260211.9195776,0.0,0.018243923783302307,0.1728389859199524,0.5369993448257446,0.00045219113235361874,,-0.00539869861677289,157.1352117061615,1612,141568,0.0002151305670849979,1077.0
,0.0006115101277828217,1763260213.2319353,0.0,-9.703077375888824e-05,-0.3321484327316284,0.5691930055618286,0.0015591380652040243,,-0.004224443808197975,158.44756937026978,1626,142976,0.00021428571199066937,1077.0
500.0,,1763260214.30125,,,,,,500.0,,159.51688408851624,1638,144178,,
500.0,,1763260218.8342888,,,,,,500.0,,164.04992294311523,1687,149178,,
,0.00017471611499786377,1763260223.0141885,0.0,0.003048710525035858,-0.00014495849609375,0.528046727180481,1314.3104248046875,,-0.007049079984426498,168.22982263565063,1732,153728,0.0002078341058222577,1078.0
,0.0005382345989346504,1763260224.30674,0.0,0.003765600733458996,0.37211310863494873,0.4969373047351837,0.00013259664410725236,,-0.007322583347558975,169.5223741531372,1745,155136,0.00020698925072792917,1078.0
,0.00021221116185188293,1763260225.0107937,0.0,0.0013139937072992325,-0.12194287776947021,0.4971974194049835,0.004678024910390377,,0.001785673201084137,170.2264277935028,1753,155904,0.00020652842067647725,1078.0
,0.003372122533619404,1763260225.1219966,0.0,0.011870167218148708,-0.049720168113708496,0.5102542042732239,0.0009097018046304584,,-0.022053200751543045,170.33763074874878,1754,156032,0.00020645161566790193,1078.0
500.0,,1763260226.1059954,,,,,,500.0,,171.32162952423096,1765,157178,,
,0.0015204250812530518,1763260226.400013,0.0,-0.0032964125275611877,-0.03219723701477051,0.5405118465423584,0.001310539897531271,,0.0005915425717830658,171.61564707756042,1768,157440,0.0002056067605735734,1078.0
,0.0014732694253325462,1763260227.2268507,0.0,-0.004163962788879871,-0.005627989768981934,0.43665429949760437,0.008035012520849705,,0.0008262060582637787,172.44248485565186,1777,158336,0.00020506912551354617,1078.0
,0.0002991408109664917,1763260231.1384258,0.0,-0.00014580599963665009,-0.09943163394927979,0.5380526781082153,0.00015501398593187332,,-0.003038071095943451,176.3540599346161,1818,162560,0.0002025345602305606,1079.0
,0.00010473281145095825,1763260231.5875523,0.0,-0.0003077946603298187,-0.15583276748657227,0.5812304019927979,0.00019210773461963981,,-0.003968808799982071,176.80318641662598,1823,163072,0.00020222734019625932,1079.0
,5.406700074672699e-05,1763260234.164366,0.0,-0.002445533871650696,-0.24575412273406982,0.5928953289985657,0.0003297888033557683,,-0.00011445488780736923,179.38000011444092,1851,165888,0.00020053763000760227,1079.0
,0.0011566756293177605,1763260234.6099951,0.0078125,-0.003748997114598751,-0.029471278190612793,0.48151105642318726,0.00028817166457884014,,-0.005687452852725983,179.82562923431396,1856,166400,0.000200230409973301,1079.0
,0.0004931259900331497,1763260235.662332,0.0,-0.0018163863569498062,7.212162017822266e-06,0.5603522658348083,1223.7269287109375,,0.0024201087653636932,180.8779661655426,1868,167552,0.0001995391648961231,1079.0
,0.00033951736986637115,1763260236.1100526,0.0,-0.005226127803325653,7.158517837524414e-05,0.5657100677490234,970.5911865234375,,-0.003312528133392334,181.32568669319153,1873,168064,0.00019923194486182183,1079.0
500.0,,1763260236.5021155,,,,,,500.0,,181.7177495956421,1877,168502,,
,0.002672426402568817,1763260237.4115644,0.001953125,-0.010310167446732521,0.002103090286254883,0.5460206270217896,0.00018094746337737888,,-0.022362958639860153,182.6271984577179,1886,169472,0.0001983870897674933,1079.0
,0.005745308473706245,1763260238.2017698,0.0078125,-0.030673250555992126,-0.188218355178833,0.5562100410461426,0.0007912409491837025,,-0.01598115637898445,183.4174039363861,1895,170368,0.0001978494692593813,1080.0
,0.0006005614995956421,1763260238.909979,0.0,-0.0035403072834014893,-0.021352529525756836,0.544787585735321,0.006266997195780277,,-0.006876608356833458,184.12561321258545,1903,171136,0.00019738863920792937,1080.0
500.0,,1763260239.1733985,,,,,,500.0,,184.38903260231018,1906,171502,,
,0.00011673290282487869,1763260240.3021502,0.0,-0.0007926197722554207,-0.011039376258850098,0.6038480401039124,0.006624984554946423,,0.0013911053538322449,185.51778435707092,1918,172672,0.00019646697910502553,1080.0
,0.0006444109603762627,1763260240.5617073,0.0,0.0012043388560414314,-0.11911416053771973,0.6087863445281982,0.0003142195928376168,,0.0018642842769622803,185.7773413658142,1920,172928,0.0001963133690878749,1080.0
,0.0011256663128733635,1763260242.773397,0.0,0.00038610491901636124,0.0018715858459472656,0.5147079825401306,1135.3248291015625,,0.017285650596022606,187.98903107643127,1945,175360,0.0001948540739249438,1080.0
500.0,,1763260244.0822613,,,,,,500.0,,189.29789543151855,1959,176859,,
500.0,,1763260245.3287132,,,,,,500.0,,190.54434728622437,1973,178201,,
,0.0002331305295228958,1763260246.480711,0.0,-0.0051133353263139725,-0.30777764320373535,0.5765452980995178,0.0002080483827739954,,0.0024342238903045654,191.6963450908661,1985,179456,0.00019239631365053356,1081.0
,9.16188582777977e-05,1763260247.0759811,0.0,-0.0015636077150702477,-0.5564659833908081,0.6022676825523376,0.00018854884547181427,,-0.00012404285371303558,192.29161524772644,1991,180096,0.00019201228860765696,1081.0
500.0,,1763260248.039789,,,,,,500.0,,193.25542306900024,2002,181201,,
500.0,,1763260248.4831052,,,,,,500.0,,193.69873929023743,2007,181701,,
,7.717777043581009e-05,1763260249.384738,0.0,0.003726244904100895,-0.3471662998199463,0.4851337671279907,0.0002499621477909386,,-0.0020383838564157486,194.60037207603455,2016,182656,0.00019047618843615055,1081.0
,0.00048814807087183,1763260249.6123743,0.0,-0.0015802206471562386,-0.15018212795257568,0.4474099576473236,0.006037311628460884,,0.009244360029697418,194.82800841331482,2019,182912,0.0001903225784189999,1081.0
,0.0015702852979302406,1763260250.0958068,0.0,-0.011939075775444508,-0.16204369068145752,0.5482298731803894,0.0052411919459700584,,-0.014454208314418793,195.31144094467163,2024,183424,0.00019001535838469863,1081.0
500.0,,1763260250.3278923,,,,,,500.0,,195.54352641105652,2027,183701,,
,0.00034135114401578903,1763260250.545225,0.0,-0.0003104871138930321,-0.07991886138916016,0.5491419434547424,0.006112199276685715,,-0.0048279426991939545,195.76085901260376,2029,183936,0.00018970813835039735,1081.0
,0.0002362830564379692,1763260251.0248423,0.0,0.0004455363377928734,0.061793625354766846,0.5854383707046509,0.0056379735469818115,,0.00033199694007635117,196.2404763698578,2034,184448,0.00018940091831609607,1081.0
,0.0006016334518790245,1763260252.072404,0.001953125,-0.0016127796843647957,-0.31695473194122314,0.578217089176178,0.00022780733706895262,,-0.0028777215629816055,197.2880380153656,2045,185600,0.00018870967323891819,1081.0
500.0,,1763260252.5514967,,,,,,500.0,,197.7671308517456,2051,186201,,
,0.0005311574786901474,1763260252.6330557,0.0,0.006712455302476883,0.0010426640510559082,0.4910578429698944,935.4955444335938,,-0.0032528024166822433,197.8486897945404,2052,186240,0.00018832564819604158,1081.0
,0.0013091927394270897,1763260254.3914928,0.0,-0.007541033439338207,-0.5292052030563354,0.5242813229560852,0.00035408433177508414,,-0.006501723080873489,199.60712695121765,2070,188160,0.00018717357306741178,1081.0
500.0,,1763260254.8526173,,,,,,500.0,,200.06825137138367,2076,188701,,
,0.002967657521367073,1763260256.4932072,0.001953125,-0.0013759545981884003,-0.35352838039398193,0.5946956872940063,0.0006549667450599372,,-0.014302849769592285,201.70884132385254,2093,190464,0.00018579109746497124,1082.0
,0.0019104275852441788,1763260256.6046982,0.0,-0.013819851912558079,-0.05323314666748047,0.5623127222061157,0.0003620702482294291,,-0.006731733679771423,201.82033228874207,2094,190592,0.00018571429245639592,1082.0
,0.00032875966280698776,1763260258.6985102,0.0,-0.004455243237316608,-0.4103301763534546,0.561949610710144,0.0056224120780825615,,-0.0021836385130882263,203.91414427757263,2117,192896,0.00018433180230204016,1082.0
,0.00020154472440481186,1763260260.901803,0.0,0.0034160809591412544,-3.230571746826172e-05,0.5351391434669495,152.847412109375,,-0.00028164684772491455,206.11743712425232,2141,195328,0.00018287250713910908,1082.0
,0.00010593235492706299,1763260261.385993,0.0,-0.002289358526468277,0.2894608974456787,0.5473531484603882,0.005705240182578564,,-0.0009261760860681534,206.60162711143494,2146,195840,0.0001825652871048078,1082.0
,0.0030620964244008064,1763260261.4980102,0.0078125,-0.016133606433868408,-0.8159700632095337,0.5091696977615356,0.0010061794891953468,,-0.019015036523342133,206.71364426612854,2147,195968,0.00018248848209623247,1082.0
,0.0019394895061850548,1763260261.6120796,0.0,0.015126361511647701,0.345615029335022,0.5130054354667664,0.0002410367305856198,,-0.01397121325135231,206.82771372795105,2148,196096,0.00018241167708765715,1082.0
,0.000731615349650383,1763260262.2157753,0.0,-0.006531108170747757,0.00012260675430297852,0.5277953147888184,1009.958984375,,0.0034362152218818665,207.43140935897827,2155,196736,0.00018202765204478055,1082.0
,0.000595766119658947,1763260263.8189533,0.0,0.011987685225903988,-0.0813133716583252,0.5820618271827698,0.0005785339744761586,,0.005231581628322601,209.03458738327026,2172,198528,0.00018095238192472607,1082.0
,3.5502947866916656e-05,1763260264.9752636,0.0,0.0016049416735768318,-0.00021457672119140625,0.5194611549377441,920.4946899414062,,0.001048848032951355,210.19089770317078,2185,199808,0.00018018433183897287,1083.0
,0.0003040619194507599,1763260265.6846905,0.0,-0.0045978836715221405,0.09394770860671997,0.5013700723648071,0.0006370410555973649,,0.0056817978620529175,210.9003245830536,2192,200576,0.00017972350178752095,1083.0
500.0,,1763260266.170633,,,,,,500.0,,211.38626718521118,2198,201201,,
,0.00022047758102416992,1763260266.2441418,0.0,0.0021276138722896576,0.0001373887062072754,0.5415318012237549,1051.098876953125,,0.0023587550967931747,211.45977592468262,2199,201216,0.00017933947674464434,1083.0
,0.0006160270422697067,1763260267.4392292,0.0,-0.004180286079645157,0.047009408473968506,0.5121608376502991,0.0010862008202821016,,0.0022065527737140656,212.65486335754395,2211,202496,0.00017857142665889114,1083.0
,0.0006938092410564423,1763260267.6675012,0.0,0.013383595272898674,0.0002664327621459961,0.5337530970573425,1105.447021484375,,0.00601610541343689,212.8831353187561,2214,202752,0.0001784178166417405,1083.0
,3.538466989994049e-05,1763260268.2303696,0.0,-0.002699457108974457,-0.16588711738586426,0.5676431655883789,0.005965717602521181,,0.00022386014461517334,213.44600367546082,2220,203392,0.0001780337915988639,1083.0
500.0,,1763260268.5120344,,,,,,500.0,,213.72766852378845,2223,203701,,
,0.0001348135992884636,1763260268.7156768,0.0,2.848636358976364e-05,-0.6357009410858154,0.5262853503227234,0.005994635634124279,,-0.0055093914270401,213.9313108921051,2225,203904,0.00017772657156456262,1083.0
,0.0013674953952431679,1763260268.82767,0.0,-0.004306630231440067,-0.08015799522399902,0.5311381816864014,0.0008125575259327888,,-0.011866588145494461,214.0433042049408,2226,204032,0.0001776497665559873,1083.0
,8.433312177658081e-05,1763260268.9391918,0.0,0.00022500939667224884,-0.187048077583313,0.5142759680747986,0.0002599139988888055,,-0.0006914134137332439,214.15482592582703,2227,204160,0.00017757296154741198,1083.0
,0.0009374683722853661,1763260269.2749739,0.0,0.006855457089841366,0.1829146146774292,0.5347016453742981,0.0006277812644839287,,-0.005870737135410309,214.49060797691345,2231,204544,0.00017734254652168602,1083.0
,0.0007688291370868683,1763260269.65153,0.0,-0.011597001925110817,-0.01287221908569336,0.525658130645752,0.007162856869399548,,-0.005288399755954742,214.86716413497925,2235,204928,0.00017711213149596006,1083.0
,0.002081344835460186,1763260270.214444,0.001953125,-0.005479077808558941,-0.021198034286499023,0.5055127143859863,0.0007005385123193264,,-0.01132260262966156,215.43007802963257,2241,205568,0.00017672810645308346,1083.0
,0.000135679729282856,1763260270.8148904,0.0,0.002436910755932331,3.719329833984375e-05,0.6268880367279053,1338.563720703125,,1.944229006767273e-05,216.0305244922638,2248,206208,0.00017634408141020685,1083.0
,0.00043719634413719177,1763260271.0376756,0.0,0.0019269417971372604,0.022878408432006836,0.5651298761367798,0.00103354814928025,,0.0074317678809165955,216.2533097267151,2250,206464,0.00017619047139305621,1083.0
,9.928550571203232e-05,1763260271.2646823,0.0,0.003848194144666195,-0.0003142356872558594,0.5587252974510193,811.2958374023438,,-0.002532385289669037,216.48031640052795,2253,206720,0.00017603686137590557,1083.0
500.0,,1763260273.046758,,,,,,500.0,,218.26239204406738,2272,208701,,
,0.000988684594631195,1763260273.8525355,0.0,-0.004504892975091934,0.038592517375946045,0.5306379199028015,0.0009781840490177274,,-0.0032331980764865875,219.06816959381104,2280,209536,0.00017434715118724853,1083.0
,0.0012401426210999489,1763260275.23632,0.0,0.0020101210102438927,-0.0129011869430542,0.5325800776481628,0.0006110540707595646,,-0.00041075795888900757,220.45195412635803,2295,211072,0.0001734255056362599,1083.0
,0.0007525179535150528,1763260275.4589856,0.0,0.003864150494337082,-3.695487976074219e-05,0.5589419603347778,152.87063598632812,,0.007958514615893364,220.67461967468262,2298,211328,0.00017327189561910927,1083.0
,6.836280226707458e-05,1763260276.6167054,0.0,-0.005035925656557083,-0.04168260097503662,0.45382171869277954,0.0003346640442032367,,-0.001775914803147316,221.83233952522278,2310,212608,0.00017250384553335607,1083.0
,4.119705408811569e-05,1763260276.7629306,0.0,0.0002722861245274544,1.0609626770019531e-05,0.47206366062164307,1164.4097900390625,,0.0010724961757659912,221.9785647392273,2312,212736,0.00017242704052478075,1083.0
,0.0003278059884905815,1763260277.327872,0.0,0.00020602997392416,0.03524065017700195,0.4989902973175049,0.005029998254030943,,-0.0029205437749624252,222.5435061454773,2318,213376,0.00017204301548190415,1083.0
,0.0002528456971049309,1763260277.666938,0.0,0.004358639009296894,-9.059906005859375e-06,0.5005325078964233,1238.70947265625,,0.0031551546417176723,222.88257217407227,2322,213760,0.0001718126004561782,1084.0
,0.00044926349073648453,1763260277.9217224,0.0,0.0011139558628201485,0.003433048725128174,0.4380503296852112,0.0005981283611617982,,-0.001642957329750061,223.1373565196991,2324,214016,0.00017165899043902755,1083.0
,0.0012668836861848831,1763260278.3713021,0.0,0.0018765181303024292,-0.11798214912414551,0.41037505865097046,0.0010142400860786438,,-0.009637630544602871,223.58693623542786,2329,214528,0.00017135177040472627,1084.0
,0.0006026560440659523,1763260279.303096,0.0,-0.004067513160407543,0.16955870389938354,0.46965548396110535,0.0007165798451751471,,0.000295005738735199,224.51873016357422,2339,215552,0.0001707373303361237,1084.0
,2.967286854982376e-05,1763260279.6426075,0.0,-5.5956654250621796e-05,0.03177022933959961,0.42080020904541016,0.005907456856220961,,0.00014253519475460052,224.85824155807495,2343,215936,0.00017050691531039774,1084.0
,0.0035974690690636635,1763260280.127005,0.0,0.010047516785562038,0.005295813083648682,0.4959597587585449,0.007039716001600027,,-0.015836507081985474,225.34263920783997,2348,216448,0.00017019969527609646,1084.0
,0.0002874135971069336,1763260280.6898255,0.0,-0.0023721903562545776,-0.003721475601196289,0.4791748821735382,0.0002563396410550922,,-0.0005813166499137878,225.90545964241028,2354,217088,0.00016981567023321986,1084.0
,0.00020364392548799515,1763260281.5180354,0.0,-0.0009544258937239647,-0.09059250354766846,0.5558270812034607,0.0008323777583427727,,-0.005529463291168213,226.73366951942444,2363,217984,0.00016927803517319262,1084.0
,0.00047502201050519943,1763260284.0358706,0.0,-0.0015232106670737267,0.00022149085998535156,0.5316748023033142,0.00022782941232435405,,-0.003318866714835167,229.2515046596527,2389,220672,0.0001676651299931109,1084.0
,0.007897318340837955,1763260284.5455604,0.015625,-0.007098033092916012,-0.10513627529144287,0.5009667277336121,0.00049519760068506,,-0.012488394975662231,229.76119446754456,2394,221184,0.00016735790995880961,1083.0
500.0,,1763260285.8952572,,,,,,500.0,,231.1108913421631,2409,222701,,
,6.107334047555923e-05,1763260287.5059562,0.0,0.0013371733948588371,-0.05368983745574951,0.572023332118988,0.005644484423100948,,0.0025838222354650497,232.72159028053284,2426,224384,0.0001654377847444266,1083.0
,0.0008035851642489433,1763260287.8448465,0.0,-0.0018314933404326439,-0.0001957416534423828,0.5464250445365906,1020.3035278320312,,-0.013057492673397064,233.060480594635,2430,224768,0.00016520736971870065,1083.0
500.0,,1763260289.6115682,,,,,,500.0,,234.82720232009888,2449,226701,,
500.0,,1763260291.0096364,,,,,,500.0,,236.22527050971985,2465,228245,,
,0.0004463726654648781,1763260293.4348254,0.0,-0.006761333905160427,-0.11820971965789795,0.4823214113712311,0.006701080594211817,,-0.0058053359389305115,238.65045952796936,2491,230912,0.0001615207438590005,1084.0
,0.0006833905354142189,1763260293.6966429,0.0,-0.00132745411247015,-0.10028600692749023,0.5688530206680298,0.0003299809177406132,,-0.004558458924293518,238.9122769832611,2493,231168,0.00016136713384184986,1084.0
,0.00041244644671678543,1763260294.860031,0.0,-0.005911891348659992,0.03080117702484131,0.5483525991439819,0.0054905712604522705,,-0.004497694782912731,240.07566499710083,2506,232448,0.00016059908375609666,1084.0
500.0,,1763260295.5471783,,,,,,500.0,,240.76281237602234,2514,233245,,
,0.0004254179075360298,1763260295.6914625,0.0,-0.004703993909060955,-1.4543533325195312e-05,0.5067417621612549,528.5335693359375,,0.009049974381923676,240.9070966243744,2515,233344,0.00016006144869606942,1084.0
,0.000383070670068264,1763260296.1399186,0.0,-0.00012932438403367996,-3.981590270996094e-05,0.4523460268974304,436.4747314453125,,0.005584798753261566,241.35555267333984,2520,233856,0.00015975422866176814,1084.0
500.0,,1763260297.3384812,,,,,,500.0,,242.55411529541016,2533,235245,,
,0.00018654018640518188,1763260298.01345,0.0,0.0005850493907928467,-0.15866410732269287,0.5190700888633728,0.004936360754072666,,0.001097099855542183,243.22908401489258,2540,235904,0.00015852534852456301,1084.0
,5.548819899559021e-06,1763260298.6867976,0.0,-0.0007091034203767776,-0.22876834869384766,0.5487289428710938,0.0003707614087034017,,-0.0003465116024017334,243.9024317264557,2547,236672,0.0001580645184731111,1084.0
,0.0005085989832878113,1763260300.814313,0.0,0.010122163221240044,0.005064785480499268,0.5252529382705688,0.0052569275721907616,,-0.0066007524728775024,246.0299470424652,2570,238976,0.00015668202831875533,1084.0
,0.0032880874350667,1763260300.9352453,0.0,0.010092278011143208,-0.17551326751708984,0.5103985667228699,0.0010589387966319919,,-0.007607761770486832,246.15087938308716,2571,239104,0.00015660522331018,1084.0
,0.0025864029303193092,1763260301.386217,0.005859375,-0.00834194477647543,-0.24868464469909668,0.5635021328926086,0.0012633666628971696,,0.006489831954240799,246.6018512248993,2576,239616,0.00015629800327587873,1084.0
,0.0011284193024039268,1763260301.4968486,0.0,0.004711034707725048,-0.2965432405471802,0.5629035830497742,0.0004612576449289918,,-0.005047809332609177,246.71248269081116,2577,239744,0.0001562211982673034,1084.0
,0.0004387563094496727,1763260304.3119874,0.0,-0.005331144668161869,3.0875205993652344e-05,0.49474403262138367,1132.2972412109375,,0.0018376559019088745,249.52762150764465,2608,242816,0.00015437787806149572,1084.0
,0.0009869486093521118,1763260304.5355601,0.0,-0.003602266311645508,0.1426457166671753,0.5213993787765503,0.0006718666409142315,,-0.018735744059085846,249.75119423866272,2610,243072,0.00015422426804434508,1084.0
,0.0003837672993540764,1763260306.4253106,0.0,-0.005026686005294323,-0.03774082660675049,0.5816116333007812,0.0009111355757340789,,0.0026131216436624527,251.64094471931458,2630,245120,0.00015299538790713996,1084.0
500.0,,1763260306.9140847,,,,,,500.0,,252.12971878051758,2636,245745,,
500.0,,1763260307.8551998,,,,,,500.0,,253.0708339214325,2646,246745,,
,4.5388005673885345e-05,1763260307.9401572,0.0,-0.002399659715592861,3.933906555175781e-06,0.5636403560638428,1538.12890625,,-0.0023729875683784485,253.1557912826538,2647,246784,0.0001519969227956608,1084.0
,0.00022626854479312897,1763260308.0588825,0.0,-0.004479868337512016,-0.1506866216659546,0.5197219252586365,0.005782809574157,,-0.0017283931374549866,253.274516582489,2648,246912,0.00015192011778708547,1084.0
,0.0001646457239985466,1763260309.947447,0.0,0.0004426417872309685,-0.03916573524475098,0.5554580688476562,0.005189047195017338,,0.0027462420985102654,255.16308116912842,2668,248960,0.00015069123764988035,1084.0
,0.0017090365290641785,1763260310.4354036,0.0,0.02150748483836651,-0.07595109939575195,0.5810950398445129,0.004296615719795227,,0.0028960704803466797,255.65103769302368,2673,249472,0.00015038401761557907,1084.0
,0.000461820513010025,1763260311.3774946,0.0,-0.011498380452394485,-0.15228426456451416,0.6183308362960815,0.002990802051499486,,-0.010385073721408844,256.59312868118286,2683,250496,0.00014976959209889174,1084.0
,0.00018102489411830902,1763260311.7178645,0.0,-0.006155632436275482,-0.0164794921875,0.5612069964408875,0.005288956221193075,,0.001160450279712677,256.93349862098694,2687,250880,0.00014953917707316577,1084.0
,0.0018604006618261337,1763260311.9417984,0.0,-0.007135594263672829,-0.0500493049621582,0.5746546983718872,0.0002525813179090619,,0.01648659072816372,257.15743255615234,2689,251136,0.00014938556705601513,1085.0
,0.00031799543648958206,1763260312.1670015,0.0,-0.0015360591933131218,-0.014322996139526367,0.5877465605735779,0.0045367819257080555,,-0.009120933711528778,257.3826355934143,2692,251392,0.0001492319570388645,1085.0
,0.0004930635914206505,1763260315.9051955,0.0,-0.004988725297152996,-0.002240777015686035,0.5666740536689758,0.003711150260642171,,-0.006466768682003021,261.12082958221436,2732,255488,0.00014677419676445425,1085.0
,0.0011618193238973618,1763260317.774264,0.0,-0.008084330707788467,0.013548195362091064,0.5945509672164917,0.0005824401159770787,,-0.008149370551109314,262.98989820480347,2752,257536,0.00014554531662724912,1085.0
,9.298231452703476e-05,1763260318.2250044,0.0,0.00010984856635332108,0.050221800804138184,0.5612783432006836,0.0005103293806314468,,-0.002495773136615753,263.4406385421753,2757,258048,0.00014523809659294784,1085.0
,0.00027534831315279007,1763260319.6526897,0.0,0.002195076085627079,-0.03437650203704834,0.5598997473716736,0.0005610253429040313,,-0.000569567084312439,264.868323802948,2772,259584,0.000144316436490044,1085.0
,0.0020609600469470024,1763260320.4419055,0.001953125,0.01038206648081541,-0.4754565954208374,0.45960891246795654,0.003011384978890419,,-0.032658252865076065,265.65753960609436,2782,260480,0.00014377880143001676,1085.0
286.0,,1763260320.4768937,,,,,,286.0,,265.6925277709961,2783,260576,,
500.0,,1763260321.4079096,,,,,,500.0,,266.62354373931885,2793,261576,,
500.0,,1763260324.2377443,,,,,,500.0,,269.4533784389496,2824,264690,,
500.0,,1763260325.9942496,,,,,,500.0,,271.20988368988037,2843,266586,,
,0.0009611546993255615,1763260327.2434971,0.0,-0.004514941945672035,0.2723442316055298,0.42792946100234985,0.005609477404505014,,-0.007562566548585892,272.4591312408447,2857,267904,0.00013932411093264818,1085.0
500.0,,1763260329.4817746,,,,,,500.0,,274.69740867614746,2882,270405,,
,0.000832720659673214,1763260330.2789125,0.0,0.011563264764845371,-0.3900707960128784,0.4915534555912018,0.0007806055946275592,,0.013118192553520203,275.4945466518402,2890,271232,0.00013732719526160508,1085.0
500.0,,1763260332.1855903,,,,,,500.0,,277.4012243747711,2911,273405,,
,0.00239625945687294,1763260334.4715917,0.005859375,-0.020220791921019554,-0.4136704206466675,0.5134804844856262,0.0005797399790026248,,-0.0007655862718820572,279.68722581863403,2935,275840,0.00013456221495289356,1086.0
