losses/old_approx_kl,charts/learning_rate,losses/approx_kl,losses/policy_loss,charts/episodic_return,_timestamp,losses/entropy,losses/clipfrac,charts/SPS,losses/value_loss,global_step,_runtime,losses/explained_variance,charts/episodic_length,_step
,,,,155.0,1763260109.6426578,,,,,29497,54.79207468032837,,155.0,539
,,,,187.0,1763260110.1943152,,,,,30098,55.34373211860657,,187.0,547
,,,,248.0,1763260110.8308654,,,,,30833,55.98028230667114,,248.0,555
,,,,96.0,1763260111.0476816,,,,,31051,56.19709849357605,,96.0,559
,,,,210.0,1763260111.6761901,,,,,31731,56.82560706138611,,210.0,568
0.004517506808042526,0.00027980029699392617,9.714066982269287e-05,0.0029721297323703766,,1763260113.6024725,0.6119397878646851,0.0,1020.0,20.518474578857422,33792,58.75188946723938,0.9488968253135681,,595
,,,,183.0,1763260114.7100081,,,,,34973,59.85942506790161,,183.0,612
-0.000263044610619545,0.00027903224690817297,3.295019268989563e-05,-0.004253938794136047,,1763260114.8307679,0.5830192565917969,0.0,1021.0,64.487548828125,35072,59.98018479347229,0.7779467105865479,,614
-0.005529703572392464,0.00027818739181384444,0.0010000243782997131,-0.00678783655166626,,1763260116.113664,0.5696941614151001,0.0,1023.0,46.28207015991211,36480,61.26308083534241,0.6780978441238403,,630
,,,,314.0,1763260116.4728599,,,,,36923,61.6222767829895,,314.0,636
,,,,90.0,1763260116.70407,,,,,37188,61.85348701477051,,90.0,640
,,,,318.0,1763260117.5672927,,,,,38088,62.71670961380005,,318.0,650
-0.002472575753927231,0.0002764976816251874,0.0018861331045627594,0.008372198790311813,,1763260118.7050612,0.5776404142379761,0.0,1028.0,91.14459228515625,39296,63.85447812080383,0.11274188756942749,,664
0.031043734401464462,0.000275576050626114,0.007830682210624218,0.0032661333680152893,,1763260120.1480165,0.6231176853179932,0.005859375,1029.0,63.19141387939453,40832,65.29743337631226,0.8946560621261597,,684
-0.014112146571278572,0.00027534563560038805,0.005619971081614494,0.04547664523124695,,1763260120.4898949,0.5048955082893372,0.029296875,1030.0,63.580955505371094,41216,65.63931179046631,0.26754552125930786,,689
-0.003087439574301243,0.0002748080005403608,7.763039320707321e-05,0.0015982091426849365,,1763260121.3041482,0.5628398060798645,0.0,1031.0,60.47339630126953,42112,66.45356512069702,0.26333099603652954,,698
-0.0017718253657221794,0.00027457758551463485,0.0006692549213767052,0.007142860442399979,,1763260121.641042,0.5340639352798462,0.0,1032.0,39.734771728515625,42496,66.7904589176178,0.8039426207542419,,702
0.00037839915603399277,0.0002743471704889089,5.311053246259689e-05,-0.004789136350154877,,1763260121.9780416,0.5259097814559937,0.0,1033.0,22.250457763671875,42880,67.1274585723877,0.9681538939476013,,707
,,,,196.0,1763260123.8446937,,,,,44934,68.99411058425903,,196.0,729
0.0011078231036663055,0.00027158219018019736,2.1113082766532898e-05,-0.0005888640880584717,,1763260126.1413114,0.5510913729667664,0.0,1040.0,543.8018188476562,47488,71.29072833061218,0.18844640254974365,,757
,,,,132.0,1763260126.475125,,,,,47800,71.62454199790955,,132.0,762
,,,,477.0,1763260126.9101906,,,,,48277,72.05960750579834,,477.0,767
-0.00013594236224889755,0.0002706605300772935,0.0011365218088030815,-0.006001785397529602,,1763260127.6104932,0.6235755681991577,0.0,1040.0,205.83761596679688,49024,72.75991010665894,0.8146166205406189,,775
,,,,500.0,1763260128.7612922,,,,,50314,73.91070914268494,,500.0,788
0.0005021430552005768,0.0002694316499400884,0.00013243965804576874,-0.006162039935588837,,1763260129.4289575,0.5208882689476013,0.0,1043.0,298.5901794433594,51072,74.57837438583374,0.021100223064422607,,797
-0.007603148929774761,0.00026889401488006115,0.0009847292676568031,0.003240719437599182,,1763260130.2470129,0.5736780166625977,0.0,1044.0,28.146533966064453,51968,75.39642977714539,-0.016585588455200195,,806
0.0022287890315055847,0.0002683563798200339,0.00024372711777687073,-0.005720045417547226,,1763260131.131259,0.5477510690689087,0.0,1043.0,26.139572143554688,52864,76.28067588806152,0.086215078830719,,815
-0.00017895735800266266,0.0002656682045198977,0.0006752088665962219,-0.001976657658815384,,1763260135.343338,0.5799366235733032,0.0,1045.0,10.707643508911133,57344,80.49275493621826,0.12803691625595093,,863
-0.009672025218605995,0.00026513056945987046,0.0004277527332305908,0.004108600318431854,,1763260136.188381,0.5923068523406982,0.0,1045.0,6.802072048187256,58240,81.33779788017273,0.0503658652305603,,872
0.0028498489409685135,0.0002649001544341445,0.000125126913189888,-0.00366915762424469,,1763260136.5254025,0.5861582159996033,0.0,1046.0,869.750732421875,58624,81.6748194694519,0.03361833095550537,,876
,,,,500.0,1763260140.6337345,,,,,63134,85.78315138816833,,500.0,922
-0.0020944932475686073,0.00026167434407398105,0.0021799756214022636,-0.02480321377515793,,1763260141.4409058,0.5495875477790833,0.001953125,1049.0,3.8613808155059814,64000,86.59032273292542,0.6774330139160156,,930
0.001200404018163681,0.0002612135140225291,6.229802966117859e-05,-0.0054514408111572266,,1763260142.1630435,0.5816755890846252,0.0,1050.0,2.4255123138427734,64768,87.31246042251587,0.053428471088409424,,938
,,,,500.0,1763260142.430535,,,,,65134,87.57995200157166,,500.0,941
-0.0009377775713801384,0.00026098309899680316,0.00037028733640909195,0.0009613381698727608,,1763260142.5072792,0.5380372405052185,0.0,1050.0,1192.5394287109375,65152,87.6566960811615,0.1410691738128662,,942
