losses/old_approx_kl,_timestamp,global_step,charts/learning_rate,_runtime,losses/clipfrac,losses/entropy,_step,losses/approx_kl,losses/value_loss,charts/SPS,charts/episodic_return,losses/policy_loss,losses/explained_variance,charts/episodic_length
,1763260260.4941003,194817,,205.27400922775269,,,2235,,,,500.0,,,500.0
0.004712829366326332,1763260261.0501223,195456,0.00018279570213053375,205.83003115653992,0.0,0.5205368995666504,2241,0.0007739849388599396,0.004901401232928038,1086.0,,-0.008035600185394287,0.21252262592315674,
-0.0006596259772777557,1763260261.750822,196224,0.00018233487207908183,206.5307309627533,0.0,0.4351375699043274,2248,0.0004628375172615051,0.00013700741692446172,1086.0,,-0.002959486097097397,-0.0056362152099609375,
-0.0007229708135128021,1763260261.8648262,196352,0.0001822580670705065,206.64473509788513,0.0,0.4466281831264496,2250,0.00036632828414440155,927.65673828125,1086.0,,-0.00860632210969925,0.00014293193817138672,
-0.0035259705036878586,1763260262.2289944,196736,0.00018202765204478055,207.0089032649994,0.001953125,0.35772383213043213,2253,0.0017613265663385391,0.00105862389318645,1086.0,,0.00714150071144104,-6.65474796295166,
-0.0003530867397785187,1763260263.9399612,198656,0.00018087557691615075,208.71987009048462,0.0,0.4525211453437805,2272,0.0007598046213388443,0.0006563420756720006,1087.0,,0.0013479292392730713,0.0461464524269104,
-0.010159107856452465,1763260264.64646,199424,0.00018041474686469883,209.42636895179749,0.0,0.5397389531135559,2280,0.0011172173544764519,152.54539489746094,1087.0,,-0.00577034056186676,-2.1576881408691406e-05,
0.0031731659546494484,1763260266.0170033,200960,0.00017949308676179498,210.79691219329834,0.0,0.5362749695777893,2295,0.0001933937892317772,0.005135087762027979,1087.0,,0.00418514758348465,0.041579484939575195,
,1763260266.273692,201317,,211.05360078811646,,,2298,,,,500.0,,,500.0
0.0011909883469343185,1763260267.4435277,202496,0.00017857142665889114,212.2234365940094,0.0,0.5154023170471191,2310,9.089522063732147e-05,0.0050339410081505775,1087.0,,0.0002985149621963501,0.08545440435409546,
-0.0022138655185699463,1763260267.6645312,202752,0.0001784178166417405,212.44444012641907,0.0,0.5073460936546326,2312,0.0002876371145248413,0.00024011080677155405,1087.0,,0.001933455467224121,-0.04989945888519287,
,1763260268.1331723,203317,,212.91308116912842,,,2318,,,,500.0,,,500.0
0.0010350877419114113,1763260268.5972009,203776,0.00017780337657313794,213.37710976600647,0.0,0.5243247151374817,2322,0.0009135091677308083,0.00022425777569878846,1087.0,,0.00024172663688659668,-0.016769766807556152,
0.011369860731065273,1763260268.7104502,203904,0.00017772657156456262,213.49035906791687,0.0,0.532758355140686,2324,0.0003639953210949898,1069.4708251953125,1087.0,,0.0015803799033164978,5.251169204711914e-05,
-0.007593659684062004,1763260269.1549494,204416,0.00017741935153026134,213.93485832214355,0.0,0.4958004355430603,2329,0.00027449987828731537,1004.969970703125,1087.0,,-0.004276582971215248,4.655122756958008e-05,
0.0008687358349561691,1763260270.0821185,205440,0.00017680491146165878,214.8620274066925,0.0,0.5835541486740112,2339,0.0002952422946691513,135.21401977539062,1087.0,,0.001781802624464035,-4.1365623474121094e-05,
-0.012392389588057995,1763260270.419391,205824,0.00017657449643593282,215.1992998123169,0.0,0.5108169317245483,2343,0.000601467676460743,1237.91455078125,1087.0,,-0.0018247812986373901,0.00016438961029052734,
-0.0018757274374365807,1763260270.9033613,206336,0.00017626727640163153,215.68327021598816,0.0,0.5333337187767029,2348,0.00027935486286878586,1075.68603515625,1087.0,,0.009511180222034454,-0.00013256072998046875,
0.0016693547368049622,1763260271.460937,206976,0.00017588325135875493,216.2408459186554,0.0,0.49838030338287354,2354,4.995986819267273e-05,0.0039426106959581375,1087.0,,-0.0006846413016319275,0.07742965221405029,
-0.004794436506927013,1763260272.2738402,207872,0.0001753456162987277,217.05374908447266,0.0,0.5235134959220886,2363,0.0010800594463944435,1134.236328125,1087.0,,-0.007080975919961929,-1.9669532775878906e-05,
-0.00046458933502435684,1763260274.7200437,210560,0.0001737327256705612,219.49995255470276,0.0,0.5247010588645935,2389,0.00012011546641588211,0.00294483988545835,1088.0,,-0.002081476151943207,0.2094140648841858,
-0.0001499280333518982,1763260275.168707,211072,0.0001734255056362599,219.94861578941345,0.0,0.48511749505996704,2394,3.449246287345886e-05,0.0002528673503547907,1088.0,,-0.0005927607417106628,-0.02776777744293213,
,1763260278.0837827,214317,,222.86369156837463,,,2426,,,,500.0,,,500.0
-0.003818436525762081,1763260278.5174766,214784,0.00017119816038757563,223.29738545417786,0.0,0.5172871351242065,2430,0.0008870093151926994,0.000273076759185642,1088.0,,-0.009112565778195858,-0.1369476318359375,
-0.0072278352454304695,1763260280.2647977,216704,0.00017004608525894582,225.04470658302307,0.001953125,0.43930503726005554,2449,0.0005379738286137581,0.00030574091942980886,1088.0,,-0.008288050070405006,0.09584057331085205,
,1763260281.6873848,218317,,226.46729373931885,,,2465,,,,500.0,,,500.0
0.0033859629184007645,1763260284.1308744,220928,0.00016751151997596025,228.91078329086304,0.0,0.5371543765068054,2491,0.0005459245294332504,643.1890258789062,1088.0,,-0.004672285169363022,-1.33514404296875e-05,
0.0021966388449072838,1763260284.3522053,221184,0.00016735790995880961,229.1321141719818,0.0,0.49912941455841064,2493,0.0002550603821873665,0.0004916847683489323,1088.0,,-0.0069398581981658936,0.059991300106048584,
-0.0006136642768979073,1763260285.50693,222464,0.0001665898598730564,230.2868390083313,0.0,0.5978066921234131,2506,0.0006193658336997032,0.0045760031789541245,1088.0,,-0.01206032931804657,-0.014219284057617188,
,1763260286.24349,223317,,231.02339887619019,,,2514,,,,500.0,,,500.0
0.009379991330206394,1763260286.3258724,223360,0.00016605222481302917,231.1057813167572,0.0,0.5907945036888123,2515,0.0004970701411366463,1421.543212890625,1088.0,,-0.0051183030009269714,-2.6106834411621094e-05,
0.0005033751949667931,1763260286.7743309,223872,0.0001657450047787279,231.55423974990845,0.0,0.5534150004386902,2520,0.0003460897132754326,1062.0352783203125,1088.0,,0.004189308732748032,-4.8995018005371094e-05,
,1763260287.855478,225145,,232.63538694381714,,,2533,,,,315.0,,,315.0
-0.007758411578834057,1763260288.520648,225792,0.00016459292965009809,233.30055689811707,0.0,0.5290291905403137,2540,0.0017743175849318504,0.008119460195302963,1089.0,,-0.015796396881341934,-0.47072863578796387,
0.0035686995834112167,1763260289.1891322,226560,0.00016413209959864616,233.96904110908508,0.0,0.6038516759872437,2547,0.000762568786740303,0.0002997152623720467,1089.0,,-0.0009557604789733887,-0.023667573928833008,
-0.0011179819703102112,1763260291.2738142,228864,0.0001627496094442904,236.05372309684753,0.0,0.5071932077407837,2570,0.00024466589093208313,0.003961754031479359,1089.0,,0.003005813807249069,0.0019639134407043457,
-0.0006491784006357193,1763260291.421236,228992,0.00016267280443571508,236.20114493370056,0.0,0.491849422454834,2571,0.00043980590999126434,0.0009181658970192075,1089.0,,0.010067243129014969,0.017172574996948242,
0.0032866299152374268,1763260291.8667977,229504,0.0001623655844014138,236.64670658111572,0.0,0.47389912605285645,2576,0.0004976373165845871,0.0003947114455513656,1089.0,,0.006430840119719505,0.20434337854385376,
0.010115762241184711,1763260291.979725,229632,0.00016228877939283848,236.75963377952576,0.0,0.5175169110298157,2577,0.0006160838529467583,0.000192661551409401,1089.0,,0.007998332381248474,0.01914125680923462,
-0.000948057509958744,1763260294.7624474,232704,0.00016044547373894602,239.5423562526703,0.0,0.5177490711212158,2608,0.00013898033648729324,1244.888671875,1089.0,,-0.003513544797897339,-3.6716461181640625e-05,
-0.005942264571785927,1763260294.9855137,232960,0.00016029186372179538,239.76542258262634,0.0,0.48278874158859253,2610,0.002505313605070114,0.0006474310648627579,1089.0,,-0.021739434450864792,-0.1695958375930786,
0.004940751940011978,1763260296.8974798,235008,0.00015906298358459026,241.6773886680603,0.0,0.5328472256660461,2630,0.00027215294539928436,0.0007301620207726955,1089.0,,-0.0029601827263832092,-0.1610790491104126,
,1763260297.388799,235645,,242.16870784759521,,,2636,,,,500.0,,,500.0
,1763260298.3081288,236645,,243.0880377292633,,,2646,,,,500.0,,,500.0
-0.002223484218120575,1763260298.3862598,236672,0.0001580645184731111,243.16616868972778,0.0,0.48358961939811707,2647,0.00021210499107837677,1064.298583984375,1089.0,,-0.001784730702638626,-5.7816505432128906e-05,
-0.0006780046969652176,1763260298.498859,236800,0.00015798771346453577,243.27876782417297,0.0,0.5203381180763245,2648,0.00014199316501617432,0.005111814942210913,1089.0,,-0.0016611665487289429,-0.04470241069793701,
0.010755190625786781,1763260300.3605232,238848,0.00015675883332733065,245.1404321193695,0.0,0.5186655521392822,2668,0.0011086910963058472,0.003928606864064932,1089.0,,-0.00021432340145111084,-0.07691061496734619,
-0.0007084282115101814,1763260300.8291159,239360,0.00015645161329302937,245.6090247631073,0.0,0.5206581950187683,2673,1.621898263692856e-05,0.004849693737924099,1089.0,,-0.0004960894584655762,-0.06425654888153076,
0.003281659446656704,1763260301.7339973,240384,0.0001558371732244268,246.51390624046326,0.0,0.5409727096557617,2683,0.0002983296290040016,0.003964572213590145,1089.0,,-0.003715168684720993,-0.03307998180389404,
-0.01020523440092802,1763260302.105165,240768,0.00015560675819870085,246.88507390022278,0.0,0.4529390335083008,2687,0.0013215159997344017,152.5631103515625,1089.0,,-0.0035331808030605316,0.0002601742744445801,
0.01169922761619091,1763260302.3263881,241024,0.0001554531481815502,247.1062970161438,0.0,0.528117835521698,2689,0.001780640333890915,0.00046883741742931306,1089.0,,0.0029191728681325912,-0.23591792583465576,
0.006906336173415184,1763260302.552039,241280,0.00015529953816439956,247.33194780349731,0.0,0.4862162172794342,2692,0.0008266307413578033,0.004726022947579622,1089.0,,-0.008540710434317589,-0.1889052391052246,
-0.0020696986466646194,1763260306.2586815,245376,0.00015284177788998932,251.03859043121338,0.0,0.4969727098941803,2732,0.0006519760936498642,0.004970550537109375,1090.0,,0.0003913789987564087,-0.08793914318084717,
-0.003399353474378586,1763260308.1152947,247424,0.0001516128977527842,252.89520359039307,0.0,0.5766041874885559,2752,0.00017729215323925018,0.0006650909199379385,1090.0,,-0.0038085877895355225,-0.07172048091888428,
-4.421547055244446e-05,1763260308.5626204,247936,0.0001513056777184829,253.342529296875,0.0,0.4892011880874634,2757,0.0002422090619802475,0.0004826609801966697,1090.0,,-0.00037544965744018555,-0.04046738147735596,
-0.007627413608133793,1763260309.9388728,249472,0.00015038401761557907,254.71878170967102,0.0,0.5284870862960815,2772,0.000125163234770298,0.0006790373590774834,1090.0,,-0.0031829774379730225,-0.10451030731201172,
0.000640183687210083,1763260310.879042,250496,0.00014976959209889174,255.65895080566406,0.0,0.5224334597587585,2782,0.00021254457533359528,0.0008820031653158367,1090.0,,-0.004079896956682205,-0.7216442823410034,
-0.003387696109712124,1763260310.9908774,250624,0.00014969278709031641,255.7707862854004,0.0,0.509414792060852,2783,0.00019543152302503586,0.0005628351354971528,1090.0,,-0.002571672201156616,-0.925341010093689,
,1763260311.849863,251645,,256.6297719478607,,,2793,,,,500.0,,,500.0
-0.0035910792648792267,1763260314.7082732,254720,0.00014723502681590617,259.4881820678711,0.0,0.46092280745506287,2824,0.00030410289764404297,833.7595825195312,1090.0,,-0.0013679750263690948,-3.4809112548828125e-05,
,1763260316.4513948,256645,,261.231303691864,,,2843,,,,500.0,,,500.0
,1763260317.7472098,258145,,262.5271186828613,,,2857,,,,500.0,,,500.0
,1763260320.0347297,260645,,264.81463861465454,,,2882,,,,500.0,,,500.0
-0.0023039383813738823,1763260320.8633828,261504,0.0001431643613614142,265.64329171180725,0.0,0.5049671530723572,2890,0.0008938843384385109,0.0006611553253605962,1091.0,,0.013045629486441612,-0.12640082836151123,
,1763260322.8065257,263645,,267.5864346027374,,,2911,,,,500.0,,,500.0
0.0061526549980044365,1763260325.081981,266112,0.00014039938105270267,269.86188983917236,0.0,0.5272617340087891,2935,0.0009108101949095726,0.00029010686557739973,1091.0,,-0.0034906864166259766,-0.17689275741577148,
