losses/clipfrac,_runtime,charts/learning_rate,_timestamp,losses/policy_loss,losses/approx_kl,global_step,charts/episodic_length,losses/value_loss,losses/explained_variance,charts/SPS,losses/entropy,losses/old_approx_kl,charts/episodic_return,_step
0.0,94.98271155357361,0.0002806451520882547,1763260153.3137996,0.0026073232293128967,5.6706368923187256e-05,32384,,48.797245025634766,0.59078449010849,472.0,0.5049505829811096,-0.0002985335886478424,,504
0.0,96.65412950515747,0.00028018432203680277,1763260154.9852176,0.017299335449934006,0.0010527651757001877,33152,,74.72684478759766,0.6244276762008667,472.0,0.5234414339065552,-0.007782964035868645,,515
0.0,99.2434310913086,0.00027941627195104957,1763260157.5745192,0.0002894718199968338,8.850358426570892e-06,34432,,33.7702751159668,-0.4048886299133301,473.0,0.43236544728279114,-0.0017033880576491356,,530
0.00390625,100.73863220214844,0.00027895544189959764,1763260159.0697203,0.0003492608666419983,0.0025026099756360054,35200,,34.658294677734375,0.32823824882507324,473.0,0.5070791840553284,0.013136866502463818,,539
0.0,102.04586744308472,0.00027857141685672104,1763260160.3769555,0.0031903833150863647,0.0004253210499882698,35840,,35.46095657348633,0.6906348466873169,474.0,0.468656986951828,-0.00020679179579019547,,547
,102.96919846534729,,1763260161.3002865,,,36339,131.0,,,,,,131.0,555
,103.72222542762756,,1763260162.0533135,,,36611,272.0,,,,,,272.0,559
0.0,105.28512263298035,0.0002776497567538172,1763260163.6162107,0.0005417019128799438,3.5618431866168976e-05,37376,,25.629981994628906,0.838130533695221,474.0,0.501421332359314,0.0020678481087088585,,568
0.0,109.91942811012268,0.00027634407160803676,1763260168.2505162,9.524449706077576e-05,4.936009645462036e-06,39552,,5.832448482513428,0.8559268712997437,473.0,0.5081164836883545,-0.0016236435621976852,,595
0.00390625,112.6826548576355,0.000275576050626114,1763260171.013743,-0.02598777785897255,0.002513800747692585,40832,,12.545276641845703,0.9244939684867859,473.0,0.49274778366088867,0.007920634932816029,,612
0.0,112.96596574783325,0.0002754992456175387,1763260171.2970538,-0.012957360595464706,0.0010534236207604408,40960,,63.25651931762695,-0.21430182456970215,473.0,0.4433516561985016,-0.0017314264550805092,,614
0.0,115.70771050453186,0.0002747311955317855,1763260174.0387986,0.0017706118524074554,0.0001707114279270172,42240,,20.79273223876953,0.9505268335342407,473.0,0.43380269408226013,-0.0061421506106853485,,630
0.005859375,116.7881555557251,0.0002744239754974842,1763260175.1192436,0.011519983410835266,0.0037902891635894775,42752,,44.87977600097656,0.7927548289299011,473.0,0.484783411026001,0.008986977860331535,,636
0.02734375,117.37197709083557,0.00027427036548033357,1763260175.7030652,-0.008099589496850967,0.006554003804922104,43008,,27.814464569091797,0.7764639854431152,473.0,0.5602214932441711,-0.018979009240865707,,640
,119.03454613685608,,1763260177.3656342,,,43898,272.0,,,,,,272.0,650
0.0,121.46531534194946,0.00027311829035170376,1763260179.7964034,-0.0015629976987838745,2.3271888494491577e-05,44928,,131.48304748535156,0.2701936960220337,472.0,0.3400816321372986,-0.0001875460147857666,,664
,124.58186650276184,,1763260182.9129546,,,46458,165.0,,,,,,165.0,684
,125.41120958328247,,1763260183.7422976,,,46728,148.0,,,,,,148.0,689
,126.81162905693054,,1763260185.1427171,,,47361,166.0,,,,,,166.0,698
0.01171875,127.37936592102051,0.00027150538517162204,1763260185.710454,-0.0011669844388961792,0.0007497100159525871,47616,,9.133855819702148,0.9749359488487244,471.0,0.5068804025650024,0.0030698003247380257,,702
0.0,128.24788188934326,0.0002712749701458961,1763260186.57897,-0.03166306018829346,0.0009541399776935577,48000,,12.634302139282227,0.9371775984764099,471.0,0.43166857957839966,0.01241990551352501,,707
0.0,132.04526591300964,0.0002701997000258416,1763260190.376354,-0.0032683536410331726,0.00025202706456184387,49792,,3.409623146057129,0.732331395149231,471.0,0.4388948380947113,-0.0009594317525625229,,729
0.0,137.44466972351074,0.0002686635998543352,1763260195.7757578,-0.0009846016764640808,0.0002425462007522583,52352,,5.136226177215576,0.8782753944396973,471.0,0.5115463137626648,-0.000895937904715538,,757
0.0,138.29766058921814,0.00026843318482860923,1763260196.6287487,-0.000803384929895401,8.530821651220322e-05,52736,,330.55804443359375,0.12743884325027466,471.0,0.5221872329711914,-0.0017686476930975914,,762
0.0,139.35985398292542,0.00026812596479430795,1763260197.690942,0.0031738560646772385,0.0002535218372941017,53248,,3.7899692058563232,0.8395490646362305,471.0,0.5594528317451477,0.009671756066381931,,767
0.0,140.79466342926025,0.00026774193975143135,1763260199.1257515,0.0042594969272613525,5.665142089128494e-05,53888,,64.8919906616211,0.7450493574142456,471.0,0.5175827145576477,-0.004100433550775051,,775
0.0,143.40832591056824,0.00026697388966567814,1763260201.739414,0.0052516162395477295,5.772151052951813e-05,55168,,11.056984901428223,-1.6786532402038574,471.0,0.49893391132354736,0.0023409072309732437,,788
0.0,144.98473119735718,0.0002665130596142262,1763260203.3158193,0.004132060334086418,0.00010435003787279129,55936,,14.516326904296875,-0.09463024139404297,471.0,0.5234048962593079,-0.00012062769383192062,,797
0.0,146.62393999099731,0.0002660522295627743,1763260204.955028,0.004508176818490028,0.0019993530586361885,56704,,3.0971970558166504,-0.5437381267547607,471.0,0.5201784372329712,0.01775040477514267,,806
0.0234375,148.41407990455627,0.00026551459450274706,1763260206.745168,-0.015426140278577805,0.00061775092035532,57600,,70.57669067382812,0.07589989900588989,472.0,0.5102381706237793,-0.0015970999374985695,,815
0.02734375,157.65917539596558,0.0002626728091854602,1763260215.9902635,-0.027351796627044678,0.003391222096979618,62336,,0.19594180583953857,-0.1555086374282837,475.0,0.586584746837616,-0.013635986484587193,,863
0.044921875,159.42695927619934,0.00026213517412543297,1763260217.7580473,0.0014674325939267874,0.008898424915969372,63232,,0.20437796413898468,-1.2650105953216553,475.0,0.5210366249084473,0.029936430975794792,,872
0.001953125,160.20605373382568,0.000261904759099707,1763260218.5371418,0.001201968640089035,0.002693324349820614,63616,,0.1495104283094406,0.4878079295158386,475.0,0.590135931968689,0.02271035872399807,,876
0.001953125,168.96162247657776,0.0002592933888081461,1763260227.2927105,-0.012134946882724762,0.0028208401054143906,67968,,0.003940065391361713,-0.1675114631652832,477.0,0.5808894038200378,0.0064054224640131,,922
0.0,170.48944878578186,0.0002588325587566942,1763260228.8205369,0.006954612210392952,0.00247977115213871,68736,,518.6636352539062,0.00519031286239624,477.0,0.5018001794815063,0.023371640592813492,,930
0.0,172.16868352890015,0.00025829492369666696,1763260230.4997716,-0.0028515271842479706,0.00016678962856531143,69632,,0.00042040986591018736,0.49250859022140503,477.0,0.5269761085510254,-0.00017784442752599716,,938
0.0,172.70169401168823,0.0002581413136795163,1763260231.032782,0.0072491783648729324,0.00266075786203146,69888,,0.004300346132367849,0.6854215860366821,477.0,0.5586450099945068,-0.007788860239088535,,941
0.015625,172.94073104858398,0.000258064508670941,1763260231.271819,0.013171285390853882,0.007815050892531872,70016,,0.0023866218980401754,0.5197124481201172,478.0,0.4809873104095459,-0.021014701575040817,,942
0.001953125,174.1780800819397,0.0002576804836280644,1763260232.5091681,-0.0034035593271255493,0.003959802910685539,70656,,0.0009018243290483952,0.34538978338241577,478.0,0.5713016986846924,0.023679519072175026,,948
,179.22182536125183,,1763260237.5529134,,,73218,500.0,,,,,,500.0,974
0.0,180.47291612625122,0.0002557603584136814,1763260238.8040042,0.008746679872274399,0.0010438468307256699,73856,,0.0024369019083678722,0.8827053904533386,479.0,0.49736928939819336,-0.005779771134257317,,980
0.013671875,181.43457508087158,0.0002554531383793801,1763260239.7656631,0.006445970386266708,0.00892514456063509,74368,,0.0015546916984021664,0.8241933584213257,479.0,0.5017642974853516,-0.027430912479758263,,985
0.0,183.4440519809723,0.00025483869831077754,1763260241.77514,0.00047709979116916656,8.568167686462402e-05,75392,,0.004035664722323418,0.8627489805221558,480.0,0.5451445579528809,-0.0005914680659770966,,995
0.005859375,183.93181800842285,0.0002546850882936269,1763260242.262906,-0.0159170962870121,0.0031584743410348892,75648,,0.0013096419861540198,-0.8211712837219238,480.0,0.4682028293609619,0.0018027815967798233,,997
0.005859375,187.46588015556335,0.0002536098181735724,1763260245.7969682,-0.012874413281679153,0.0035536009818315506,77440,,0.003351752646267414,-2.311819314956665,481.0,0.4146425724029541,0.02559274435043335,,1015
0.021484375,188.47709393501282,0.00025330259813927114,1763260246.808182,-0.014290634542703629,0.009603576734662056,77952,,0.003990062512457371,-0.5631927251815796,481.0,0.4180367588996887,-0.037618737667798996,,1020
0.0,190.76907086372375,0.00025261135306209326,1763260249.100159,-0.0026457980275154114,0.00017901789397001266,79104,,0.0006229251157492399,0.41007256507873535,481.0,0.4808584153652191,0.00010026898235082626,,1031
0.0,194.58336234092712,0.0002514593070372939,1763260252.9144504,-0.004427865147590637,0.0008728336542844772,81024,,0.002391730435192585,-0.24574100971221924,481.0,0.48651793599128723,-0.005099274218082428,,1050
