losses/clipfrac,global_step,losses/approx_kl,_step,charts/episodic_length,_runtime,losses/old_approx_kl,charts/SPS,losses/policy_loss,charts/episodic_return,_timestamp,losses/explained_variance,charts/learning_rate,losses/value_loss,losses/entropy
0.0,11648,0.0017699608579277992,228,,50.44557547569275,0.005492380820214748,483.0,-0.009468642994761467,,1763260108.8794096,0.43732136487960815,0.00029308756347745657,46.73845672607422,0.6164106726646423
,12053,,233,250.0,51.30376386642456,,,,250.0,1763260109.737598,,,,
,13567,,251,113.0,54.465933322906494,,,,113.0,1763260112.8997674,,,,
0.0,14208,2.277083694934845e-06,259,,56.07336449623108,-0.0006691040471196175,478.0,-0.0005526058375835419,,1763260114.5071986,0.009635210037231445,0.00029155146330595016,49.499263763427734,0.5862993001937866
0.0,14720,0.0008187834173440933,265,,57.13891649246216,-0.0035924743860960007,478.0,-0.007310248911380768,,1763260115.5727506,-0.2519012689590454,0.0002912442432716489,50.72394943237305,0.5965421199798584
0.0,15488,0.0004218798130750656,273,,58.7166862487793,0.0025476813316345215,478.0,-0.005192473530769348,,1763260117.1505203,0.09736871719360352,0.00029078341322019696,45.322265625,0.5583853721618652
0.0,15616,0.00018265843391418457,274,,58.938897132873535,0.003189375624060631,479.0,0.00027576833963394165,,1763260117.3727312,-0.07754993438720703,0.00029070660821162164,47.98023223876953,0.579485297203064
0.0,17024,0.0022513708099722862,292,,61.85916352272034,-0.017051301896572113,479.0,0.01333242654800415,,1763260120.2929976,0.11787176132202148,0.0002898617531172931,54.13108825683594,0.5825615525245667
0.0,19584,2.3866072297096252e-05,321,,66.69740629196167,-0.00028372742235660553,485.0,-0.0006078779697418213,,1763260125.1312404,0.04124027490615845,0.0002883256529457867,35.2101936340332,0.5331061482429504
0.0,20096,3.171619027853012e-05,327,,67.63378167152405,0.0031560445204377174,487.0,-0.0016075298190116882,,1763260126.0676157,-0.008336186408996582,0.00028801843291148543,33.1571159362793,0.5802005529403687
,20443,,330,500.0,68.08454370498657,,,,500.0,1763260126.5183778,,,,
0.0,20608,0.00034099817276000977,332,,68.50352215766907,-0.0010421425104141235,489.0,0.0004473850131034851,,1763260126.9373562,0.433327317237854,0.00028771121287718415,30.363710403442383,0.569301187992096
,21069,,337,303.0,69.26572489738464,,,,303.0,1763260127.699559,,,,
0.0,21376,0.00038539525121450424,340,,69.8840582370758,-0.00453901756554842,491.0,-0.009706608951091766,,1763260128.3178923,-0.026145339012145996,0.00028725038282573223,33.71831512451172,0.5878922343254089
0.0,23936,0.0018170792609453201,370,,74.98015451431274,-0.011864233762025833,492.0,-0.008340483531355858,,1763260133.4139886,-0.02242410182952881,0.0002857142826542258,25.684627532958984,0.5623037815093994
0.0,24448,0.0008110422641038895,375,,76.03304839134216,-0.0082497987896204,492.0,0.008220676332712173,,1763260134.4668825,-0.03158831596374512,0.00028540706261992455,25.691577911376953,0.5269224047660828
0.0,26496,0.0014258623123168945,396,,80.8646810054779,-0.0018876362591981888,486.0,-0.00019180215895175934,,1763260139.298515,0.704651415348053,0.0002841781824827194,17.787294387817383,0.5707880854606628
0.0,29184,0.0001585930585861206,425,,86.20520210266113,-0.0012876763939857483,487.0,0.005552373826503754,,1763260144.6390362,0.34084147214889526,0.0002825652773026377,109.81761169433594,0.5809861421585083
,30653,,441,384.0,89.01668810844421,,,,384.0,1763260147.4505222,,,,
