global_step,losses/old_approx_kl,losses/value_loss,_step,_runtime,losses/policy_loss,charts/episodic_length,losses/clipfrac,losses/entropy,losses/approx_kl,charts/episodic_return,charts/SPS,losses/explained_variance,charts/learning_rate,_timestamp
19072,0.0019913343712687492,32.048763275146484,327,67.06394505500793,-0.002265792340040207,,0.0,0.5960580706596375,1.2001954019069672e-05,,472.0,0.10319602489471436,0.000288632872980088,1763260125.536168
19328,0.0005033034831285477,31.270612716674805,330,67.52699995040894,-0.0013810619711875916,,0.0,0.555511474609375,7.159076631069183e-05,,473.0,0.3854643702507019,0.00028847926296293736,1763260125.999223
19456,-0.003250301815569401,18.053144454956055,332,67.78458571434021,0.00031124427914619446,,0.0,0.6143189668655396,0.00021129753440618515,,473.0,0.9301183223724365,0.00028840245795436203,1763260126.2568088
19840,-0.0053992196917533875,27.768640518188477,337,68.50522994995117,0.0006284392438828945,,0.0,0.5298854112625122,0.0014247745275497437,,474.0,0.5986900925636292,0.0002881720429286361,1763260126.977453
19995,,,340,68.82008242607117,,139.0,,,,139.0,,,,1763260127.2923055
22253,,,370,73.10203838348389,,147.0,,,,147.0,,,,1763260131.5742614
22528,0.0021804887801408768,73.4089584350586,375,73.89520597457886,-0.004963163286447525,,0.0,0.5626068711280823,0.00021038949489593506,,477.0,0.11391466856002808,0.00028655913774855435,1763260132.367429
23936,0.004811253398656845,50.400726318359375,396,77.30410599708557,-0.017250865697860718,,0.0,0.5432772636413574,0.00019622966647148132,,473.0,0.5172794461250305,0.0002857142826542258,1763260135.776329
26112,0.009155072271823883,21.55457305908203,425,82.72945070266724,-0.007383033633232117,,0.0,0.5505003333091736,0.0014967024326324463,,466.0,-0.01937735080718994,0.0002844085975084454,1763260141.2016737
27184,,,441,85.0348436832428,,121.0,,,,121.0,,,,1763260143.5070667
