losses/explained_variance,global_step,charts/episodic_return,charts/SPS,losses/entropy,charts/learning_rate,_step,_timestamp,losses/old_approx_kl,losses/approx_kl,losses/clipfrac,losses/value_loss,losses/policy_loss,charts/episodic_length,_runtime
0.07824856042861938,12160,,504.0,0.5956847667694092,0.0002927803434431553,213,1763260109.0201745,0.0010583307594060898,1.086108386516571e-05,0.0,48.50229263305664,-0.0011208988726139069,,50.550968408584595
0.00560528039932251,12416,,503.0,0.6030634641647339,0.00029262673342600465,217,1763260109.5819178,0.001178821548819542,5.5013224482536316e-05,0.0,42.73222351074219,0.003679625689983368,,51.112711668014526
0.05520188808441162,13184,,498.0,0.6201413869857788,0.0002921659033745527,228,1763260111.3595092,0.00014934036880731583,0.00010546762496232986,0.0,52.19007110595703,-0.003534376621246338,,52.89030313491821
0.13653546571731567,13568,,497.0,0.5999374389648438,0.00029193548834882677,233,1763260112.1899397,0.014000258408486843,0.0006477711722254753,0.0,51.92205810546875,-0.006913177669048309,,53.720733642578125
,14856,186.0,,,,251,1763260115.0414467,,,,,,186.0,56.572240591049194
0.003475785255432129,15488,,491.0,0.6031280755996704,0.00029078341322019696,259,1763260116.424625,0.002477239817380905,3.891997039318085e-05,0.0,69.79861450195312,-0.0009687840938568115,,57.955418825149536
0.4432351589202881,16000,,490.0,0.5958593487739563,0.0002904761931858957,265,1763260117.5114598,-0.015066908672451973,0.0014035720378160477,0.0,34.426658630371094,0.019462361931800842,,59.042253732681274
,16725,193.0,,,,273,1763260118.8872852,,,,,,193.0,60.418079137802124
0.03376084566116333,16768,,490.0,0.6097517013549805,0.00029001536313444376,274,1763260119.1075459,0.004740900360047817,0.00029225926846265793,0.0,39.58271026611328,-0.007637962698936462,,60.63833975791931
0.4286898374557495,18176,,491.0,0.5830321907997131,0.00028917050804011524,292,1763260121.9133153,-0.002976350486278534,0.00077790766954422,0.0,43.50063705444336,0.0034726932644844055,,63.444109201431274
,20380,129.0,,,,321,1763260126.182488,,,,,,129.0,67.7132818698883
,20843,140.0,,,,327,1763260126.9821088,,,,,,140.0,68.51290273666382
,21079,236.0,,,,330,1763260127.4605694,,,,,,236.0,68.99136328697205
0.32344335317611694,21248,,494.0,0.6188790798187256,0.00028732718783430755,332,1763260127.866817,-0.001072647050023079,0.00017460063099861145,0.0,33.115657806396484,-0.008658893406391144,,69.39761090278625
0.03723019361495972,21632,,495.0,0.603000819683075,0.0002870967728085816,337,1763260128.5940359,0.0003476794809103012,1.403316855430603e-05,0.0,32.22966003417969,-0.001321014016866684,,70.12482976913452
0.6953787207603455,21888,,495.0,0.5802924633026123,0.00028694316279143095,340,1763260129.0967593,0.002807650715112686,4.824995994567871e-05,0.0,34.08816909790039,0.0008317865431308746,,70.6275532245636
-3.8743019104003906e-05,24704,,498.0,0.5428690314292908,0.0002852534526027739,370,1763260134.446728,0.0018185386434197426,7.563922554254532e-05,0.0,24.80713653564453,-0.002489667385816574,,75.9775218963623
0.7180399298667908,25088,,497.0,0.487384557723999,0.00028502303757704794,375,1763260135.3548248,-0.001894211396574974,1.882016658782959e-05,0.0,36.6016845703125,0.0019927695393562317,,76.88561868667603
0.9341275691986084,26752,,490.0,0.5105571746826172,0.0002840245724655688,396,1763260139.4886894,0.000125187449157238,9.569991379976273e-05,0.0,15.775131225585938,-0.0024316683411598206,,81.0194833278656
,28934,174.0,,,,425,1763260144.165907,,,,,,174.0,85.69670081138611
0.9808015823364258,30336,,488.0,0.5929931402206421,0.0002818740322254598,441,1763260147.0034661,-0.0009832968935370445,5.1303766667842865e-05,0.0,3.1843271255493164,0.0010967198759317398,,88.53426003456116
