global_step,losses/explained_variance,charts/SPS,losses/clipfrac,losses/old_approx_kl,charts/episodic_length,charts/learning_rate,_timestamp,losses/policy_loss,losses/entropy,charts/episodic_return,_step,_runtime,losses/approx_kl,losses/value_loss
77056,-0.06949055194854736,460.0,0.00390625,-0.008142337203025818,,0.0002538402331992984,1763260252.524354,-0.0030570700764656067,0.5113028287887573,,980,194.0875120162964,0.0027831681072711945,0.0004781518073286861
77568,-0.10553348064422607,460.0,0.0234375,0.01774442568421364,,0.0002535330131649971,1763260253.663673,-0.004988141357898712,0.4753066301345825,,985,195.22683095932007,0.004070245660841465,0.0006343171116895974
78592,-1.410787582397461,460.0,0.00390625,-0.002898838371038437,,0.00025291857309639454,1763260255.8861384,0.007656559348106384,0.46139007806777954,,995,197.4492964744568,0.0026677362620830536,0.0007806096109561622
78737,,,,,500.0,,1763260256.2124457,,,500.0,997,197.77560377120972,,
80512,0.0021709799766540527,460.0,0.015625,0.010327327996492386,,0.0002517665270715952,1763260259.9135916,0.007571607828140259,0.4231356084346771,,1015,201.4767496585846,0.004240896552801132,343.2491149902344
81024,0.46585363149642944,462.0,0.0,-0.0020251739770174026,,0.0002514593070372939,1763260260.5764601,0.0028443261981010437,0.49769577383995056,,1020,202.13961815834045,0.001059727743268013,0.00595891522243619
82048,-0.00020432472229003906,464.0,0.0,0.007996805012226105,,0.00025084486696869135,1763260261.890849,0.0054794177412986755,0.4862464368343353,,1031,203.45400714874268,0.000649256631731987,324.2832946777344
83969,,,,,500.0,,1763260265.2735891,,,500.0,1050,206.83674716949463,,
84352,-6.166317939758301,466.0,0.0,0.009035700000822544,,0.0002494623768143356,1763260265.9982455,0.0022220872342586517,0.5070810317993164,,1053,207.5614035129547,0.0009630704298615456,0.000249102886300534
84864,-0.7759253978729248,466.0,0.02734375,0.014326578006148338,,0.0002491551567800343,1763260267.0356789,-0.00572657585144043,0.5201065540313721,,1058,208.5988368988037,0.009360617958009243,0.00011756267485907301
87424,-0.3113034963607788,469.0,0.0,-0.0034497734159231186,,0.0002476190566085279,1763260271.6389973,0.003593863919377327,0.4879569709300995,,1083,213.2021553516388,0.00029846280813217163,0.00017853835015557706
88192,-0.05030488967895508,470.0,0.0,-0.00260087288916111,,0.000247158226557076,1763260272.6057405,-0.004634372889995575,0.5202556252479553,,1091,214.1688985824585,0.000471554696559906,0.004397774115204811
89728,0.11928123235702515,473.0,0.0,0.0017265034839510918,,0.00024623656645417213,1763260274.554444,-0.007397536188364029,0.517933189868927,,1106,216.11760210990906,0.000540868379175663,0.0005452720797620714
90969,,,,,500.0,,1763260276.9406357,,,500.0,1118,218.50379371643066,,
91648,0.3689292073249817,474.0,0.005859375,0.01736992597579956,,0.00024508449132554233,1763260278.463733,-0.030895031988620758,0.4993421137332916,,1125,220.0268909931183,0.0035212086513638496,0.006542460527271032
92469,,,,,500.0,,1763260279.9433029,,,500.0,1133,221.50646090507507,,
93696,-0.45774805545806885,473.0,0.0,0.0006103292107582092,,0.0002438556111883372,1763260283.0670202,-0.0018161498010158539,0.45879778265953064,,1145,224.6301782131195,6.1005353927612305e-05,0.006814789492636919
95616,0.01941978931427002,477.0,0.0,-0.000376812182366848,,0.0002427035360597074,1763260285.5797913,-0.005550757050514221,0.49082592129707336,,1164,227.14294934272766,0.00010284874588251114,0.00725822476670146
95744,0.034188687801361084,477.0,0.0,0.0031453613191843033,,0.00024262673105113208,1763260285.7536945,-0.0012975037097930908,0.48161470890045166,,1165,227.31685256958008,5.581974983215332e-05,0.00035929123987443745
96469,,,,,500.0,,1763260286.568516,,,500.0,1172,228.1316740512848,,
97408,0.049602627754211426,480.0,0.0,0.004729636944830418,,0.00024162826593965292,1763260287.832839,-0.0019538812339305878,0.5267601609230042,,1181,229.39599704742432,0.0009896112605929375,0.00011943101708311588
97920,-0.3422802686691284,482.0,0.0,-0.007151113823056221,,0.00024132104590535164,1763260288.3953276,-0.004571694880723953,0.4787887930870056,,1186,229.95848560333252,0.00035957060754299164,0.00020441971719264984
98969,,,,,500.0,,1763260289.6431026,,,500.0,1197,231.20626068115234,,
100608,0.09260833263397217,485.0,0.0,0.006425177678465843,,0.00023970814072526991,1763260292.6537702,-0.0031960122287273407,0.4648890793323517,,1213,234.21692824363708,0.000171637162566185,0.006594616454094648
100864,-0.2719719409942627,485.0,0.001953125,-0.010852804407477379,,0.00023955453070811927,1763260293.1598332,-0.018867433071136475,0.4346697926521301,,1215,234.72299122810364,0.003599196672439575,0.00013121505617164075
101969,,,,,500.0,,1763260295.2184312,,,500.0,1226,236.78158926963806,,
102400,0.2797046899795532,485.0,0.0,0.007151939906179905,,0.00023863287060521543,1763260296.1816595,-0.02481357380747795,0.46102505922317505,,1230,237.74481749534607,0.0013622259721159935,0.0002188692888012156
102784,-0.16368317604064941,485.0,0.0,-0.0006740111857652664,,0.00023840245557948947,1763260296.9100041,-6.235390901565552e-05,0.4916965663433075,,1234,238.47316217422485,1.9563362002372742e-05,0.000790633144788444
103936,-0.07199859619140625,485.0,0.0,0.002539672888815403,,0.0002377112105023116,1763260299.1713164,-0.002195589244365692,0.4655765891075134,,1245,240.73447442054749,0.0002345563843846321,0.00012977817095816135
104832,0.11229276657104492,486.0,0.0,0.0037360629066824913,,0.00023717357544228435,1763260300.9219842,-0.012955432757735252,0.4874015152454376,,1254,242.48514223098755,0.0007420936599373817,0.0008579150890000165
106496,-5.507469177246094e-05,487.0,0.0,0.008092036470770836,,0.00023617511033080518,1763260303.549974,0.001215711236000061,0.47416654229164124,,1271,245.11313199996948,0.0005387887358665466,364.41314697265625
109312,0.0028895139694213867,492.0,0.0,-0.01780601032078266,,0.00023448540014214814,1763260307.2036433,0.004202833399176598,0.454468309879303,,1299,248.7668013572693,0.0011108741164207458,283.1733093261719
113408,0.40272414684295654,499.0,0.005859375,0.008626805618405342,,0.00023202765441965312,1763260312.4616597,-0.001091592013835907,0.5134903192520142,,1339,254.02481770515442,0.0029087532311677933,0.005109957419335842
113536,-0.7519772052764893,499.0,0.0,-0.00311098899692297,,0.0002319508494110778,1763260312.6038277,-0.0008881427347660065,0.5483319163322449,,1340,254.16698575019836,0.00012685079127550125,0.00033369185985065997
114432,0.27288973331451416,500.0,0.0,-0.007594358175992966,,0.00023141321435105056,1763260313.6934886,0.00022757798433303833,0.5584045052528381,,1349,255.2566466331482,0.00096886046230793,0.005320762749761343
115840,0.00041234493255615234,503.0,0.0,0.015202413313090801,,0.00023056835925672203,1763260315.3667428,0.0017964467406272888,0.4871061444282532,,1363,256.9299008846283,0.0020146118476986885,363.94061279296875
116096,0.05810612440109253,503.0,0.0,0.002819499932229519,,0.0002304147492395714,1763260315.6684418,-0.01712595671415329,0.43933820724487305,,1365,257.23159980773926,0.0013435063883662224,0.0006953867268748581
116608,0.04528975486755371,504.0,0.0,0.0018632076680660248,,0.0002301075292052701,1763260316.260533,-0.0026352405548095703,0.43710628151893616,,1370,257.82369112968445,0.0008574258536100388,0.0006003667949698865
117632,-0.1765272617340088,505.0,0.0,-0.0025722570717334747,,0.00022949308913666755,1763260317.9421823,-0.00704057514667511,0.49643251299858093,,1380,259.5053403377533,0.0034487228840589523,0.0005676478031091392
117760,-0.04904818534851074,505.0,0.0,0.0035546431317925453,,0.00022941628412809223,1763260318.1566646,-0.007125424221158028,0.5049949884414673,,1381,259.7198226451874,0.0004507424309849739,0.000168789250892587
118400,0.0001125335693359375,505.0,0.0,-0.015372725203633308,,0.00022903225908521563,1763260319.329931,0.009637756273150444,0.4651663303375244,,1388,260.893089056015,0.0008689891546964645,151.9598388671875
119168,-0.37666118144989014,506.0,0.0078125,0.02115948311984539,,0.0002285714290337637,1763260320.6206434,-0.010888185352087021,0.4612136781215668,,1395,262.1838014125824,0.004629070870578289,0.000183847761945799
119552,-0.26616036891937256,506.0,0.0,-0.001569097861647606,,0.00022834101400803775,1763260321.299863,-0.0011220723390579224,0.4222257733345032,,1399,262.8630211353302,4.573911428451538e-05,0.0005983586306683719
120192,0.019275963306427002,506.0,0.0,0.001154986210167408,,0.00022795698896516114,1763260322.4583187,-0.009665485471487045,0.47714704275131226,,1405,264.02147674560547,0.0010308576747775078,0.00017995195230469108
122880,0.0003846883773803711,508.0,0.0,0.002805887721478939,,0.00022634408378507942,1763260327.070637,0.0004804953932762146,0.5210742950439453,,1432,268.6337950229645,0.00040752533823251724,137.75843811035156
123008,-0.07070589065551758,508.0,0.001953125,0.016110120341181755,,0.0002262672787765041,1763260327.2261431,-0.022691532969474792,0.4728488326072693,,1433,268.7893011569977,0.003070928156375885,0.0062663983553647995
125273,,,,,500.0,,1763260330.6941767,,,500.0,1455,272.2573347091675,,
125312,-0.00027930736541748047,510.0,0.00390625,-0.03129826486110687,,0.00022488478862214833,1763260330.8950896,0.029471874237060547,0.47228869795799255,,1456,272.4582476615906,0.0029149791225790977,127.55873107910156
125440,0.09733867645263672,510.0,0.005859375,0.012999563477933407,,0.00022480798361357301,1763260331.0979319,-0.004374181851744652,0.3436286449432373,,1457,272.66108989715576,0.003942434675991535,0.005671567749232054
131273,,,,,500.0,,1763260338.337966,,,500.0,1514,279.9011240005493,,
131968,0.12030494213104248,519.0,0.0,0.0003343392163515091,,0.0002208909427281469,1763260339.2023594,-0.003824576735496521,0.48626455664634705,,1521,280.7655174732208,0.00018135271966457367,0.004531188867986202
132352,0.00010293722152709961,519.0,0.0,-8.839182555675507e-05,,0.00022066052770242095,1763260339.9539628,0.0013074800372123718,0.5013622045516968,,1525,281.5171208381653,0.0002187248319387436,350.0876770019531
132608,-0.08558404445648193,519.0,0.00390625,-0.012295194901525974,,0.0002205069176852703,1763260340.394933,-0.007794816046953201,0.4948492646217346,,1527,281.9580910205841,0.003683340735733509,0.0002456219808664173
132773,,,,,500.0,,1763260340.6512866,,,500.0,1529,282.2144446372986,,
133273,,,,,500.0,,1763260341.5424132,,,500.0,1534,283.105571269989,,
