_timestamp,_step,losses/value_loss,charts/episodic_return,losses/old_approx_kl,losses/entropy,charts/SPS,losses/approx_kl,losses/clipfrac,charts/learning_rate,charts/episodic_length,losses/explained_variance,_runtime,global_step,losses/policy_loss
1763260281.466809,1181,3.920130984624848e-05,,-0.0023353230208158493,0.597565233707428,510.0,0.0001383945345878601,0.0,0.00023978494573384523,,0.01483762264251709,223.0320119857788,100480,-0.002386905252933502
1763260282.5705771,1186,5.636606510961428e-05,,0.03487486392259598,0.5315759778022766,510.0,0.00604673009365797,0.01171875,0.00023947772569954395,,0.022816121578216553,224.13578009605408,100992,0.0031468160450458527
1763260284.0216,1197,,500.0,,,,,,,500.0,,225.58680295944214,102053,
1763260285.9352384,1213,0.0006464170874096453,,-0.010744540020823479,0.5038267374038696,515.0,0.0009613819420337677,0.0,0.00023786482051946223,,9.930133819580078e-05,227.50044131278992,103680,0.006306611001491547
1763260286.1954377,1215,0.000139834446599707,,0.002095138654112816,0.581889271736145,516.0,6.832927465438843e-05,0.0,0.0002377112105023116,,0.1074897050857544,227.7606406211853,103936,0.0013737492263317108
1763260287.4899802,1226,,500.0,,,,,,,500.0,,229.05518317222595,105053,
1763260288.0065181,1230,0.00011436203203629702,,-0.019841959699988365,0.5680944919586182,519.0,0.004045572131872177,0.009765625,0.00023678955039940774,,-0.0900043249130249,229.57172107696533,105472,-0.001082204282283783
1763260288.4395092,1234,0.0009498914005234838,,0.008086406625807285,0.5666711926460266,519.0,0.004034898243844509,0.0,0.00023655913537368178,,-0.02283775806427002,230.00471210479736,105856,-0.01633632741868496
1763260289.7509742,1245,0.0002956861280836165,,0.0015752064064145088,0.5295136570930481,522.0,0.00022648554295301437,0.0,0.0002358678902965039,,0.053624749183654785,231.31617712974548,107008,-0.003120794892311096
1763260291.2182336,1254,0.000905554392375052,,0.004296937026083469,0.5771387815475464,522.0,0.0017686979845166206,0.005859375,0.00023533025523647666,,-0.20908820629119873,232.78343653678894,107904,-0.010068211704492569
1763260294.258948,1271,205.6818389892578,,0.003793139010667801,0.5451408624649048,523.0,0.001021943986415863,0.0,0.0002343317901249975,,-0.0006108283996582031,235.82415103912354,109568,-0.0080384761095047
1763260299.4477367,1299,0.00026382182841189206,,0.009548942558467388,0.5924891829490662,524.0,0.0009632473811507225,0.0,0.00023256528947968036,,-0.924555778503418,241.01293969154358,112512,0.002510249614715576
1763260305.1280026,1339,,500.0,,,,,,,500.0,,246.69320559501648,116553,
1763260305.2766216,1340,214.7938995361328,,-0.006487008184194565,0.5352287292480469,528.0,0.00017995759844779968,0.0,0.0002301075292052701,,2.5391578674316406e-05,246.84182453155518,116608,0.0012923367321491241
1763260306.3896,1349,,500.0,,,,,,,500.0,,247.95480298995972,117553,
1763260307.8977807,1363,,163.0,,,,,,,163.0,,249.46298360824585,118840,
1763260308.181387,1365,0.012882505543529987,,0.0012688878923654556,0.5878720283508301,532.0,0.0006024986505508423,0.0,0.00022864823404233903,,-0.07425951957702637,249.7465898990631,119040,-0.0015467330813407898
1763260308.7656267,1370,0.006548876408487558,,-0.005520174279808998,0.5937886238098145,533.0,0.00018495693802833557,0.0,0.00022834101400803775,,-0.3127330541610718,250.33082962036133,119552,-0.00015925243496894836
1763260309.9261436,1380,0.006482766941189766,,-0.0051892902702093124,0.5497235059738159,535.0,0.0018223486840724945,0.001953125,0.00022772657393943518,,0.2565770149230957,251.4913465976715,120576,-0.01931031048297882
