charts/learning_rate,global_step,_timestamp,losses/clipfrac,_step,losses/explained_variance,charts/episodic_length,charts/SPS,losses/policy_loss,losses/approx_kl,losses/old_approx_kl,charts/episodic_return,losses/value_loss,_runtime,losses/entropy
0.0002558371634222567,73728,1763260243.6818035,0.001953125,995,0.024809420108795166,,464.0,0.00022146105766296387,0.0027654683217406273,-0.022417128086090088,,0.08804269134998322,185.2453625202179,0.5684646964073181
,73873,1763260243.9944153,,997,,500.0,,,,,500.0,,185.5579743385315,
0.0002546082832850516,75776,1763260247.7887037,0.005859375,1015,-0.013912677764892578,,464.0,-0.019995879381895065,0.0034421775490045547,-0.005795370787382126,,0.007613266818225384,189.35226273536682,0.4149768352508545
0.0002543010632507503,76288,1763260248.850865,0.0703125,1020,0.002854764461517334,,465.0,-0.011727146804332733,0.013605796732008457,0.031082740053534508,,0.0027294254396110773,190.41442394256592,0.4376484155654907
,77373,1763260250.9653375,,1031,,500.0,,,,,500.0,,192.5288965702057,
0.0002524577430449426,79360,1763260255.0063746,0.0,1050,0.5204196572303772,,466.0,0.006812557578086853,0.0015323236584663391,0.0010381173342466354,,0.0003935236018151045,196.5699336528778,0.4555451273918152
0.000252304133027792,79616,1763260255.5541813,0.01171875,1053,-0.08092236518859863,,466.0,0.025652840733528137,0.0064450642094016075,-0.017362840473651886,,0.006219292059540749,197.11774039268494,0.4367053508758545
0.00025199694209732115,80128,1763260256.61245,0.021484375,1058,0.12204408645629883,,466.0,-0.035702891647815704,0.010803121142089367,0.013379211537539959,,0.0001823290076572448,198.17600893974304,0.4236212968826294
0.00025046084192581475,82688,1763260260.8839822,0.0,1083,0.20381677150726318,,469.0,0.00018680095672607422,0.00036492571234703064,-0.000865347683429718,,0.00045476091327145696,202.44754123687744,0.5231761336326599
0.0002500000118743628,83456,1763260261.8546014,0.0,1091,0.0002548694610595703,,471.0,0.0009972676634788513,0.0002618720754981041,0.0015360424295067787,,346.58636474609375,203.4181604385376,0.5094587802886963
0.000249078351771459,84992,1763260264.306947,0.0,1106,0.00024944543838500977,,473.0,0.0009217150509357452,4.208553582429886e-05,0.00014887657016515732,,191.00001525878906,205.87050604820251,0.5730140805244446
0.0002483103016857058,86272,1763260266.5347886,0.0,1118,0.061382830142974854,,474.0,0.010060090571641922,0.0024198926985263824,0.016651272773742676,,0.00019287201575934887,208.0983476638794,0.5042629837989807
0.0002479262766428292,86912,1763260267.7361124,0.0,1125,-4.0531158447265625e-05,,475.0,0.0030716657638549805,0.00014021992683410645,0.003085300326347351,,345.88018798828125,209.29967141151428,0.4815393388271332
0.00024738864158280194,87808,1763260269.3280368,0.0,1133,-0.19331109523773193,,475.0,-0.008575104176998138,0.0002637617290019989,0.007309684529900551,,0.000103393780591432,210.8915958404541,0.49162447452545166
0.00024669739650562406,88960,1763260271.3094137,0.0,1145,-0.00010561943054199219,,476.0,-0.0003328882157802582,8.667819201946259e-06,0.0006248941645026207,,437.859375,212.8729727268219,0.4276180565357208
0.00024554532137699425,90880,1763260273.5669785,0.0,1164,-0.0001405477523803711,,481.0,-0.0008314624428749084,3.341399133205414e-05,-0.00020214542746543884,,465.4956359863281,215.1305375099182,0.5217803716659546
0.00024546851636841893,91008,1763260273.7195568,0.0,1165,0.3941170573234558,,481.0,-0.000971425324678421,0.00033473968505859375,0.0007206052541732788,,0.0036158175207674503,215.28311586380005,0.4848679304122925
0.000245007686316967,91776,1763260274.8843882,0.0,1172,-0.2912391424179077,,482.0,-0.004135582596063614,0.0012090904638171196,0.01411654707044363,,0.0002165268233511597,216.44794726371765,0.5015450716018677
0.00024447005125693977,92672,1763260276.5641031,0.0,1181,-0.06543397903442383,,483.0,-0.0001749955117702484,0.0006865020841360092,0.007742246612906456,,0.0006325151771306992,218.12766218185425,0.5413234829902649
0.0002441628312226385,93184,1763260277.542001,0.037109375,1186,0.3578464984893799,,483.0,-0.015099309384822845,0.00632367841899395,-0.003798391669988632,,0.00042306495015509427,219.1055600643158,0.4694097340106964
0.0002434715861454606,94336,1763260279.6366897,0.01171875,1197,-1.4793577194213867,,484.0,-0.024392999708652496,0.006882084533572197,-0.005659916438162327,,0.00011550700583029538,221.20024871826172,0.5416219234466553
,95873,1763260283.0391648,,1213,,500.0,,,,,500.0,,224.6027238368988,
0.00024239631602540612,96128,1763260283.465144,0.0,1215,0.40425509214401245,,483.0,0.0017797984182834625,0.0009895097464323044,0.006191890686750412,,0.00011634868860710412,225.02870297431946,0.5044408440589905
0.00024170507094822824,97280,1763260284.8124838,0.0,1226,-0.392331600189209,,486.0,0.002378743141889572,0.00017007626593112946,0.0018376559019088745,,9.826789755607024e-05,226.376042842865,0.5439643859863281
0.00024147465592250228,97664,1763260285.2673066,0.0,1230,0.2286340594291687,,487.0,-0.014808237552642822,0.003941822797060013,0.0020477715879678726,,0.000520538364071399,226.83086562156677,0.4783405661582947
