_runtime,losses/entropy,losses/clipfrac,losses/approx_kl,_timestamp,losses/policy_loss,charts/episodic_length,_step,losses/old_approx_kl,charts/learning_rate,charts/SPS,global_step,losses/value_loss,charts/episodic_return,losses/explained_variance
484.830668926239,,,,1763260543.2653399,,500.0,3083,,,,292679,,500.0,
486.461220741272,,,,1763260544.8958917,,500.0,3098,,,,294179,,500.0,
486.98776173591614,,,,1763260545.4224327,,500.0,3103,,,,294679,,500.0,
489.2643904685974,,,,1763260547.6990614,,500.0,3127,,,,297179,,500.0,
489.40257358551025,,,,1763260547.8372445,,83.0,3129,,,,297262,,83.0,
490.5757989883423,0.4674086272716522,0.0,0.0008978340774774551,1763260549.01047,-0.020671531558036804,,3141,0.006895590573549271,0.0001209677429869771,643.0,298496,0.004707310348749161,,0.3762931823730469
490.8033483028412,0.5083193778991699,0.0,0.00015638209879398346,1763260549.2380192,0.002536153420805931,,3143,-0.0023188069462776184,0.00012081413296982646,643.0,298752,0.00018584982899483293,,-0.0099639892578125
491.0318977832794,0.5235730409622192,0.0,5.5303797125816345e-05,1763260549.4665687,0.0006140843033790588,,3146,0.001175982877612114,0.00012066052295267582,643.0,299008,0.002658409997820854,,0.03042536973953247
492.44129252433777,0.5562196969985962,0.0,0.0007505957037210464,1763260550.8759634,0.004798002541065216,,3161,0.006999975070357323,0.00011973886284977198,645.0,300544,0.00024355106870643795,,0.06598854064941406
493.28097891807556,0.5460644364356995,0.0,0.0003407122567296028,1763260551.7156498,-0.0024743955582380295,,3170,0.0019743526354432106,0.00011920122778974473,645.0,301440,0.0034333530347794294,,0.27742916345596313
494.47676730155945,,,,1763260552.9114382,,500.0,3183,,,,302762,,500.0,
494.9709587097168,,,,1763260553.4056296,,500.0,3188,,,,303262,,500.0,
497.6945626735687,,,,1763260556.1292336,,500.0,3217,,,,306262,,500.0,
498.3924114704132,0.5372366905212402,0.0,3.937724977731705e-05,1763260556.8270824,-0.0016921944916248322,,3224,0.0005190437659621239,0.00011589861969696358,650.0,306944,0.003098880872130394,,0.567349910736084
500.53137707710266,,,,1763260558.966048,,500.0,3247,,,,309262,,500.0,
500.8955965042114,0.5903380513191223,0.0,0.00010490138083696365,1763260559.3302674,-0.0011996030807495117,,3250,0.0021127304062247276,0.00011428571451688185,652.0,309632,0.0004193326167296618,,-0.1131894588470459
501.0182707309723,,,,1763260559.4529417,,500.0,3252,,,,309762,,500.0,
501.3611114025116,0.6047224998474121,0.0,0.00025594141334295273,1763260559.7957823,0.00448983907699585,,3255,0.0017432523891329765,0.00011397849448258057,653.0,310144,0.0002765965764410794,,0.3505999445915222
501.7044343948364,0.5491963624954224,0.0,0.001143231987953186,1763260560.1391053,0.012640472501516342,,3259,-0.003854658454656601,0.00011374807945685461,653.0,310528,0.00359734776429832,,0.16130810976028442
502.88900804519653,0.5517556071281433,0.0,2.99699604511261e-06,1763260561.323679,0.00011891871690750122,,3272,-3.922171890735626e-05,0.00011298002937110141,654.0,311808,534.4113159179688,,0.003561556339263916
503.1592011451721,0.5757623314857483,0.0,0.00021951831877231598,1763260561.593872,-0.0006343717686831951,,3275,-0.002659562975168228,0.00011282641935395077,654.0,312064,0.005826827138662338,,0.8008911609649658
503.27235436439514,0.6165230870246887,0.0,3.002118319272995e-05,1763260561.7070253,-0.0019944310188293457,,3276,-0.0007324302569031715,0.00011274961434537545,654.0,312192,0.00026762354536913335,,0.45707088708877563
505.17338013648987,0.5882130861282349,0.0,5.2548013627529144e-05,1763260563.608051,-0.0004648640751838684,,3296,-0.0036600297316908836,0.00011152073420817032,656.0,314240,0.0001576422218931839,,0.5901414155960083
505.40256667137146,0.6110339164733887,0.0,2.4587847292423248e-05,1763260563.8372376,-0.0015896204859018326,,3299,-0.00017463881522417068,0.00011136712419101968,656.0,314496,408.1352233886719,,0.004542291164398193
509.3406071662903,0.569315493106842,0.0,2.007000148296356e-06,1763260567.775278,-0.000445779412984848,,3338,6.542261689901352e-05,0.00010898617620114237,659.0,318464,342.7740478515625,,0.0023844242095947266
510.81327509880066,0.5011307001113892,0.0,0.00029281526803970337,1763260569.247946,-0.003759171813726425,,3351,-0.0008458010852336884,0.00010814132110681385,660.0,319872,0.00020688778022304177,,0.15033429861068726
511.36739587783813,,,,1763260569.8020668,,500.0,3357,,,,320385,,500.0,
511.763512134552,0.5408403873443604,0.0,4.177354276180267e-05,1763260570.198183,-0.002342021092772484,,3360,-0.001324336975812912,0.0001076036860467866,661.0,320768,0.00023091831826604903,,-8.100062370300293
515.6935038566589,0.5823543667793274,0.0,3.433693200349808e-05,1763260574.1281748,-0.0002624876797199249,,3398,-0.0012117614969611168,0.000105299535789527,663.0,324608,0.002435527043417096,,-0.19185984134674072
515.96635389328,,,,1763260574.4010248,,500.0,3401,,,,324885,,500.0,
516.4948909282684,,,,1763260574.9295619,,500.0,3406,,,,325385,,500.0,
516.6262254714966,0.5267729759216309,0.0,7.288716733455658e-05,1763260575.0608964,-0.0005109887570142746,,3407,-8.546188473701477e-05,0.00010476190800545737,664.0,325504,64.3365707397461,,0.0005975961685180664
517.9992551803589,0.5661889314651489,0.0,0.00010639894753694534,1763260576.433926,-0.002860717475414276,,3419,0.001367214135825634,0.00010399385791970417,664.0,326784,0.00015919606084935367,,0.4011186957359314
518.6743805408478,0.5592375993728638,0.0,0.0001227855682373047,1763260577.1090515,-0.001065501943230629,,3426,0.0005224402993917465,0.00010360983287682757,665.0,327424,638.6600341796875,,0.0012755990028381348
518.9534256458282,0.5686439275741577,0.0,0.00011484045535326004,1763260577.3880966,-0.004393439739942551,,3428,0.002093997783958912,0.00010345622285967693,665.0,327680,0.0006437567644752562,,-0.07999038696289062
519.5634677410126,,,,1763260577.9981387,,500.0,3435,,,,328385,,500.0,
521.1646831035614,,,,1763260579.599354,,500.0,3450,,,,329885,,500.0,
521.2834100723267,0.5153345465660095,0.0,0.0006685387343168259,1763260579.718081,-0.005314886569976807,,3451,0.00790848396718502,0.00010207373270532116,666.0,329984,611.6934814453125,,0.003227055072784424
522.4713513851166,0.5512944459915161,0.0,0.00020285509526729584,1763260580.9060223,-0.005254440009593964,,3462,-0.0040374137461185455,0.00010138248762814328,667.0,331136,0.0024143001064658165,,-0.32572174072265625
523.8541746139526,0.510175883769989,0.0,1.0902993381023407e-05,1763260582.2888455,-0.00035318732261657715,,3476,0.0006367461755871773,0.00010053763253381476,668.0,332544,0.0027660964988172054,,0.7158933281898499
524.1236231327057,,,,1763260582.558294,,500.0,3479,,,,332885,,500.0,
526.1336259841919,0.5586413741111755,0.0,2.9711052775382996e-05,1763260584.568297,0.0001263003796339035,,3498,0.001488424837589264,9.9155142379459e-05,670.0,334848,0.00020588093320839107,,0.031698524951934814
526.6831495761871,0.5285818576812744,0.0,0.00010595191270112991,1763260585.1178205,-0.0011327564716339111,,3503,0.005464161746203899,9.884792962111533e-05,670.0,335360,0.0001666098542045802,,0.03434491157531738
527.7316689491272,0.4818674325942993,0.0,0.0001438036561012268,1763260586.1663399,-0.0016150474548339844,,3513,0.0015274714678525925,9.823348955251276e-05,671.0,336384,0.00016402197070419788,,-0.373035192489624
528.9332149028778,0.4981989562511444,0.0,0.00019987206906080246,1763260587.3678858,-0.0006141886115074158,,3525,0.0014484459534287453,9.754224447533488e-05,671.0,337536,0.0028877798467874527,,0.8708833456039429
530.2391912937164,0.518166184425354,0.0,9.37851145863533e-05,1763260588.6738622,-0.0018660984933376312,,3537,0.0034708594903349876,9.677419438958168e-05,672.0,338816,0.000255243678111583,,-0.3760567903518677
531.995857000351,0.48902496695518494,0.0,5.2228569984436035e-06,1763260590.430528,-0.0008958484977483749,,3554,-0.0007831137627363205,9.577572927810252e-05,673.0,340480,656.692626953125,,0.0014426708221435547
532.1120762825012,0.5019922256469727,0.0,1.125037670135498e-05,1763260590.5467472,-0.0018879026174545288,,3555,-0.0006815027445554733,9.56989242695272e-05,673.0,340608,0.0030675092712044716,,-1.0016319751739502
534.3663957118988,0.5447132587432861,0.0,0.00020968634635210037,1763260592.8010666,-0.0036492347717285156,,3576,8.8435597717762e-05,9.439323912374675e-05,674.0,342784,0.000331288407323882,,0.0872073769569397
534.5084760189056,0.5077033638954163,0.0,4.062056541442871e-05,1763260592.943147,0.003116186708211899,,3578,-0.0029205214232206345,9.431643411517143e-05,675.0,342912,281.0392761230469,,-0.0004684925079345703
534.8899545669556,0.4819369316101074,0.0,1.0943040251731873e-06,1763260593.3246255,-0.0003309156745672226,,3581,0.0003218604251742363,9.408601908944547e-05,675.0,343296,0.0002609261136967689,,0.28273749351501465
535.7355518341064,0.48918217420578003,0.0,0.00011548120528459549,1763260594.1702228,-0.002878047525882721,,3589,0.0006696442142128944,9.362518903799355e-05,675.0,344064,0.0029896197374910116,,0.4615303874015808
538.247828245163,0.4976749122142792,0.0,0.0001975158229470253,1763260596.6824992,-0.00046877190470695496,,3613,-0.004321143962442875,9.216590115102008e-05,677.0,346496,219.1716766357422,,0.0008831024169921875
539.2175297737122,0.5453693866729736,0.0,0.00018266774713993073,1763260597.6522007,0.0018145972862839699,,3622,0.0010362733155488968,9.162826609099284e-05,677.0,347392,130.15478515625,,5.561113357543945e-05
541.2154855728149,0.5059026479721069,0.0,9.492971003055573e-06,1763260599.6501565,1.0784715414047241e-06,,3640,-0.000376320444047451,9.047619096236303e-05,678.0,349312,0.0003261902602389455,,0.4458054304122925
543.1682991981506,,,,1763260601.6029701,,500.0,3656,,,,350885,,500.0,
545.057235956192,0.5282851457595825,0.0,8.442159742116928e-05,1763260603.491907,-0.0005199834704399109,,3669,0.0006429320201277733,8.870967576513067e-05,679.0,352256,0.00043599936179816723,,-1.0819377899169922
546.1594021320343,0.473355233669281,0.0,2.6744790375232697e-05,1763260604.594073,-0.0010295510292053223,,3679,0.000829487107694149,8.809523569652811e-05,679.0,353280,0.00016433359996881336,,-0.4304147958755493
546.5612332820892,0.42973244190216064,0.0,0.0009812414646148682,1763260604.9959042,-0.0115327388048172,,3683,0.013115355744957924,8.786482067080215e-05,680.0,353664,0.0030887664761394262,,-1.5701515674591064
546.6791677474976,0.48228323459625244,0.0,0.0001201024278998375,1763260605.1138387,-0.004207741469144821,,3684,-0.00034724827855825424,8.778801566222683e-05,680.0,353792,0.0003344467550050467,,0.13026869297027588
549.4888319969177,0.5153588652610779,0.0,0.00017790216952562332,1763260607.923503,-0.0008388012647628784,,3711,-0.0015974221751093864,8.617511775810272e-05,681.0,356480,345.8103332519531,,0.004044771194458008
549.7410368919373,0.502219557762146,0.0,2.616085112094879e-05,1763260608.1757078,0.00211242213845253,,3713,-0.0006344262510538101,8.602150774095207e-05,681.0,356736,0.0002881553955376148,,-0.08032822608947754
549.900116443634,,,,1763260608.3347874,,500.0,3715,,,,356885,,500.0,
551.636668920517,0.5556238293647766,0.0,9.22568142414093e-05,1763260610.0713398,-0.0020736437290906906,,3731,0.000406390056014061,8.494623762089759e-05,682.0,358528,0.002902364358305931,,0.8268105983734131
551.9153482913971,,,,1763260610.3500192,,500.0,3734,,,,358885,,500.0,
554.228862285614,0.573093831539154,0.0,1.3941898941993713e-05,1763260612.6635332,-0.0009821560233831406,,3755,0.0006081126630306244,8.34869424579665e-05,684.0,360960,389.6914367675781,,0.000719904899597168
556.3405950069427,0.5039712190628052,0.0,7.341615855693817e-06,1763260614.775266,0.0002600252628326416,,3775,-0.0014937398955225945,8.225806232076138e-05,685.0,363008,227.37142944335938,,0.0010287165641784668
556.7170763015747,0.4939256012439728,0.0,0.0001002894714474678,1763260615.1517472,5.431473255157471e-06,,3779,-0.0005110418424010277,8.202764729503542e-05,685.0,363392,512.941650390625,,-0.000644683837890625
559.3621497154236,0.5550051927566528,0.0,2.1208077669143677e-05,1763260617.7968206,-0.0006168633699417114,,3804,-0.00108443945646286,8.049155439948663e-05,686.0,365952,192.06295776367188,,0.002011597156524658
