_timestamp,charts/SPS,losses/clipfrac,charts/episodic_length,losses/entropy,losses/policy_loss,losses/approx_kl,global_step,charts/learning_rate,_step,_runtime,losses/explained_variance,losses/old_approx_kl,charts/episodic_return,losses/value_loss
1763260398.381551,585.0,0.0,,0.5371977090835571,-0.0005390271544456482,0.00016339775174856186,183552,0.0001899385533761233,2034,339.9426350593567,-0.29310059547424316,0.00014494825154542923,,0.00028893182752653956
1763260400.1580465,,,500.0,,,,184685,,2045,341.71913051605225,,,500.0,
1763260401.2274969,585.0,0.0,,0.5342944264411926,-0.001955591142177582,0.00011678319424390793,185216,0.00018894008826464415,2051,342.7885808944702,-0.00011515617370605469,-0.0010633720085024834,,168.58139038085938
1763260401.440654,585.0,0.0,,0.5363534688949585,-0.013178851455450058,0.0009412150830030441,185344,0.00018886328325606883,2052,343.00173807144165,-0.30245399475097656,0.0023602545261383057,,0.007813934236764908
1763260404.5196154,,,500.0,,,,187185,,2070,346.08069944381714,,,500.0,
1763260405.5674908,585.0,0.0,,0.478401243686676,-0.004041898995637894,0.0013398556038737297,187776,0.00018740398809313774,2076,347.12857484817505,0.00024586915969848633,0.0012817243114113808,,298.75482177734375
1763260407.6840756,587.0,0.0078125,,0.520301878452301,-0.012712627649307251,0.005583417601883411,189568,0.00018632871797308326,2093,349.2451596260071,-0.6636029481887817,0.00726931169629097,,0.00010232759086648002
1763260407.7615445,,,500.0,,,,189685,,2094,349.3226284980774,,,500.0,
1763260410.330797,589.0,0.0,,0.5721524357795715,-0.0005667172372341156,0.00042791105806827545,192000,0.0001848694373620674,2117,351.8918809890747,-0.1076507568359375,-0.003783084452152252,,0.000245394476223737
1763260414.2152896,590.0,0.0,,0.5221724510192871,-0.001939333975315094,0.0008424213156104088,194432,0.00018341014219913632,2141,355.77637362480164,0.26374244689941406,-0.003859124146401882,,0.0049198525957763195
1763260415.0708926,590.0,0.015625,,0.5550991296768188,-0.010438412427902222,0.003691890276968479,194944,0.00018310292216483504,2146,356.63197660446167,-0.17961370944976807,-0.030516549944877625,,0.00016886908269952983
1763260415.2714133,590.0,0.0,,0.5332638025283813,-0.0003939680755138397,0.00036694202572107315,195072,0.00018302611715625972,2147,356.83249735832214,0.17359882593154907,0.002847113646566868,,0.00016193001647479832
1763260415.3440614,,,500.0,,,,195185,,2148,356.905145406723,,,500.0,
1763260416.6722925,590.0,0.0,,0.5494979023933411,-0.007763572037220001,0.0007971618324518204,195840,0.0001825652871048078,2155,358.2333765029907,-0.2310636043548584,0.008275063708424568,,0.004860026761889458
1763260419.8104758,589.0,0.0,,0.565258800983429,-0.0012380518019199371,4.3720006942749023e-05,197632,0.0001814900169847533,2172,361.37155985832214,-0.3166154623031616,-0.0014262683689594269,,0.00019612953474279493
1763260422.2643218,589.0,0.0,,0.5638124942779541,0.0011391788721084595,0.00013186316937208176,198912,0.0001807219668990001,2185,363.82540583610535,-0.18893277645111084,0.0030408455058932304,,0.003709851996973157
1763260423.6237652,589.0,0.0,,0.5617214441299438,0.0027073174715042114,0.0027108462527394295,199680,0.0001802611368475482,2192,365.18484926223755,-0.593862771987915,-0.003281126730144024,,9.67640953604132e-05
1763260424.6190119,589.0,0.0,,0.48893436789512634,-0.004368960857391357,0.0003719199448823929,200192,0.0001799539168132469,2198,366.180095911026,-8.893013000488281e-05,-0.000940859317779541,,685.67724609375
1763260424.8344786,589.0,0.0,,0.5277202129364014,-0.00812145322561264,0.0008357511833310127,200320,0.00017987711180467159,2199,366.3955626487732,-0.28128671646118164,0.004073656164109707,,0.00432173628360033
1763260427.1057396,588.0,0.0,,0.5833592414855957,0.0011400766670703888,0.0003153756260871887,201600,0.00017910906171891838,2211,368.6668236255646,-0.20416903495788574,-0.00016982108354568481,,8.311370038427413e-05
1763260427.6322482,588.0,0.0,,0.5632922053337097,0.002727475017309189,0.00074821338057518,201856,0.00017895545170176774,2214,369.193332195282,-0.31434857845306396,0.0009749345481395721,,0.00497722253203392
1763260428.7222955,588.0,0.0,,0.5641690492630005,0.002715740352869034,0.0003573857247829437,202496,0.00017857142665889114,2220,370.28337955474854,-0.14810359477996826,-0.0010330863296985626,,0.00016335783584509045
1763260429.1651268,588.0,0.0,,0.5413991212844849,0.004230678081512451,0.0005224784836173058,202752,0.0001784178166417405,2223,370.7262108325958,7.367134094238281e-05,0.004777406342327595,,115.74821472167969
1763260429.5557644,588.0,0.0,,0.5369630455970764,-0.007109403610229492,0.0015906793996691704,203008,0.00017826420662458986,2225,371.1168484687805,-0.4049408435821533,-0.007621685974299908,,0.0002214678970631212
1763260429.7608302,588.0,0.001953125,,0.5029666423797607,-0.021301187574863434,0.0015056850388646126,203136,0.00017818740161601454,2226,371.3219141960144,-0.6934772729873657,0.004858412779867649,,8.151012298185378e-05
1763260429.8002403,,,500.0,,,,203185,,2227,371.36132431030273,,,500.0,
1763260430.3560088,589.0,0.0,,0.559651255607605,0.001656707376241684,0.0001266011968255043,203648,0.00017788018158171326,2231,371.9170928001404,0.3024066686630249,0.0002251220867037773,,6.98282165103592e-05
1763260430.7900853,589.0,0.0,,0.5122244358062744,0.0018675364553928375,0.0008110171183943748,204032,0.0001776497665559873,2235,372.35116934776306,-0.21189701557159424,-0.002208898775279522,,0.00016249195323325694
1763260431.4756198,590.0,0.0,,0.4785061180591583,-0.019830547273159027,0.005384091287851334,204672,0.0001772657415131107,2241,373.03670382499695,0.4858190417289734,0.03681829571723938,,9.422712173545733e-05
1763260432.2304604,590.0,0.0,,0.5481067895889282,-0.01975988782942295,0.0007953913882374763,205312,0.0001768817164702341,2248,373.79154443740845,-7.56978988647461e-05,-0.0010148370638489723,,0.0008023104164749384
1763260432.507748,591.0,0.0,,0.5005414485931396,0.0005212128162384033,0.0008289776742458344,205568,0.00017672810645308346,2250,374.0688319206238,-0.14953970909118652,-0.003642529249191284,,2.7929418138228357e-05
1763260432.8087296,591.0,0.0,,0.5892621278762817,-0.0023120082914829254,0.0012582642957568169,205824,0.00017657449643593282,2253,374.3698136806488,-0.2490154504776001,-0.005888356827199459,,0.004712352529168129
1763260435.0729818,593.0,0.0,,0.5532295107841492,0.001410946249961853,0.00019253697246313095,207744,0.000175422421307303,2272,376.63406586647034,-0.19841957092285156,0.0001402711495757103,,0.000313244410790503
1763260435.948386,593.0,0.0,,0.46673062443733215,-0.0005275905132293701,0.00012459885329008102,208512,0.0001749615912558511,2280,377.5094699859619,0.03621983528137207,0.001604708842933178,,0.004257104359567165
1763260437.5943027,595.0,0.0,,0.6215507388114929,-0.006822902709245682,0.00019183475524187088,210048,0.00017403994570486248,2295,379.1553866863251,-0.05463719367980957,0.004159322939813137,,0.004287852440029383
1763260437.8858783,,,500.0,,,,210382,,2298,379.4469623565674,,,500.0,
1763260439.1820245,597.0,0.001953125,,0.5554599165916443,-0.010087676346302032,0.001084667630493641,211584,0.00017311828560195863,2310,380.74310851097107,-0.08157968521118164,0.0031995223835110664,,0.004772503394633532
1763260439.4503665,597.0,0.0,,0.5349044799804688,-0.0006712675094604492,0.00010854005813598633,211840,0.000172964675584808,2312,381.0114505290985,-0.36008715629577637,-0.0006173551082611084,,0.00011750315024983138
1763260440.0347843,,,500.0,,,,212382,,2318,381.5958683490753,,,500.0,
1763260440.4605513,598.0,0.0,,0.4896848797798157,0.0048903003334999084,0.00013966858386993408,212736,0.00017242704052478075,2322,382.02163529396057,0.0009568929672241211,-0.003509761765599251,,351.2123718261719
1763260440.740087,598.0,0.0,,0.6072823405265808,0.009854631498456001,0.0012453235685825348,212992,0.0001722734305076301,2324,382.30117106437683,-0.2348957061767578,0.009437525644898415,,0.00021230637503322214
1763260441.3127983,598.0,0.0,,0.5574043989181519,-0.0015779510140419006,0.00048058759421110153,213504,0.00017196621047332883,2329,382.8738822937012,-4.857506275177002,-0.004382037557661533,,0.0011483521666377783
1763260442.4329042,599.0,0.0,,0.5270777940750122,-0.01001732051372528,0.0006742160767316818,214528,0.00017135177040472627,2339,383.99398827552795,0.42884939908981323,0.0021605659276247025,,0.00017435781774111092
1763260442.8491745,600.0,0.0,,0.5093777775764465,-0.006473146378993988,0.00033545028418302536,214912,0.0001711213553790003,2343,384.41025853157043,-0.01884913444519043,-0.006248398683965206,,0.004623234272003174
1763260443.3885715,600.0,0.0,,0.49825936555862427,-0.010795287787914276,0.00024475809186697006,215424,0.00017081413534469903,2348,384.9496555328369,-1.0727851390838623,-0.00471553485840559,,0.003992167301476002
1763260444.0988314,601.0,0.005859375,,0.501274824142456,-0.018432466313242912,0.0032657161355018616,216064,0.00017043011030182242,2354,385.6599154472351,-0.10356509685516357,0.005341626703739166,,0.00010963356180582196
1763260445.0832577,602.0,0.0,,0.5254266262054443,-0.0003332868218421936,5.215685814619064e-05,216960,0.00016989247524179518,2363,386.6443417072296,0.004317939281463623,0.0009296080097556114,,0.003191648982465267
1763260447.9583797,604.0,0.0,,0.5427945256233215,-0.009739190340042114,0.00041020382195711136,219648,0.00016827957006171346,2389,389.5194637775421,0.0421176552772522,-0.0013539576902985573,,0.00017643733008299023
1763260448.49449,605.0,0.0,,0.46069592237472534,-1.9084662199020386e-05,0.0003055473789572716,220160,0.00016797235002741218,2394,390.0555739402771,0.0035455822944641113,-0.0023558354005217552,,0.0001780380989657715
1763260450.1787362,606.0,0.0,,0.4485049545764923,-0.01787479966878891,0.0006546750664710999,221696,0.00016705068992450833,2409,391.7398202419281,0.10512077808380127,0.005968902260065079,,0.00019196982611902058
1763260452.0050979,608.0,0.0,,0.4961373805999756,-0.00261586531996727,0.00034014321863651276,223360,0.00016605222481302917,2426,393.56618189811707,-0.01212775707244873,-0.0019913874566555023,,0.003919800277799368
1763260452.4318893,608.0,0.0,,0.49466460943222046,0.0013507362455129623,0.0005587739869952202,223744,0.0001658218097873032,2430,393.9929733276367,-6.091594696044922e-05,-0.0020508328452706337,,479.48785400390625
1763260454.556039,,,500.0,,,,225726,,2449,396.11712312698364,,,500.0,
1763260456.5070791,611.0,0.0,,0.5280628800392151,0.0023414883762598038,0.00011307280510663986,227328,0.00016367126954719424,2465,398.0681631565094,-4.1961669921875e-05,0.0015919925644993782,,490.8085632324219
1763260459.4533565,613.0,0.0,,0.5458999872207642,-0.0002158433198928833,0.00010203570127487183,230016,0.00016205837891902775,2491,401.014440536499,-0.025211095809936523,0.0009390134364366531,,0.00016192063048947603
1763260459.6371012,,,500.0,,,,230226,,2493,401.1981852054596,,,500.0,
1763260461.1982203,,,205.0,,,,231431,,2506,402.75930428504944,,,205.0,
1763260462.5392525,614.0,0.0,,0.6012420058250427,-0.001514483243227005,7.395632565021515e-05,232192,0.0001607526937732473,2514,404.10033655166626,-9.644031524658203e-05,0.0025365836918354034,,494.0193176269531
1763260462.7383616,614.0,0.0,,0.5655878782272339,-0.005964837968349457,0.0008681733161211014,232320,0.00016067588876467198,2515,404.2994456291199,-0.7124258279800415,-0.01123739592730999,,0.005301315803080797
1763260463.599646,614.0,0.0,,0.6033774018287659,-0.0021353429183363914,0.0011024447157979012,232832,0.0001603686687303707,2520,405.1607301235199,-1.334876298904419,0.001790354959666729,,0.005523225292563438
1763260465.1168747,,,500.0,,,,234176,,2533,406.67795872688293,,,500.0,
1763260466.365518,615.0,0.0,,0.5273019671440125,-0.01177278347313404,0.0003432873636484146,234880,0.00015913978859316558,2540,407.92660212516785,-0.029156923294067383,-0.0008900407701730728,,0.004121208563446999
1763260467.4848897,615.0,0.0,,0.5667694807052612,0.00802389532327652,0.000487450510263443,235520,0.00015875576355028898,2547,409.045973777771,0.0002924203872680664,0.002544652670621872,,184.5990447998047
