losses/entropy,losses/value_loss,charts/episodic_length,_runtime,losses/approx_kl,charts/learning_rate,losses/explained_variance,charts/SPS,losses/clipfrac,_step,losses/policy_loss,charts/episodic_return,global_step,_timestamp,losses/old_approx_kl
,,500.0,170.0163791179657,,,,,,948,,500.0,76256,1763260228.3522282,
0.427461177110672,377.4508056640625,,174.835857629776,0.0013718856498599052,0.0002527649630792439,0.002976059913635254,531.0,0.0,974,0.0077091604471206665,,78848,1763260233.1717067,0.006126864813268185
0.45064717531204224,0.0037795202806591988,,176.04428243637085,0.0008200546726584435,0.0002523809380363673,-0.9757925271987915,531.0,0.0,980,-0.009957609698176384,,79488,1763260234.3801315,-0.01415626797825098
0.440479576587677,0.00541522353887558,,176.953932762146,0.002023429609835148,0.0002520737471058965,-4.263215065002441,531.0,0.00390625,985,-0.019448749721050262,,80000,1763260235.2897818,-0.00447156373411417
0.5261037349700928,0.0003474893164820969,,179.0311849117279,0.0015341350808739662,0.0002513825020287186,-1.1576423645019531,531.0,0.0,995,-0.001559348776936531,,81152,1763260237.367034,-0.0023396601900458336
0.49218320846557617,604.0167846679688,,179.31225490570068,0.00036795809864997864,0.00025130569702014327,-0.00039577484130859375,531.0,0.0,997,0.0020503178238868713,,81280,1763260237.648104,-0.0033976249396800995
0.4738616943359375,0.0008357379701919854,,182.81019568443298,0.0059060584753751755,0.00025015362189151347,-8.838700294494629,532.0,0.01171875,1015,-0.009281888604164124,,83200,1763260241.1460447,-0.017037423327565193
0.46953529119491577,0.00010153350012842566,,183.74323558807373,0.0005408469587564468,0.0002498464018572122,0.4616088271141052,532.0,0.0,1020,-0.0018169581890106201,,83712,1763260242.0790846,0.007709266617894173
,,500.0,185.68008303642273,,,,,,1031,,500.0,84756,1763260244.015932,
,,500.0,189.19478106498718,,,,,,1050,,500.0,86756,1763260247.53063,
0.5418257117271423,0.0005805451073683798,,189.82655262947083,6.605125963687897e-05,0.00024784947163425386,0.2156226634979248,532.0,0.0,1053,-0.00041900575160980225,,87040,1763260248.1624017,0.0031036213040351868
0.4863279163837433,0.0005752384895458817,,190.7155339717865,0.00234807375818491,0.0002475422515999526,-0.7472469806671143,533.0,0.001953125,1058,0.013240702450275421,,87552,1763260249.051383,0.018582694232463837
