losses/approx_kl,charts/episodic_return,losses/policy_loss,global_step,_timestamp,losses/entropy,losses/explained_variance,losses/value_loss,losses/clipfrac,_step,charts/learning_rate,charts/episodic_length,_runtime,losses/old_approx_kl,charts/SPS
0.0006236778572201729,,-0.007163088768720627,8832,1763260103.4718654,0.5692187547683716,0.19612497091293335,51.152992248535156,0.0,195,0.0002947772736661136,,45.03462553024292,-0.005838009528815746,473.0
,114.0,,9471,1763260104.7092874,,,,,203,,114.0,46.27204751968384,,
,95.0,,10236,1763260106.441198,,,,,213,,95.0,48.003958225250244,,
0.0006420891731977463,,0.013438865542411804,10496,1763260107.2546952,0.6029968857765198,0.03090345859527588,71.30821990966797,0.0,217,0.00029377880855463445,,48.81745529174805,-0.0035564471036195755,467.0
4.5468099415302277e-05,,-0.001207202672958374,11264,1763260109.0610209,0.5424798727035522,0.2171938419342041,54.203643798828125,0.0,228,0.00029331797850318253,,50.623780965805054,-0.00010261405259370804,464.0
0.005298676900565624,,-0.005037536844611168,11776,1763260110.1353605,0.5906161665916443,0.12130540609359741,55.90065002441406,0.0078125,233,0.00029301075846888125,,51.69812059402466,-0.007955324836075306,464.0
0.00010280217975378036,,-0.002363823354244232,13184,1763260113.3072562,0.574636697769165,0.010641336441040039,53.99644470214844,0.0,251,0.0002921659033745527,,54.87001633644104,-0.0008302992209792137,462.0
9.950995445251465e-05,,0.00011583417654037476,13824,1763260114.7318864,0.5412455201148987,0.040457069873809814,59.23232650756836,0.0,259,0.0002917818783316761,,56.29464650154114,-0.00020631030201911926,461.0
0.00039966776967048645,,-0.007155332714319229,14208,1763260115.6322284,0.602495014667511,0.11631327867507935,41.27307891845703,0.0,265,0.00029155146330595016,,57.194988489151,0.0015848539769649506,460.0
8.096452802419662e-05,,-0.004426140338182449,14848,1763260116.9868069,0.5651221871376038,-0.04036366939544678,51.873687744140625,0.0,273,0.00029116743826307356,,58.549566984176636,0.0020313551649451256,461.0
,295.0,,14938,1763260117.0423846,,,,,274,,295.0,58.605144739151,,
0.00020302459597587585,,0.004079379141330719,16512,1763260120.3770263,0.5946565866470337,0.2978186011314392,37.50860595703125,0.0,292,0.0002901689731515944,,61.939786434173584,0.0004670228809118271,464.0
8.307397365570068e-07,,0.00029199570417404175,18816,1763260124.9566872,0.5528187155723572,0.005056977272033691,54.626956939697266,0.0,321,0.00028878648299723864,,66.51944732666016,-0.000223575159907341,468.0
,68.0,,19190,1763260125.5918918,,,,,327,,68.0,67.15465188026428,,
0.00027323048561811447,,-0.0030561108142137527,19328,1763260126.0717115,0.62356036901474,0.5660800933837891,36.87700653076172,0.0,330,0.00028847926296293736,,67.63447165489197,0.003126629628241062,468.0
7.905252277851105e-05,,0.004556342959403992,19456,1763260126.3280966,0.6333064436912537,0.5406666994094849,25.61897087097168,0.0,332,0.00028840245795436203,,67.89085674285889,-0.005015231668949127,468.0
,122.0,,19773,1763260126.9248433,,,,,337,,122.0,68.48760342597961,,
,88.0,,19907,1763260127.2450647,,,,,340,,88.0,68.8078248500824,,
4.948768764734268e-05,,0.002996876835823059,22144,1763260131.740756,0.5822716355323792,0.2776082754135132,47.46454620361328,0.0,370,0.0002867895527742803,,73.30351614952087,-0.0029776031151413918,471.0
,141.0,,22519,1763260132.4380746,,,,,375,,141.0,74.00083470344543,,
0.00011113937944173813,,4.7732144594192505e-05,23936,1763260136.1844897,0.5698531270027161,0.9068946838378906,10.705106735229492,0.0,396,0.0002857142826542258,,77.74724984169006,-0.0016252426430583,465.0
0.00014941208064556122,,-0.001827247440814972,26240,1763260141.6863678,0.583941638469696,0.0074073076248168945,40.01323699951172,0.0,425,0.00028433179249987006,,83.24912786483765,0.00023643486201763153,461.0
,213.0,,27689,1763260144.675906,,,,,441,,213.0,86.23866605758667,,
1.2042000889778137e-06,,3.64501029253006e-05,28416,1763260146.188955,0.5990973114967346,0.34700483083724976,82.44378662109375,0.0,450,0.0002830261073540896,,87.75171518325806,-2.235453575849533e-05,462.0
0.0007160194218158722,,0.0007068421691656113,30080,1763260149.750581,0.5511721968650818,0.9518172144889832,5.47244119644165,0.0,471,0.00028202764224261045,,91.31334114074707,-0.0060302335768938065,463.0
0.0012544821947813034,,-0.007866300642490387,30976,1763260151.6342247,0.6037677526473999,0.6992778778076172,12.643453598022461,0.0,481,0.0002814900071825832,,93.19698476791382,0.0074075739830732346,463.0
