charts/episodic_length,_runtime,global_step,charts/SPS,losses/value_loss,losses/explained_variance,losses/policy_loss,losses/old_approx_kl,_step,charts/learning_rate,charts/episodic_return,losses/entropy,losses/approx_kl,_timestamp,losses/clipfrac
,118.16358852386475,43904,478.0,3.2206618785858154,0.09638828039169312,-0.00022651255130767822,-0.00010862667113542557,612,0.0002737327304203063,,0.6179982423782349,3.473833203315735e-07,1763260176.6004236,0.0
500.0,118.44093251228333,44061,,,,,,614,,500.0,,,1763260176.8777676,
,121.3567545413971,45440,478.0,25.667665481567383,0.9598550796508789,-0.0016245022416114807,-0.01990366354584694,630,0.0002728110703174025,,0.5983365774154663,0.0031173210591077805,1763260179.7935896,0.009765625
,122.39025235176086,45952,478.0,5.177718162536621,0.28950488567352295,0.002556316554546356,-0.000659845769405365,636,0.0002725038502831012,,0.6035298109054565,5.542486906051636e-05,1763260180.8270874,0.0
,123.1726541519165,46336,478.0,3.0343971252441406,0.02268826961517334,-0.0017347857356071472,0.00250830315053463,640,0.00027227343525737524,,0.5880727767944336,0.00015289150178432465,1763260181.6094892,0.0
500.0,124.84207153320312,47181,,,,,,650,,500.0,,,1763260183.2789066,
345.0,127.09839797019958,48218,,,,,,664,,345.0,,,1763260185.535233,
,130.87870454788208,49920,477.0,201.5390625,-0.02956986427307129,0.0001464560627937317,0.0009216228500008583,684,0.0002701228950172663,,0.5390645265579224,0.00039147865027189255,1763260189.3155396,0.0
,131.91293907165527,50432,477.0,1.7430026531219482,-0.143731951713562,0.004363078624010086,0.004523748531937599,689,0.000269815674982965,,0.6050017476081848,0.00023979879915714264,1763260190.3497741,0.0
,133.57091808319092,51200,477.0,1.7812225818634033,0.3758929371833801,-0.0027284808456897736,-0.002092534676194191,698,0.00026935484493151307,,0.5696356892585754,0.00022667832672595978,1763260192.0077531,0.0
175.0,134.1744465827942,51580,,,,,,702,,175.0,,,1763260192.6112816,
500.0,135.19621634483337,52080,,,,,,707,,500.0,,,1763260193.6330514,
