charts/SPS,losses/clipfrac,charts/episodic_length,losses/approx_kl,_step,losses/value_loss,losses/entropy,charts/learning_rate,losses/old_approx_kl,_runtime,charts/episodic_return,global_step,losses/explained_variance,losses/policy_loss,_timestamp
496.0,0.0,,0.00013011321425437927,664,2.5851988792419434,0.47012022137641907,0.0002702765050344169,-0.0022387150675058365,126.73603963851929,,49664,-0.49936699867248535,0.0026603974401950836,1763260185.1960716
496.0,0.0,,0.00015433970838785172,684,1.7252390384674072,0.5131378769874573,0.0002691244299057871,-0.0010638190433382988,130.56770658493042,,51584,0.057050883769989014,0.003009265288710594,1763260189.0277386
496.0,0.0,,3.946945071220398e-06,689,1.6976630687713623,0.5369598269462585,0.00026881720987148583,0.000674225389957428,131.58083033561707,,52096,-0.010852336883544922,-0.0002901703119277954,1763260190.0408623
496.0,0.0,,0.0004270784556865692,698,1.9821714162826538,0.4900411367416382,0.0002682795748114586,0.010241391137242317,133.34717631340027,,52992,-1.3505749702453613,-0.003702709451317787,1763260191.8072083
496.0,0.009765625,,0.003155590035021305,702,234.2919921875,0.4408530294895172,0.0002680491597857326,-1.1158175766468048e-05,134.09043169021606,,53376,0.004898428916931152,0.007138189859688282,1763260192.5504637
496.0,0.0,,9.199138730764389e-05,707,422.6997985839844,0.5073872804641724,0.00026774193975143135,-0.0006378227844834328,135.09067130088806,,53888,-0.0008553266525268555,-0.0027142558246850967,1763260193.5507033
497.0,0.0,,0.0006729308515787125,729,450.6745300292969,0.4560270607471466,0.0002664362546056509,0.003009835258126259,139.42783379554749,,56064,-0.03657245635986328,-0.007998567074537277,1763260197.8878658
497.0,0.0,,2.8867274522781372e-05,757,0.34569212794303894,0.48749205470085144,0.00026474654441699386,0.004747625440359116,144.95231580734253,,58880,0.4406411051750183,0.001219291239976883,1763260203.4123478
497.0,0.0,,0.00024283118546009064,762,0.3463927209377289,0.5206801891326904,0.0002644393243826926,-0.0030872374773025513,145.95159769058228,,59392,0.22936254739761353,0.0032701361924409866,1763260204.4116297
497.0,0.0,,0.00030883774161338806,767,0.26391589641571045,0.48551440238952637,0.0002641321043483913,-0.0019734278321266174,146.92127513885498,,59904,-0.0017043352127075195,-0.006636232137680054,1763260205.3813071
