_runtime,losses/policy_loss,charts/learning_rate,_timestamp,global_step,charts/SPS,charts/episodic_return,losses/clipfrac,charts/episodic_length,losses/entropy,losses/approx_kl,_step,losses/value_loss,losses/old_approx_kl,losses/explained_variance
241.57028579711914,-5.687028169631958e-05,0.00019761905423365533,1763260250.6274507,170752,717.0,,0.0,,0.23357418179512024,0.00013336073607206345,2024,255.40599060058594,0.00308361928910017,-0.0006160736083984375
242.02721166610718,,,1763260251.0843766,171134,,500.0,,500.0,,,2027,,,
242.40687942504883,0.0035316143184900284,0.00019731183419935405,1763260251.4640443,171264,717.0,,0.00390625,,0.23389673233032227,0.0012290459126234055,2029,0.004677319899201393,-0.01192508451640606,0.668180525302887
243.21230506896973,-0.018519990146160126,0.00019700461416505277,1763260252.26947,171776,717.0,,0.015625,,0.3651002049446106,0.006781908683478832,2034,0.006825699005275965,0.036252159625291824,0.5739454030990601
245.01762676239014,-0.007710814476013184,0.0001963133690878749,1763260254.0747917,172928,716.0,,0.01953125,,0.33038821816444397,0.005356917157769203,2045,5.082818461232819e-06,0.02645210735499859,0.3984476923942566
245.96863555908203,-0.0008179191499948502,0.0001959293440449983,1763260255.0258005,173568,716.0,434.0,0.001953125,434.0,0.2910008132457733,0.0019703740254044533,2051,0.8129910826683044,-0.010387496091425419,0.0009975433349609375
246.16369581222534,-0.013857245445251465,0.00019585253903642297,1763260255.2208607,173696,716.0,,0.021484375,,0.2518835961818695,0.005102013237774372,2052,0.008842566050589085,0.011451591737568378,0.3688182830810547
248.76720023155212,,,1763260257.8243651,175568,,500.0,,500.0,,,2070,,,
249.63108325004578,0.008259117603302002,0.00019439324387349188,1763260258.6882482,176128,716.0,,0.0,,0.30216002464294434,0.0013828743249177933,2076,41.08695983886719,-0.0073531195521354675,-0.001064300537109375
252.2180781364441,-0.01708872616291046,0.0001933179737534374,1763260261.275243,177920,715.0,,0.13671875,,0.23198889195919037,0.027563439682126045,2093,0.00030925526516512036,0.02499077469110489,0.44643014669418335
252.40439677238464,0.0017089396715164185,0.00019324116874486208,1763260261.4615617,178048,715.0,,0.119140625,,0.2181168496608734,0.016588274389505386,2094,0.00017255308921448886,0.0589292049407959,0.7655779719352722
255.55188131332397,-0.016035955399274826,0.00019193548359908164,1763260264.6090462,180224,715.0,,0.01171875,,0.3311622738838196,0.004865141585469246,2117,2.5598647594451904,0.006445176899433136,0.001731276512145996
259.5341782569885,-0.00090814009308815,0.00019016896840184927,1763260268.5913432,183168,715.0,,0.00390625,,0.21903052926063538,0.0013108374550938606,2146,0.0003500026650726795,-0.005414647050201893,0.8570739030838013
259.71694827079773,-0.0073952749371528625,0.00019009216339327395,1763260268.7741132,183296,715.0,,0.025390625,,0.23280499875545502,0.007286739535629749,2147,0.00041677651461213827,0.011127051897346973,0.8964824676513672
