losses/approx_kl,losses/value_loss,global_step,losses/entropy,losses/explained_variance,_timestamp,losses/policy_loss,_runtime,charts/episodic_length,_step,losses/old_approx_kl,charts/SPS,charts/learning_rate,charts/episodic_return,losses/clipfrac
0.0041728150099515915,0.005230432841926813,86528,0.4242315888404846,0.024271845817565918,1763260135.967251,-0.0010972470045089722,108.31359696388245,,1215,-0.0011746175587177277,826.0,0.00024815669166855514,,0.009765625
0.003310202620923519,0.00021240049682091922,87680,0.3891330361366272,-0.05600380897521973,1763260137.7514553,-0.002968721091747284,110.0978012084961,,1226,0.019482873380184174,823.0,0.00024746544659137726,,0.01171875
0.006320616230368614,0.0047860960476100445,88064,0.4287589490413666,0.1790497899055481,1763260138.360545,-0.015233777463436127,110.70689082145691,,1230,0.01944250427186489,822.0,0.0002472350315656513,,0.021484375
0.0006056986749172211,0.038296278566122055,88448,0.5140942335128784,-5.316734313964844e-05,1763260138.9554365,0.0017453432083129883,111.30178236961365,,1234,-0.0034954342991113663,821.0,0.00024700461653992534,,0.0
0.01002854760736227,0.00023469720326829702,89600,0.3880865275859833,-0.025540709495544434,1763260140.7339082,-0.033300381153821945,113.08025407791138,,1245,0.04246002435684204,818.0,0.00024631337146274745,,0.037109375
8.652545511722565e-05,0.0018081022426486015,90496,0.4694775938987732,-0.052347540855407715,1763260142.063154,0.0007423525676131248,114.40949988365173,,1254,-0.0019594691693782806,816.0,0.0002457757364027202,,0.0
0.0008028922602534294,1.5451871149707586e-05,92288,0.5022823810577393,0.07232952117919922,1763260144.6741903,-0.0021807607263326645,117.02053618431091,,1271,0.0066426536068320274,813.0,0.00024470046628266573,,0.0
0.0006416337564587593,0.00013575077173300087,95104,0.47074949741363525,0.17722702026367188,1763260149.3338718,-0.0008527114987373352,121.68021774291992,,1299,0.0008629309013485909,805.0,0.00024301075609400868,,0.0
0.0029097087681293488,0.0001224673178512603,99200,0.4075377583503723,-0.02327108383178711,1763260156.4819536,0.026958882808685303,128.8282995223999,,1339,0.006898580119013786,792.0,0.00024055299581959844,,0.0
0.0039938706904649734,1.703007183095906e-05,99328,0.4599098265171051,0.04296708106994629,1763260156.691935,-0.00597459077835083,129.0382809638977,,1340,0.01400463655591011,791.0,0.00024047619081102312,,0.015625
9.04994085431099e-05,1.0245312296319753e-05,100224,0.31181323528289795,0.013836085796356201,1763260158.22199,0.0007655946537852287,130.56833600997925,,1349,0.0039982786402106285,789.0,0.00023993855575099587,,0.0
0.0005794698372483253,0.0003349719336256385,101632,0.40792471170425415,-0.03609919548034668,1763260160.5941067,-0.017370980232954025,132.9404525756836,,1363,-0.0075967153534293175,785.0,0.00023909370065666735,,0.0
,,101838,,,1763260160.857471,,133.20381689071655,500.0,1365,,,,500.0,
,,102338,,,1763260161.7229385,,134.0692844390869,500.0,1370,,,,500.0,
,,103338,,,1763260163.4363022,,135.78264808654785,500.0,1380,,,,500.0,
4.3628737330436707e-05,10.59312629699707,103424,0.5018579959869385,6.556510925292969e-05,1763260163.620302,0.002216428518295288,135.96664786338806,,1381,-0.0026112012565135956,781.0,0.00023801843053661287,,0.0
2.5637447834014893e-05,0.00010372591350460425,104192,0.36897212266921997,-0.06209218502044678,1763260164.871447,-0.0007409080862998962,137.2177929878235,,1388,-0.0003704335540533066,779.0,0.00023755760048516095,,0.0
,,104838,,,1763260165.9960332,,138.34237909317017,500.0,1395,,,,500.0,
,,105338,,,1763260166.6779144,,139.02426028251648,500.0,1399,,,,500.0,
0.00030515436083078384,86.5693588256836,105856,0.5387798547744751,3.314018249511719e-05,1763260167.7102253,-0.0029902383685112,140.05657124519348,,1405,0.0010348809882998466,775.0,0.00023655913537368178,,0.0
0.00029641296714544296,0.00012394131044857204,108672,0.48195067048072815,-0.020833611488342285,1763260172.4623044,0.0007832981646060944,144.80865025520325,,1432,0.0012398073449730873,769.0,0.00023486942518502474,,0.0
0.0033912528306245804,0.00014120046398602426,108800,0.4571293890476227,0.0308377742767334,1763260172.6705613,-0.033270616084337234,145.0169072151184,,1433,0.0176561176776886,769.0,0.00023479262017644942,,0.0
0.0010900190100073814,0.00322678848169744,110976,0.4463774561882019,0.05586647987365723,1763260176.331064,0.004765655845403671,148.67740988731384,,1455,-0.007565629668533802,764.0,0.0002334869495825842,,0.0
0.00968705490231514,0.00020963081624358892,111104,0.46739426255226135,0.07840752601623535,1763260176.5344503,0.004336873069405556,148.88079619407654,,1456,-0.02602999471127987,764.0,0.00023341014457400888,,0.0390625
0.00220366008579731,9.569312169332989e-06,111232,0.45922958850860596,0.1353946328163147,1763260176.7423127,-0.011113686487078667,149.0886585712433,,1457,-0.005156610161066055,764.0,0.00023333333956543356,,0.001953125
0.01078824419528246,0.009483921341598034,116992,0.4230380952358246,0.7700152397155762,1763260185.9856265,-0.020864710211753845,158.33197236061096,,1514,0.005665693432092667,756.0,0.00022987711417954415,,0.025390625
0.0012392550706863403,3.278867370681837e-05,117760,0.47361963987350464,0.03947252035140991,1763260187.1357775,0.004429683089256287,159.48212337493896,,1521,0.00781036913394928,755.0,0.00022941628412809223,,0.0
0.0007638530805706978,0.00036280922358855605,118144,0.4389861822128296,0.04307138919830322,1763260187.7494435,-0.0010859444737434387,160.09578943252563,,1525,0.0015644067898392677,754.0,0.00022918586910236627,,0.0
,,118338,,,1763260187.9932754,,160.3396213054657,500.0,1527,,,,500.0,
0.0038055675104260445,0.004111979156732559,118528,0.5020047426223755,-0.03984570503234863,1763260188.3893228,-0.007522229105234146,160.7356686592102,,1529,-0.01957821287214756,754.0,0.0002289554540766403,,0.01171875
2.119690179824829e-06,0.006294925231486559,119040,0.493782103061676,-0.0366978645324707,1763260189.2126393,0.0008331462740898132,161.55898523330688,,1534,1.011975109577179e-05,753.0,0.00022864823404233903,,0.0
0.003966575488448143,6.105961074354127e-05,119296,0.5000874996185303,-0.026476621627807617,1763260189.5723722,0.008310560137033463,161.91871809959412,,1536,0.03269485384225845,753.0,0.00022849462402518839,,0.0
0.00289971474558115,41.035850524902344,119936,0.46445417404174805,6.0677528381347656e-05,1763260190.598798,-0.012611769139766693,162.94514393806458,,1543,0.013945837505161762,752.0,0.00022811059898231179,,0.001953125
0.0005104690790176392,0.0002607830974739045,120192,0.38815009593963623,-0.08520197868347168,1763260190.9385622,-0.0029449891299009323,163.28490805625916,,1545,0.007298354059457779,752.0,0.00022795698896516114,,0.0
0.0015443060547113419,5.9700840211007744e-05,120320,0.4204117953777313,0.037199437618255615,1763260191.1411514,-0.0023001134395599365,163.4874973297119,,1546,0.006037965416908264,752.0,0.00022788018395658582,,0.00390625
0.00020728539675474167,0.00675338227301836,121472,0.48973217606544495,0.008312344551086426,1763260192.93272,0.0066957976669073105,165.27906584739685,,1558,-0.0036240527406334877,751.0,0.00022718893887940794,,0.0
0.0003293100744485855,3.534465577104129e-05,121600,0.4779844880104065,-0.055931925773620605,1763260193.1363475,-0.003959238529205322,165.4826934337616,,1559,0.0001667998731136322,751.0,0.00022711213387083262,,0.0
2.7826055884361267e-05,0.005176873411983252,121984,0.4696672558784485,-0.023944973945617676,1763260193.754105,-0.0006221449002623558,166.10045099258423,,1563,0.0005532857030630112,750.0,0.00022688171884510666,,0.0
,,122338,,,1763260194.1867795,,166.5331254005432,500.0,1566,,,,500.0,
0.002487562596797943,0.004141688346862793,124544,0.4027421176433563,0.03535193204879761,1763260197.7977943,0.005382617935538292,170.14414024353027,,1588,-0.0012481864541769028,747.0,0.00022534561867360026,,0.001953125
0.0013926951214671135,0.00012645110837183893,124672,0.46350333094596863,-0.07528233528137207,1763260197.990494,-0.019240736961364746,170.3368399143219,,1589,0.0045340703800320625,747.0,0.00022526881366502494,,0.0
8.605793118476868e-05,4.033112049102783,125440,0.36787229776382446,-5.888938903808594e-05,1763260199.2473028,-0.001786690205335617,171.59364867210388,,1597,0.004281200468540192,746.0,0.00022480798361357301,,0.0
0.00015913508832454681,146.32139587402344,126464,0.3428594470024109,-0.0001817941665649414,1763260200.875027,0.0008778665214776993,173.2213728427887,,1607,-0.003081999719142914,745.0,0.00022419354354497045,,0.0
0.003373578190803528,4.7898174670990556e-05,126720,0.30550986528396606,0.2451809048652649,1763260201.2563193,-0.0022311704233288765,173.60266518592834,,1609,-0.01683630608022213,745.0,0.0002240399335278198,,0.00390625
,,126838,,,1763260201.3121884,,173.65853428840637,500.0,1610,,,,500.0,
0.00024984870105981827,0.002945876680314541,126976,0.3418370485305786,0.054825782775878906,1763260201.6996975,-0.00502723129466176,174.0460433959961,,1612,0.004776394926011562,744.0,0.00022388632351066917,,0.0
0.0037092911079525948,146.94448852539062,128384,0.389431893825531,0.0001283884048461914,1763260203.9189205,0.009110990911722183,176.26526641845703,,1626,-0.0010440899059176445,743.0,0.00022304146841634065,,0.025390625
