losses/clipfrac,losses/entropy,charts/SPS,global_step,_runtime,losses/approx_kl,losses/explained_variance,losses/old_approx_kl,_step,losses/value_loss,charts/episodic_length,charts/episodic_return,charts/learning_rate,_timestamp,losses/policy_loss
0.0,0.5154696106910706,994.0,14208,17.75731635093689,0.0003630230203270912,0.007094860076904297,0.0064705731347203255,273,5.474324703216553,,,0.00029155146330595016,1763260045.5995293,-0.007469896227121353
0.0,0.5372026562690735,995.0,14336,17.87136697769165,0.00016693584620952606,-0.10321521759033203,0.002210022881627083,274,1.9422794580459595,,,0.00029147465829737484,1763260045.71358,-0.008350295014679432
0.0,0.5059527158737183,1000.0,15488,18.951635360717773,0.00010270066559314728,0.22010350227355957,-0.0002682730555534363,292,8.61623477935791,,,0.00029078341322019696,1763260046.7938483,0.0035255346447229385
0.07421875,0.5241718292236328,1008.0,17792,21.10995078086853,0.014105194248259068,0.5660058856010437,-0.02185276336967945,327,7.402831077575684,,,0.0002894009230658412,1763260048.9521637,0.01822139322757721
0.005859375,0.5391711592674255,1009.0,17920,21.22617793083191,0.00276311207562685,0.6072427034378052,-0.001145985908806324,330,15.665685653686523,,,0.0002893241180572659,1763260049.0683908,-0.015951596200466156
0.0,0.5089561939239502,1009.0,18048,21.341909646987915,0.0005411636084318161,0.6355989575386047,0.0039720479398965836,332,1.4499080181121826,,,0.00028924731304869056,1763260049.1841226,-0.019176339730620384
,,,18302,21.506585597991943,,,,337,,93.0,93.0,,1763260049.3487985,
0.0,0.4767460227012634,1011.0,18432,21.694546699523926,2.4689361453056335e-06,0.6864348649978638,-0.00027768779546022415,340,12.631535530090332,,,0.0002890168980229646,1763260049.5367596,0.0008106008172035217
,,,20328,23.451035737991333,,,,370,,130.0,130.0,,1763260051.2932487,
,,,21865,24.889886379241943,,,,396,,151.0,151.0,,1763260052.7320993,
,,,23608,26.594645261764526,,,,425,,134.0,134.0,,1763260054.4368582,
0.01953125,0.5199273228645325,1020.0,24576,27.547236919403076,0.00334007665514946,0.9943749308586121,0.018177058547735214,441,0.6490086913108826,,,0.0002853302576113492,1763260055.3894498,-0.03275013342499733
0.00390625,0.44217315316200256,1022.0,25088,28.011627197265625,0.0014919191598892212,0.5001498460769653,-0.003046184778213501,450,5.261013984680176,,,0.00028502303757704794,1763260055.85384,0.010709542781114578
0.0,0.4690181016921997,1022.0,26368,29.258784532546997,0.0010497281327843666,0.9966750144958496,-0.005551460199058056,471,0.5724790096282959,,,0.00028425498749129474,1763260057.1009974,-0.00974465161561966
0.0,0.482923686504364,1023.0,27008,29.846559524536133,8.105859160423279e-05,0.9638886451721191,-0.0001413729041814804,481,1.1030118465423584,,,0.00028387096244841814,1763260057.6887724,-0.0019449889659881592
0.0,0.41788449883461,1022.0,27520,30.396130561828613,0.00010424014180898666,0.5777674913406372,-0.0025985771790146828,490,2.809911012649536,,,0.00028356374241411686,1763260058.2383435,-0.001020677387714386
0.0,0.4299936294555664,1021.0,28288,31.15586805343628,2.037733793258667e-05,0.9965788722038269,-0.0010886341333389282,504,0.5301901698112488,,,0.00028310291236266494,1763260058.998081,-0.002310812473297119
,,,28903,31.686333417892456,,,,515,,42.0,42.0,,1763260059.5285463,
