global_step,losses/approx_kl,losses/value_loss,charts/SPS,charts/episodic_length,charts/episodic_return,losses/explained_variance,_step,losses/policy_loss,_timestamp,losses/clipfrac,charts/learning_rate,losses/old_approx_kl,_runtime,losses/entropy
109952,0.016079183667898178,8.790950232651085e-06,1080.0,,,0.5264397859573364,1456,-0.011028621345758438,1763260119.0397143,0.033203125,0.00023410138965118676,0.05872929468750954,107.32514333724976,0.24348124861717224
109979,,,,500.0,500.0,,1457,,1763260119.0515778,,,,107.33700680732727,
115840,8.863396942615509e-05,0.000411046581575647,1082.0,,,0.6340286731719971,1514,-0.0005844458937644958,1763260124.3791766,0.0,0.00023056835925672203,0.00350148044526577,112.6646056175232,0.28922736644744873
116480,0.005191846750676632,37.351112365722656,1081.0,,,5.960464477539063e-08,1521,-0.031240498647093773,1763260124.9782069,0.05078125,0.00023018433421384543,-0.00339644867926836,113.26363587379456,0.23279279470443726
116979,,,,500.0,500.0,,1525,,1763260125.3534284,,,,113.63885736465454,
117120,0.0007473081350326538,0.0015749577432870865,1082.0,,,0.6851710081100464,1527,0.0002883300185203552,1763260125.5407124,0.009765625,0.00022980030917096883,0.006894072517752647,113.82614135742188,0.18136155605316162
117376,0.003886415623128414,5.625338417303283e-06,1082.0,,,0.5501741170883179,1529,-0.0031032338738441467,1763260125.7636821,0.044921875,0.0002296466991538182,0.020736098289489746,114.0491111278534,0.21582038700580597
117888,0.0009125098586082458,0.0002661614853423089,1082.0,,,0.06806963682174683,1534,-0.0021667927503585815,1763260126.2452872,0.0,0.0002293394791195169,0.007517622783780098,114.53071618080139,0.19173482060432434
118016,0.003411729820072651,37.331512451171875,1082.0,,,4.3272972106933594e-05,1536,0.007591575384140015,1763260126.36017,0.03515625,0.0002292626741109416,0.019681265577673912,114.64559888839722,0.19490116834640503
118784,0.004325820133090019,2.1911720978096128e-05,1082.0,,,0.3818979263305664,1543,0.012909689918160439,1763260127.0715363,0.01171875,0.00022880184405948967,-0.006180783733725548,115.35696530342102,0.14300328493118286
118979,,,,500.0,500.0,,1545,,1763260127.2084165,,,,115.49384546279907,
119040,0.0015318132936954498,0.03831164166331291,1082.0,,,-5.8650970458984375e-05,1546,0.001008160412311554,1763260127.2979174,0.001953125,0.00022864823404233903,0.000658717006444931,115.58334636688232,0.18658408522605896
120320,0.002166605554521084,0.00016401482571382076,1082.0,,,0.169316828250885,1558,-0.0017919540405273438,1763260128.4566011,0.00390625,0.00022788018395658582,0.017344679683446884,116.7420301437378,0.28240278363227844
120448,0.020575793460011482,7.324596663238481e-05,1082.0,,,0.1954372525215149,1559,-0.03429647535085678,1763260128.5708935,0.078125,0.0002278033789480105,0.020162399858236313,116.85632252693176,0.19182711839675903
120832,0.0005876785144209862,4.548025390249677e-05,1082.0,,,0.17498940229415894,1563,-0.0040551889687776566,1763260128.9062111,0.0,0.00022757296392228454,0.008415828458964825,117.1916401386261,0.21818841993808746
121088,0.0003181947395205498,143.03306579589844,1082.0,,,3.933906555175781e-06,1566,0.0007463600486516953,1763260129.1688237,0.0,0.0002274193539051339,0.006461954675614834,117.45425271987915,0.22468222677707672
123392,0.003781651146709919,0.00010235246736556292,1082.0,,,0.2945787310600281,1588,-0.006401784718036652,1763260131.3084862,0.009765625,0.00022603686375077814,0.01193056721240282,119.59391522407532,0.1481780707836151
123479,,,,500.0,500.0,,1589,,1763260131.3396907,,,,119.62511968612671,
124288,0.029971668496727943,8.220130257541314e-05,1082.0,,,-0.034259796142578125,1597,-0.03700975701212883,1763260132.0912528,0.115234375,0.0002254992286907509,0.04182977229356766,120.37668180465698,0.3709034323692322
125312,0.0005864845588803291,0.00011043095582863316,1083.0,,,0.3041396141052246,1607,-0.0020275721326470375,1763260133.022993,0.0,0.00022488478862214833,0.002082112245261669,121.30842208862305,0.27284809947013855
125479,,,,500.0,500.0,,1609,,1763260133.1494558,,,,121.43488478660583,
125568,9.604915976524353e-05,8.470637321472168,1082.0,,,0.00022089481353759766,1610,0.0016674492508172989,1763260133.28409,0.0,0.0002247311786049977,-0.003602072596549988,121.56951904296875,0.20201778411865234
125824,0.0032018935307860374,6.772687629563734e-05,1082.0,,,0.02746438980102539,1612,-0.032358650118112564,1763260133.5075128,0.009765625,0.00022457756858784705,0.008463096804916859,121.79294180870056,0.17510385811328888
127232,0.00592874176800251,0.0020135066006332636,1083.0,,,0.5433639883995056,1626,-0.0032224124297499657,1763260134.7768729,0.01171875,0.00022373271349351853,0.014537518844008446,123.06230187416077,0.2274627834558487
128479,,,,500.0,500.0,,1638,,1763260135.8532162,,,,124.13864517211914,
133479,,,,500.0,500.0,,1687,,1763260140.3930135,,,,128.67844247817993,
137984,0.00014678947627544403,0.04257304221391678,1084.0,,,-0.00025916099548339844,1732,0.00039912573993206024,1763260144.5404823,0.0,0.00021728110732510686,0.0023267362266778946,132.82591128349304,0.16250558197498322
139392,0.0022582728415727615,2.4671524442965165e-05,1084.0,,,0.862877607345581,1745,-0.009233787655830383,1763260145.844118,0.013671875,0.00021643625223077834,0.018209809437394142,134.12954711914062,0.17168113589286804
140160,0.003251727670431137,0.001466998946852982,1084.0,,,0.8383711576461792,1753,0.0004047909751534462,1763260146.5167668,0.0390625,0.00021597542217932642,-0.016682418063282967,134.8021957874298,0.08483682572841644
