losses/explained_variance,losses/value_loss,charts/learning_rate,charts/episodic_return,_runtime,_timestamp,global_step,charts/episodic_length,losses/clipfrac,charts/SPS,losses/approx_kl,_step,losses/entropy,losses/policy_loss,losses/old_approx_kl
0.5887917280197144,0.00015300745144486427,0.00023125960433389992,,113.16208720207214,1763260124.8472362,114688,,0.015625,1071.0,0.002294940873980522,1765,0.1763106733560562,-0.004887193441390991,0.027797862887382507
7.474422454833984e-05,0.5136709213256836,0.00023110599431674927,,113.38680505752563,1763260125.071954,114944,,0.015625,1071.0,0.002650032751262188,1768,0.2272065281867981,0.0009106826037168503,0.006972064264118671
,,,500.0,114.23162603378296,1763260125.916775,115907,500.0,,,,1777,,,
0.7209138870239258,0.003502083010971546,0.00022803379397373646,,118.02318692207336,1763260129.7083359,120064,,0.015625,1073.0,0.0026029711589217186,1818,0.224028542637825,-0.009955931454896927,0.02053113840520382
0.7933639883995056,0.005233622621744871,0.00022772657393943518,,118.50840449333191,1763260130.1935534,120576,,0.05078125,1073.0,0.015114248730242252,1823,0.24439895153045654,-0.032612092792987823,0.05466082692146301
,,,500.0,121.05269932746887,1763260132.7378483,123407,500.0,,,,1851,,,
,,,500.0,121.53228998184204,1763260133.217439,123907,500.0,,,,1856,,,
0.3384323716163635,4.278674168745056e-05,0.00022496159363072366,,122.68573427200317,1763260134.3708832,125184,,0.00390625,1074.0,0.0008787838742136955,1868,0.19934594631195068,-0.008802291005849838,0.009112055413424969
-0.4963490962982178,0.00011922896374017,0.00022465437359642237,,123.13340306282043,1763260134.818552,125696,,0.0,1074.0,0.0016671568155288696,1873,0.21786144375801086,-0.011373111046850681,0.0028406307101249695
0.7567421793937683,0.0037328063044697046,0.0002244239585706964,,123.50414204597473,1763260135.189291,126080,,0.021484375,1074.0,0.004219082184135914,1877,0.2156263142824173,0.00817173719406128,0.006487120874226093
0.0002726912498474121,175.43934631347656,0.00022388632351066917,,124.28930854797363,1763260135.9744575,126976,,0.0078125,1074.0,0.002937518060207367,1886,0.21576222777366638,0.017930898815393448,0.000919930636882782
0.3738756775856018,6.081696483306587e-05,0.0002228110533906147,,125.94307017326355,1763260137.6282191,128768,,0.029296875,1074.0,0.006063077598810196,1903,0.15844708681106567,-0.020593300461769104,0.020475035533308983
-0.00014162063598632812,141.191162109375,0.00022265744337346405,,126.16912913322449,1763260137.854278,129024,,0.0,1075.0,6.13238662481308e-05,1906,0.23786497116088867,2.2044405341148376e-05,-0.0007980149239301682
0.6665424108505249,0.00031105836387723684,0.00022188940783962607,,127.31429767608643,1763260138.9994466,130304,,0.048828125,1075.0,0.015586921013891697,1918,0.185028538107872,-0.03290550783276558,0.05017279088497162
0.00036066770553588867,2.1555635929107666,0.00022181260283105075,,127.4303822517395,1763260139.1155312,130432,,0.001953125,1075.0,0.002719525247812271,1920,0.18996667861938477,0.009560870006680489,-0.007461030036211014
0.00019806623458862305,141.04148864746094,0.00022027650265954435,,129.8338611125946,1763260141.51901,132992,,0.017578125,1075.0,0.006808361038565636,1945,0.21162289381027222,0.0019743945449590683,0.02168332040309906
,,,500.0,131.11086702346802,1763260142.796016,134407,500.0,,,,1959,,,
,,,500.0,132.41279363632202,1763260144.0979426,135907,500.0,,,,1973,,,
0.8300026059150696,0.009131260216236115,0.0002178187423851341,,133.54025173187256,1763260145.2254007,137088,,0.046875,1076.0,0.033331677317619324,1985,0.19180262088775635,-0.02941514179110527,0.01971668191254139
0.7963411808013916,9.120254981098697e-05,0.0002174347173422575,,134.13803696632385,1763260145.823186,137728,,0.0390625,1076.0,0.0029945150017738342,1991,0.14186464250087738,0.010532699525356293,0.0034605544060468674
