_timestamp,charts/learning_rate,charts/episodic_return,losses/clipfrac,losses/approx_kl,_runtime,losses/entropy,charts/episodic_length,global_step,losses/value_loss,charts/SPS,_step,losses/explained_variance,losses/policy_loss,losses/old_approx_kl
1763260483.0723438,9.677419438958168e-05,,0.11328125,0.00890826154500246,422.84188079833984,0.21390436589717865,,338816,0.001102830283343792,815.0,3891,0.6157047152519226,-0.001258615404367447,-0.0002270583063364029
1763260483.663187,9.639016934670508e-05,,0.00390625,0.0002986490726470947,423.43272399902344,0.1640307605266571,,339456,8.68466854095459,815.0,3898,0.06665921211242676,-0.00035407766699790955,-0.001673610880970955
1763260484.946594,,500.0,,,424.71613097190857,,500.0,340917,,,3912,,,
1763260485.260301,9.53148992266506e-05,,0.0546875,0.0014640409499406815,425.02983808517456,0.1496323198080063,,341248,0.00042080608545802534,816.0,3915,0.9967604279518127,-0.010517138987779617,0.002937920391559601
1763260486.2989552,,500.0,,,426.06849217414856,,500.0,342430,,,3928,,,
1763260487.811315,9.362518903799355e-05,,0.001953125,0.0004549827426671982,427.58085203170776,0.18857911229133606,,344064,0.00011467153672128916,818.0,3944,0.998658299446106,-0.0019672587513923645,-0.003987401723861694
1763260487.921522,9.354838402941823e-05,,0.04296875,0.0076520079746842384,427.69105887413025,0.18686231970787048,,344192,0.00031672866316512227,818.0,3945,0.9971757531166077,-0.03402893990278244,0.038882579654455185
1763260488.0327485,9.347157902084291e-05,,0.013671875,0.0021520229056477547,427.80228543281555,0.2294439971446991,,344320,0.0005052832420915365,818.0,3946,0.9855333566665649,0.011664722114801407,-0.008190830238163471
1763260488.7026186,9.30107562453486e-05,,0.013671875,0.0026304814964532852,428.4721555709839,0.19342432916164398,,345088,0.0001847347302827984,819.0,3954,0.9994844198226929,-0.021984834223985672,0.025720663368701935
1763260489.3924227,9.254992619389668e-05,,0.1223958358168602,0.03530651330947876,429.1619596481323,0.26120710372924805,,345856,0.0005525790620595217,819.0,3963,0.6080964803695679,-0.01803337037563324,0.04140932857990265
1763260489.9075909,,500.0,,,429.67712783813477,,500.0,346456,,,3969,,,
