charts/SPS,_timestamp,charts/episodic_length,global_step,losses/old_approx_kl,losses/value_loss,losses/clipfrac,losses/policy_loss,_step,charts/learning_rate,losses/entropy,charts/episodic_return,losses/explained_variance,losses/approx_kl,_runtime
1064.0,1763260098.1472614,,84480,0.01528158225119114,5.477606464410201e-05,0.029296875,-0.015309212729334831,1543,0.00024938557180576026,0.12639671564102173,,0.10231542587280273,0.0008224975317716599,86.39055228233337
1064.0,1763260098.2613547,,84608,-0.0033139586448669434,8.336935997009277,0.005859375,-0.0007985793054103851,1545,0.00024930876679718494,0.23891501128673553,,-0.0001800060272216797,0.001704089343547821,86.5046455860138
1064.0,1763260098.3713644,,84736,0.04088006541132927,0.00424431124702096,0.046875,-0.011641129851341248,1546,0.0002492319617886096,0.1448841094970703,,0.11662507057189941,0.01000489667057991,86.61465525627136
1064.0,1763260099.5489216,,86016,0.014267230406403542,2.168227183574345e-06,0.041015625,-0.003598146140575409,1558,0.0002484639117028564,0.20867416262626648,,0.04532736539840698,0.005407923832535744,87.79221248626709
,1763260099.5649545,500.0,86056,,,,,1559,,,500.0,,,87.80824542045593
1065.0,1763260100.0001333,,86528,-0.005755760706961155,8.930028707254678e-05,0.03515625,0.03819885849952698,1563,0.00024815669166855514,0.19301532208919525,,0.19091862440109253,0.0034069912508130074,88.2434241771698
1065.0,1763260100.223687,,86784,0.0005455166101455688,0.0009854983072727919,0.0546875,0.006753116846084595,1566,0.0002480030816514045,0.1803440898656845,,0.342917263507843,0.007220075465738773,88.46697783470154
1065.0,1763260102.3694074,,89088,0.0039371587336063385,45.19792556762695,0.0,-0.00726037472486496,1589,0.00024662059149704874,0.24984240531921387,,-6.282329559326172e-05,0.0002416558563709259,90.6126983165741
1065.0,1763260103.1853242,,89984,0.0031174365431070328,6.43376333755441e-05,0.01171875,0.00012347102165222168,1597,0.0002460829564370215,0.16113871335983276,,-0.0998997688293457,0.0014816764742136002,91.4286150932312
1066.0,1763260104.1143675,,91008,0.012210685759782791,7.372481923084706e-05,0.0078125,-0.011541484855115414,1607,0.00024546851636841893,0.14810480177402496,,0.2206999659538269,0.0016158968210220337,92.35765838623047
1066.0,1763260104.2269595,,91136,0.0013042455539107323,142.559326171875,0.0,-0.0033273398876190186,1609,0.0002453917113598436,0.1427372694015503,,-8.177757263183594e-05,0.00023717526346445084,92.47025036811829
1066.0,1763260104.3388178,,91264,0.039825644344091415,0.005237475968897343,0.052734375,-0.019627923145890236,1610,0.0002453149063512683,0.19688649475574493,,0.1881188154220581,0.008839473128318787,92.58210873603821
1067.0,1763260105.8223658,,92928,0.029267258942127228,0.00031356318504549563,0.02734375,-0.016630467027425766,1626,0.00024431644123978913,0.14691787958145142,,0.1534528136253357,0.0042968494817614555,94.0656566619873
1067.0,1763260107.008499,,94208,-0.0033689578995108604,0.004028147552162409,0.0,0.0007023774087429047,1638,0.00024354839115403593,0.1799241453409195,,-0.01030266284942627,0.00020362716168165207,95.25178980827332
1069.0,1763260111.5029354,,99200,0.017024975270032883,0.002996827242895961,0.013671875,-0.0022406727075576782,1687,0.00024055299581959844,0.26573681831359863,,-0.008614659309387207,0.005503414198756218,99.74622631072998
1071.0,1763260115.6706848,,103808,0.03165869787335396,0.0010962369851768017,0.033203125,-0.00181552954018116,1732,0.0002377880155108869,0.20548345148563385,,-0.058135271072387695,0.005255960859358311,103.9139757156372
1071.0,1763260116.8262722,,105088,0.0019975202158093452,177.9940185546875,0.0,-0.00016161799430847168,1745,0.0002370199654251337,0.11221464723348618,,-0.00010192394256591797,0.00043119024485349655,105.06956315040588
1071.0,1763260117.6397946,,105984,0.04592728987336159,5.0357622967567295e-05,0.046875,0.0008145589381456375,1753,0.00023648233036510646,0.23350825905799866,,0.0827595591545105,0.008038142696022987,105.88308548927307
,1763260117.6664865,500.0,106056,,,,,1754,,,500.0,,,105.90977740287781
1072.0,1763260118.677723,,107136,-0.006983645260334015,0.018052157014608383,0.0,0.0008295066654682159,1765,0.00023579108528792858,0.1786298006772995,,-0.00011718273162841797,0.0006790682673454285,106.92101383209229
1072.0,1763260119.010898,,107520,0.009692651219666004,4.2983563616871834e-05,0.015625,-0.0058782100677490234,1768,0.00023556067026220262,0.22822695970535278,,-0.05428767204284668,0.0027790116146206856,107.25418901443481
1072.0,1763260119.828837,,108416,0.008897367864847183,0.00020614232926163822,0.05859375,0.003040529787540436,1777,0.00023502303520217538,0.20280100405216217,,-0.04682338237762451,0.01192541141062975,108.07212781906128
1074.0,1763260123.6392374,,112640,0.02416364476084709,2.1729040145874023,0.01171875,-0.025450939312577248,1818,0.00023248848447110504,0.26833146810531616,,1.0013580322265625e-05,0.005463027395308018,111.88252830505371
1074.0,1763260124.0954669,,113152,0.008364090695977211,36.973106384277344,0.0,0.0003710649907588959,1823,0.00023218126443680376,0.15097473561763763,,-4.0411949157714844e-05,0.00024493224918842316,112.33875775337219
,1763260126.6448174,500.0,116056,,,,,1851,,,500.0,,,114.888108253479
,1763260127.1225526,500.0,116556,,,,,1856,,,500.0,,,115.3658435344696
1075.0,1763260128.2445788,,117760,0.029039256274700165,0.004320541862398386,0.01953125,-0.010405965149402618,1868,0.00022941628412809223,0.18239983916282654,,-0.15112602710723877,0.00710857380181551,116.48786973953247
1075.0,1763260128.690136,,118272,0.00034568551927804947,0.0022384016774594784,0.0,0.00038517825305461884,1873,0.00022910906409379095,0.1275460571050644,,0.24565422534942627,0.0001909574493765831,116.93342685699463
1075.0,1763260129.0605507,,118656,0.023705700412392616,35.61911392211914,0.015625,-0.019321689382195473,1877,0.000228878649068065,0.1275998055934906,,3.2842159271240234e-05,0.002039419487118721,117.30384159088135
,1763260129.871157,500.0,119556,,,,,1886,,,500.0,,,118.11444783210754
1076.0,1763260131.4696608,,121344,-0.0001965351402759552,0.00011542899301275611,0.0,0.0006278171204030514,1903,0.00022726574388798326,0.12304316461086273,,0.013470232486724854,3.2184645533561707e-05,119.71295166015625
1076.0,1763260131.6946313,,121600,-0.0012254491448402405,0.044064830988645554,0.0,8.111074566841125e-05,1906,0.00022711213387083262,0.11631637811660767,,-4.1961669921875e-05,7.683970034122467e-05,119.93792223930359
1077.0,1763260132.8417122,,122880,-0.007929573766887188,0.0002363288076594472,0.009765625,0.010050207376480103,1918,0.00022634408378507942,0.14178712666034698,,0.25714242458343506,0.0004926258698105812,121.0850031375885
,1763260133.0061214,500.0,123056,,,,,1920,,,500.0,,,121.24941229820251
