losses/entropy,losses/policy_loss,losses/approx_kl,charts/learning_rate,losses/value_loss,_step,global_step,charts/episodic_length,_timestamp,charts/SPS,losses/clipfrac,charts/episodic_return,losses/old_approx_kl,losses/explained_variance,_runtime
0.34691569209098816,0.001779697835445404,0.006758933886885643,0.0002543010632507503,6.921701424289495e-05,1365,76288,,1763260091.3667307,1045.0,0.0234375,,-0.008291036821901798,-0.029193401336669922,79.65207362174988
0.2889939844608307,0.00023453682661056519,0.0008616829290986061,0.000253993843216449,2.3999522454687394e-05,1370,76800,,1763260091.860905,1045.0,0.001953125,,-0.013788030482828617,-0.08113229274749756,80.14624786376953
0.3771454393863678,-0.034980155527591705,0.016906792297959328,0.00025337940314784646,3.706609277287498e-05,1380,77824,,1763260092.7911384,1045.0,0.046875,,0.02699756622314453,0.0013471245765686035,81.07648134231567
,,,,,1381,77884,500.0,1763260092.813569,,,500.0,,,81.09891200065613
0.258918821811676,-0.007320821285247803,0.004629435017704964,0.00025291857309639454,0.0024173250421881676,1388,78592,,1763260093.4656928,1046.0,0.041015625,,0.015105314552783966,0.22340649366378784,81.75103569030762
0.30092835426330566,-0.03575579822063446,0.018242016434669495,0.0002524577430449426,1.7325832232018e-05,1395,79360,,1763260094.1760824,1046.0,0.107421875,,0.0923629030585289,0.04555654525756836,82.46142530441284
0.2293788194656372,-0.030429773032665253,0.02095070853829384,0.00025222732801921666,9.305200364906341e-05,1399,79744,,1763260094.5107553,1047.0,0.05859375,,0.089231938123703,0.026790082454681396,82.79609823226929
0.2673054337501526,0.005165956914424896,0.00967700220644474,0.0002518433320801705,2.1329989433288574,1405,80384,500.0,1763260095.1087732,1047.0,0.05859375,500.0,-0.008710816502571106,1.4901161193847656e-06,83.39411616325378
0.33658885955810547,-0.030294690281152725,0.027635248377919197,0.00025015362189151347,0.00016645772848278284,1432,83200,,1763260097.6282678,1049.0,0.1171875,,0.10277001559734344,-0.02086341381072998,85.9136106967926
0.26974573731422424,0.0002505294978618622,0.0004901569336652756,0.00025007681688293815,5.233650153968483e-05,1433,83328,,1763260097.7379332,1049.0,0.0,,0.006759390234947205,-0.0006674528121948242,86.02327609062195
0.2902570366859436,-0.003482658416032791,0.004634232260286808,0.0002487711317371577,0.12959174811840057,1455,85504,,1763260099.7316651,1050.0,0.044921875,,-0.016761809587478638,-0.0005106925964355469,88.01700806617737
0.34170857071876526,-0.0007713176310062408,0.00017395708709955215,0.0002486943267285824,0.0019274625228717923,1456,85632,,1763260099.8458505,1051.0,0.0,,-0.0022557852789759636,-0.0023794174194335938,88.13119339942932
0.2061825394630432,0.0013430155813694,0.001351257786154747,0.00024861752172000706,0.0002000783570110798,1457,85760,,1763260099.9922278,1050.0,0.009765625,,-0.0005811527371406555,-0.033131957054138184,88.2775707244873
0.2618538439273834,-0.0077107734978199005,0.012025412172079086,0.00024516129633411765,0.002065491396933794,1514,91520,,1763260105.362724,1052.0,0.015625,,-0.029384076595306396,0.8288074731826782,93.64806699752808
0.2596135139465332,0.02627670019865036,0.021643687039613724,0.00024470046628266573,0.00011008296860381961,1521,92288,,1763260106.0517683,1052.0,0.08984375,,-0.007976379245519638,-0.04518473148345947,94.33711123466492
,,,,,1527,92884,500.0,1763260106.5676556,,,500.0,,,94.85299849510193
0.24516868591308594,-0.00408133864402771,0.01372308749705553,0.0002442396362312138,0.002839063061401248,1529,93056,,1763260106.7665915,1052.0,0.083984375,,0.043074674904346466,0.19602465629577637,95.05193448066711
0.22820307314395905,0.0003139376640319824,0.0069185905158519745,0.00024393241619691253,0.0005259289755485952,1534,93568,,1763260107.2288315,1053.0,0.037109375,,0.03308119624853134,0.17975002527236938,95.51417446136475
0.2842773199081421,-0.005258291959762573,0.011685190722346306,0.0002437788061797619,6.979093996051233e-06,1536,93824,,1763260107.4867823,1052.0,0.033203125,,0.004535390064120293,0.023406624794006348,95.77212524414062
0.22511881589889526,0.0020725280046463013,0.0029833223670721054,0.00024339478113688529,2.1778085231781006,1543,94464,,1763260108.0501199,1053.0,0.0078125,,0.004135269671678543,-0.00035071372985839844,96.33546280860901
0.2868931293487549,0.03782159835100174,0.05596292018890381,0.00024324117111973464,0.00039323096279986203,1545,94720,,1763260108.276994,1053.0,0.12109375,,0.011086834594607353,-0.005779623985290527,96.5623369216919
0.23575377464294434,-0.003182578831911087,0.009797969833016396,0.00024316436611115932,4.852682650380302e-06,1546,94848,,1763260108.4211166,1053.0,0.033203125,,-0.009941885247826576,0.0334591269493103,96.70645952224731
0.3278810381889343,0.0022981464862823486,0.002064066007733345,0.00024247312103398144,37.42412185668945,1558,96000,,1763260109.489673,1053.0,0.005859375,,-0.0038413703441619873,-0.00024044513702392578,97.77501583099365
0.23697292804718018,-0.02568637765944004,0.0020725494250655174,0.00024239631602540612,0.0018923337338492274,1559,96128,,1763260109.6030598,1053.0,0.005859375,,0.014221859164536,0.07470422983169556,97.8884027004242
0.2707034647464752,0.0019552242010831833,0.007183130830526352,0.00024208909599110484,0.00020677414431702346,1563,96640,,1763260110.046016,1054.0,0.052734375,,0.019438249990344048,0.05257678031921387,98.33135890960693
0.2410118579864502,-0.0035056080669164658,0.012485470622777939,0.0002419354859739542,151.79830932617188,1566,96896,,1763260110.2838457,1054.0,0.064453125,,0.012436497956514359,-6.520748138427734e-05,98.56918859481812
0.336422860622406,0.004110179841518402,0.005927694030106068,0.00024047619081102312,1.4583518350264058e-05,1589,99328,,1763260112.4451756,1055.0,0.025390625,,0.027027461677789688,0.009095191955566406,100.73051857948303
0.19467833638191223,-0.016108866780996323,0.000906788744032383,0.0002400153607595712,0.0020833166781812906,1597,100096,,1763260113.154079,1056.0,0.017578125,,0.006024167872965336,-0.07261264324188232,101.43942189216614
0.2390405237674713,0.020462090149521828,0.00316024012863636,0.00023940092069096863,0.0027465280145406723,1607,101120,,1763260114.079878,1056.0,0.0078125,,-0.02012520469725132,-0.07427239418029785,102.36522102355957
0.19741660356521606,-0.015857208520174026,0.008140861988067627,0.000239247310673818,9.548228263156489e-06,1609,101376,,1763260114.307453,1056.0,0.037109375,,0.0062026455998420715,0.007268011569976807,102.59279584884644
,,,,,1610,101384,500.0,1763260114.3121266,,,500.0,,,102.59746956825256
0.2153034508228302,0.012373819947242737,0.000533299520611763,0.00023824884556233883,0.0037039932794868946,1626,103040,,1763260115.8784451,1056.0,0.0,,-0.0027795955538749695,0.15981411933898926,104.16378808021545
0.30602964758872986,-0.00572575256228447,0.0003137504681944847,0.00023748079547658563,8.496708687744103e-07,1638,104320,,1763260117.0568295,1057.0,0.0,,0.004626802168786526,0.003993570804595947,105.34217238426208
0.1948586404323578,0.003297843039035797,0.001920551061630249,0.00023448540014214814,1.6049898476921953e-06,1687,109312,,1763260121.600655,1058.0,0.01171875,,-0.004457520321011543,0.01008385419845581,109.88599801063538
0.28950709104537964,-0.0022407136857509613,0.001249687746167183,0.00023172043438535184,0.036293089389801025,1732,113920,,1763260125.837867,1060.0,0.001953125,,-0.011266462504863739,-6.937980651855469e-05,114.1232099533081
0.3888360261917114,0.00933830440044403,0.0004929611459374428,0.00023087557929102331,1.0398880476714112e-05,1745,115328,,1763260127.1446626,1060.0,0.001953125,,-0.001941249705851078,-0.0004019737243652344,115.43000555038452
0.3123929500579834,-0.02915250137448311,0.0026876507326960564,0.0002304147492395714,0.003936097025871277,1753,116096,,1763260127.8311923,1060.0,0.01953125,,0.00918938871473074,-0.03132450580596924,116.11653518676758
0.311312735080719,0.0002764258533716202,0.0029001086950302124,0.00023033794423099607,0.0004954756004735827,1754,116224,,1763260127.9413471,1060.0,0.001953125,,0.016523592174053192,0.007298707962036133,116.22669005393982
0.30356264114379883,-0.0020209848880767822,0.0010523675009608269,0.0002296466991538182,2.9644534151884727e-06,1765,117376,,1763260128.993822,1061.0,0.00390625,,0.007224897854030132,0.0006048679351806641,117.27916502952576
0.2932564914226532,-0.002169772982597351,0.0026475312188267708,0.00022949308913666755,0.0006913570687174797,1768,117632,,1763260129.2510664,1060.0,0.025390625,,0.007015383802354336,-0.01791667938232422,117.53640937805176
0.2036905288696289,-0.013414835557341576,0.002983132377266884,0.0002289554540766403,0.0015717921778559685,1777,118528,,1763260130.0550156,1061.0,0.03515625,,5.460716784000397e-05,0.27013206481933594,118.34035849571228
0.18225213885307312,0.0316794216632843,0.014209425076842308,0.00022649769380223006,0.004356097429990768,1818,122624,,1763260133.8203182,1062.0,0.109375,,-0.0006478037685155869,-0.026009321212768555,122.10566115379333
0.19083696603775024,-0.015054583549499512,0.00436302088201046,0.00022619047376792878,0.0017342810751870275,1823,123136,,1763260134.2688015,1062.0,0.041015625,,0.011149754747748375,-0.018455862998962402,122.5541443824768
0.20854324102401733,0.0001664869487285614,0.0032315803691744804,0.00022450076357927173,151.64930725097656,1851,125952,,1763260136.8599985,1063.0,0.00390625,,-0.003549325279891491,-7.617473602294922e-05,125.14534139633179
0.2838667631149292,0.001787092536687851,0.004958819597959518,0.00022419354354497045,9.12065601348877,1856,126464,,1763260137.3229063,1063.0,0.029296875,,0.012168355286121368,-9.441375732421875e-05,125.60824918746948
0.22807084023952484,-0.00399244949221611,0.002853354439139366,0.00022342549345921725,0.00014820971409790218,1868,127744,,1763260138.5021114,1063.0,0.07421875,,0.021892011165618896,-0.008663535118103027,126.78745436668396
0.23156915605068207,0.00047522783279418945,0.014890938997268677,0.00022311827342491597,0.0004401536425575614,1873,128256,,1763260138.9848201,1063.0,0.13671875,,0.0009757913649082184,-0.0071604251861572266,127.27016305923462
0.3569929897785187,-0.02511473000049591,0.022222258150577545,0.00022288785839919,0.0027304603718221188,1877,128640,,1763260139.3306227,1063.0,0.052734375,,0.07680104672908783,0.004078269004821777,127.6159656047821
0.14069345593452454,-0.00042306422255933285,0.00047140009701251984,0.00022235022333916277,0.0008061190601438284,1886,129536,,1763260140.1625397,1063.0,0.00390625,,-0.005653120577335358,0.2128126621246338,128.44788265228271
0.2236214280128479,-0.015671420842409134,0.007637812756001949,0.0002212749677710235,3.169315823470242e-05,1903,131328,,1763260141.8034475,1064.0,0.06640625,,0.0006091855466365814,0.016520440578460693,130.08879041671753
0.23218002915382385,-0.016039161011576653,0.001640891656279564,0.00022112135775387287,0.0014361367793753743,1906,131584,,1763260142.0428367,1064.0,0.00390625,,0.002059854567050934,-0.04283607006072998,130.32817959785461
0.25690439343452454,0.007998323068022728,0.00029776059091091156,0.00022035330766811967,7.097427442204207e-05,1918,132864,,1763260143.202651,1064.0,0.05078125,,-0.0012018177658319473,-0.00012052059173583984,131.48799395561218
0.3022194802761078,-0.043910473585128784,0.009105401113629341,0.00022027650265954435,2.1841068267822266,1920,132992,,1763260143.3167448,1064.0,0.037109375,,0.006282217800617218,-8.463859558105469e-05,131.60208773612976
0.20763087272644043,0.0014072638005018234,0.0015742573887109756,0.00021874040248803794,0.0064299446530640125,1945,135552,,1763260145.658318,1064.0,0.013671875,,0.007729616016149521,0.01904195547103882,133.94366097450256
,,,,,1959,136921,500.0,1763260146.854958,,,500.0,,,135.140300989151
