losses/policy_loss,losses/explained_variance,losses/approx_kl,_timestamp,charts/episodic_return,losses/clipfrac,_runtime,losses/value_loss,charts/episodic_length,charts/learning_rate,losses/old_approx_kl,_step,losses/entropy,charts/SPS,global_step
,,,1763260060.5433507,39.0,,18.367278814315796,,39.0,,,595,,,15054
,,,1763260061.0798159,27.0,,18.903743982315063,,27.0,,,614,,,15592
,,,1763260061.5259683,40.0,,19.34989643096924,,40.0,,,630,,,16031
,,,1763260061.7265332,27.0,,19.550461292266846,,27.0,,,636,,,16190
,,,1763260061.8468516,41.0,,19.670779705047607,,41.0,,,640,,,16296
,,,1763260062.4531837,37.0,,20.277111768722534,,37.0,,,664,,,16951
,,,1763260063.1090808,31.0,,20.933008909225464,,31.0,,,684,,,17539
,,,1763260063.2391863,35.0,,21.063114404678345,,35.0,,,689,,,17700
,,,1763260063.4738026,27.0,,21.297730684280396,,27.0,,,698,,,17946
,,,1763260063.7118106,29.0,,21.535738706588745,,29.0,,,707,,,18196
,,,1763260064.3832726,30.0,,22.20720076560974,,30.0,,,729,,,18829
,,,1763260065.636245,39.0,,23.4601731300354,,39.0,,,767,,,20118
-0.0031072087585926056,0.9967618584632874,0.00011654011905193329,1763260066.0194259,,0.0,23.843353986740112,0.2535637617111206,,0.00028778801788575947,-0.006938625127077103,775,0.27703285217285156,973.0,20480
-0.005814235657453537,0.9237502813339233,0.002185261808335781,1763260066.4947593,,0.0,24.318687438964844,0.3610866069793701,,0.0002874807978514582,-0.009100246243178844,788,0.33655446767807007,975.0,20992
,,,1763260066.7652152,49.0,,24.5891432762146,,49.0,,,797,,,21349
,,,1763260067.1676962,73.0,,24.991624355316162,,73.0,,,806,,,21714
-0.004580134525895119,0.9984013438224792,0.0013801893219351768,1763260069.5536947,,0.0,27.377622842788696,0.1181785836815834,,0.0002855606726370752,-0.017301827669143677,863,0.3227728307247162,984.0,24192
-0.0009947307407855988,-0.016408205032348633,0.0002743825316429138,1763260069.904244,,0.0,27.728172063827515,58.69215393066406,,0.0002853302576113492,-0.003645334392786026,872,0.33474868535995483,986.0,24576
,,,1763260070.0577047,148.0,,27.881632804870605,,148.0,,,876,,,24822
,,,1763260071.8181195,44.0,,29.6420476436615,,44.0,,,922,,,26517
,,,1763260072.0740733,79.0,,29.898001432418823,,79.0,,,930,,,26832
,,,1763260072.326498,45.0,,30.150426149368286,,45.0,,,938,,,27117
,,,1763260072.4818895,57.0,,30.30581760406494,,57.0,,,941,,,27225
-0.0021962113678455353,-0.0032529830932617188,0.001190810464322567,1763260072.5649033,39.0,0.0,30.38883137702942,28.95530128479004,39.0,0.0002837173524312675,-0.013645566068589687,942,0.3257365822792053,988.0,27264
-0.02174978144466877,-0.004670381546020508,0.0014370214194059372,1763260072.7960286,,0.0,30.619956731796265,2.611663579940796,,0.00028356374241411686,0.0005333442240953445,948,0.3453195095062256,989.0,27520
-0.03448673337697983,-0.0017009973526000977,0.003438900224864483,1763260073.8717146,,0.017578125,31.695642709732056,2.6039626598358154,,0.000282872497336939,0.0076329512521624565,974,0.39609745144844055,992.0,28672
0.0002510901540517807,-0.003515005111694336,0.0024167029187083244,1763260074.1052961,,0.03515625,31.929224252700806,2.6278295516967773,,0.00028271888731978834,0.0021977750584483147,980,0.3515513241291046,993.0,28928
-0.02419789507985115,-0.0030150413513183594,0.005984937772154808,1763260074.332891,,0.017578125,32.156819105148315,4.9505615234375,,0.0002825652773026377,0.00942162238061428,985,0.37515637278556824,994.0,29184
,,,1763260074.8583167,124.0,,32.68224477767944,,124.0,,,995,,,29821
,,,1763260075.765123,74.0,,33.58905100822449,,74.0,,,1015,,,30771
,,,1763260076.4606512,101.0,,34.284579277038574,,101.0,,,1031,,,31553
-0.03463354706764221,-0.00041675567626953125,0.008421503007411957,1763260077.385653,,0.025390625,35.20958113670349,0.24042361974716187,,0.00028056834707967937,0.030033107846975327,1050,0.4969964027404785,1003.0,32512
,,,1763260077.5286236,99.0,,35.35255169868469,,99.0,,,1053,,,32723
,,,1763260077.783383,80.0,,35.60731101036072,,80.0,,,1058,,,32948
,,,1763260078.7119884,91.0,,36.535916566848755,,91.0,,,1083,,,33985
,,,1763260079.2028356,167.0,,37.026763677597046,,167.0,,,1091,,,34497
,,,1763260080.0027132,62.0,,37.82664132118225,,62.0,,,1106,,,35331
,,,1763260080.7732472,113.0,,38.59717535972595,,113.0,,,1118,,,36235
,,,1763260081.3911877,23.0,,39.215115785598755,,23.0,,,1133,,,36910
,,,1763260081.752863,50.0,,39.57679104804993,,50.0,,,1145,,,37327
-0.0249272920191288,0.0673753023147583,0.011167744174599648,1763260082.8956249,,0.03125,40.719552993774414,0.1301206797361374,,0.0002769585116766393,-0.0006678672507405281,1164,0.5251612663269043,1016.0,38528
0.029693160206079483,-8.237361907958984e-05,0.03205842152237892,1763260083.538665,,0.1848958283662796,41.36259317398071,0.17950159311294556,,0.0002765744866337627,0.012725833803415298,1172,0.5418457984924316,1015.0,39168
0.030178677290678024,-0.00016438961029052734,0.005244379863142967,1763260084.2453904,,0.01171875,42.069318532943726,0.3847907781600952,,0.00027611368568614125,0.014453781768679619,1181,0.5067674517631531,1017.0,39936
-0.1015695184469223,0.001454174518585205,0.01657886803150177,1763260084.5798213,,0.064453125,42.40374946594238,0.11754170060157776,,0.0002758832706604153,0.03786252439022064,1186,0.5313796997070312,1018.0,40320
-0.017731986939907074,-0.01577317714691162,0.0009891912341117859,1763260085.2813916,,0.0,43.10531973838806,0.11272334307432175,,0.00027542244060896337,0.009680917486548424,1197,0.49990350008010864,1019.0,41088
,,,1763260086.2004724,172.0,,44.02440047264099,,172.0,,,1213,,,42146
,,,1763260086.3603554,176.0,,44.18428349494934,,176.0,,,1215,,,42322
0.010720180347561836,-0.00016164779663085938,0.002537056803703308,1763260087.1148872,,0.00390625,44.9388153553009,0.10707949101924896,,0.00027419356047175825,0.0004175715148448944,1226,0.43308377265930176,1023.0,43136
,,,1763260087.3844793,113.0,,45.208407402038574,,113.0,,,1230,,,43436
,,,1763260087.5976398,211.0,,45.42156791687012,,211.0,,,1234,,,43663
,,,1763260088.1589973,21.0,,45.98292541503906,,21.0,,,1245,,,44292
-0.018312005326151848,0.0455058217048645,0.002231273800134659,1763260088.8592849,,0.0,46.683212995529175,0.09292742609977722,,0.00027304148534312844,-0.007828403264284134,1254,0.5278826951980591,1026.0,45056
-0.03467113524675369,-0.00014710426330566406,0.011127176694571972,1763260089.9072168,,0.068359375,47.73114490509033,52.070152282714844,,0.00027235024026595056,0.0020286114886403084,1271,0.5137693881988525,1028.0,46208
,,,1763260091.3365726,138.0,,49.1605007648468,,138.0,,,1299,,,47859
0.0009752176702022552,0.0128861665725708,0.006223355419933796,1763260093.8574774,,0.091796875,51.681405544281006,57.542938232421875,,0.00026973886997438967,0.01595638319849968,1339,0.44880974292755127,1034.0,50560
-0.0712888240814209,0.9695907831192017,0.037742119282484055,1763260093.9539616,,0.1328125,51.77788972854614,0.1041097491979599,,0.00026966206496581435,0.09322702884674072,1340,0.4295976161956787,1035.0,50688
,,,1763260095.1257782,114.0,,52.94970631599426,,114.0,,,1363,,,52024
,,,1763260095.2362397,118.0,,53.06016778945923,,118.0,,,1365,,,52142
,,,1763260095.482802,104.0,,53.30673003196716,,104.0,,,1370,,,52386
-0.0017219334840774536,0.0021255016326904297,0.005154091864824295,1763260096.020436,,0.0390625,53.844364166259766,0.21661469340324402,,0.0002683563798200339,-0.007078574970364571,1380,0.37664616107940674,1035.0,52864
,,,1763260096.0480442,108.0,,53.87197232246399,,108.0,,,1381,,,52924
,,,1763260096.4844055,100.0,,54.3083336353302,,100.0,,,1388,,,53347
,,,1763260096.926183,19.0,,54.75011110305786,,19.0,,,1395,,,53666
,,,1763260097.1343462,42.0,,54.958274364471436,,42.0,,,1399,,,53839
-0.0065971799194812775,0.17092174291610718,0.0010252175852656364,1763260097.5153463,,0.0,55.339274406433105,105.06334686279297,,0.0002675883297342807,0.0008577993139624596,1405,0.4839564859867096,1030.0,54144
,,,1763260099.1142566,150.0,,56.93818473815918,,150.0,,,1432,,,55776
-0.05083679035305977,0.31708383560180664,0.008457595482468605,1763260099.2104151,,0.04296875,57.034343242645264,0.08168110251426697,,0.00026658986462280154,0.02873370610177517,1433,0.5043165683746338,1029.0,55808
,,,1763260100.742929,162.0,,58.56685709953308,,162.0,,,1455,,,57665
0.0497518889605999,0.21795052289962769,0.0074129365384578705,1763260100.831213,,0.021484375,58.6551411151886,0.3690278232097626,,0.00026543778949417174,0.0033852718770503998,1456,0.5706924200057983,1033.0,57728
,,,1763260100.8662295,167.0,,58.690157651901245,,167.0,,,1457,,,57832
,,,1763260103.9370694,92.0,,61.76099753379822,,92.0,,,1514,,,61084
,,,1763260104.1973252,39.0,,62.02125334739685,,39.0,,,1521,,,61427
0.0011443793773651123,0.10015600919723511,0.0017835497856140137,1763260104.5563517,,0.00390625,62.380279779434204,66.6907730102539,,0.0002630568342283368,-0.009381532669067383,1527,0.4780258536338806,1035.0,61696
,,,1763260104.5944316,94.0,,62.41835975646973,,94.0,,,1529,,,61800
,,,1763260104.8213656,72.0,,62.64529371261597,,72.0,,,1534,,,62034
,,,1763260104.9183624,77.0,,62.74229049682617,,77.0,,,1536,,,62111
,,,1763260105.2576768,111.0,,63.081604957580566,,111.0,,,1543,,,62484
,,,1763260105.3808255,112.0,,63.20475363731384,,112.0,,,1545,,,62596
,,,1763260105.4507053,104.0,,63.27463340759277,,104.0,,,1546,,,62700
0.0037989355623722076,0.8994489908218384,0.0067074717953801155,1763260106.1007223,,0.009765625,63.92465043067932,28.816511154174805,,0.00026205836911685765,0.01163625530898571,1558,0.5079152584075928,1036.0,63360
,,,1763260106.131445,112.0,,63.95537304878235,,112.0,,,1559,,,63444
,,,1763260106.3507454,118.0,,64.1746735572815,,118.0,,,1563,,,63676
-0.051430843770504,0.8499441742897034,0.011372470296919346,1763260106.5989912,,0.037109375,64.42291927337646,0.06671559065580368,,0.00026175114908255637,0.025975264608860016,1566,0.5526390075683594,1036.0,63872
,,,1763260108.1264324,274.0,,65.95036053657532,,274.0,,,1589,,,65639
0.00471480842679739,0.9938450455665588,0.011891243048012257,1763260108.7957664,,0.041015625,66.61969447135925,0.011355833150446415,,0.0002602918539196253,0.025231046602129936,1597,0.5437182188034058,1039.0,66304
-0.046421438455581665,0.74739670753479,0.012689164839684963,1763260109.6097038,,0.064453125,67.43363189697266,0.02872561849653721,,0.00025975421885959804,0.00135083869099617,1607,0.47749918699264526,1039.0,67200
-0.09048542380332947,0.9972127079963684,0.041605930775403976,1763260109.8285968,,0.115234375,67.65252494812012,0.03805334120988846,,0.0002596006088424474,0.1609339863061905,1609,0.5253103375434875,1040.0,67456
,,,1763260109.835093,383.0,,67.6590211391449,,383.0,,,1610,,,67468
,,,1763260112.2626636,500.0,,70.08659172058105,,500.0,,,1638,,,70287
,,,1763260116.743119,500.0,,74.56704711914062,,500.0,,,1687,,,75287
0.004468567669391632,0.001236259937286377,0.0096327168866992,1763260121.013984,,0.064453125,78.83791208267212,0.010673236101865768,,0.0002521505521144718,-0.022620003670454025,1732,0.3500020205974579,1050.0,79872
-0.004179641604423523,0.39220982789993286,0.013602235354483128,1763260122.7542677,,0.08984375,80.578195810318,0.0007219474064186215,,0.00025130569702014327,-0.0012812735512852669,1745,0.26630252599716187,1045.0,81280
0.0004264451563358307,0.5236212611198425,0.007558863610029221,1763260123.7972193,,0.052734375,81.6211473941803,4.797085239260923e-06,,0.00025084486696869135,0.015081606805324554,1753,0.28269654512405396,1041.0,82048
-0.02255929261445999,0.3176996111869812,0.005299430340528488,1763260123.9557717,,0.041015625,81.77969980239868,0.0003148611285723746,,0.00025076806196011603,0.024087505415081978,1754,0.27952951192855835,1040.0,82176
0.017792224884033203,0.6491427421569824,0.0040573179721832275,1763260125.9113922,,0.017578125,83.73532032966614,5.651588799082674e-05,,0.0002499232068657875,-0.0201099943369627,1768,0.29986488819122314,1032.0,83584
0.000944213941693306,0.8326740264892578,0.011101799085736275,1763260127.7112389,,0.05078125,85.53516697883606,0.002503548515960574,,0.00024938557180576026,0.07080277800559998,1777,0.29375913739204407,1021.0,84480
-0.005799613893032074,0.15989071130752563,0.00978710688650608,1763260137.9277682,,0.048828125,95.75169634819031,0.000355853873770684,,0.0002468510065227747,-0.003922425210475922,1818,0.2678130269050598,954.0,88704
-0.045951589941978455,0.09025388956069946,0.026410231366753578,1763260138.9544017,,0.14453125,96.77832984924316,8.950404298957437e-05,,0.0002465437864884734,0.09327499568462372,1823,0.272434264421463,949.0,89216
0.022547908127307892,0.9179234504699707,0.001992844045162201,1763260144.9548118,,0.025390625,102.77873992919922,0.0032129245810210705,,0.00024485407629981637,-0.013775739818811417,1851,0.15107831358909607,920.0,92032
,,,1763260148.4494293,500.0,,106.27335739135742,,500.0,,,1868,,,93787
,,,1763260149.5120318,500.0,,107.33595991134644,,500.0,,,1873,,,94287
-0.05477429926395416,0.7548091411590576,0.008283760398626328,1763260150.515623,,0.103515625,108.33955121040344,0.00036963410093449056,,0.00024324117111973464,0.04875059053301811,1877,0.1891235113143921,897.0,94720
-0.00952080450952053,0.9717925190925598,0.029106980189681053,1763260152.3866978,,0.064453125,110.21062588691711,0.00028482795460149646,,0.0002427035360597074,0.012102339416742325,1886,0.18979114294052124,890.0,95616
,,,1763260155.5402892,500.0,,113.36421728134155,,500.0,,,1903,,,97287
-0.02997884899377823,0.9902299046516418,0.016641704365611076,1763260156.2437878,,0.212890625,114.067715883255,0.0008890606695786119,,0.00024147465592250228,0.01984427310526371,1906,0.18944598734378815,877.0,97664
-0.03847628831863403,0.356162965297699,0.04513058066368103,1763260158.4785068,,0.1692708283662796,116.30243492126465,0.005320648197084665,,0.0002407834108453244,0.10717586427927017,1918,0.24579477310180664,870.0,98816
-0.04304083436727524,0.9990347027778625,0.04286298155784607,1763260158.9167717,,0.1197916641831398,116.7406997680664,0.0016453369753435254,,0.00024062980082817376,-0.007292347028851509,1920,0.20192745327949524,869.0,99072
-0.005456624552607536,0.9975046515464783,0.01020303089171648,1763260163.4902,,0.02734375,121.31412816047668,0.0006254687323234975,,0.00023909370065666735,0.023089509457349777,1945,0.307746559381485,857.0,101632
-0.02490364760160446,0.9965828657150269,0.09059589356184006,1763260166.9058719,,0.123046875,124.72979998588562,0.0003282922552898526,,0.00023824884556233883,-0.03492294251918793,1959,0.29074007272720337,845.0,103040
0.002430807799100876,0.9895696043968201,0.0030821096152067184,1763260169.949418,,0.052734375,127.7733461856842,0.002113723661750555,,0.0002374039904680103,0.012246521189808846,1973,0.26242464780807495,835.0,104448
0.005859866738319397,0.929798424243927,0.0025835856795310974,1763260173.0185256,,0.04296875,130.84245371818542,0.00024260762438643724,,0.0002366359403822571,-0.008700164034962654,1985,0.16156545281410217,825.0,105728
,,,1763260174.2083774,500.0,,132.03230547904968,,500.0,,,1991,,,106287
-0.007068932056427002,0.016505181789398193,0.0027937516570091248,1763260176.5307028,,0.052734375,134.35463094711304,12.279637336730957,,0.00023563747527077794,-0.003804996609687805,2002,0.1512921303510666,816.0,107392
-0.012538924813270569,0.012333214282989502,0.003191545605659485,1763260177.5356472,,0.017578125,135.35957527160645,140.57835388183594,,0.00023533025523647666,-0.0002313721925020218,2007,0.2586209774017334,814.0,107904
0.0038573015481233597,0.009865820407867432,0.0007037036120891571,1763260179.3544936,,0.017578125,137.17842173576355,13.093334197998047,,0.00023479262017644942,0.002273237332701683,2016,0.14536988735198975,809.0,108800
-0.03712555766105652,0.8313807249069214,0.0041802674531936646,1763260181.028664,,0.0859375,138.85259222984314,0.0007482918445020914,,0.00023425498511642218,0.0363740473985672,2024,0.2276679277420044,806.0,109696
-0.017809409648180008,0.9333227872848511,0.041981473565101624,1763260181.564357,,0.099609375,139.3882851600647,0.0005405881674960256,,0.00023410138965118676,0.0222677793353796,2027,0.2594284415245056,805.0,109952
-0.04121919348835945,0.6728912591934204,0.03310550004243851,1763260183.070446,,0.1328125,140.89437413215637,0.0005607462953776121,,0.00023364055959973484,0.046194665133953094,2034,0.2335740625858307,801.0,110720
,,,1763260185.1964326,500.0,,143.0203607082367,,500.0,,,2045,,,111787
0.0010668803006410599,0.024972379207611084,0.0008740006014704704,1763260186.4640496,,0.0078125,144.2879776954651,139.13746643066406,,0.00023264209448825568,0.0007328307256102562,2051,0.2805910110473633,794.0,112384
-0.010874904692173004,0.9569629430770874,0.0027567632496356964,1763260186.7151957,,0.0078125,144.53912377357483,0.0007428377284668386,,0.00023256528947968036,0.006123950704932213,2052,0.2230251133441925,793.0,112512
-0.00038344040513038635,0.012961328029632568,0.002972587011754513,1763260190.3691914,,0.025390625,148.19311952590942,13.00345516204834,,0.00023149001935962588,0.024996798485517502,2070,0.2298966646194458,786.0,114304
-0.0270702987909317,0.9929686188697815,0.013895012438297272,1763260191.6268685,,0.029296875,149.4507966041565,0.0003896174021065235,,0.00023110599431674927,0.07270225882530212,2076,0.276084303855896,783.0,114944
0.014633627608418465,0.9753942489624023,0.0029813554137945175,1763260195.1830294,,0.048828125,153.00695753097534,0.004155862610787153,,0.0002300307241966948,-0.021299803629517555,2093,0.23781436681747437,777.0,116736
,,,1763260195.2394412,500.0,,153.0633692741394,,500.0,,,2094,,,116787
-0.0023160427808761597,0.99702388048172,0.0011419421061873436,1763260200.0260196,,0.0,157.84994769096375,0.004190295003354549,,0.0002285714290337637,0.004135315306484699,2117,0.23398827016353607,768.0,119168
-0.0453355647623539,0.9986013770103455,0.010313984006643295,1763260206.0105684,,0.08203125,163.8344964981079,0.00048456538934260607,,0.00022680491383653134,0.05545227974653244,2146,0.18055008351802826,758.0,122112
,,,1763260206.3335783,500.0,,164.15750646591187,,500.0,,,2148,,,122287
-0.05906638503074646,0.9919859170913696,0.05747172236442566,1763260207.888807,,0.0729166641831398,165.71273517608643,0.0005158623098395765,,0.0002262672787765041,0.09792014956474304,2155,0.14248047769069672,755.0,123008
,,,1763260211.3000147,500.0,,169.12394285202026,,500.0,,,2172,,,124787
-0.017018795013427734,0.9992386102676392,0.005232188850641251,1763260214.1035476,,0.017578125,171.92747569084167,0.000136889168061316,,0.0002244239585706964,0.019359443336725235,2185,0.13683195412158966,745.0,126080
,,,1763260215.4536483,500.0,,173.2775764465332,,500.0,,,2192,,,126787
-0.043746527284383774,0.9963029623031616,0.04516714811325073,1763260216.96373,,0.1354166716337204,174.7876582145691,0.0005320966010913253,,0.0002235791034763679,0.024328703060746193,2199,0.19044722616672516,741.0,127488
0.029101625084877014,0.9947335124015808,0.034218162298202515,1763260219.5034492,,0.078125,177.32737731933594,0.0006906006019562483,,0.0002228110533906147,0.006072789430618286,2211,0.20540842413902283,737.0,128768
0.008490562438964844,0.9989324808120728,0.044828057289123535,1763260220.0353925,,0.125,177.85932064056396,0.00022166286362335086,,0.00022265744337346405,-0.05091781169176102,2214,0.2146724909543991,737.0,129024
-0.07909306138753891,0.9967864751815796,0.05957873910665512,1763260221.3601913,,0.171875,179.18411946296692,0.0012604286894202232,,0.00022227341833058745,0.1583971530199051,2220,0.21792736649513245,735.0,129664
-0.014773722738027573,0.9983940124511719,0.022384148091077805,1763260221.8844454,,0.076171875,179.70837354660034,1.4329292753245682e-05,,0.00022211982286535203,-0.02432243898510933,2223,0.21348002552986145,734.0,129920
-0.003323957324028015,0.9983114004135132,0.012835433706641197,1763260222.379147,,0.125,180.20307517051697,0.0005247818771749735,,0.0002219662128482014,0.0033154673874378204,2225,0.20791015028953552,733.0,130176
,,,1763260222.455806,500.0,,180.27973413467407,,500.0,,,2226,,,130287
-0.004506770987063646,0.15456771850585938,0.0004390440881252289,1763260222.672401,,0.017578125,180.49632906913757,0.004854415077716112,,0.00022188940783962607,0.008044557645916939,2227,0.21862632036209106,733.0,130304
-0.07315927743911743,0.9953661561012268,0.08858460187911987,1763260224.4569645,,0.10546875,182.28089261054993,0.0005791179137304425,,0.00022135177277959883,0.023938918486237526,2235,0.24279716610908508,731.0,131200
,,,1763260225.5757995,500.0,,183.39972758293152,,500.0,,,2241,,,131787
-0.039240092039108276,0.9985271692276001,0.04987715184688568,1763260227.1084712,,0.115234375,184.9323992729187,7.10871463525109e-05,,0.00022058372269384563,0.034814417362213135,2248,0.1882067620754242,727.0,132480
-0.05187399685382843,0.9966077208518982,0.03978667035698891,1763260227.5910292,,0.146484375,185.41495728492737,0.0008126352913677692,,0.000220430112676695,0.11690738797187805,2250,0.20878270268440247,726.0,132736
-0.00020086020231246948,0.9995282888412476,4.0677376091480255e-05,1763260228.15515,,0.0,185.9790780544281,3.171227581333369e-05,,0.00022027650265954435,-0.003544607199728489,2253,0.16416823863983154,726.0,132992
0.00433402881026268,0.30709463357925415,0.0005378043279051781,1763260232.158191,,0.03515625,189.98211908340454,4.871180499321781e-05,,0.00021912442753091455,0.006439856253564358,2272,0.18200385570526123,720.0,134912
