_timestamp,charts/episodic_return,losses/clipfrac,charts/episodic_length,_step,charts/learning_rate,_runtime,global_step,charts/SPS,losses/value_loss,losses/policy_loss,losses/entropy,losses/old_approx_kl,losses/approx_kl,losses/explained_variance
1763260180.391896,,0.0,,1083,0.00024861752172000706,159.33385801315308,85760,641.0,179.8869171142578,0.006635874509811401,0.46441003680229187,-0.0007596006616950035,0.00015174131840467453,0.0006985664367675781
1763260181.755401,500.0,,500.0,1091,,160.69736289978027,86649,,,,,,,
1763260184.3616464,500.0,,500.0,1106,,163.303608417511,88149,,,,,,,
1763260186.514563,,0.0,,1118,0.0002464669814798981,165.45652508735657,89344,639.0,0.008653754368424416,0.014893393963575363,0.5246738195419312,-0.006528063677251339,0.000742659904062748,-0.4542992115020752
1763260187.7986438,,0.015625,,1125,0.0002460061514284462,166.74060583114624,90112,638.0,0.00046089087845757604,0.009764079004526138,0.45572298765182495,-0.01637427881360054,0.005735698156058788,-0.44461166858673096
1763260189.159478,,0.0,,1133,0.00024554532137699425,168.10143995285034,90880,637.0,0.006946100853383541,0.004039127379655838,0.4351731538772583,0.01255607046186924,0.003498328849673271,0.3365776538848877
1763260191.2154627,500.0,,500.0,1145,,170.15742468833923,92149,,,,,,,
1763260194.7224486,,0.041015625,,1164,0.00024362519616261125,173.6644105911255,94080,635.0,0.00025508631370030344,-0.020813822746276855,0.4294332265853882,0.03660795837640762,0.013767529278993607,0.32080984115600586
1763260194.7706182,500.0,,500.0,1165,,173.71258020401,94149,,,,,,,
1763260196.0748954,,0.0,,1172,0.00024316436611115932,175.01685738563538,94848,635.0,0.008043848909437656,-0.00449753925204277,0.36776620149612427,-0.0009533334523439407,0.0005920715630054474,0.21116358041763306
1763260197.6037798,,0.001953125,,1181,0.00024262673105113208,176.54574179649353,95744,634.0,198.74850463867188,-0.004247650504112244,0.37515974044799805,0.0296799149364233,0.002090449444949627,0.0020055770874023438
