charts/SPS,_runtime,charts/episodic_return,_timestamp,losses/old_approx_kl,charts/episodic_length,losses/explained_variance,losses/approx_kl,losses/entropy,charts/learning_rate,losses/policy_loss,global_step,_step,losses/value_loss,losses/clipfrac
656.0,306.5899889469147,,1763260327.766167,-0.002026667818427086,,-2.0973589420318604,6.171688437461853e-05,0.5817880630493164,0.00018940091831609607,-0.0009309127926826477,184448,2051,7.565485429950058e-05,0.0
,306.6306154727936,500.0,1763260327.8067935,,500.0,,,,,,184520,2052,,
656.0,309.3440611362457,,1763260330.520239,-0.012831468135118484,,-0.12267136573791504,0.0006259512156248093,0.4989420473575592,0.00018824884318746626,-0.0027526915073394775,186368,2070,8.293473365483806e-05,0.0
656.0,310.21453332901,,1763260331.3907113,0.010363602079451084,,-0.23583662509918213,0.0007124105468392372,0.535312831401825,0.00018786481814458966,-0.0038390718400478363,187008,2076,6.199136259965599e-05,0.0
657.0,312.48295187950134,,1763260333.6591299,0.014579092152416706,,-1.1264839172363281,0.0014601247385144234,0.49113309383392334,0.00018678954802453518,-0.012632116675376892,188800,2093,0.000289209361653775,0.0
658.0,312.6329736709595,,1763260333.8091516,0.003690429963171482,,-0.42321836948394775,0.00048258621245622635,0.521653413772583,0.00018671274301595986,-0.0076395198702812195,188928,2094,0.000218436325667426,0.0
660.0,315.2783088684082,,1763260336.4544868,-0.0018391534686088562,,-0.047438621520996094,0.00010266155004501343,0.5773100256919861,0.00018533026741351932,0.0018156543374061584,191232,2117,0.004471549764275551,0.0
662.0,318.0169050693512,,1763260339.193083,0.0011251075193285942,,0.224237859249115,0.0005095256492495537,0.5659825801849365,0.00018387097225058824,-0.01614999771118164,193664,2141,0.004979558754712343,0.0
662.0,318.7998139858246,,1763260339.975992,-0.0049257343634963036,,-0.023140311241149902,0.0007450999692082405,0.5094113349914551,0.00018356375221628696,0.006828706711530685,194176,2146,0.004745293874293566,0.0
662.0,318.97530722618103,,1763260340.1514852,-0.0031635696068406105,,-0.47959983348846436,0.00016410183161497116,0.49726900458335876,0.00018348694720771164,0.0025022663176059723,194304,2147,4.4002244976582006e-05,0.0
662.0,319.1514353752136,,1763260340.3276134,0.002184557728469372,,-0.3022695779800415,4.321429878473282e-05,0.44840332865715027,0.00018341014219913632,-0.0007745735347270966,194432,2148,0.0001384945644531399,0.0
662.0,320.13591051101685,,1763260341.3120885,0.006069738417863846,,3.361701965332031e-05,5.9582293033599854e-05,0.5442641973495483,0.00018302611715625972,-0.0005039051175117493,195072,2155,304.1025390625,0.0
662.0,322.6739161014557,,1763260343.850094,-0.006773925386369228,,-1.2607355117797852,0.00027250591665506363,0.5464566946029663,0.00018195084703620523,-0.007994100451469421,196864,2172,0.0005602614255622029,0.0
662.0,324.67047667503357,,1763260345.8466547,0.0011631399393081665,,-8.869171142578125e-05,0.0002601984888315201,0.4825141727924347,0.00018118279695045203,0.0010274574160575867,198144,2185,150.9618682861328,0.0
662.0,325.7958540916443,,1763260346.972032,-0.016749871894717216,,-1.7216525077819824,0.00189192034304142,0.5277658700942993,0.0001807219668990001,0.012789234519004822,198912,2192,0.00014361966168507934,0.0078125
,326.4573926925659,500.0,1763260347.6335707,,500.0,,,,,,199520,2198,,
662.0,326.56941390037537,,1763260347.7455919,-0.0012287981808185577,,-7.939338684082031e-05,0.0003446824848651886,0.43229901790618896,0.0001803379418561235,-0.0015053488314151764,199552,2199,190.82691955566406,0.0
663.0,328.0250871181488,,1763260349.201265,0.0024906406179070473,,0.17403244972229004,0.0007049134001135826,0.4802131652832031,0.0001795698917703703,-0.002219647169113159,200832,2211,9.384299482917413e-05,0.0
664.0,328.3325958251953,,1763260349.5087738,-0.009231992065906525,,-0.0002855062484741211,0.001771656796336174,0.4868895411491394,0.00017941628175321966,0.008414501324295998,201088,2214,228.07577514648438,0.0
664.0,329.1071763038635,,1763260350.2833543,0.005757888779044151,,-0.31017518043518066,0.0007506553083658218,0.4278453588485718,0.00017903225671034306,0.006406111642718315,201728,2220,0.003994130063802004,0.0
,329.40754294395447,500.0,1763260350.583721,,500.0,,,,,,202020,2223,,
664.0,329.69315123558044,,1763260350.8693292,0.012154068797826767,,-0.7681529521942139,0.0022958237677812576,0.40517911314964294,0.00017872503667604178,-0.006782073527574539,202240,2225,0.0062140170484781265,0.001953125
665.0,329.83375000953674,,1763260351.009928,0.008517147973179817,,-0.6798490285873413,0.0017045028507709503,0.45852795243263245,0.00017864823166746646,-0.010388500988483429,202368,2226,0.00011620617442531511,0.0
665.0,329.9954180717468,,1763260351.171596,0.0029641492292284966,,-0.5379050970077515,7.210951298475266e-05,0.46709832549095154,0.00017857142665889114,-0.00337948277592659,202496,2227,0.00023242343741003424,0.0
664.0,330.6319091320038,,1763260351.808087,0.004926414228975773,,-0.509231448173523,0.000307728536427021,0.4509688913822174,0.00017834101163316518,-0.001759067177772522,202880,2231,0.0001795944117475301,0.0
664.0,331.2116525173187,,1763260352.3878305,0.0017173020169138908,,-0.4439486265182495,2.032984048128128e-05,0.3965069353580475,0.00017811059660743922,0.00032732426188886166,203264,2235,0.00368128321133554,0.0
,332.22758650779724,500.0,1763260353.4037645,,500.0,,,,,,204020,2241,,
664.0,333.33336210250854,,1763260354.50954,0.0006357291713356972,,0.33348649740219116,0.0004958109930157661,0.4220806360244751,0.0001772657415131107,-0.00512179359793663,204672,2248,0.004254808649420738,0.0
664.0,333.702109336853,,1763260354.8782873,0.010977758094668388,,0.5996513366699219,0.002607438713312149,0.47788870334625244,0.00017711213149596006,-0.020230472087860107,204928,2250,8.04595765657723e-05,0.0
664.0,334.1137580871582,,1763260355.289936,0.0072905076667666435,,-0.012471914291381836,0.00028760451823472977,0.440401554107666,0.00017695852147880942,0.0014738626778125763,205184,2253,0.004901704844087362,0.0
665.0,336.6592285633087,,1763260357.8354065,-0.012246979400515556,,0.0007848143577575684,0.0006926190108060837,0.4867137670516968,0.0001758064463501796,0.008536525070667267,207104,2272,143.41957092285156,0.0
666.0,337.6542181968689,,1763260358.8303962,-0.00543444138020277,,-0.672276496887207,0.0008997386321425438,0.5200227499008179,0.00017526881129015237,0.0034557320177555084,208000,2280,0.00016750840586610138,0.0
,339.3416066169739,500.0,1763260360.5177846,,500.0,,,,,,209520,2295,,
667.0,339.7382209300995,,1763260360.914399,0.01804383099079132,,0.6340925693511963,0.001641928218305111,0.46720901131629944,0.0001741935411700979,-0.0077700428664684296,209792,2298,0.00013407898950390518,0.0
,341.040456533432,500.0,1763260362.2166345,,500.0,,,,,,211020,2310,,
668.0,341.2960307598114,,1763260362.4722087,0.0038861995562911034,,-0.21303725242614746,4.736427217721939e-05,0.46631836891174316,0.0001733487006276846,0.0010496526956558228,211200,2312,0.003130958415567875,0.0
669.0,342.01534724235535,,1763260363.1915252,-0.001318255439400673,,0.005737721920013428,0.00013572536408901215,0.47690972685813904,0.000172964675584808,-0.003456108272075653,211840,2318,0.00022786378394812346,0.0
669.0,342.45015478134155,,1763260363.6263328,0.00022645574063062668,,0.6142251491546631,0.0007893769070506096,0.4494619369506836,0.00017273426055908203,-0.024864349514245987,212224,2322,0.003762909211218357,0.0
669.0,342.7156536579132,,1763260363.8918316,-0.0044623445719480515,,-0.0405956506729126,0.00021745823323726654,0.45029380917549133,0.0001725806505419314,-0.005788672715425491,212480,2324,0.0006435654358938336,0.0
670.0,343.2805359363556,,1763260364.456714,-0.004184829071164131,,-0.2106856107711792,0.0003115609288215637,0.4835785925388336,0.0001722734305076301,-0.0024193450808525085,212992,2329,7.518085476476699e-05,0.0
670.0,344.62011671066284,,1763260365.7962947,-0.004825674928724766,,-0.03732287883758545,0.0004374561831355095,0.4922911524772644,0.00017165899043902755,0.00281335785984993,214016,2339,0.00013664676225744188,0.0
670.0,345.15914607048035,,1763260366.335324,0.0031937621533870697,,-0.13717234134674072,0.00032796338200569153,0.39793992042541504,0.0001714285754133016,-0.006346693262457848,214400,2343,3.2385742088081315e-05,0.0
670.0,345.8717818260193,,1763260367.0479598,0.008829697035253048,,0.22242718935012817,0.0010399771854281425,0.4808163344860077,0.0001711213553790003,-0.0004723966121673584,214912,2348,0.00010130886221304536,0.0
,346.6410336494446,500.0,1763260367.8172116,,500.0,,,,,,215520,2354,,
671.0,347.9313552379608,,1763260369.1075332,0.0013980930671095848,,0.20213377475738525,0.0014204410836100578,0.5025144815444946,0.00017019969527609646,-0.01114126667380333,216448,2363,0.00017004276742227376,0.00390625
,351.07756900787354,500.0,1763260372.253747,,500.0,,,,,,219020,2389,,
672.0,352.0716598033905,,1763260373.2478378,0.0005278792232275009,,-0.22824501991271973,0.00029384903609752655,0.5066814422607422,0.00016827957006171346,-0.00018220394849777222,219648,2394,0.004669321235269308,0.0
672.0,354.38614559173584,,1763260375.5623236,0.0038837920874357224,,-0.18646728992462158,0.0002797897905111313,0.5347872972488403,0.00016735790995880961,-0.002715103328227997,221184,2409,0.004479146562516689,0.0
672.0,356.9580912590027,,1763260378.1342692,0.0008506951853632927,,-0.04278123378753662,0.0046245260164141655,0.5010297298431396,0.00016628263983875513,-0.016479378566145897,222976,2426,0.00011571868526516482,0.021484375
672.0,357.5313980579376,,1763260378.707576,0.002718087285757065,,0.017559945583343506,0.00012661702930927277,0.5735032558441162,0.00016605222481302917,0.0002207532525062561,223360,2430,0.00011869844456668943,0.0
