losses/old_approx_kl,global_step,charts/learning_rate,losses/clipfrac,_timestamp,losses/policy_loss,_step,charts/SPS,charts/episodic_return,_runtime,losses/value_loss,charts/episodic_length,losses/explained_variance,losses/entropy,losses/approx_kl
0.0012655211612582207,42240,0.0002747311955317855,0.0,1763260100.2595174,-0.008095212280750275,640,795.0,,79.1195924282074,1.6847922801971436,,0.34226828813552856,0.6124342083930969,0.0007059285417199135
,43108,,,1763260101.9587219,,650,,55.0,80.81879687309265,,55.0,,,
0.001575961709022522,44032,0.000273655925411731,0.0,1763260104.0805693,-0.001115642488002777,664,773.0,,82.94064426422119,2.334907293319702,,0.9049395322799683,0.596767008304596,3.785267472267151e-05
,45354,,,1763260106.8710074,,684,,116.0,85.73108243942261,,116.0,,,
,45792,,,1763260107.6766858,,689,,351.0,86.53676080703735,,351.0,,,
-0.002563193440437317,46592,0.0002721198252402246,0.0,1763260109.3782039,-0.005285289138555527,698,749.0,,88.23827886581421,6.199703693389893,,0.3968322277069092,0.600162923336029,0.0008520185947418213
-0.0007557133212685585,46976,0.00027188941021449864,0.0,1763260110.1239376,-0.0017892569303512573,702,746.0,,88.98401260375977,3.286747694015503,,0.8081772327423096,0.6316819190979004,8.168350905179977e-05
,47406,,,1763260110.9420931,,707,,300.0,89.80216813087463,,300.0,,,
,49234,,,1763260114.498802,,729,,500.0,93.35887694358826,,500.0,,,
0.021583763882517815,51584,0.0002691244299057871,0.001953125,1763260119.1171167,-0.00647943839430809,757,717.0,,97.97719168663025,1.3644345998764038,,0.7532685995101929,0.600777268409729,0.005050509236752987
-0.0017630737274885178,52096,0.00026881720987148583,0.0,1763260120.0267222,-0.00015995651483535767,762,715.0,,98.88679718971252,0.5488304495811462,,0.03246581554412842,0.5435889959335327,0.00016848742961883545
0.010258191265165806,52608,0.00026850998983718455,0.001953125,1763260120.9073844,-0.00033522769808769226,767,713.0,,99.76745939254761,0.5077261328697205,,-0.030308008193969727,0.5913299918174744,0.0003638537600636482
3.4106895327568054e-05,53376,0.0002680491597857326,0.0,1763260122.3257072,9.600818157196045e-05,775,710.0,,101.18578219413757,0.5731528997421265,,0.07894247770309448,0.591408371925354,2.0936131477355957e-06
0.00034998729825019836,54656,0.0002672811096999794,0.0,1763260124.581799,-2.6378780603408813e-05,788,706.0,,103.4418740272522,0.3896700143814087,,-0.07767593860626221,0.5787236094474792,7.935427129268646e-05
-0.006440367549657822,55552,0.0002667434746399522,0.0,1763260125.9655287,0.0028245151042938232,797,705.0,,104.825603723526,0.3912702798843384,,0.3266969323158264,0.5256414413452148,9.450502693653107e-05
-0.006145891733467579,56448,0.00026620583957992494,0.0,1763260127.4590147,-0.00031704455614089966,806,703.0,,106.31908965110779,0.24669033288955688,,-0.026268720626831055,0.5938333868980408,0.00011372659355401993
-0.0032781576737761497,57344,0.0002656682045198977,0.00390625,1763260129.0277238,-0.010297175496816635,815,700.0,,107.88779878616333,0.20219622552394867,,-0.40785861015319824,0.51860111951828,0.0007098512724041939
,62164,,,1763260138.0656877,,863,,500.0,116.92576265335083,,500.0,,,
0.00021827779710292816,63104,0.0002622119791340083,0.0,1763260139.880741,-0.0028154700994491577,872,680.0,,118.74081587791443,0.012461880221962929,,-0.045277953147888184,0.6043849587440491,0.0007913373410701752
-0.0072317542508244514,63488,0.00026198156410828233,0.0,1763260140.5858538,-0.017880722880363464,876,679.0,,119.44592881202698,0.009002993814647198,,-0.17148888111114502,0.6042975187301636,0.0018481416627764702
0.0038479305803775787,67456,0.0002596006088424474,0.001953125,1763260147.9495678,-0.011223584413528442,922,669.0,,126.80964279174805,319.223388671875,,0.13068008422851562,0.4855935871601105,0.0005838833749294281
-0.008577583357691765,68352,0.00025906297378242016,0.017578125,1763260149.5295658,-0.02345692366361618,930,667.0,,128.38964080810547,0.0017647764179855585,,-0.746263861656189,0.5184638500213623,0.004524205811321735
-0.0015289559960365295,69120,0.00025860214373096824,0.0,1763260150.9746196,0.001844070851802826,938,665.0,,129.83469462394714,0.010833716951310635,,-0.32040929794311523,0.44153425097465515,8.673220872879028e-05
,69394,,,1763260151.4720733,,941,,500.0,130.33214831352234,,500.0,,,
0.005482045002281666,69504,0.0002583717287052423,0.0,1763260151.690574,-0.004625603556632996,942,665.0,,130.5506489276886,207.00521850585938,,-0.00013375282287597656,0.4680091142654419,0.00030228588730096817
0.023389622569084167,70144,0.0002579877036623657,0.013671875,1763260152.8182003,0.014522336423397064,948,664.0,,131.67827534675598,0.003578454488888383,,0.011047661304473877,0.4997353255748749,0.008580324240028858
-0.0049829548224806786,72832,0.00025637479848228395,0.0,1763260157.754228,-0.037199586629867554,974,658.0,,136.61430311203003,0.0002621591847855598,,-0.6497366428375244,0.46872133016586304,0.0033502643927931786
,73394,,,1763260158.747541,,980,,500.0,137.6076159477234,,500.0,,,
,73894,,,1763260159.6945686,,985,,500.0,138.55464363098145,,500.0,,,
,74894,,,1763260161.6087236,,995,,500.0,140.46879863739014,,500.0,,,
0.010800369083881378,75136,0.0002549923083279282,0.0,1763260162.0647373,-0.007376745343208313,997,654.0,,140.92481231689453,0.0046836817637085915,,0.03276783227920532,0.4887579381465912,0.0005860105156898499
0.0010206904262304306,76928,0.0002539170382078737,0.0,1763260165.4406636,-0.008768875151872635,1015,650.0,,144.30073857307434,217.7664031982422,,-8.046627044677734e-05,0.5204617977142334,0.0014177970588207245
0.014846427366137505,77440,0.0002536098181735724,0.0,1763260166.398518,-0.005743512883782387,1020,649.0,,145.25859308242798,77.51303100585938,,-0.0001518726348876953,0.5160404443740845,0.0020096376538276672
0.009706556797027588,78592,0.00025291857309639454,0.0,1763260168.582901,0.004386588931083679,1031,647.0,,147.4429759979248,0.005027282051742077,,0.11040633916854858,0.5357030630111694,0.0013340432196855545
0.009316625073552132,80512,0.0002517665270715952,0.0,1763260172.2981582,0.006413476541638374,1050,643.0,,151.15823316574097,128.99365234375,,0.00020521879196166992,0.5179030895233154,0.0008520539849996567
,80894,,,1763260172.8082964,,1053,,500.0,151.6683714389801,,500.0,,,
,81394,,,1763260173.7490168,,1058,,500.0,152.60909175872803,,500.0,,,
,83894,,,1763260178.49739,,1083,,500.0,157.35746502876282,,500.0,,,
