charts/learning_rate,charts/episodic_return,_timestamp,losses/policy_loss,losses/old_approx_kl,_runtime,charts/SPS,losses/explained_variance,losses/approx_kl,losses/value_loss,global_step,losses/entropy,losses/clipfrac,charts/episodic_length,_step
,500.0,1763260512.8976462,,,491.72919511795044,,,,,329486,,,500.0,3426
0.0001022273427224718,,1763260513.2226245,0.002872459590435028,0.0008906787261366844,492.05417346954346,707.0,-0.22713816165924072,7.919315248727798e-05,0.0033230765257030725,329728,0.5153048038482666,0.0,,3428
,500.0,1763260513.9928892,,,492.8244380950928,,,,,330486,,,500.0,3435
,500.0,1763260515.869185,,,494.7007339000702,,,,,331986,,,500.0,3450
0.00010084485256811604,,1763260516.0418973,5.5361539125442505e-05,-0.0010678088292479515,494.87344622612,707.0,0.0003153681755065918,2.725888043642044e-05,442.21990966796875,332032,0.5503125190734863,0.0,,3451
0.00010015360749093816,,1763260517.34879,-0.006801865994930267,-0.008962377905845642,496.1803388595581,708.0,0.05451685190200806,0.00044977106153964996,0.0032227521296590567,333184,0.5733887553215027,0.0,,3462
9.930875239660963e-05,,1763260518.946191,-0.005073323845863342,0.0005273707211017609,497.77774000167847,709.0,-4.208087921142578e-05,8.937902748584747e-05,355.7711181640625,334592,0.49785682559013367,0.0,,3476
9.907834464684129e-05,,1763260519.3124738,0.0019149556756019592,0.000994926318526268,498.1440227031708,709.0,-0.11060488224029541,0.00022050924599170685,0.00020352254796307534,334976,0.5839595794677734,0.0,,3479
9.792626951821148e-05,,1763260521.454151,-0.0019809622317552567,-0.0023082559928297997,500.28569984436035,710.0,-0.02248060703277588,0.00013109203428030014,0.00020569756452459842,336896,0.6031689643859863,0.0,,3498
9.76190494839102e-05,,1763260522.032747,0.0028107240796089172,-0.003883746452629566,500.86429595947266,710.0,-0.06415271759033203,0.0005028592422604561,0.00022607145365327597,337408,0.5466216802597046,0.0,,3503
9.708141442388296e-05,,1763260523.064525,-0.0029771029949188232,-0.000868561677634716,501.8960738182068,710.0,0.00017517805099487305,8.162576705217361e-05,0.004549260716885328,338304,0.5873854756355286,0.0,,3513
9.631336433812976e-05,,1763260524.4308884,-0.000762447714805603,-0.0014024293050169945,503.2624373435974,711.0,0.04434788227081299,4.4257380068302155e-05,0.00021356550860218704,339584,0.6033527851104736,0.0,,3525
9.562211926095188e-05,,1763260525.7313907,0.0011016428470611572,-0.0005300268530845642,504.56293964385986,711.0,-3.743171691894531e-05,1.7501413822174072e-05,324.5963439941406,340736,0.5752692222595215,0.0,,3537
,500.0,1763260527.4976215,,,506.32917046546936,,,,,342365,,,500.0,3554
9.462365414947271e-05,,1763260527.620635,-6.190687417984009e-05,8.243974298238754e-05,506.4521839618683,712.0,-1.1682510375976562e-05,1.622270792722702e-05,168.7403564453125,342400,0.557314395904541,0.0,,3555
9.331796900369227e-05,,1763260530.074751,-0.010421842336654663,0.00496568251401186,508.90629982948303,713.0,0.51552414894104,0.0005172202363610268,0.003834591945633292,344576,0.5092300772666931,0.0,,3576
9.316435898654163e-05,,1763260530.3438537,0.003319326788187027,-0.005151345394551754,509.1754026412964,713.0,0.02800053358078003,0.00011887494474649429,0.00025438691955059767,344832,0.509070098400116,0.0,,3578
9.30107562453486e-05,,1763260530.646896,0.00013931095600128174,-0.0015878872945904732,509.478444814682,713.0,0.04169511795043945,1.162942498922348e-05,0.002834419719874859,345088,0.5544260740280151,0.0,,3581
,500.0,1763260531.4938252,,,510.3253741264343,,,,,345865,,,500.0,3589
,500.0,1763260534.1418064,,,512.9733552932739,,,,,348365,,,500.0,3613
9.047619096236303e-05,,1763260535.2156935,0.0006414065137505531,-0.00023608841001987457,514.0472424030304,715.0,-0.022975683212280273,0.00041407160460948944,0.0001992714242078364,349312,0.5765550136566162,0.0,,3622
8.940092084230855e-05,,1763260537.1670072,0.00011765211820602417,-0.00020305905491113663,515.998556137085,716.0,0.030085504055023193,1.2954697012901306e-06,0.002736604306846857,351104,0.6174576878547668,0.0,,3640
8.840245573082939e-05,,1763260538.9699178,-0.00010570324957370758,0.0009818235412240028,517.8014667034149,717.0,0.08251577615737915,7.294397801160812e-05,0.0002494982327334583,352768,0.5458121299743652,0.0,,3656
8.763440564507619e-05,,1763260540.3624306,-0.004370115697383881,0.002934037707746029,519.1939795017242,717.0,0.04069936275482178,0.00014262553304433823,0.0032724521588534117,354048,0.589793860912323,0.0,,3669
8.701997285243124e-05,,1763260541.43582,0.000516936182975769,0.0005114628002047539,520.2673690319061,718.0,0.041453659534454346,1.2180767953395844e-05,0.002624188084155321,355072,0.5927261710166931,0.0,,3679
8.678955782670528e-05,,1763260541.840338,-0.00035722553730010986,0.0009621400386095047,520.671886920929,718.0,-2.8967857360839844e-05,2.2387132048606873e-05,363.14306640625,355456,0.5674431324005127,0.0,,3683
8.671275281812996e-05,,1763260541.9700263,-0.001484658569097519,-0.0012379297986626625,520.8015751838684,718.0,-0.04143869876861572,5.92963770031929e-05,0.002666324842721224,355584,0.5466248393058777,0.0,,3684
8.509984763804823e-05,,1763260544.837528,0.0009243525564670563,0.0010385839268565178,523.6690769195557,719.0,-5.6624412536621094e-05,2.398621290922165e-05,283.2984619140625,358272,0.5786594748497009,0.0,,3711
