charts/episodic_return,charts/episodic_length,_step,losses/explained_variance,charts/SPS,losses/clipfrac,charts/learning_rate,losses/old_approx_kl,losses/policy_loss,losses/value_loss,_runtime,global_step,losses/entropy,losses/approx_kl,_timestamp
,,775,0.14496153593063354,694.0,0.0,0.00026513056945987046,0.005354107357561588,-0.0024290774017572403,0.0935262143611908,109.51707577705383,58240,0.530448317527771,0.00011449959129095078,1763260130.5607307
67.0,67.0,788,,,,,,,,111.43321394920349,59161,,,1763260132.4768689
,,789,0.0674053430557251,688.0,0.0,0.0002645161293912679,0.0014414498582482338,-0.00617603212594986,302.76666259765625,111.68752431869507,59264,0.5392046570777893,0.002834872342646122,1763260132.7311792
,,797,-0.15153849124908447,685.0,0.0,0.000264055299339816,-0.0007636258378624916,0.0035137832164764404,0.051910579204559326,113.2180449962616,60032,0.522712230682373,6.965454667806625e-05,1763260134.2617
,,806,0.4259093403816223,683.0,0.0,0.00026351766427978873,0.002898593433201313,-0.003046993166208267,0.13144353032112122,114.86824774742126,60928,0.5521970987319946,0.0003931606188416481,1763260135.9119027
294.0,294.0,815,,,,,,,,116.33468651771545,61732,,,1763260137.3783414
,,863,0.000988781452178955,670.0,0.0,0.00026013824390247464,-0.003033837303519249,-0.0011839233338832855,48.89310073852539,124.96255874633789,66560,0.47928303480148315,0.0001619439572095871,1763260146.0062137
500.0,500.0,872,,,,,,,,126.56851506233215,67516,,,1763260147.61217
,,876,0.02911365032196045,667.0,0.017578125,0.0002592933888081461,0.004555940628051758,-0.0212797112762928,0.0003482884494587779,127.43922710418701,67968,0.44386976957321167,0.004691249690949917,1763260148.482882
,,916,1.5079975128173828e-05,660.0,0.0,0.00025683562853373587,0.010518484748899937,-0.008712045848369598,194.04779052734375,134.7907874584198,72064,0.42587459087371826,0.0009376360103487968,1763260155.8344424
,,922,-0.6688344478607178,659.0,0.0,0.00025645160349085927,0.005965467542409897,0.0009677596390247345,0.003935968969017267,135.93352341651917,72704,0.4718889594078064,0.00017608702182769775,1763260156.9771783
500.0,500.0,930,,,,,,,,137.35938262939453,73516,,,1763260158.4030375
,,938,-0.17579984664916992,656.0,0.015625,0.0002554531383793801,0.029205314815044403,-0.015128020197153091,0.0003827287000603974,138.93501114845276,74368,0.48498988151550293,0.0054883286356925964,1763260159.978666
,,941,0.00010412931442260742,655.0,0.0,0.00025529952836222947,-0.0017919084057211876,-0.003357160836458206,185.30055236816406,139.42570853233337,74624,0.517059862613678,0.00035110022872686386,1763260160.4693635
,,942,0.2118421196937561,655.0,0.01953125,0.00025522272335365415,0.030970042571425438,-0.0529324896633625,0.007824832573533058,139.64120221138,74752,0.42994511127471924,0.008087396621704102,1763260160.6848571
,,948,-0.9866399765014648,654.0,0.021484375,0.00025483869831077754,0.003164912573993206,-0.03338304162025452,0.0004456647438928485,140.82982230186462,75392,0.4572005569934845,0.00590765755623579,1763260161.8734772
500.0,500.0,974,,,,,,,,145.57893347740173,78016,,,1763260166.6225884
,,980,0.0001201629638671875,648.0,0.0,0.00025291857309639454,-0.0008630771189928055,-0.006547771394252777,94.12848663330078,146.77992248535156,78592,0.5378225445747375,0.000256124883890152,1763260167.8235774
,,985,-0.00028145313262939453,647.0,0.0078125,0.00025261135306209326,-0.00838522519916296,0.00200764462351799,87.69590759277344,147.75224828720093,79104,0.4639246165752411,0.0023868726566433907,1763260168.7959032
,,995,0.00014472007751464844,646.0,0.03515625,0.00025199694209732115,0.021254274994134903,-0.00546419620513916,218.7086944580078,149.66003274917603,80128,0.5070855617523193,0.006128445267677307,1763260170.7036877
,,997,0.009988009929656982,645.0,0.0234375,0.0002518433320801705,-0.03947048634290695,-0.0035548135638237,8.336067548952997e-05,150.1125876903534,80384,0.47236543893814087,0.0056245047599077225,1763260171.1562426
,,1015,-0.05942487716674805,643.0,0.0,0.00025076806196011603,-0.005702832713723183,-0.004426196217536926,0.008217510767281055,153.41909861564636,82176,0.4024658203125,0.00032104551792144775,1763260174.4627535
