charts/episodic_return,losses/explained_variance,charts/SPS,losses/entropy,_timestamp,_runtime,losses/policy_loss,losses/clipfrac,charts/learning_rate,global_step,losses/value_loss,losses/approx_kl,losses/old_approx_kl,charts/episodic_length,_step
,-0.17748546600341797,616.0,0.5593903064727783,1763260342.8412743,321.68402123451233,-0.007727891206741333,0.0,0.0001906297984533012,182400,0.00017580344865564257,0.0007643671706318855,0.005465266294777393,,2002
,-0.4430065155029297,616.0,0.5019850134849548,1763260343.608493,322.4512400627136,-0.00015141069889068604,0.0,0.0001903225784189999,182912,0.00023958913516253233,0.00026396289467811584,0.00661042146384716,,2007
,0.04378145933151245,616.0,0.5774345397949219,1763260345.0129259,323.8556728363037,-0.020679105073213577,0.0,0.00018978494335897267,183808,0.003609181847423315,0.0006638467311859131,0.009096987545490265,,2016
500.0,,,,1763260345.4644322,324.3071792125702,,,,184079,,,,500.0,2019
,0.0005735158920288086,616.0,0.5758160352706909,1763260346.166886,325.00963306427,0.0014729127287864685,0.0,0.00018940091831609607,184448,225.59486389160156,0.00011423230171203613,0.0007612220942974091,,2024
,0.1523011326789856,616.0,0.5286580920219421,1763260346.733197,325.5759439468384,-0.010702237486839294,0.001953125,0.0001891705032903701,184832,5.863196201971732e-05,0.0013378392904996872,-0.007410559803247452,,2027
,6.020069122314453e-06,616.0,0.5840603709220886,1763260346.9681647,325.810911655426,-0.0018696561455726624,0.0,0.0001890936982817948,184960,259.84820556640625,6.288569420576096e-05,0.0006583882495760918,,2029
,0.0008071064949035645,616.0,0.5269024968147278,1763260347.552347,326.3950939178467,0.0020380839705467224,0.0,0.0001887864782474935,185472,221.3416748046875,0.0004926929250359535,0.00539961364120245,,2034
,0.54826819896698,617.0,0.5312055349349976,1763260348.8386483,327.6813952922821,-0.011541388928890228,0.001953125,0.00018809523317031562,186624,0.0035802642814815044,0.0013509467244148254,0.002810239791870117,,2045
,-0.00036585330963134766,618.0,0.5757895708084106,1763260349.435869,328.2786159515381,0.0019491463899612427,0.0,0.00018778801313601434,187136,305.1692810058594,0.0005075819790363312,0.005994740873575211,,2051
,-0.06761133670806885,618.0,0.5927804112434387,1763260349.5550396,328.39778661727905,-0.003925047814846039,0.0,0.00018771120812743902,187264,0.002863743342459202,0.00011627096682786942,-0.0036496995016932487,,2052
,0.1570989489555359,619.0,0.5369783043861389,1763260351.8909955,330.73374247550964,-0.008461453020572662,0.0,0.00018663593800738454,189056,0.00041374145075678825,0.0004578428342938423,-0.011346098966896534,,2070
,0.28262126445770264,619.0,0.5675733089447021,1763260352.7650878,331.607834815979,-0.012603938579559326,0.0,0.00018632871797308326,189568,0.00215665390715003,0.0006797686219215393,0.002714812755584717,,2076
,-0.5842745304107666,619.0,0.5149999856948853,1763260355.5088627,334.35160970687866,-0.003974048420786858,0.0,0.00018533026741351932,191232,0.02105598710477352,9.19438898563385e-05,-0.0005252119153738022,,2093
430.0,,,,1763260355.545269,334.3880159854889,,,,191271,,,,430.0,2094
,0.16464614868164062,620.0,0.4945145845413208,1763260358.3883083,337.2310552597046,-0.0257563553750515,0.0,0.00018402458226773888,193408,0.07196763902902603,0.001904723234474659,-0.013401375152170658,,2117
,0.11529022455215454,622.0,0.4973754286766052,1763260361.246405,340.08915185928345,-0.03396227955818176,0.0,0.0001825652871048078,195840,272.57879638671875,0.001741071231663227,0.015525897033512592,,2141
,0.24646008014678955,623.0,0.4467107653617859,1763260361.8425648,340.685311794281,-0.040737003087997437,0.00390625,0.0001822580670705065,196352,0.008527224883437157,0.004419451579451561,0.026878545060753822,,2146
,0.4548377990722656,623.0,0.4212381839752197,1763260361.9828217,340.8255686759949,-0.0033569633960723877,0.0,0.0001821812620619312,196480,0.0016781124286353588,5.0603412091732025e-05,-0.0009560948237776756,,2147
,0.5144181251525879,623.0,0.4547431468963623,1763260362.115293,340.9580399990082,-0.008905287832021713,0.0,0.00018210445705335587,196608,0.00019944125961046666,0.0016392571851611137,-0.006718807853758335,,2148
,0.0004093647003173828,623.0,0.42597830295562744,1763260362.8948808,341.7376277446747,0.0015087947249412537,0.0,0.00018172043201047927,197248,36.508018493652344,6.892532110214233e-05,-0.0015143267810344696,,2155
,-0.4348243474960327,625.0,0.5180968642234802,1763260364.885797,343.7285439968109,-0.0012623332440853119,0.0,0.0001806451618904248,199040,7.794602424837649e-05,0.00014217756688594818,0.0019824933260679245,,2172
,0.0004367828369140625,625.0,0.5245426297187805,1763260366.8686807,345.71142768859863,0.01256076991558075,0.0,0.00017987711180467159,200320,331.08013916015625,0.0005623120814561844,-0.0043899137526750565,,2185
,0.05122172832489014,625.0,0.5767179131507874,1763260367.9998436,346.84259057044983,-0.0005394965410232544,0.0,0.00017941628175321966,201088,0.00012634221639018506,0.000242672860622406,-0.0059270840138196945,,2192
500.0,,,,1763260368.7114809,347.5542278289795,,,,201721,,,,500.0,2198
,0.0006191730499267578,626.0,0.46295082569122314,1763260368.892377,347.73512387275696,0.0018726661801338196,0.0,0.00017903225671034306,201728,64.63629150390625,0.0006056781858205795,-0.004307018592953682,,2199
,0.19485479593276978,627.0,0.49610644578933716,1763260370.356106,349.19885301589966,-0.00807303935289383,0.00390625,0.00017826420662458986,203008,9.771520853973925e-05,0.0025877570733428,-0.015222626738250256,,2211
,0.00035637617111206055,627.0,0.5431003570556641,1763260370.68537,349.528116941452,0.010116394609212875,0.0,0.00017811059660743922,203264,86.095947265625,0.0009023696184158325,0.0026645027101039886,,2214
,0.5391371846199036,627.0,0.5230974555015564,1763260371.4650626,350.30780959129333,-0.010805769823491573,0.0,0.00017772657156456262,203904,0.003318390343338251,0.00030534621328115463,0.00179376732558012,,2220
500.0,,,,1763260371.9471583,350.7899053096771,,,,204221,,,,500.0,2223
,0.03357839584350586,627.0,0.5560777187347412,1763260372.3692443,351.21199131011963,0.009623736143112183,0.001953125,0.00017741935153026134,204416,0.005930020939558744,0.0037247296422719955,0.0198244396597147,,2225
,-1.5908992290496826,627.0,0.5357465744018555,1763260372.5881534,351.4309003353119,-0.025296717882156372,0.00390625,0.00017734254652168602,204544,0.00021353694319259375,0.0027209296822547913,0.020950205624103546,,2226
,0.7256673574447632,627.0,0.36448949575424194,1763260372.8053896,351.6481366157532,-0.0362146720290184,0.05859375,0.0001772657415131107,204672,0.0002329279377590865,0.016877105459570885,0.05676756799221039,,2227
,0.42054563760757446,627.0,0.470395565032959,1763260373.4581842,352.30093121528625,-0.001670636236667633,0.0,0.00017703532648738474,205056,3.3980504667852074e-05,0.0026987725868821144,-0.005235250107944012,,2231
,0.40127766132354736,627.0,0.5033586025238037,1763260374.109868,352.9526150226593,0.0007710754871368408,0.0,0.00017680491146165878,205440,0.0038739293813705444,0.00020245835185050964,0.0012181047350168228,,2235
,0.29048287868499756,627.0,0.4619060754776001,1763260375.1006882,353.94343519210815,-0.01517510786652565,0.0,0.00017642088641878217,206080,0.00013050860434304923,0.0022461963817477226,0.007131786085665226,,2241
500.0,,,,1763260376.165187,355.00793385505676,,,,206721,,,,500.0,2248
,0.07054102420806885,627.0,0.5069587230682373,1763260376.5269191,355.36966609954834,-0.029965676367282867,0.0078125,0.00017588325135875493,206976,0.00039580115117132664,0.004547066055238247,-0.004161288030445576,,2250
,-0.00022494792938232422,627.0,0.40506452322006226,1763260376.9322805,355.775027513504,0.020276959985494614,0.005859375,0.0001757296413416043,207232,11.254327774047852,0.004204731434583664,0.021994000300765038,,2253
500.0,,,,1763260379.6246266,358.46737360954285,,,,209221,,,,500.0,2272
,0.0367465615272522,629.0,0.4946765899658203,1763260380.5530598,359.3958067893982,0.004546366631984711,0.0078125,0.00017403994570486248,210048,0.00015915460244286805,0.00448736734688282,-0.01607787050306797,,2280
,-1.0248174667358398,630.0,0.5019624829292297,1763260382.2327785,361.07552552223206,-0.00331110879778862,0.0,0.00017311828560195863,211584,0.00028542624204419553,0.0011861659586429596,0.006297223269939423,,2295
,0.0021204352378845215,630.0,0.4904540479183197,1763260382.6789463,361.5216932296753,0.0010041147470474243,0.0,0.000172964675584808,211840,182.8370819091797,0.00039658229798078537,-0.0013245148584246635,,2298
,0.42088913917541504,630.0,0.47496873140335083,1763260384.6475186,363.49026560783386,-0.01083751767873764,0.0,0.0001721966254990548,213120,9.383224823977798e-05,0.0016661407425999641,0.0053570931777358055,,2310
,-0.0005276203155517578,630.0,0.45088332891464233,1763260384.864396,363.7071430683136,-0.0015756040811538696,0.0,0.00017211982049047947,213248,42.99705505371094,0.0004883892834186554,-0.00879238173365593,,2312
,0.2333323359489441,631.0,0.4407331943511963,1763260385.6297026,364.4724495410919,0.0020262598991394043,0.0,0.00017173579544760287,213888,0.00614893576130271,9.064376354217529e-05,0.0014396701008081436,,2318
,0.0009152889251708984,631.0,0.5089702606201172,1763260386.0463407,364.88908767700195,0.003207594156265259,0.0,0.0001715053804218769,214272,205.72682189941406,7.057934999465942e-05,-0.0017073005437850952,,2322
,-0.34395503997802734,631.0,0.45009490847587585,1763260386.324123,365.1668698787689,-0.008873838931322098,0.0,0.00017135177040472627,214528,8.732952119316906e-05,0.0016654105857014656,0.012716607190668583,,2324
,-0.3283344507217407,632.0,0.4555515646934509,1763260386.8793235,365.72207045555115,0.0029117390513420105,0.0,0.00017104455037042499,215040,0.00028473004931584,0.00016477424651384354,-0.0034799212589859962,,2329
,0.5333517789840698,633.0,0.4400250315666199,1763260388.010644,366.85339093208313,-0.02576567977666855,0.0078125,0.00017043011030182242,216064,9.040186705533415e-05,0.006716224364936352,-0.009384199045598507,,2339
,0.1953732967376709,633.0,0.4042479395866394,1763260388.4245272,367.26727414131165,-0.00213770754635334,0.005859375,0.00017019969527609646,216448,0.005163844674825668,0.0033098002895712852,0.017848540097475052,,2343
,0.003040313720703125,634.0,0.46645063161849976,1763260388.975713,367.8184599876404,0.0004870407283306122,0.0,0.00016989247524179518,216960,0.0056663816794753075,0.000566534698009491,-0.005725983530282974,,2348
,-0.30557990074157715,634.0,0.47509604692459106,1763260389.6461215,368.4888684749603,0.0009559616446495056,0.0,0.00016950845019891858,217600,8.566176984459162e-05,5.70882111787796e-05,0.0011828802525997162,,2354
,-0.004441261291503906,635.0,0.46482789516448975,1763260390.610462,369.45320892333984,0.0027563869953155518,0.0,0.00016897081513889134,218496,4.309453652240336e-05,0.0007100552320480347,0.00769573450088501,,2363
,-0.1515796184539795,637.0,0.42499294877052307,1763260393.5577545,372.4005014896393,0.004188463091850281,0.0,0.00016735790995880961,221184,0.0001009320912999101,0.0015159975737333298,0.00013700313866138458,,2389
,0.4530017375946045,638.0,0.4212494492530823,1763260394.1057956,372.94854259490967,-0.002223394811153412,0.0,0.00016705068992450833,221696,7.896273018559441e-05,0.00013528764247894287,0.0010540280491113663,,2394
500.0,,,,1763260396.003879,374.8466260433197,,,,223221,,,,500.0,2409
,0.9029465317726135,638.0,0.41577598452568054,1763260398.845464,377.6882109642029,-0.002174273133277893,0.0,0.00016513056471012533,224896,0.0069682360626757145,0.00032038334757089615,0.005197209306061268,,2426
,0.004876196384429932,638.0,0.44797050952911377,1763260399.4761457,378.31889271736145,-0.0016042031347751617,0.0,0.00016490014968439937,225280,304.41571044921875,0.00021078996360301971,-0.0013889707624912262,,2430
500.0,,,,1763260402.6416745,381.4844214916229,,,,227221,,,,500.0,2449
,0.9323069453239441,638.0,0.3840108811855316,1763260405.4710011,384.3137481212616,-0.0002832021564245224,0.0,0.0001627496094442904,228864,0.0066573284566402435,0.00013938173651695251,0.0002806317061185837,,2465
,0.9549443125724792,639.0,0.38073331117630005,1763260408.6864269,387.5291738510132,0.0019696541130542755,0.0,0.0001611367188161239,231552,0.0005317594041116536,0.000202251598238945,-5.258433520793915e-05,,2491
500.0,,,,1763260408.842664,387.6854109764099,,,,231721,,,,500.0,2493
,0.8284164667129517,641.0,0.45242488384246826,1763260410.3989863,389.2417333126068,-0.002736342139542103,0.0,0.00016021505871322006,233088,0.0002445729332976043,0.0006783539429306984,-0.0034158052876591682,,2506
,0.9000913500785828,641.0,0.40150001645088196,1763260411.311725,390.15447187423706,-0.00026063621044158936,0.0,0.00015975422866176814,233856,0.005273621529340744,4.375167191028595e-05,-0.0034924745559692383,,2514
,-0.4061778783798218,641.0,0.35785457491874695,1763260411.5201554,390.3629024028778,0.017284413799643517,0.0,0.00015967742365319282,233984,0.00022943216026760638,0.002020401880145073,0.0012756064534187317,,2515
,0.22698050737380981,641.0,0.41919371485710144,1763260412.4259417,391.26868867874146,-0.025546962395310402,0.01171875,0.00015937020361889154,234496,0.00028125671087764204,0.004244237206876278,-0.005287312902510166,,2520
,0.003984212875366211,641.0,0.45433592796325684,1763260414.5001762,393.3429231643677,-0.0032099224627017975,0.0,0.00015860215353313833,235776,114.36593627929688,0.00017307419329881668,0.006237915717065334,,2533
,0.8929634094238281,641.0,0.35928627848625183,1763260415.7590442,394.60179114341736,-0.015165627002716064,0.001953125,0.0001581413234816864,236544,0.0010924055241048336,0.001206989400088787,0.012054861523211002,,2540
500.0,,,,1763260416.8656034,395.70835041999817,,,,237221,,,,500.0,2547
,0.5891931056976318,640.0,0.4159505367279053,1763260420.971553,399.8143000602722,-0.00683288648724556,0.03125,0.00015629800327587873,239616,0.00021543072944041342,0.007090511731803417,-0.005586531944572926,,2570
