charts/SPS,charts/episodic_length,losses/clipfrac,charts/learning_rate,losses/policy_loss,_runtime,losses/value_loss,_timestamp,losses/entropy,losses/approx_kl,losses/old_approx_kl,losses/explained_variance,charts/episodic_return,_step,global_step
645.0,,0.0,0.00019078340847045183,-0.00227462500333786,307.54839754104614,31.871097564697266,1763260328.7174795,0.2746363878250122,0.00016131997108459473,0.0036866795271635056,0.0051427483558654785,,1985,182144
645.0,,0.005859375,0.00019039938342757523,-0.00354723259806633,308.5282881259918,0.003057098714634776,1763260329.69737,0.24092021584510803,0.0030630333349108696,-0.025858821347355843,0.590709924697876,,1991,182784
646.0,,0.03125,0.00018970813835039735,0.004525817930698395,310.14352583885193,0.0021454943343997,1763260331.3126078,0.19088312983512878,0.0007097907364368439,0.015208585187792778,0.3405076861381531,,2002,183936
646.0,,0.0,0.00018940091831609607,-0.0012424439191818237,310.887713432312,0.0013435003347694874,1763260332.0567954,0.27055513858795166,0.0003117211163043976,-0.002128215506672859,0.8410677909851074,,2007,184448
647.0,,0.001953125,0.00018886328325606883,-0.01120875496417284,311.9637427330017,0.0011455256026238203,1763260333.1328247,0.29247546195983887,0.0029996559023857117,0.019524071365594864,0.7329429388046265,,2016,185344
,500.0,,,,312.25766372680664,,1763260333.4267457,,,,,500.0,2019,185609
647.0,,0.0,0.0001884024532046169,0.0013539940118789673,312.84667444229126,77.89110565185547,1763260334.0157564,0.23264145851135254,0.00022859033197164536,0.0038511445745825768,0.008588254451751709,,2024,186112
648.0,,0.013671875,0.00018817203817889094,-0.006920843385159969,313.22159075737,0.0017085105646401644,1763260334.3906727,0.2853007912635803,0.0026862500235438347,-3.053154796361923e-05,0.3013855814933777,,2027,186496
648.0,,0.001953125,0.00018809523317031562,-0.008291222155094147,313.39819622039795,206.73538208007812,1763260334.5672781,0.22484587132930756,0.0014292038977146149,-0.009952450171113014,0.01671624183654785,,2029,186624
648.0,,0.0,0.00018778801313601434,0.0012907013297080994,313.9498505592346,226.23001098632812,1763260335.1189325,0.2862847149372101,0.0003012102097272873,0.0026552714407444,0.01128542423248291,,2034,187136
