losses/old_approx_kl,_runtime,_step,_timestamp,charts/SPS,losses/policy_loss,losses/value_loss,losses/entropy,losses/approx_kl,charts/episodic_return,losses/clipfrac,charts/learning_rate,charts/episodic_length,losses/explained_variance,global_step
-0.004013592377305031,40.32737469673157,259,1763260095.5095737,999.0,0.0012499839067459106,73.38162231445312,0.5594097971916199,0.0004815831780433655,,0.0,0.0002913978532887995,,0.44762855768203735,14464
,40.68918991088867,265,1763260095.871389,,,,,,122.0,,,122.0,,14862
-0.0009619742631912231,41.43073916435242,273,1763260096.6129382,1002.0,7.59027898311615e-05,221.56503295898438,0.5681165456771851,0.00024218112230300903,,0.0,0.00029070660821162164,,0.3611999750137329,15616
,41.44491529464722,274,1763260096.6271143,,,,,,375.0,,,375.0,,15654
,42.88589549064636,292,1763260098.0680945,,,,,,295.0,,,295.0,,17160
,44.7561571598053,321,1763260099.9383562,,,,,,156.0,,,156.0,,19092
-0.00023582391440868378,45.13322639465332,327,1763260100.3154254,1009.0,-1.0766088962554932e-06,69.9941177368164,0.6140821576118469,1.987069845199585e-05,,0.0,0.00028840245795436203,,0.057413578033447266,19456
-0.0005404651165008545,45.38253974914551,330,1763260100.5647388,1009.0,0.001069590449333191,105.45599365234375,0.6007376313209534,6.154179573059082e-06,,0.0,0.0002882488479372114,,0.20452934503555298,19712
,45.50277924537659,332,1763260100.6849782,,,,,,157.0,,,157.0,,19848
0.0009346529841423035,45.85540437698364,337,1763260101.0376034,1011.0,-0.0012591425329446793,123.0386962890625,0.5759145021438599,6.990507245063782e-06,,0.0,0.0002879416279029101,,0.12237179279327393,20224
,45.9897084236145,340,1763260101.1719074,,,,,,133.0,,,133.0,,20395
-0.00020987261086702347,48.45249676704407,370,1763260103.6346958,1013.0,-0.0008277706801891327,157.3223114013672,0.5786145925521851,1.48015096783638e-05,,0.0,0.0002863287227228284,,0.028169572353363037,22912
-0.0011838627979159355,48.80500531196594,375,1763260103.9872043,1014.0,-0.0010579600930213928,146.36973571777344,0.5389499664306641,2.3760832846164703e-05,,0.0,0.00028609830769710243,,0.0495142936706543,23296
,50.275572538375854,396,1763260105.4577715,,,,,,205.0,,,205.0,,24900
0.005489293485879898,52.976529359817505,425,1763260108.1587284,1019.0,-0.005526356399059296,111.10353088378906,0.49997735023498535,0.00016129575669765472,,0.0,0.00028348693740554154,,0.6396835446357727,27648
0.001368601806461811,54.50907778739929,441,1763260109.6912768,1022.0,-0.0014654509723186493,53.69646453857422,0.4750432074069977,0.00017265509814023972,,0.0,0.0002824884722940624,,0.6584845185279846,29312
0.00013117864727973938,55.26112365722656,450,1763260110.4433227,1022.0,-0.0011293739080429077,233.43313598632812,0.4778951406478882,1.1548399925231934e-05,232.0,0.0,0.00028202764224261045,232.0,0.02042478322982788,30080
0.00044549349695444107,57.1964066028595,471,1763260112.3786056,1024.0,0.0006975997239351273,81.91993713378906,0.4620407223701477,6.290990859270096e-05,,0.0,0.00028079876210540533,,-0.016213417053222656,32128
