_timestamp,losses/value_loss,losses/old_approx_kl,_step,losses/approx_kl,charts/learning_rate,charts/episodic_length,_runtime,losses/entropy,charts/episodic_return,global_step,losses/explained_variance,losses/clipfrac,losses/policy_loss,charts/SPS
1763260218.7792573,0.0002086494496325031,-0.01805156096816063,1732,0.0008083125576376915,0.00020990784105379134,,163.61329627037048,0.4128316640853882,,150272,-0.40568864345550537,0.0,-0.010175429284572601,1087.0
1763260219.9282055,0.0007146698771975935,-0.000588124617934227,1745,0.0012639090418815613,0.00020913979096803814,,164.76224446296692,0.40993350744247437,,151552,-0.0035507678985595703,0.0,-0.00859745591878891,1088.0
1763260220.6356676,1266.25732421875,0.0024505797773599625,1753,0.0002862587571144104,0.00020867896091658622,,165.46970653533936,0.3920580744743347,,152320,-9.66787338256836e-05,0.0,-0.0010502804070711136,1088.0
1763260220.7460344,0.0064048138447105885,0.012688723392784595,1754,0.001818549819290638,0.0002086021559080109,,165.58007335662842,0.39336955547332764,,152448,-0.03498852252960205,0.0,-0.011099599301815033,1088.0
1763260221.7967556,0.0005089587648399174,-0.019874781370162964,1765,0.0036975741386413574,0.00020791091083083302,,166.63079452514648,0.4353013038635254,,153600,-0.04437434673309326,0.0078125,-0.019559666514396667,1088.0
1763260222.023092,1017.5934448242188,-0.001404639333486557,1768,3.081560134887695e-05,0.00020775730081368238,,166.8571310043335,0.37532728910446167,,153856,-7.402896881103516e-05,0.0,0.00018098950386047363,1088.0
1763260222.8505793,,,1777,,,500.0,167.6846182346344,,500.0,154789,,,,
1763260226.6481555,0.008156456053256989,0.004683992825448513,1818,0.00037315767258405685,0.00020468510047066957,,171.48219442367554,0.4900830388069153,,158976,-4.765286922454834,0.0,-0.0004301648586988449,1088.0
1763260227.0985868,0.005560447461903095,0.0010636653751134872,1823,0.0007183216512203217,0.0002043778804363683,,171.93262577056885,0.44843199849128723,,159488,0.2991732954978943,0.0,-0.004745751619338989,1089.0
1763260229.621507,955.4273681640625,8.0108642578125e-05,1851,0.00016594305634498596,0.00020268817024771124,,174.4555459022522,0.32359710335731506,,162304,3.5762786865234375e-05,0.0,-0.003130512312054634,1089.0
1763260230.1124914,1004.2871704101562,-0.0019201785326004028,1856,6.652623414993286e-05,0.00020238095021340996,,174.94653034210205,0.39077383279800415,,162816,3.0517578125e-05,0.0,-0.00045013055205345154,1089.0
1763260231.2593145,0.0006744671263732016,0.015116868540644646,1868,0.0029305070638656616,0.00020161290012765676,,176.09335350990295,0.41261643171310425,,164096,0.003722667694091797,0.0078125,-0.024385925382375717,1089.0
