charts/episodic_length,losses/entropy,charts/episodic_return,_runtime,global_step,charts/learning_rate,losses/clipfrac,losses/explained_variance,_timestamp,losses/old_approx_kl,_step,losses/value_loss,losses/policy_loss,losses/approx_kl,charts/SPS
,0.5579098463058472,,6.0164124965667725,3200,0.0002981566940434277,0.06640625,0.6939361095428467,1763260048.1559265,0.060384005308151245,228,0.7325429916381836,-0.037923719733953476,0.009002745151519775,951.0
17.0,,17.0,6.050484657287598,3266,,,,1763260048.1899986,,233,,,,
12.0,,12.0,6.3558526039123535,3526,,,,1763260048.4953666,,251,,,,
17.0,,17.0,6.482900381088257,3645,,,,1763260048.6224144,,259,,,,
52.0,,52.0,6.604610919952393,3773,,,,1763260048.744125,,265,,,,
27.0,,27.0,6.761841058731079,3967,,,,1763260048.901355,,273,,,,
,0.6162768006324768,,6.8314759731292725,3968,0.0002976958639919758,0.0078125,0.45532530546188354,1763260048.97099,-0.0036758212372660637,274,1.0529050827026367,-0.015568848699331284,0.00471354927867651,949.0
35.0,,35.0,7.374871730804443,4596,,,,1763260049.5143857,,292,,,,
25.0,,25.0,8.451375961303711,5704,,,,1763260050.59089,,327,,,,
69.0,,69.0,8.558570623397827,5807,,,,1763260050.6980846,,330,,,,
35.0,,35.0,8.583444833755493,5872,,,,1763260050.7229588,,332,,,,
,0.5239679217338562,,8.780407905578613,6016,0.00029646698385477066,0.0,0.10661077499389648,1763260050.9199219,0.003278193064033985,337,2.924424171447754,0.005528341978788376,0.00036975834518671036,981.0
46.0,,46.0,8.81913709640503,6115,,,,1763260050.958651,,340,,,,
114.0,,114.0,9.953065156936646,7240,,,,1763260052.0925791,,370,,,,
,0.3849009573459625,,11.116744995117188,8448,0.0002950076886918396,0.0,0.40079212188720703,1763260053.256259,0.004796081222593784,396,4.812899589538574,0.000868484377861023,0.0013713045045733452,998.0
51.0,,51.0,12.540687084197998,9622,,,,1763260054.680201,,425,,,,
,0.38890570402145386,,13.218904972076416,10240,0.0002939324185717851,0.0,0.9151761531829834,1763260055.358419,0.004485541023313999,441,2.2416889667510986,0.00032630935311317444,0.00031730998307466507,969.0
97.0,,97.0,13.527891159057617,10600,,,,1763260055.6674051,,450,,,,
36.0,,36.0,14.338233232498169,11312,,,,1763260056.4777472,,471,,,,
32.0,,32.0,14.631772518157959,11632,,,,1763260056.7712865,,481,,,,
,0.35759225487709045,,15.04290223121643,11904,0.00029293395346030593,0.0,0.8277778625488281,1763260057.1824162,0.0005766861140727997,490,0.18272456526756287,0.007472991943359375,0.0004554241895675659,960.0
36.0,,36.0,15.4833083152771,12337,,,,1763260057.6228223,,504,,,,
,0.40969958901405334,,15.946905374526978,12672,0.000292473123408854,0.0,0.8271963000297546,1763260058.0864193,0.0010920893400907516,515,2.871514081954956,-0.002856908366084099,3.8197264075279236e-05,953.0
29.0,,29.0,16.426761150360107,13103,,,,1763260058.5662751,,530,,,,
33.0,,33.0,16.66667079925537,13342,,,,1763260058.8061848,,539,,,,
39.0,,39.0,16.909241676330566,13584,,,,1763260059.0487556,,547,,,,
33.0,,33.0,17.12777352333069,13811,,,,1763260059.2672875,,555,,,,
28.0,,28.0,17.255921602249146,13895,,,,1763260059.3954356,,559,,,,
36.0,,36.0,17.504146814346313,14165,,,,1763260059.6436608,,568,,,,
35.0,,35.0,18.319917917251587,14935,,,,1763260060.459432,,595,,,,
38.0,,38.0,18.89999270439148,15500,,,,1763260061.0395067,,614,,,,
44.0,,44.0,19.450544118881226,16003,,,,1763260061.590058,,630,,,,
25.0,,25.0,19.589378595352173,16165,,,,1763260061.7288926,,636,,,,
39.0,,39.0,19.6980938911438,16258,,,,1763260061.8376079,,640,,,,
22.0,,22.0,20.38901972770691,16929,,,,1763260062.5285337,,664,,,,
31.0,,31.0,20.89870810508728,17437,,,,1763260063.038222,,684,,,,
39.0,,39.0,21.029926538467407,17592,,,,1763260063.1694405,,689,,,,
39.0,,39.0,21.274848461151123,17846,,,,1763260063.4143624,,698,,,,
30.0,,30.0,21.607789278030396,18114,,,,1763260063.7473032,,707,,,,
47.0,,47.0,22.208181381225586,18726,,,,1763260064.3476954,,729,,,,
47.0,,47.0,23.048598051071167,19582,,,,1763260065.188112,,757,,,,
