losses/explained_variance,charts/episodic_return,global_step,charts/learning_rate,_step,losses/policy_loss,_runtime,losses/entropy,losses/old_approx_kl,losses/clipfrac,losses/value_loss,charts/episodic_length,charts/SPS,_timestamp,losses/approx_kl
0.8486214876174927,,35072,0.00027903224690817297,872,-0.003874644637107849,36.28287863731384,0.44327056407928467,-0.0062757255509495735,0.015625,20.310453414916992,,1035.0,1763260078.4509547,0.005481872707605362
,64.0,35284,,876,,36.42882513999939,,,,,64.0,,1763260078.5969012,
,84.0,37537,,922,,38.536768198013306,,,,,84.0,,1763260080.7048442,
,62.0,37905,,930,,38.87263250350952,,,,,62.0,,1763260081.0407085,
0.9557466506958008,,38272,0.00027711212169378996,938,-0.008571028709411621,39.24277448654175,0.4089924693107605,0.009014768525958061,0.001953125,0.44882261753082275,,1039.0,1763260081.4108505,0.004150614142417908
0.8929610848426819,,38400,0.00027703531668521464,941,-0.005485087633132935,39.35840439796448,0.4101307988166809,0.01526082493364811,0.052734375,0.037112511694431305,,1039.0,1763260081.5264804,0.009984728880226612
,65.0,38423,,942,,39.36998629570007,,,,,65.0,,1763260081.5380623,
0.4195842742919922,,38656,0.000276881706668064,948,0.009674355387687683,39.592095136642456,0.3708537220954895,0.0004576854407787323,0.0,1.8922250270843506,,1039.0,1763260081.7601712,0.000374356284737587
,41.0,39614,,974,,40.501673460006714,,,,,41.0,,1763260082.6697495,
0.5193567276000977,,39808,0.00027619049069471657,980,0.00017687678337097168,40.72063422203064,0.43330419063568115,-0.0018402403220534325,0.00390625,43.0394172668457,,1039.0,1763260082.8887103,0.00298337172716856
,44.0,40002,,985,,40.86609220504761,,,,,44.0,,1763260083.0341682,
,55.0,41120,,1015,,41.9849066734314,,,,,55.0,,1763260084.1529827,
,61.0,41670,,1031,,42.51617455482483,,,,,61.0,,1763260084.6842506,
,51.0,42303,,1050,,43.116904735565186,,,,,51.0,,1763260085.2849808,
,49.0,42406,,1053,,43.26808547973633,,,,,49.0,,1763260085.4361615,
,35.0,42558,,1058,,43.399317026138306,,,,,35.0,,1763260085.567393,
0.9064629077911377,,43520,0.0002739631454460323,1083,-0.006717607378959656,44.361672163009644,0.4088175892829895,-0.0017293831333518028,0.021484375,1.4060038328170776,,1037.0,1763260086.5297482,0.0034198137000203133
,44.0,43790,,1091,,44.60604667663574,,,,,44.0,,1763260086.7741227,
,43.0,44214,,1106,,44.98525786399841,,,,,43.0,,1763260087.153334,
,20.0,44502,,1118,,45.24459385871887,,,,,20.0,,1763260087.41267,
,27.0,44979,,1133,,45.84646511077881,,,,,27.0,,1763260088.0145411,
,33.0,45295,,1145,,46.11571455001831,,,,,33.0,,1763260088.2837906,
,26.0,45747,,1164,,46.644163608551025,,,,,26.0,,1763260088.8122396,
,16.0,45918,,1172,,46.78775477409363,,,,,16.0,,1763260088.9558308,
,97.0,46164,,1181,,47.0272159576416,,,,,97.0,,1763260089.195292,
0.9794435501098633,,46336,0.00027227343525737524,1186,-0.0035505760461091995,47.23310828208923,0.4290969967842102,-0.009898756630718708,0.0,1.4880304336547852,,1034.0,1763260089.4011843,0.0007346672937273979
0.98443603515625,,46720,0.0002720430202316493,1197,-0.010867347940802574,47.63691782951355,0.5004860162734985,0.0008457303047180176,0.0,0.11748972535133362,,1033.0,1763260089.8049939,0.0005624983459711075
,15.0,47187,,1213,,48.0738205909729,,,,,15.0,,1763260090.2418966,
,27.0,47230,,1215,,48.09206485748291,,,,,27.0,,1763260090.260141,
,19.0,47483,,1226,,48.36545920372009,,,,,19.0,,1763260090.5335352,
,19.0,47544,,1230,,48.47096085548401,,,,,19.0,,1763260090.639037,
0.654780387878418,,47616,0.00027150538517162204,1234,-0.0015657544136047363,48.58717918395996,0.4531310498714447,0.0058016711845994,0.0,27.366661071777344,,1031.0,1763260090.7552552,0.0008067665621638298
,25.0,47854,,1245,,48.82984948158264,,,,,25.0,,1763260090.9979255,
,87.0,48661,,1271,,49.742406606674194,,,,,87.0,,1763260091.9104826,
,104.0,50164,,1299,,51.33106446266174,,,,,104.0,,1763260093.4991405,
0.9936257004737854,,53120,0.00026820276980288327,1339,-0.01019471138715744,54.107879638671875,0.4971073269844055,-0.020227886736392975,0.015625,0.00858896505087614,,1027.0,1763260096.2759557,0.0031916778534650803
,275.0,53225,,1340,,54.144277811050415,,,,,275.0,,1763260096.3123538,
0.9504522085189819,,55424,0.0002668202796485275,1363,-0.046241454780101776,56.076645612716675,0.46663904190063477,0.08532792329788208,0.15234375,0.008734572678804398,,1032.0,1763260098.2447217,0.035233333706855774
-0.027083992958068848,,55680,0.00026666666963137686,1365,-0.01082959957420826,56.33531093597412,0.4775518476963043,0.21594683825969696,0.19140625,0.0028105780947953463,,1032.0,1763260098.503387,0.07078726589679718
0.011185765266418457,,56192,0.0002663594495970756,1370,0.05197755992412567,56.78010654449463,0.5171703100204468,-0.0041289860382676125,0.162109375,0.002083737635985017,,1033.0,1763260098.9481826,0.04029766097664833
-0.0058547258377075195,,57216,0.000265745009528473,1380,-0.02917983941733837,57.75369095802307,0.4744845926761627,0.029011838138103485,0.0703125,0.0012031116057187319,,1034.0,1763260099.921767,0.005628339946269989
,500.0,57282,,1381,,57.77919578552246,,,,,500.0,,1763260099.9472718,
-0.004323005676269531,,57856,0.0002653609844855964,1388,-0.004693310707807541,58.296794176101685,0.4717119336128235,-0.025943558663129807,0.013671875,99.72006225585938,,1035.0,1763260100.4648702,0.00334195327013731
0.06154972314834595,,58624,0.0002649001544341445,1395,-0.08004581928253174,58.986318588256836,0.5004399418830872,0.06329278647899628,0.0234375,0.002252817153930664,,1036.0,1763260101.1543946,0.014133558608591557
0.9644080996513367,,59008,0.00026466973940841854,1399,-0.002531878650188446,59.32210350036621,0.40058255195617676,0.01969078928232193,0.0078125,0.003810024820268154,,1037.0,1763260101.4901795,0.0031449096277356148
-0.001949310302734375,,62336,0.0002626728091854602,1432,0.0008628834038972855,62.27586245536804,0.37988075613975525,0.0013072723522782326,0.00390625,0.019560808315873146,,1041.0,1763260104.4439385,0.0009121941402554512
0.9857663512229919,,62464,0.0002625960041768849,1433,-0.03140425682067871,62.386380434036255,0.47357237339019775,0.021919388324022293,0.0234375,0.003626908641308546,,1041.0,1763260104.5544565,0.005891653709113598
-0.007294297218322754,,64768,0.0002612135140225291,1455,0.002217065542936325,64.4613904953003,0.5013595223426819,0.01223322469741106,0.037109375,2.5255711079807952e-05,,1043.0,1763260106.6294665,0.013246174901723862
,500.0,64821,,1456,,64.48228931427002,,,,,500.0,,1763260106.6503654,
-0.002368927001953125,,64896,0.0002611367090139538,1457,-0.005628705024719238,64.57538938522339,0.38718563318252563,0.012956635095179081,0.0,117.6811294555664,,1044.0,1763260106.7434654,0.0005425838753581047
-0.0035278797149658203,,70784,0.0002576036786194891,1514,-0.04766898229718208,69.88068127632141,0.40803471207618713,0.038846295326948166,0.0703125,6.701280653942376e-05,,1049.0,1763260112.0487573,0.011990676634013653
