losses/entropy,global_step,losses/clipfrac,losses/approx_kl,charts/episodic_length,charts/episodic_return,losses/policy_loss,_runtime,losses/value_loss,charts/learning_rate,losses/old_approx_kl,losses/explained_variance,_timestamp,_step,charts/SPS
0.23793035745620728,59392,0.095703125,0.013255398720502853,,,-0.04353119060397148,59.388575315475464,0.005375835578888655,0.0002644393243826926,0.0545576736330986,0.13537561893463135,1763260101.5696654,1381,1043.0
0.2916283905506134,60160,0.087890625,0.01980268396437168,,,0.0003222711384296417,60.05767107009888,0.0014136687386780977,0.00026397849433124065,0.028944360092282295,0.009228050708770752,1763260102.2387612,1388,1044.0
0.21691322326660156,60800,0.083984375,0.0051880646497011185,,,0.0042424313724040985,60.65192532539368,107.54435729980469,0.00026359446928836405,0.02921578660607338,-0.00013816356658935547,1763260102.8330154,1395,1044.0
,61186,,,500.0,500.0,,60.982425928115845,,,,,1763260103.163516,1399,
0.35631731152534485,61824,0.033203125,0.00860003661364317,,,0.0008304566144943237,61.583760261535645,0.004953392315655947,0.0002629800292197615,0.00017219781875610352,0.1814226508140564,1763260103.7648504,1405,1045.0
0.3034612536430359,64640,0.001953125,0.002941456623375416,,,0.0005258470773696899,64.15375256538391,0.00046505010686814785,0.00026129031903110445,0.0037408089265227318,-0.003408193588256836,1763260106.3348427,1432,1047.0
,64686,,,500.0,500.0,,64.17380666732788,,,,,1763260106.3548968,1433,
0.20569458603858948,66944,0.00390625,0.00042100250720977783,,,0.0033175311982631683,66.2160894870758,8.319293556269258e-05,0.0002599078288767487,0.002130253240466118,-0.016548871994018555,1763260108.3971796,1455,1050.0
0.25135472416877747,67072,0.033203125,0.008636007085442543,,,0.012022176757454872,66.32519388198853,0.0005330166895873845,0.00025983102386817336,0.005447043105959892,-0.05060255527496338,1763260108.506284,1456,1050.0
,67186,,,500.0,500.0,,66.36469745635986,,,,,1763260108.5457876,1457,
0.17866668105125427,72960,0.03515625,0.0044807568192481995,,,0.0005593113601207733,71.59546780586243,2.6566212909528986e-05,0.00025629799347370863,0.030594319105148315,0.05685591697692871,1763260113.776558,1514,1055.0
,73686,,,500.0,500.0,,72.21155619621277,,,,,1763260114.3926463,1521,
0.18245886266231537,74240,0.08984375,0.006973639130592346,,,-0.007412109524011612,72.76350951194763,136.33885192871094,0.00025552994338795543,0.002429012209177017,-7.367134094238281e-05,1763260114.9445996,1527,1056.0
0.2644588351249695,74496,0.01171875,0.005644450895488262,,,0.0032822974026203156,72.98320770263672,1.3492455764207989e-05,0.0002553763333708048,-0.0068906145170331,0.007956624031066895,1763260115.1642978,1529,1056.0
0.1382354348897934,75008,0.00390625,0.0016594994813203812,,,-0.00046179257333278656,73.46774220466614,5.614004476228729e-05,0.0002550691133365035,-0.010343730449676514,-0.038565874099731445,1763260115.6488323,1534,1056.0
,75186,,,500.0,500.0,,73.59652304649353,,,,,1763260115.7776132,1536,
0.21160556375980377,75904,0.025390625,0.006183033809065819,,,0.002654135227203369,74.27675151824951,0.0016291160136461258,0.00025453147827647626,0.0064856186509132385,-0.01997661590576172,1763260116.4578416,1543,1056.0
0.20499856770038605,76160,0.013671875,0.002423645928502083,,,0.024888422340154648,74.49776244163513,0.0001653619547141716,0.0002543778682593256,-0.016614193096756935,-0.0942540168762207,1763260116.6788526,1545,1057.0
,76186,,,500.0,500.0,,74.50988817214966,,,,,1763260116.6909783,1546,
0.27687278389930725,77440,0.060546875,0.004601719789206982,,,-0.0036325976252555847,75.63636517524719,0.00026253939722664654,0.0002536098181735724,0.013888734392821789,-0.09115779399871826,1763260117.8174553,1558,1058.0
0.1166381910443306,77568,0.015625,0.006558645516633987,,,-0.028932277113199234,75.74490976333618,8.455845090793446e-08,0.0002535330131649971,0.03222410008311272,0.005817830562591553,1763260117.9259999,1559,1058.0
0.11808199435472488,77952,0.03515625,0.0007344186305999756,,,0.019419163465499878,76.08043098449707,0.00012219151540193707,0.00025330259813927114,-0.013133933767676353,-0.049260735511779785,1763260118.261521,1563,1058.0
0.24964995682239532,78208,0.09375,0.016357075423002243,,,-0.026782607659697533,76.33744144439697,0.012801442295312881,0.0002531489881221205,0.06825665384531021,-2.2530555725097656e-05,1763260118.5185316,1566,1058.0
0.21059007942676544,80640,0.025390625,0.0018460145220160484,,,0.0010336395353078842,78.50840353965759,7.394733984256163e-05,0.00025168972206301987,0.012266547419130802,0.0704735517501831,1763260120.6894937,1589,1060.0
0.18624138832092285,81408,0.0546875,0.002144966274499893,,,0.012884311378002167,79.51489400863647,0.0005055214278399944,0.00025122889201156795,-0.0039042625576257706,0.001988708972930908,1763260121.6959841,1597,1056.0
0.13060441613197327,82432,0.05859375,0.01260913535952568,,,-0.008554201573133469,80.81260871887207,0.0012990135001018643,0.0002506144519429654,0.02816329151391983,0.019648730754852295,1763260122.9936988,1607,1052.0
,82686,,,500.0,500.0,,81.03734970092773,,,,,1763260123.2184398,1609,
0.4139162302017212,82688,0.06640625,0.017786327749490738,,,-0.013395380228757858,81.18193459510803,0.009096415713429451,0.00025046084192581475,0.03412625193595886,-2.5033950805664062e-06,1763260123.3630247,1610,1050.0
0.17038559913635254,85632,0.08984375,0.008400878868997097,,,-0.007010072469711304,85.85712790489197,3.437708073761314e-07,0.0002486943267285824,0.012673410587012768,0.0454067587852478,1763260128.038218,1638,1026.0
0.28565582633018494,90624,0.00390625,0.0016307318583130836,,,-0.015704212710261345,97.5605583190918,1.314679320785217e-05,0.0002456989313941449,-0.0016997260972857475,-0.004392862319946289,1763260139.7416484,1687,952.0
,95186,,,500.0,500.0,,106.94847083091736,,,,,1763260149.129561,1732,
0.2010187804698944,96512,0.064453125,0.002159099094569683,,,-0.001826465129852295,109.75748777389526,0.0001809671230148524,0.00024216590099968016,-0.0016778381541371346,-0.05371356010437012,1763260151.938578,1745,899.0
