_step,losses/entropy,_timestamp,losses/value_loss,global_step,charts/learning_rate,charts/episodic_length,losses/policy_loss,losses/explained_variance,losses/clipfrac,losses/old_approx_kl,_runtime,charts/SPS,losses/approx_kl,charts/episodic_return
1083,0.5466983318328857,1763260090.386076,0.1852773278951645,47488,0.00027158219018019736,,-0.0044744499027729034,-0.00024318695068359375,0.001953125,0.011391698382794857,48.211402893066406,1041.0,0.003842676989734173,
1091,,1763260090.796666,,47932,,112.0,,,,,48.62199282646179,,,112.0
1106,0.5770384669303894,1763260091.5778832,0.12341557443141937,48640,0.0002708909451030195,,0.053671035915613174,-0.0002065896987915039,0.109375,-0.0252030361443758,49.403210163116455,1039.0,0.021339470520615578,
1118,,1763260092.2699966,,49313,,118.0,,,,,50.09532356262207,,,118.0
1133,0.5418844819068909,1763260093.078993,52.9786262512207,50048,0.00027004609000869095,,0.010931029915809631,-0.00038063526153564453,0.064453125,0.02679402567446232,50.90432000160217,1036.0,0.011917265132069588,
1145,,1763260093.7015672,,50714,,21.0,,,,,51.526894092559814,,,21.0
1164,,1763260094.5670867,,51636,,120.0,,,,,52.39241361618042,,,120.0
1172,0.5716277360916138,1763260094.8976905,2.081498861312866,51968,0.00026889401488006115,,-0.032334599643945694,-0.00015354156494140625,0.025390625,0.017341462895274162,52.72301745414734,1037.0,0.007222751155495644,
1181,0.4859621226787567,1763260095.4106271,0.15029793977737427,52480,0.00026858679484575987,,-0.0068830400705337524,-0.0002893209457397461,0.0,-0.0005196882411837578,53.23595404624939,1037.0,0.0007850108668208122,
1186,,1763260095.561614,,52698,,137.0,,,,,53.38694095611572,,,137.0
1197,0.5111187696456909,1763260096.10001,54.46617889404297,53248,0.00026812596479430795,,-0.00456957146525383,6.198883056640625e-06,0.0703125,-0.010615641251206398,53.925336837768555,1038.0,0.009457916021347046,
1213,0.5589672327041626,1763260096.8423696,0.17312675714492798,54016,0.000267665134742856,,-0.04405423253774643,-0.00015866756439208984,0.029296875,-0.048873238265514374,54.667696475982666,1038.0,0.011492984369397163,
1215,,1763260096.87161,,54085,,18.0,,,,,54.69693684577942,,,18.0
1226,,1763260097.5062082,,54734,,130.0,,,,,55.33153510093689,,,130.0
1230,,1763260097.6008487,,54789,,22.0,,,,,55.426175594329834,,,22.0
1234,,1763260097.8310251,,55051,,135.0,,,,,55.656352043151855,,,135.0
1245,0.5411803126335144,1763260098.4437025,57.96510696411133,55680,0.00026666666963137686,,-0.02520936168730259,-0.0002200603485107422,0.017578125,0.02806065045297146,56.26902937889099,1038.0,0.006081832572817802,
1271,,1763260099.8684804,,57241,,22.0,,,,,57.69380736351013,,,22.0
1299,0.5823068618774414,1763260101.270729,0.15887904167175293,58752,0.0002648233494255692,,0.014077290892601013,-0.00015401840209960938,0.11328125,-0.011435836553573608,59.09605598449707,1040.0,0.019314195960760117,
1339,,1763260103.153475,,60762,,106.0,,,,,60.9788019657135,,,106.0
1340,0.477387398481369,1763260103.233209,0.10485543310642242,60800,0.00026359446928836405,,-0.009328728541731834,-0.00013387203216552734,0.0,0.0012885518372058868,61.05853581428528,1040.0,0.0012457817792892456,
1363,,1763260104.2139986,,61834,,116.0,,,,,62.03932547569275,,,116.0
1365,0.4902521073818207,1763260104.3248525,2.2833456993103027,61952,0.00026290322421118617,,0.021226825192570686,-0.0001354217529296875,0.0,-0.019113143905997276,62.150179386138916,1040.0,0.0014162706211209297,
1370,0.5180655717849731,1763260104.5534232,2.326732873916626,62208,0.00026274961419403553,,-0.003965416923165321,-0.00013875961303710938,0.0,-0.00896596908569336,62.37875008583069,1041.0,0.0024320874363183975,
1380,,1763260105.0852723,,62753,,107.0,,,,,62.91059923171997,,,107.0
1381,0.5308799147605896,1763260105.1848996,59.601383209228516,62848,0.00026236558915115893,,-0.027092333883047104,-8.058547973632812e-05,0.005859375,0.030960528180003166,63.0102264881134,1040.0,0.00781936664134264,
1388,0.5612022280693054,1763260105.5265222,2.2951138019561768,63232,0.00026213517412543297,,-0.005468506366014481,-0.00010704994201660156,0.0,-0.0003323471173644066,63.35184907913208,1041.0,0.0003102226182818413,
1395,0.5447381734848022,1763260105.9223533,0.16404789686203003,63616,0.000261904759099707,,-0.00019150599837303162,-0.00011241436004638672,0.0,-0.0007529910653829575,63.74768018722534,1040.0,0.00039118528366088867,
1399,,1763260106.0585666,,63799,,104.0,,,,,63.88389348983765,,,104.0
1432,,1763260107.3706977,,65161,,113.0,,,,,65.19602465629578,,,113.0
1433,,1763260107.377473,,65175,,14.0,,,,,65.20280003547668,,,14.0
1455,0.46416881680488586,1763260108.5646176,0.08670054376125336,66432,0.00026021504891104996,,-0.025850340723991394,-0.00014138221740722656,0.0,0.008363185450434685,66.38994455337524,1041.0,0.0026469770818948746,
1456,,1763260108.5764956,,66461,,126.0,,,,,66.40182256698608,,,126.0
1457,0.5197165608406067,1763260108.6770759,0.1406969130039215,66560,0.00026013824390247464,,-0.029378727078437805,-6.54458999633789e-05,0.0390625,0.005473385564982891,66.50240278244019,1042.0,0.009421211667358875,
1514,,1763260110.886734,,68892,,11.0,,,,,68.71206092834473,,,11.0
1521,0.5556544065475464,1763260111.1899393,2.27624249458313,69120,0.00025860214373096824,,-0.014998398721218109,-0.00011420249938964844,0.001953125,-0.013197315856814384,69.01526618003845,1041.0,0.003250175155699253,
1527,,1763260111.3453693,,69351,,113.0,,,,,69.17069625854492,,,113.0
1529,0.5238814949989319,1763260111.4239602,0.20801138877868652,69376,0.0002584485337138176,,0.028531676158308983,-5.924701690673828e-05,0.0,0.00016975868493318558,69.24928712844849,1041.0,0.0014634830877184868,
1534,,1763260111.5731127,,69571,,95.0,,,,,69.39843964576721,,,95.0
1536,,1763260111.6758413,,69662,,91.0,,,,,69.5011682510376,,,91.0
1543,,1763260111.9104989,,69917,,96.0,,,,,69.73582577705383,,,96.0
1545,,1763260112.018637,,70033,,116.0,,,,,69.84396386146545,,,116.0
1546,0.5402978658676147,1763260112.1644692,0.08654795587062836,70144,0.0002579877036623657,,0.015472963452339172,-0.00012552738189697266,0.025390625,0.0014693308621644974,69.98979616165161,1041.0,0.0055800434201955795,
1558,,1763260112.8411834,,70877,,123.0,,,,,70.66651034355164,,,123.0
1559,0.5154988169670105,1763260112.922317,58.266326904296875,70912,0.00025752687361091375,,0.034685201942920685,-9.274482727050781e-05,0.013671875,-0.04340313374996185,70.74764394760132,1041.0,0.009452375583350658,
1563,0.5107439756393433,1763260113.1470122,0.08916457742452621,71168,0.0002573732635937631,,0.00021235831081867218,-0.00011754035949707031,0.08984375,-0.021449044346809387,70.9723391532898,1041.0,0.0157246682792902,
1566,,1763260113.3183522,,71368,,111.0,,,,,71.14367914199829,,,111.0
1589,,1763260114.642273,,72734,,119.0,,,,,72.46759986877441,,,119.0
1597,0.503770649433136,1763260115.0943873,64.84965515136719,73216,0.000256144383456558,,-0.0338352806866169,-9.167194366455078e-05,0.12890625,-0.004633384756743908,72.9197142124176,1041.0,0.012429402209818363,
1607,0.5509737133979797,1763260115.7133622,61.00321960449219,73856,0.0002557603584136814,,-0.005300631746649742,-5.0187110900878906e-05,0.0,-0.008391870185732841,73.53868913650513,1041.0,0.002431584522128105,
1609,0.554394006729126,1763260115.827217,61.066497802734375,73984,0.00025568355340510607,,-0.003024505451321602,-6.115436553955078e-05,0.009765625,-0.015478815883398056,73.65254402160645,1041.0,0.004385057836771011,
1610,,1763260115.8463576,,74031,,106.0,,,,,73.6716845035553,,,106.0
1638,,1763260117.3770776,,75713,,14.0,,,,,75.20240449905396,,,14.0
1687,,1763260120.0464747,,78581,,116.0,,,,,77.87180161476135,,,116.0
1732,0.4843393862247467,1763260123.4092531,2.573798179626465,80896,0.00025153611204586923,,0.007948066107928753,-4.684925079345703e-05,0.0,0.00042708124965429306,81.23458003997803,1029.0,0.00028929952532052994,
1745,0.46607735753059387,1763260124.6020167,65.5639877319336,81664,0.0002510752819944173,,0.006306961178779602,-5.1021575927734375e-05,0.078125,-0.0005944296717643738,82.42734360694885,1023.0,0.012543456628918648,
1753,0.5040909051895142,1763260125.4434736,2.528740406036377,82176,0.00025076806196011603,,-0.03421194106340408,-2.3603439331054688e-05,0.00390625,0.013845270499587059,83.26880049705505,1019.0,0.005866739898920059,
1754,,1763260125.4816132,,82215,,128.0,,,,,83.30694007873535,,,128.0
1768,,1763260127.206666,,83009,,126.0,,,,,85.03199291229248,,,126.0
1777,,1763260128.4859788,,83566,,136.0,,,,,86.31130576133728,,,136.0
1818,,1763260135.8057387,,85766,,14.0,,,,,93.63106560707092,,,14.0
1823,,1763260136.2856102,,85927,,12.0,,,,,94.11093711853027,,,12.0
1851,,1763260139.9834435,,87384,,13.0,,,,,97.80877041816711,,,13.0
1868,0.4917632043361664,1763260142.0181189,2.571229934692383,87936,0.0002473118365742266,,-0.005316995084285736,-2.0742416381835938e-05,0.001953125,-0.002693530172109604,99.84344577789307,904.0,0.0025015883147716522,
1873,0.4981437921524048,1763260142.7060595,65.7400894165039,88192,0.000247158226557076,,-0.02930624783039093,-2.3126602172851562e-05,0.001953125,0.010727126151323318,100.53138637542725,900.0,0.0019080936908721924,
1877,,1763260142.9382224,,88234,,12.0,,,,,100.76354932785034,,,12.0
1886,,1763260143.6765947,,88428,,11.0,,,,,101.50192165374756,,,11.0
1903,,1763260145.5348074,,88935,,14.0,,,,,103.36013436317444,,,14.0
1906,0.4373255968093872,1763260145.88276,62.142234802246094,88960,0.00024669739650562406,,0.0009191073477268219,0.016440629959106445,0.0,-0.001387360505759716,103.70808696746826,880.0,0.001067458651959896,
1918,0.4688336253166199,1763260146.9496887,65.34376525878906,89216,0.0002465437864884734,,-0.03813033550977707,0.0039024949073791504,0.017578125,0.029680287465453148,104.77501559257507,873.0,0.006030752323567867,
1920,,1763260147.0619214,,89291,,13.0,,,,,104.88724827766418,,,13.0
1945,,1763260151.0587978,,90989,,279.0,,,,,108.88412475585938,,,279.0
1959,0.4603208303451538,1763260154.0553358,0.02010990120470524,92416,0.0002446236612740904,,-0.06269688159227371,0.7247005701065063,0.115234375,0.06261157989501953,111.88066267967224,845.0,0.024192383512854576,
1973,0.46375933289527893,1763260156.6994646,0.015727952122688293,93824,0.0002437788061797619,,-0.025620505213737488,0.7038421034812927,0.0546875,0.016657691448926926,114.52479147911072,838.0,0.02181219682097435,
1985,,1763260158.8606575,,94989,,500.0,,,,,116.68598437309265,,,500.0
1991,0.2967792749404907,1763260159.9665697,0.02458132430911064,95616,0.0002427035360597074,,-0.03614828363060951,0.9198854565620422,0.1171875,0.0817718654870987,117.79189658164978,830.0,0.0461575873196125,
2002,,1763260161.7970495,,96736,,500.0,,,,,119.62237644195557,,,500.0
2007,0.35999470949172974,1763260162.695935,0.026042843237519264,97152,0.00024178187595680356,,-0.0016844868659973145,0.0006052255630493164,0.0859375,0.03566339984536171,120.5212619304657,824.0,0.006699073128402233,
2016,,1763260164.9516973,,98051,,431.0,,,,,122.777024269104,,,431.0
2024,,1763260166.5627136,,98828,,335.0,,,,,124.38804054260254,,,335.0
2027,0.36717358231544495,1763260167.2753534,0.013442633673548698,99200,0.00024055299581959844,,-0.04538311809301376,0.9007502794265747,0.09375,0.027833031490445137,125.10068035125732,809.0,0.030420687049627304,
2034,0.20343658328056335,1763260168.9039402,0.015277452766895294,99968,0.00024009216576814651,,-0.002553539350628853,0.8904718160629272,0.076171875,-0.011514872312545776,126.72926712036133,805.0,0.01879303716123104,
2045,0.37685245275497437,1763260171.6409595,0.007281474769115448,101120,0.00023940092069096863,,-0.04941936582326889,0.8959031105041504,0.140625,0.16451145708560944,129.46628642082214,797.0,0.07652270048856735,
2051,,1763260172.96042,,101666,,414.0,,,,,130.78574681282043,,,414.0
2070,,1763260176.872084,,103607,,500.0,,,,,134.69741082191467,,,500.0
2076,0.20222294330596924,1763260178.1708813,0.15416556596755981,104192,0.00023755760048516095,,0.01611180789768696,-0.0005817413330078125,0.0,-0.0011403700336813927,135.99620819091797,781.0,0.0005336487665772438,
2093,0.28667932748794556,1763260181.558787,0.0019052838906645775,105984,0.00023648233036510646,,-0.002547837793827057,0.3793434500694275,0.001953125,-0.004184205085039139,139.38411402702332,774.0,0.00237194262444973,
2094,,1763260181.623972,,106107,,500.0,,,,,139.44929885864258,,,500.0
2117,0.30813413858413696,1763260186.4107196,0.001883185002952814,108416,0.00023502303520217538,,-0.007979340851306915,0.5227455496788025,0.1171875,0.030345937237143517,144.23604655265808,765.0,0.011027464643120766,
2146,0.24298027157783508,1763260192.063966,0.001138121820986271,111232,0.00023333333956543356,,-0.011796966195106506,0.29410189390182495,0.052734375,0.0015242751687765121,149.88929295539856,755.0,0.0013616811484098434,
2148,0.2808930575847626,1763260192.3601873,0.006717337761074305,111360,0.00023325653455685824,,0.001905202865600586,-4.172325134277344e-06,0.009765625,-0.0006244378164410591,150.18551421165466,754.0,0.00038085784763097763,
2155,0.3923676311969757,1763260193.8316977,0.0005271219997666776,112128,0.00023279570450540632,,0.0058242566883563995,0.32565563917160034,0.03515625,0.012230996042490005,151.6570246219635,752.0,0.006700864993035793,
2172,0.29553669691085815,1763260197.1183424,0.008231820538640022,113792,0.00023179723939392716,,-0.007608620449900627,3.254413604736328e-05,0.1484375,0.04316934198141098,154.94366931915283,747.0,0.01595708355307579,
2185,0.2790554165840149,1763260199.6925771,4.013376747025177e-05,115072,0.00023102918930817395,,-0.02422136813402176,0.40185803174972534,0.015625,0.026220059022307396,157.51790404319763,742.0,0.0032722996547818184,
2192,0.24937735497951508,1763260200.8381062,0.006341785192489624,115584,0.00023072196927387267,,0.004207609221339226,0.6335086226463318,0.01171875,0.0015530092641711235,158.66343307495117,740.0,0.004229062236845493,
2199,0.2001921534538269,1763260202.1475737,0.002227467717602849,116224,0.00023033794423099607,,-0.02731988951563835,0.35249441862106323,0.076171875,0.019937586039304733,159.97290062904358,738.0,0.014473495073616505,
2211,0.2420746386051178,1763260204.3317235,0.022528378292918205,117248,0.0002297235041623935,,-0.03320108354091644,-1.2159347534179688e-05,0.05078125,0.02470596879720688,162.15705037117004,734.0,0.009272633120417595,
2214,0.30884021520614624,1763260205.0848312,0.0004125355917494744,117632,0.00022949308913666755,,-0.014679685235023499,0.052407026290893555,0.08984375,0.03051195666193962,162.91015815734863,733.0,0.01040660124272108,
2220,0.22935353219509125,1763260206.0046864,0.0026083379052579403,118016,0.0002292626741109416,,0.008532881736755371,0.6615173816680908,0.009765625,-0.009310441091656685,163.83001327514648,732.0,0.0016956068575382233,
2223,,1763260206.5513868,,118331,,500.0,,,,,164.37671375274658,,,500.0
2225,,1763260206.8205454,,118409,,78.0,,,,,164.64587235450745,,,78.0
2226,0.1873391568660736,1763260207.070277,0.01989861950278282,118528,0.0002289554540766403,,-0.0008981544524431229,-2.205371856689453e-05,0.0078125,0.011820793151855469,164.89560389518738,730.0,0.003633866086602211,
2227,0.2540126442909241,1763260207.3183625,0.002716704970225692,118656,0.000228878649068065,,-0.033874157816171646,0.4761551022529602,0.005859375,0.029117625206708908,165.1436893939972,730.0,0.0028740055859088898,
2235,0.3109709620475769,1763260208.9442768,0.0002584255125839263,119424,0.00022841781901661307,,0.016853567212820053,-0.029506921768188477,0.078125,0.015327668748795986,166.76960372924805,727.0,0.008833504281938076,
2241,0.2064400166273117,1763260209.839815,0.0006724417326040566,119808,0.0002281874039908871,,-0.029725706204771996,0.4965619444847107,0.06640625,0.03082766756415367,167.6651418209076,725.0,0.00588968675583601,
2248,,1763260210.8110979,,120210,,25.0,,,,,168.63642477989197,,,25.0
2250,0.12440972775220871,1763260211.1195333,4.906742095947266,120320,0.00022788018395658582,,-0.00011968985199928284,-7.200241088867188e-05,0.001953125,-0.006181752309203148,168.94486021995544,723.0,0.002691255882382393,
2253,0.2526167035102844,1763260211.4848385,4.8843793869018555,120448,0.0002278033789480105,,-0.03190247714519501,-0.00013458728790283203,0.029296875,0.022608408704400063,169.31016540527344,722.0,0.00384589284658432,
2272,,1763260214.535119,,121785,,21.0,,,,,172.36044597625732,,,21.0
2280,,1763260215.3549795,,122083,,77.0,,,,,173.18030643463135,,,77.0
2295,0.23072150349617004,1763260217.631232,0.00024877311079762876,123008,0.0002262672787765041,,-0.0007185768336057663,0.2116924524307251,0.0,0.0013790884986519814,175.4565589427948,711.0,5.059223622083664e-05,
2298,,1763260217.9815207,,123193,,80.0,,,,,175.80684757232666,,,80.0
2310,0.2615804374217987,1763260219.3560755,119.58428192138672,123648,0.0002258832537336275,,-0.007348880171775818,1.1920928955078125e-05,0.0,-0.010745889507234097,177.18140244483948,708.0,0.0013812752440571785,
2312,0.25012367963790894,1763260219.8451507,0.00048226278158836067,123904,0.00022572964371647686,,0.03771468251943588,0.21800369024276733,0.05859375,-0.028939619660377502,177.67047762870789,707.0,0.004741583950817585,
2318,,1763260220.5246897,,124170,,22.0,,,,,178.3500165939331,,,22.0
2324,0.16140325367450714,1763260221.6106691,0.0018377183005213737,124672,0.00022526881366502494,,-0.009722061455249786,-0.04962301254272461,0.072265625,0.01343558356165886,179.43599605560303,705.0,0.0022618528455495834,
2329,0.2043439745903015,1763260222.661145,0.001375603605993092,125184,0.00022496159363072366,,-0.010477893054485321,0.05881607532501221,0.029296875,0.010466760024428368,180.4864718914032,703.0,0.0017952006310224533,
