losses/old_approx_kl,global_step,charts/SPS,charts/episodic_return,charts/learning_rate,losses/approx_kl,_step,_timestamp,losses/explained_variance,losses/entropy,losses/clipfrac,losses/policy_loss,_runtime,losses/value_loss,charts/episodic_length
0.0030497126281261444,108032,631.0,,0.00023525345022790134,0.001128343865275383,1245,1763260231.7513664,-0.1328819990158081,0.47276824712753296,0.009765625,0.010615326464176178,198.22838139533997,0.00022139976499602199,
0.015660902485251427,108928,631.0,,0.0002347158151678741,0.001613035798072815,1254,1763260233.366465,-0.11152994632720947,0.5100125074386597,0.0078125,0.0022215694189071655,199.84348011016846,0.0001979833177756518,
0.004769875667989254,110592,629.0,,0.00023371736460831016,0.0002048024907708168,1271,1763260236.4388776,-9.72747802734375e-05,0.5495829582214355,0.0,0.0019506290555000305,202.91589260101318,99.90817260742188,
,113344,,500.0,,,1299,1763260241.5086548,,,,,207.9856698513031,,500.0
0.000938870944082737,117376,625.0,,0.0002296466991538182,0.001376989297568798,1339,1763260248.5350788,4.947185516357422e-06,0.5364944934844971,0.001953125,0.0021742209792137146,215.01209378242493,294.5310974121094,
-0.006575039587914944,117504,625.0,,0.00022956989414524287,0.00031890999525785446,1340,1763260248.746012,0.19257289171218872,0.5362173318862915,0.0,-0.003931114450097084,215.2230269908905,0.00709873903542757,
-0.0037452029064297676,118400,624.0,,0.00022903225908521563,0.001558343879878521,1349,1763260250.4587133,-0.0001615285873413086,0.47171550989151,0.001953125,-0.006582073867321014,216.9357283115387,229.05062866210938,
,119844,,500.0,,,1363,1763260253.8758368,,,,,220.35285186767578,,500.0
0.0051743630319833755,120064,620.0,,0.00022803379397373646,0.00022816285490989685,1365,1763260254.3552432,-0.03526747226715088,0.5868403315544128,0.0,-0.0031902268528938293,220.8322582244873,0.0034956191666424274,
-4.1404739022254944e-05,120576,619.0,,0.00022772657393943518,0.001611294224858284,1370,1763260255.3402557,0.04370903968811035,0.5318551063537598,0.001953125,-0.01877632737159729,221.81727075576782,0.0068769813515245914,
