charts/episodic_length,charts/episodic_return,losses/policy_loss,charts/SPS,_timestamp,losses/explained_variance,_step,charts/learning_rate,losses/entropy,losses/old_approx_kl,losses/clipfrac,_runtime,losses/approx_kl,global_step,losses/value_loss
465.0,465.0,,,1763260094.2097213,,490,,,,,60.686668395996094,,29868,
399.0,399.0,,,1763260095.7307549,,504,,,,,62.20770192146301,,31159,
,,0.013991162180900574,886.0,1763260096.8922184,0.6262376308441162,515,0.00028087556711398065,0.5805912613868713,0.004789761267602444,0.0,63.36916542053223,0.002867945469915867,32000,68.25735473632812
137.0,137.0,,,1763260098.2111607,,530,,,,,64.68810772895813,,33065,
,,0.017962321639060974,869.0,1763260099.5032806,0.7872180342674255,539,0.0002798771020025015,0.5126010775566101,-0.013798036612570286,0.0,65.98022770881653,0.0008333427831530571,33664,34.59324645996094
,,-7.20880925655365e-05,857.0,1763260100.608835,0.8376247882843018,547,0.0002795698819682002,0.5506076216697693,0.0011116089299321175,0.0,67.08578205108643,1.5390105545520782e-05,34176,9.438525199890137
253.0,253.0,,,1763260101.7501884,,555,,,,,68.22713541984558,,34777,
,,-0.044611528515815735,840.0,1763260102.519649,0.7754772305488586,559,0.00027903224690817297,0.4722508490085602,0.026488598436117172,0.138671875,68.99659609794617,0.021437203511595726,35072,60.69389343261719
,,-0.011630628257989883,827.0,1763260103.9159796,0.8601409792900085,568,0.00027864822186529636,0.5632160902023315,-0.02053498476743698,0.0,70.39292669296265,0.002497127279639244,35712,10.760529518127441
302.0,302.0,,,1763260108.6377118,,595,,,,,75.11465883255005,,37797,
,,-0.0006503146141767502,755.0,1763260112.436801,0.40092766284942627,612,0.00027665129164233804,0.5659788846969604,-0.005351590923964977,0.0,78.91374802589417,0.0006749825552105904,39040,3.0211288928985596
428.0,428.0,,,1763260112.8007176,,614,,,,,79.27766466140747,,39209,
,,-0.00021573156118392944,736.0,1763260115.854224,-0.06456315517425537,630,0.00027572966064326465,0.53010094165802,0.026251697912812233,0.0,82.3311710357666,0.0015366142615675926,40576,33.76443862915039
327.0,327.0,,,1763260116.957835,,636,,,,,83.43478202819824,,41113,
,,-0.011251704767346382,727.0,1763260117.784321,0.005600631237030029,640,0.0002751920255832374,0.5751346349716187,0.018896430730819702,0.0,84.2612681388855,0.001027977094054222,41472,63.355403900146484
270.0,270.0,,,1763260119.3026118,,650,,,,,85.77955889701843,,42171,
487.0,487.0,,,1763260122.077778,,664,,,,,88.5547251701355,,43499,
,,-0.004425559192895889,693.0,1763260125.7382805,-1.2448861598968506,684,0.00027304148534312844,0.5799695253372192,-0.004364081658422947,0.0,92.21522760391235,0.000729675404727459,45056,1.5052404403686523
86.0,86.0,,,1763260126.4218962,,689,,,,,92.89884328842163,,45358,
136.0,136.0,,,1763260128.0335722,,698,,,,,94.51051926612854,,46163,
,,-0.0029671918600797653,682.0,1763260128.820738,-0.07923245429992676,702,0.0002721966302487999,0.542496383190155,9.069312363862991e-05,0.0,95.29768514633179,0.00015374738723039627,46464,1.310440182685852
,,-0.016518669202923775,680.0,1763260129.8541274,0.8498888611793518,707,0.00027188941021449864,0.5559483766555786,0.009896274656057358,0.0,96.33107447624207,0.0012958012521266937,46976,9.1845703125
134.0,134.0,,,1763260133.2599523,,729,,,,,99.73689937591553,,48696,
,,-0.0038604047149419785,660.0,1763260137.7023547,0.9733273386955261,757,0.00026958525995723903,0.5919303297996521,0.004259185865521431,0.0,104.17930173873901,0.0009270738810300827,50816,9.644140243530273
151.0,151.0,,,1763260138.2911797,,762,,,,,104.76812672615051,,51176,
70.0,70.0,,,1763260139.0482821,,767,,,,,105.52522921562195,,51479,
,,-0.0002722330391407013,654.0,1763260140.195039,0.9901993274688721,775,0.00026889401488006115,0.5604857206344604,-0.0024807602167129517,0.0,106.67198610305786,0.00026427023112773895,51968,5.076298713684082
,,0.010212726891040802,649.0,1763260142.1836026,0.9719210267066956,788,0.0002683563798200339,0.5521942377090454,0.008032414130866528,0.0,108.66054964065552,0.0011009713634848595,52864,11.893765449523926
,,0.00046465545892715454,645.0,1763260143.6954567,0.9789178967475891,797,0.0002679723547771573,0.584149956703186,0.001824825070798397,0.0,110.17240381240845,0.00018409546464681625,53504,10.356147766113281
110.0,110.0,,,1763260145.0511773,,806,,,,,111.52812433242798,,54139,
,,0.0002692006528377533,637.0,1763260146.662633,0.9566091299057007,815,0.0002672043046914041,0.606336236000061,0.00042705144733190536,0.0,113.1395800113678,4.9571506679058075e-05,54784,2.4658548831939697
500.0,500.0,,,1763260155.0736158,,863,,,,,121.55056285858154,,59059,
,,-0.0008612759411334991,624.0,1763260156.7753208,0.9190885424613953,872,0.0002641321043483913,0.5809828639030457,-0.0005109496414661407,0.0,123.25226783752441,1.5294179320335388e-05,59904,0.6323981285095215
167.0,167.0,,,1763260157.347189,,876,,,,,123.82413601875305,,60163,
,,-0.019300179556012154,615.0,1763260165.9694753,0.0002747178077697754,922,0.0002612135140225291,0.54184490442276,0.0026464033871889114,0.0,132.44642233848572,0.0029104668647050858,64768,388.78680419921875
,,-0.047338031232357025,614.0,1763260167.6303294,0.005549907684326172,930,0.0002606758789625019,0.5598866939544678,0.05311024561524391,0.0390625,134.10727643966675,0.014847801998257637,65664,0.005628344602882862
,,0.0028843171894550323,613.0,1763260169.1395283,0.35952019691467285,938,0.00026021504891104996,0.5102316737174988,0.027215400710701942,0.0,135.61647534370422,0.003982825204730034,66432,0.02104846015572548
500.0,500.0,,,1763260169.6603615,,941,,,,,136.1373085975647,,66699,
,,-0.002391703426837921,612.0,1763260169.8950365,-0.00011670589447021484,942,0.000259984633885324,0.5790560841560364,-0.0006815157830715179,0.0,136.3719835281372,8.657947182655334e-05,66816,111.8961410522461
,,0.0006206296384334564,611.0,1763260171.0824926,-0.25666582584381104,948,0.0002596006088424474,0.6134648323059082,0.025476578623056412,0.00390625,137.55943965911865,0.0018248874694108963,67456,0.0009335672948509455
,,-0.026396751403808594,608.0,1763260176.1018083,0.42487138509750366,974,0.0002579877036623657,0.5825679302215576,0.005994333885610104,0.001953125,142.57875537872314,0.004640362225472927,70144,4.463069126359187e-05
500.0,500.0,,,1763260177.164144,,980,,,,,143.64109110832214,,70699,
500.0,500.0,,,1763260178.1784215,,985,,,,,144.65536856651306,,71199,
500.0,500.0,,,1763260180.2677631,,995,,,,,146.74471020698547,,72199,
,,-0.017717869952321053,603.0,1763260180.7308674,0.029275715351104736,997,0.0002566052135080099,0.526248037815094,0.0017985831946134567,0.00390625,147.20781445503235,0.003930443897843361,72448,0.0036032493226230145
,,0.0019605085253715515,601.0,1763260184.290962,0.001781165599822998,1015,0.00025552994338795543,0.4718034267425537,-0.000559668056666851,0.0,150.7679090499878,0.00010088738054037094,74240,236.5129852294922
,,0.0006121546030044556,600.0,1763260185.2960556,-0.00029397010803222656,1020,0.00025522272335365415,0.4734146296977997,0.0057499101385474205,0.0,151.77300262451172,0.0002538347616791725,74752,206.1562042236328
,,-0.004085716791450977,598.0,1763260187.4986143,-1.0679504871368408,1031,0.00025453147827647626,0.3581158220767975,0.016757776960730553,0.0,153.97556138038635,0.00414915569126606,75904,0.006124401930719614
,,-0.006203364580869675,596.0,1763260191.2248635,0.0004100203514099121,1050,0.00025337940314784646,0.5249106884002686,0.0026811379939317703,0.0,157.7018105983734,0.0005791801959276199,77824,221.30477905273438
500.0,500.0,,,1763260191.756005,,1053,,,,,158.23295211791992,,78199,
500.0,500.0,,,1763260192.6996403,,1058,,,,,159.17658734321594,,78699,
500.0,500.0,,,1763260197.4644663,,1083,,,,,163.94141340255737,,81199,
,,-0.010536909103393555,593.0,1763260199.100256,0.2368696928024292,1091,0.00025084486696869135,0.42698976397514343,-0.020244430750608444,0.03515625,165.57720303535461,0.00871465727686882,82048,0.0008752786088734865
,,-0.014855587854981422,591.0,1763260201.9922848,-0.05046379566192627,1106,0.0002499232068657875,0.48152652382850647,-0.005764493718743324,0.048828125,168.46923184394836,0.017093129456043243,83584,0.00016939321358222514
,,-0.0009804405272006989,591.0,1763260204.1271772,-0.00011789798736572266,1118,0.0002492319617886096,0.4172927141189575,-0.00010347273200750351,0.0,170.60412430763245,2.5530345737934113e-05,84736,174.64138793945312
,,-0.008045295253396034,590.0,1763260205.5083523,0.2782590389251709,1125,0.0002487711317371577,0.4800125062465668,-0.004004857502877712,0.0,171.98529934883118,0.0012487610802054405,85504,0.0004745372571051121
,,0.005654465407133102,590.0,1763260206.9771376,0.0003249645233154297,1133,0.0002483103016857058,0.4252830147743225,0.006088565103709698,0.0,173.45408463478088,0.000337100587785244,86272,198.22206115722656
