losses/clipfrac,charts/episodic_return,_timestamp,charts/learning_rate,losses/old_approx_kl,_runtime,global_step,_step,losses/value_loss,losses/explained_variance,charts/SPS,losses/entropy,losses/approx_kl,losses/policy_loss,charts/episodic_length
0.0,,1763260330.9347403,0.00022096774773672223,0.0010966463014483452,272.45418524742126,131840,1546,102.61133575439453,-5.638599395751953e-05,535.0,0.465198814868927,0.0010650688782334328,0.0010691210627555847,
0.0,,1763260332.805604,0.00022019969765096903,0.004823123104870319,274.32504892349243,133120,1558,0.0003913932014256716,0.21989589929580688,536.0,0.46471846103668213,0.0007328828796744347,-0.0017955303192138672,
0.0,,1763260332.961979,0.0002201228926423937,-0.0011983932927250862,274.4814238548279,133248,1559,0.00019191353931091726,-0.17674052715301514,536.0,0.4585011601448059,0.0002778219059109688,0.00033832527697086334,
0.0,,1763260333.4744105,0.00021989247761666775,-0.01370667852461338,274.9938554763794,133632,1563,0.00048805991536937654,-0.26167988777160645,537.0,0.47207823395729065,0.0005383212119340897,-0.004042185842990875,
0.0,,1763260333.826742,0.0002197388675995171,0.00982946902513504,275.346186876297,133888,1566,96.69207763671875,0.0003497600555419922,537.0,0.43905940651893616,0.002420109696686268,-0.0033122673630714417,
0.0,,1763260336.718027,0.00021835637744516134,-0.0011046407744288445,278.23747205734253,136192,1588,0.0001710147480480373,-0.09672856330871582,540.0,0.43124139308929443,0.00011470820754766464,0.0022017015144228935,
,500.0,1763260336.7587886,,,278.2782335281372,136267,1589,,,,,,,500.0
0.01953125,,1763260337.789722,0.0002178187423851341,0.01571262814104557,279.30916690826416,137088,1597,0.0007372177205979824,-0.08213686943054199,541.0,0.4416244626045227,0.008475939743220806,-0.0290573388338089,
0.01171875,,1763260338.9969034,0.00021720430231653154,0.004780282266438007,280.516348361969,138112,1607,0.0007142218528315425,-0.20721936225891113,543.0,0.5587611198425293,0.00493218470364809,-0.03254382684826851,
,500.0,1763260339.1955488,,,280.71499371528625,138267,1609,,,,,,,500.0
0.0,,1763260339.4156656,0.0002170506922993809,-0.005391733720898628,280.93511056900024,138368,1610,245.42010498046875,-0.0001537799835205078,543.0,0.5110323429107666,0.00019251182675361633,-0.008359813131392002,
0.00390625,,1763260339.8526485,0.00021689708228223026,-0.0046163927763700485,281.3720934391022,138624,1612,0.00043888582149520516,-0.12865233421325684,543.0,0.5104346871376038,0.0037770699709653854,-0.024984735995531082,
0.01953125,,1763260342.127284,0.00021605222718790174,-0.038965098559856415,283.64672899246216,140032,1626,0.00041519029764458537,-0.48141658306121826,544.0,0.5209996104240417,0.0062692780047655106,-0.01562703400850296,
,500.0,1763260344.0647233,,,285.5841681957245,141267,1638,,,,,,,500.0
,500.0,1763260351.063717,,,292.5831618309021,146267,1687,,,,,,,500.0
0.0,,1763260358.0352433,0.00020960062101949006,0.00046664103865623474,299.55468821525574,150784,1732,491.92205810546875,-0.0002466440200805664,551.0,0.5109342336654663,0.002549484372138977,-0.005707826465368271,
0.009765625,,1763260359.6991878,0.00020875576592516154,-0.02069641463458538,301.2186326980591,152192,1745,0.0002931496419478208,-0.34593820571899414,553.0,0.54986572265625,0.005992273800075054,-0.026374496519565582,
0.0078125,,1763260360.6602812,0.00020829493587370962,-0.003424563445150852,302.1797261238098,152960,1753,0.008787281811237335,-0.1699662208557129,554.0,0.5491224527359009,0.006165678612887859,-0.026488691568374634,
0.0,,1763260360.8084965,0.0002082181308651343,0.0029904386028647423,302.3279414176941,153088,1754,0.0005019668024033308,-2.2205913066864014,554.0,0.5001570582389832,0.00034417491406202316,-0.005600843578577042,
