charts/episodic_return,losses/old_approx_kl,_step,charts/learning_rate,global_step,losses/approx_kl,charts/SPS,_timestamp,charts/episodic_length,losses/explained_variance,_runtime,losses/clipfrac,losses/policy_loss,losses/entropy,losses/value_loss
,0.0019406285136938095,1365,0.00022872503905091435,118912,0.001143062487244606,526.0,1763260310.5920417,,-0.9716435670852661,252.156085729599,0.0,-0.008256025612354279,0.4196382164955139,0.0009410192724317312
,0.003509117290377617,1370,0.00022841781901661307,119424,0.0001329611986875534,527.0,1763260311.2265522,,-0.10757601261138916,252.79059624671936,0.0,-0.0038247592747211456,0.4586356282234192,0.0008184881880879402
,-0.0027488255873322487,1380,0.0002278033789480105,120448,6.518419831991196e-05,528.0,1763260312.4974165,,-0.48257625102996826,254.06146049499512,0.0,-0.0011255443096160889,0.49022042751312256,0.00040529255056753755
,-0.013221505098044872,1381,0.00022772657393943518,120576,0.0020395005121827126,529.0,1763260312.6202643,,-0.4114943742752075,254.18430829048157,0.001953125,-0.013148460537195206,0.4986830949783325,0.00023886875715106726
,0.008901852183043957,1388,0.00022734254889655858,121216,0.000848044641315937,530.0,1763260313.3544884,,0.003430187702178955,254.918532371521,0.005859375,-0.010165952146053314,0.5400916337966919,0.005335081368684769
,-0.007169543765485287,1395,0.00022688171884510666,121984,0.008495956659317017,531.0,1763260314.2143948,,0.04570549726486206,255.7784388065338,0.025390625,-0.021102067083120346,0.5281444191932678,0.00028922597994096577
,0.0056478967890143394,1399,0.0002266513038193807,122368,0.00020324718207120895,532.0,1763260314.6471286,,-0.11252331733703613,256.211172580719,0.0,0.003022313117980957,0.5931847095489502,0.0007390038226731122
,-0.0050748419016599655,1405,0.0002262672787765041,123008,0.002207200974225998,533.0,1763260315.3692067,,-0.5035692453384399,256.9332506656647,0.00390625,0.0014700591564178467,0.4660961627960205,0.00013690022751688957
,0.002889513038098812,1432,0.00022465437359642237,125696,0.00031377654522657394,535.0,1763260319.387199,,-6.818771362304688e-05,260.9512429237366,0.0,0.004917509853839874,0.4337797462940216,177.035888671875
,-0.034523025155067444,1433,0.00022457756858784705,125824,0.0032645100727677345,535.0,1763260319.5764456,,-0.46033430099487305,261.14048957824707,0.001953125,-0.024490777403116226,0.4951809346675873,0.0049939388409256935
500.0,,1455,,128077,,,1763260323.278855,500.0,,264.8428990840912,,,,
,-0.0010681776329874992,1456,0.0002231950784334913,128128,8.883234113454819e-05,536.0,1763260323.5088935,,-2.110004425048828e-05,265.0729374885559,0.0,-0.0017983093857765198,0.5588134527206421,207.2001953125
,0.005720469169318676,1457,0.00022311827342491597,128256,0.0001596519723534584,536.0,1763260323.7118144,,-0.09891974925994873,265.2758584022522,0.0,-0.0003002285957336426,0.5589607357978821,0.0025699229445308447
500.0,,1514,,134077,,,1763260332.6341372,500.0,,274.19818115234375,,,,
,0.005965741351246834,1521,0.00021920123253948987,134784,0.0005317199975252151,541.0,1763260333.5384488,,-0.006666660308837891,275.10249280929565,0.0,-0.005436591804027557,0.5381394624710083,0.005811009556055069
,0.003662203438580036,1525,0.0002189708175137639,135168,0.000928184948861599,542.0,1763260334.021839,,-3.1113624572753906e-05,275.5858829021454,0.0,-0.0029215440154075623,0.4998629093170166,227.58367919921875
,0.004619779996573925,1527,0.00021881720749661326,135424,0.001213272102177143,542.0,1763260334.2704687,,-0.11493968963623047,275.8345127105713,0.0,-0.011149793863296509,0.5080392360687256,0.00031171119189821184
500.0,,1529,,135577,,,1763260334.4514787,500.0,,276.01552271842957,,,,
500.0,,1534,,136077,,,1763260335.09349,500.0,,276.65753388404846,,,,
,0.00241866335272789,1536,0.00021827957243658602,136320,4.5105814933776855e-05,544.0,1763260335.3850002,,-0.18096518516540527,276.9490442276001,0.0,0.0007930919528007507,0.5611682534217834,0.004740543197840452
500.0,,1543,,137077,,,1763260336.2068596,500.0,,277.7709035873413,,,,
,-0.0031214896589517593,1545,0.00021774193737655878,137216,0.0011865589767694473,545.0,1763260336.4607282,,-0.5463149547576904,278.0247721672058,0.0,0.0017501786351203918,0.5079101324081421,0.00334278866648674
,0.002558051608502865,1546,0.00021766513236798346,137344,0.003213034011423588,545.0,1763260336.6161714,,0.3140053153038025,278.18021535873413,0.005859375,-0.009558603167533875,0.528124988079071,0.000788612465839833
,0.005294300615787506,1558,0.00021697388729080558,138496,0.0008499212563037872,547.0,1763260337.9445264,,0.00010251998901367188,279.50857043266296,0.0,-0.0037822648882865906,0.5805516839027405,277.2837829589844
,0.00928085669875145,1559,0.00021689708228223026,138624,0.00010538473725318909,547.0,1763260338.0810897,,-0.18903017044067383,279.6451337337494,0.0,-0.00043591856956481934,0.5339098572731018,0.004001112654805183
,0.009509536437690258,1563,0.0002166666672565043,139008,0.0010156100615859032,547.0,1763260338.5124395,,-5.424022674560547e-05,280.0764834880829,0.0,-0.003174406476318836,0.47385430335998535,210.44882202148438
,-0.009674618020653725,1566,0.00021643625223077834,139392,0.002242177724838257,548.0,1763260338.9319608,,-0.7843539714813232,280.49600481987,0.00390625,0.00713532418012619,0.530781626701355,0.00017242056492250413
,-0.007034397684037685,1588,0.0002151305670849979,141568,0.0007025199010968208,549.0,1763260342.4197533,,-0.3162928819656372,283.98379731178284,0.0,-0.0009379368275403976,0.5462267994880676,0.003663844196125865
,0.011419571936130524,1589,0.00021505376207642257,141696,0.0002605374902486801,549.0,1763260342.6275415,,0.07384836673736572,284.1915855407715,0.0,-0.0008413195610046387,0.5727149248123169,0.0005585040780715644
,-0.012960736639797688,1597,0.00021459293202497065,142464,0.0010547032579779625,549.0,1763260343.8922591,,0.00015997886657714844,285.4563031196594,0.0,0.00791182741522789,0.49262556433677673,822.3185424804688
,-0.006105613894760609,1607,0.0002139784919563681,143488,0.00046706851571798325,550.0,1763260345.6579342,,-0.00011897087097167969,287.22197818756104,0.0,0.0018385425209999084,0.5522882342338562,169.11557006835938
,-0.005500701256096363,1609,0.00021382488193921745,143744,0.0009281383827328682,550.0,1763260346.0686252,,0.00587540864944458,287.63266921043396,0.0,-0.007551552727818489,0.5909633636474609,0.00038584464346058667
,0.01841331087052822,1610,0.00021374807693064213,143872,0.0042161522433161736,550.0,1763260346.2770452,,-0.28112030029296875,287.8410892486572,0.001953125,0.0032666735351085663,0.5438324809074402,0.00037874176632612944
,0.0011489121243357658,1612,0.0002136712719220668,144000,0.0002073599025607109,550.0,1763260346.5362656,,-1.895427703857422e-05,288.1003096103668,0.0,0.005543289706110954,0.5539844632148743,252.11683654785156
,-0.003223520703613758,1626,0.00021282641682773829,145408,4.331860691308975e-05,551.0,1763260348.3415391,,-0.06604921817779541,289.90558314323425,0.0,0.0003438759595155716,0.5460036993026733,0.00019377225544303656
,0.0005827182903885841,1638,0.0002121351717505604,146560,1.0731630027294159e-05,553.0,1763260349.7289665,,-2.3603439331054688e-05,291.29301047325134,0.0,-0.000958271324634552,0.4996427893638611,469.384033203125
,-0.0023451289162039757,1687,0.00020913979096803814,151552,0.0009740768000483513,556.0,1763260357.2019458,,-0.0001748800277709961,298.765989780426,0.0,0.0011397907510399818,0.45045870542526245,343.3328552246094
,0.007877267897129059,1732,0.0002063748106593266,156160,0.0011515356600284576,562.0,1763260362.3633237,,-0.04661095142364502,303.92736768722534,0.0,-0.020341845229268074,0.48592641949653625,0.005869297310709953
500.0,,1745,,157483,,,1763260363.8473818,500.0,,305.4114258289337,,,,
,0.005764513276517391,1753,0.00020506912551354617,158336,0.000454719178378582,565.0,1763260364.866036,,0.02376258373260498,306.4300799369812,0.0,0.0042571499943733215,0.5695183873176575,0.00020655601110775024
,0.01928475871682167,1754,0.00020499232050497085,158464,0.0011678030714392662,565.0,1763260365.0082912,,-0.01851785182952881,306.5723352432251,0.0,-0.0027687139809131622,0.5806971788406372,8.327341492986307e-05
